MDTU ,delta_S
1,-36.23
2,1.265
3,0.8935
4,0.6312
5,1.675
6,0.2929
7,1.235
8,1.413
9,-0.4584
10,0.7136
11,2.436
12,1.722
13,1.258
14,2.112
15,2.773
16,1.32
17,2.377
18,0.9666
19,2.093
20,2.876
21,3.506
22,2.737
23,2.322
24,2.053
25,3.794
26,3.053
27,1.953
28,2.818
29,0.8319
30,2.196
31,1.345
32,1.515
33,0.8717
34,0.1541
35,1.351
36,1.652
37,2.529
38,1.631
39,1.141
40,0.3974
41,2.382
42,3.015
43,1.339
44,0.7425
45,1.979
46,1.605
47,1.684
48,0.9548
49,2.814
50,1.091
51,0.1028
52,0.6516
53,1.619
54,2.764
55,1.658
56,1.224
57,-0.9197
58,1.05
59,0.8121
60,-0.2405
61,1.862
62,0.7727
63,1.281
64,1.31
65,1.916
66,1.162
67,1.631
68,1.393
69,1.966
70,0.5358
71,-0.109
72,2.659
73,0.8493
74,3.024
75,0.7937
76,-0.06043
77,1.876
78,-0.08962
79,1.272
80,1.484
81,1.347
82,0.8246
83,0.1048
84,0.6943
85,1.787
86,1.622
87,1.292
88,1.408
89,0.2218
90,0.6376
91,0.4807
92,0.1656
93,1.003
94,-0.5434
95,1.313
96,0.337
97,1.794
98,1.313
99,1.544
100,1.783
101,1.605
102,2.297
103,0.5259
104,0.5333
105,0.777
106,1.168
107,0.01705
108,1.529
109,0.2949
110,0.7929
111,0.6286
112,-0.2386
113,0.8283
114,1.525
115,-0.141
116,-0.5542
117,0.6903
118,1.852
119,1.349
120,1.378
121,-0.2653
122,0.5512
123,0.2069
124,2.267
125,0.3536
126,0.2371
127,0.5635
128,1.048
129,0.3819
130,0.8778
131,0.5626
132,0.9399
133,1.777
134,0.09728
135,0.2863
136,0.00642
137,0.3848
138,0.7883
139,1.807
140,0.6584
141,0.9519
142,0.175
143,0.2987
144,0.2796
145,1.777
146,2.368
147,0.2173
148,1.611
149,-0.05412
150,0.7563
151,1.315
152,0.5427
153,0.5936
154,0.5849
155,0.5513
156,1.547
157,1.352
158,1.572
159,1.59
160,2.188
161,0.7153
162,0.3829
163,1.201
164,0.4254
165,0.1935
166,0.7736
167,-0.6162
168,1.211
169,-0.2864
170,0.6086
171,-0.2735
172,1.469
173,0.5734
174,1.49
175,0.9592
176,-1.133
177,0.9813
178,-0.1034
179,1.089
180,1.008
181,-0.2935
182,0.6949
183,0.3304
184,0.7509
185,1.53
186,0.7232
187,0.8372
188,-0.2477
189,0.5091
190,0.8514
191,0.3606
192,-0.1127
193,0.5662
194,0.4379
195,0.2331
196,0.9353
197,-0.0854
198,1.819
199,0.6827
200,1.04
201,0.3162
202,-1.052
203,-0.353
204,-0.4502
205,0.4909
206,0.5965
207,-0.1285
208,-0.3442
209,1.786
210,1.551
211,-1.092
212,0.9938
213,1.257
214,0.398
215,0.001609
216,0.939
217,-0.5521
218,0.8306
219,-0.9258
220,0.5372
221,-1.062
222,0.5319
223,0.5004
224,0.4233
225,-0.7993
226,-0.5426
227,0.6073
228,0.9093
229,0.204
230,0.9673
231,0.9382
232,1.164
233,-0.3475
234,0.2535
235,-1.036
236,0.6474
237,0.3259
238,1.062
239,0.5778
240,0.5576
241,0.3314
242,0.8525
243,-0.05527
244,0.8183
245,0.3423
246,0.9138
247,0.1072
248,0.6629
249,0.08053
250,0.1352
251,0.518
252,1.761
253,-0.2778
254,0.6822
255,0.8599
256,-0.1518
257,-0.5424
258,0.3362
259,0.4202
260,-0.1723
261,-0.1872
262,-0.02856
263,0.08617
264,1.15
265,0.6167
266,0.5239
267,1.415
268,0.1397
269,1.351
270,0.8348
271,0.6712
272,0.3707
273,0.2935
274,-0.04214
275,0.8858
276,0.6492
277,-1.331
278,1.119
279,-0.5734
280,0.2252
281,0.544
282,0.8955
283,0.9472
284,0.5889
285,0.06364
286,-0.0807
287,0.9297
288,1.537
289,0.873
290,0.8477
291,0.6522
292,-0.9812
293,-0.149
294,0.6357
295,0.6154
296,-0.05915
297,-0.9403
298,0.002307
299,0.231
300,0.5093
301,-0.1776
302,0.1048
303,-0.7526
304,0.517
305,1.827
306,0.03549
307,-0.0308
308,0.4517
309,0.6544
310,0.3729
311,0.4849
312,0.9601
313,-0.8078
314,1.637
315,-0.6459
316,0.677
317,0.4373
318,-1.167
319,0.7761
320,0.1763
321,0.6518
322,-0.2241
323,0.1943
324,0.887
325,0.7107
326,0.4478
327,-0.07783
328,-0.1219
329,1.06
330,1.512
331,0.7285
332,-0.04625
333,0.4569
334,0.006075
335,0.6005
336,0.3989
337,-0.1256
338,-0.431
339,1.178
340,0.6718
341,0.9926
342,0.7659
343,0.4679
344,0.1852
345,-0.04092
346,0.6085
347,0.06839
348,0.6806
349,-0.8509
350,-1.306
351,-0.5394
352,-0.5535
353,-0.6843
354,1.023
355,0.5873
356,-0.7348
357,-0.05941
358,0.7132
359,-0.369
360,0.7278
361,-0.0884
362,1.151
363,-0.1604
364,0.4915
365,0.004873
366,0.3613
367,0.7412
368,-0.1879
369,1.026
370,-0.9598
371,-0.6626
372,0.5683
373,1.659
374,0.8731
375,-0.04493
376,-1.018
377,0.7131
378,0.2222
379,0.1609
380,-0.3192
381,-0.4626
382,-0.1484
383,0.265
384,0.9874
385,1.564
386,0.2245
387,-0.1472
388,-0.02766
389,0.9559
390,-0.4983
391,0.1593
392,-0.6694
393,-0.06073
394,0.5084
395,0.5122
396,0.5335
397,-0.1725
398,-0.7314
399,0.1313
400,-0.2839
401,0.1954
402,0.3821
403,0.1596
404,0.6444
405,1.808
406,0.1398
407,-0.3977
408,0.1089
409,0.6045
410,-0.7152
411,-0.9542
412,1.19
413,-1.172
414,-0.2358
415,0.375
416,-0.5404
417,0.536
418,-0.6212
419,1.29
420,-0.5419
421,-0.5391
422,0.6061
423,0.2818
424,0.6435
425,-0.5643
426,-0.4954
427,-0.3548
428,-0.0696
429,1.647
430,0.5303
431,-0.1475
432,-0.1462
433,0.4781
434,1.256
435,0.9243
436,0.8983
437,0.4446
438,0.02458
439,0.7136
440,-1.244
441,1.346
442,-0.3351
443,0.5585
444,-0.01088
445,-0.1138
446,1.119
447,2.221
448,0.7904
449,1.112
450,-0.3279
451,0.4424
452,-0.3437
453,-0.05403
454,1.242
455,-0.3497
456,0.7454
457,1.585
458,0.2325
459,0.03961
460,1.177
461,0.08403
462,-1.405
463,-0.04777
464,1.738
465,-0.1986
466,0.2128
467,-0.1253
468,-1.149
469,1.388
470,0.529
471,0.4162
472,-0.2459
473,0.4609
474,0.7259
475,-0.6459
476,-0.3991
477,-0.03365
478,0.3799
479,0.1238
480,0.4473
481,0.9093
482,0.4726
483,0.8824
484,-0.03792
485,0.3858
486,0.357
487,0.6468
488,1.245
489,-0.03896
490,0.7408
491,0.4898
492,0.9747
493,0.1604
494,0.3624
495,-1.289
496,0.04838
497,-0.07466
498,-0.4554
499,0.9352
500,0.9259
501,0.04097
502,0.4722
503,1.796
504,0.7798
505,1.004
506,0.8213
507,-0.6559
508,-0.367
509,0.3379
510,0.3299
511,-0.001627
512,0.1956
513,1.272
514,-0.06187
515,-0.1751
516,0.9528
517,0.6218
518,0.9412
519,0.4563
520,0.5635
521,-0.2914
522,-0.2451
523,0.9429
524,-0.5
525,-0.2419
526,-1.71
527,0.5266
528,0.6667
529,1.067
530,1.043
531,0.173
532,0.3533
533,0.0678
534,0.1016
535,0.9626
536,1.52
537,0.6696
538,0.1845
539,-0.4195
540,0.4154
541,0.822
542,1.267
543,0.6258
544,0.9431
