MDTU,plaq,Re(det),Im(det),link
1,3.23492,0.193399,0.0872443,0.166851
2,3.22607,0.18147,0.0796537,0.154011
3,3.21714,0.171787,0.0746067,0.147816
4,3.2142,0.169284,0.0749965,0.13893
5,3.2142,0.169284,0.0749965,0.13893
6,3.22649,0.162677,0.0745562,0.131142
7,3.25541,0.168282,0.076031,0.120029
8,3.25541,0.168282,0.076031,0.120029
9,3.25541,0.168282,0.076031,0.120029
10,3.24164,0.164816,0.0723283,0.114153
11,3.24735,0.162714,0.0735647,0.106666
12,3.22149,0.153462,0.0701364,0.106372
13,3.22964,0.160359,0.0719763,0.108179
14,3.22964,0.160359,0.0719763,0.108179
15,3.21676,0.146771,0.0653235,0.104096
16,3.21676,0.146771,0.0653235,0.104096
17,3.21278,0.148835,0.0680237,0.104775
18,3.25536,0.171507,0.0744379,0.104173
19,3.22866,0.159403,0.069738,0.10956
20,3.23988,0.157565,0.0715076,0.0979347
21,3.28805,0.171684,0.0769448,0.0975771
22,3.28057,0.174597,0.0804316,0.100166
23,3.28057,0.174597,0.0804316,0.100166
24,3.29087,0.171808,0.0777072,0.100434
25,3.31579,0.179949,0.0815836,0.0900628
26,3.28583,0.153897,0.0725529,0.0829914
27,3.29056,0.160532,0.073576,0.081131
28,3.33555,0.17115,0.0790813,0.0794234
29,3.28726,0.151351,0.069975,0.0798715
30,3.27408,0.150526,0.0686251,0.0848929
31,3.30137,0.166712,0.0770755,0.0940583
32,3.30137,0.166712,0.0770755,0.0940583
33,3.29909,0.162489,0.0748383,0.0913335
34,3.29047,0.161814,0.0743892,0.0864927
35,3.30859,0.180169,0.082051,0.0913558
36,3.28684,0.161234,0.0736249,0.0839856
37,3.28684,0.161234,0.0736249,0.0839856
38,3.28684,0.161234,0.0736249,0.0839856
39,3.30072,0.162698,0.0735775,0.079729
40,3.3015,0.158686,0.0721084,0.074342
41,3.30585,0.158403,0.0719543,0.0731077
42,3.30585,0.158403,0.0719543,0.0731077
43,3.35508,0.175813,0.0777995,0.0724456
44,3.36622,0.182119,0.0795677,0.0721927
45,3.30121,0.16798,0.0723942,0.0799733
46,3.31224,0.164542,0.0744677,0.0764668
47,3.3346,0.173041,0.081396,0.0798586
48,3.35618,0.182708,0.0804138,0.0834112
49,3.38657,0.20108,0.0892084,0.0826137
50,3.38657,0.20108,0.0892084,0.0826137
51,3.3486,0.183266,0.0829927,0.0823088
52,3.34144,0.182639,0.0788403,0.0787306
53,3.32574,0.164204,0.0749335,0.0754939
