MDTU,abs_delta_S
465,0.3496
466,0.5608
467,0.565
468,0.01396
469,0.4819
470,0.2248
471,0.8858
472,0.2525
473,0.1741
474,0.5084
475,0.767
476,0.3009
477,1.004
478,0.008223
479,0.3271
480,0.1022
481,0.9319
482,0.9885
483,0.8176
484,0.9962
485,1.197
486,0.1839
487,0.1964
488,0.3493
489,0.4999
490,0.7083
491,0.04157
492,0.5248
493,0.6809
494,0.5545
495,0.6271
496,0.2105
497,0.4777
498,0.2695
499,0.07832
500,0.3978
501,0.2235
502,1.309
503,0.8071
504,0.2925
505,0.6126
506,0.2063
507,0.02372
508,0.7495
509,0.08754
510,0.7046
511,0.1147
512,0.07204
513,0.5183
514,0.978
515,1.014
516,0.08707
517,0.541
518,0.2663
519,0.5829
520,0.5128
521,0.2252
522,0.3459
523,0.4244
524,0.5832
525,2.018
526,0.3126
527,0.3204
528,0.2359
529,0.2106
530,0.5349
531,0.7354
532,0.08276
533,0.4952
534,0.6407
535,0.1377
536,0.04658
537,0.97
538,0.6042
539,0.4586
540,0.306
541,0.1184
542,0.6486
543,0.05905
544,0.2833
545,1.073
546,0.8676
547,0.8252
548,0.867
549,0.2776
550,0.6951
551,0.6611
552,0.6317
553,0.2981
554,1.305
555,0.9193
556,0.3637
557,1.105
558,0.7108
559,0.2316
560,0.1531
561,0.6555
562,0.1137
563,0.3779
564,0.1569
565,0.2658
566,0.6806
567,0.1399
568,0.7792
569,1.166
570,1.436
571,0.3302
572,0.9965
573,1.443
574,0.6562
575,0.7847
576,0.5167
577,0.009727
578,0.3381
579,0.4782
580,0.7916
581,0.8007
582,0.04233
583,0.5852
584,0.2784
585,0.971
586,0.4381
587,0.1646
588,0.4622
589,1.109
590,0.0194
591,0.1571
592,0.4643
593,0.3817
594,0.6874
595,0.8959
596,0.4486
597,0.9154
598,1.3
599,0.4494
600,0.01629
601,0.9569
602,0.6406
603,0.5617
604,0.735
605,0.7469
606,0.2576
607,0.5271
608,0.1798
609,0.548
610,0.2344
611,0.2792
612,0.5031
613,0.02972
614,1.302
615,0.1144
616,0.4127
617,0.9498
618,0.5053
619,0.7355
620,0.2107
621,0.5784
622,0.3737
623,0.1876
624,1.267
625,0.3985
626,0.03347
627,0.0627
628,0.8751
629,0.6143
630,0.5098
631,0.1039
632,0.9325
633,0.8488
634,0.8242
635,0.1463
636,0.5793
637,0.3375
638,0.1914
639,1.052
640,0.674
641,0.4786
642,0.5029
643,0.4295
644,0.4549
645,0.02501
646,0.4967
647,0.06879
648,0.3998
649,0.1182
650,0.5025
651,0.5322
652,0.3354
653,1.159
654,0.06265
655,0.391
656,0.4833
657,0.2072
658,1.344
659,0.6024
660,0.6247
661,0.2199
662,0.0302
663,0.1464
664,0.05729
665,0.7688
666,1.066
667,0.3324
668,0.6693
669,0.157
670,0.4352
671,0.858
672,0.3489
673,1.081
674,0.6091
675,0.4205
676,0.05198
677,0.02076
678,0.1774
679,0.09323
680,0.161
681,0.02385
682,0.5743
683,0.09163
684,0.1123
685,0.6969
686,0.8438
687,0.5693
688,0.237
689,0.5551
690,0.6309
691,0.338
692,0.1475
693,0.2917
694,1.101
695,0.3199
696,0.6043
697,0.6562
698,1.368
699,0.6602
700,0.9326
701,0.02494
702,0.2648
703,0.5611
704,0.3103
705,0.6184
706,0.7105
707,0.4013
708,0.4074
709,0.3459
710,0.6692
711,0.8467
712,0.3409
713,0.01915
714,0.6401
715,0.5262
716,0.4766
717,0.2941
718,0.0433
719,0.115
720,0.4488
721,0.5614
722,1.774
723,0.3186
724,0.007675
725,0.09743
726,0.2005
727,1.071
728,0.4085
729,0.7938
730,0.6295
731,0.9023
732,0.2714
733,0.6918
734,0.8747
735,0.3148
736,0.4009
737,0.1784
738,0.2138
739,0.2832
740,0.1308
741,0.2127
742,0.793
743,0.3135
744,0.2141
745,0.167
746,0.5947
747,0.636
748,0.02567
749,0.544
750,0.1136
751,0.2384
752,0.5984
753,0.9856
754,0.4785
755,0.1906
756,0.3489
757,0.4085
758,0.3397
759,0.5811
760,0.6667
761,0.1146
762,0.7525
763,1.205
764,0.1447
765,0.6547
766,0.2275
767,0.2231
768,0.04793
769,0.08933
770,0.51
771,0.7822
772,0.5375
773,0.7483
774,0.09321
775,1.308
776,0.7035
777,0.4003
778,0.1287
779,1.287
780,0.3931
781,0.5425
782,0.3942
783,0.5533
784,0.4791
785,0.1471
786,1.117
787,0.3735
788,1.707
789,0.2697
790,0.6017
791,0.1384
792,0.2434
793,0.5138
794,0.4286
795,0.7176
796,1.09
797,0.5085
798,1.035
799,0.3185
800,0.6224
801,0.2514
802,0.1681
803,0.5762
804,1.714
805,0.6437
806,0.5325
807,0.6792
808,0.4364
809,1.533
810,0.8435
811,0.8136
812,0.1414
813,0.5842
814,0.5886
815,0.1084
816,0.3197
817,0.597
818,0.5355
819,0.8055
820,0.2933
821,1.409
822,0.4981
823,0.3571
824,1.81
825,0.3699
826,0.9455
827,0.5306
828,0.4796
829,0.2904
830,0.5798
831,0.116
832,0.2147
833,1.237
834,0.6157
835,0.3129
836,0.3621
837,0.01748
838,0.172
839,1.603
840,2.005
841,0.2692
842,0.1743
843,1.155
844,1.18
845,1.611
846,1.099
847,0.1305
848,0.02246
849,0.6386
850,0.5881
851,0.696
852,0.003591
853,0.5825
854,0.2029
855,0.3383
856,0.1351
857,0.106
858,0.4445
859,0.477
860,0.5708
861,1.139
862,0.2046
863,0.2633
864,0.6819
865,1.437
866,0.4824
867,0.2787
868,0.582
869,0.6194
870,0.06397
871,0.03827
872,0.03114
873,0.1842
874,1.384
875,0.5917
876,0.05915
877,1.324
878,0.423
879,0.5318
880,0.3557
881,0.5639
882,0.148
883,0.02749
884,0.6279
885,0.1517
886,0.5256
887,0.09749
888,0.4942
889,0.1131
890,0.7086
891,0.001395
892,0.5133
893,0.3743
894,0.07557
895,0.1877
896,0.5141
897,0.1337
898,0.7751
899,1.121
900,0.1968
901,2.253
902,0.1955
903,0.8647
904,0.2993
905,0.7946
906,0.2405
907,0.05361
908,0.741
909,0.5504
910,0.6518
911,0.7668
912,0.7041
913,0.6326
914,0.1678
915,0.2878
916,0.4213
917,0.1939
918,0.8383
919,0.3244
920,0.05292
921,0.01063
922,0.4661
923,0.3212
924,0.1696
925,0.938
926,0.3331
927,1.244
928,0.3343
929,0.4317
930,0.7845
931,0.0215
932,1.4
933,0.445
934,0.6423
935,1.125
936,0.3919
937,0.4774
938,0.1606
939,0.9106
940,0.1842
941,0.3194
942,1.002
943,0.06047
944,0.661
945,1.323
946,0.207
947,0.1327
948,0.688
949,0.4797
950,0.2517
951,0.8958
952,0.8044
953,0.1215
954,0.3952
955,0.2356
956,0.9149
957,0.5898
958,0.6171
959,0.9507
960,0.3736
961,1.295
962,2.006
963,0.3763
964,0.4578
965,0.9312
966,1.053
967,0.3107
968,0.0359
969,0.6289
970,0.4401
971,0.7123
972,0.6271
973,1.058
974,1.045
