ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.0171935,-0.0040577,0.0368574,0.00582908
0.00198964,-0.0363417,0.0211626,0.0492581
0.00198964,-0.0363417,0.0211626,0.0492581
0.00198964,-0.0363417,0.0211626,0.0492581
0.0664705,-0.0230897,0.0481521,0.0105319
0.0146678,-0.00663847,0.032296,0.0520939
0.0146678,-0.00663847,0.032296,0.0520939
0.0146678,-0.00663847,0.032296,0.0520939
0.0294386,-0.0234917,0.0591042,0.00955981
0.043449,0.00261834,0.0505286,-0.013906
0.0327436,-0.0327202,0.0336454,0.0335457
0.0384064,-0.0388415,0.0563925,0.023622
0.00172211,-0.0380252,0.0715694,-0.000738925
0.0385246,-0.0204104,0.0293451,-0.00842101
0.0385246,-0.0204104,0.0293451,-0.00842101
0.0385246,-0.0204104,0.0293451,-0.00842101
0.0158327,-0.00324576,0.00885691,0.0124876
0.0212206,0.0227322,0.0187467,0.0390485
0.0215449,0.00854916,-0.00812661,-0.0145348
0.0266067,0.0433645,-0.0398766,-0.00107113
0.018447,0.0323331,-0.0290409,-0.0415649
0.0532149,0.0180326,-0.0254622,-0.0594865
0.080243,0.0290446,-0.0169936,-0.0512846
0.080243,0.0290446,-0.0169936,-0.0512846
0.080243,0.0290446,-0.0169936,-0.0512846
0.080243,0.0290446,-0.0169936,-0.0512846
0.0786224,0.0290255,0.00609452,-0.0420954
0.0786224,0.0290255,0.00609452,-0.0420954
0.0537404,0.0221939,-0.024783,-0.0158164
0.0541594,0.036274,0.00556108,0.0052545
0.0870463,0.0352639,-0.00288111,0.0384296
0.070329,-0.00587379,0.0444925,0.0389619
0.0361179,-0.0260131,0.0345867,0.066003
0.0466609,-0.0308192,0.0723531,0.0141635
0.0553572,-0.0318424,0.0182064,0.0239341
0.0247265,-0.0115124,0.0518085,0.0436195
0.00639015,-0.0216439,-0.0137146,0.00638305
0.00639015,-0.0216439,-0.0137146,0.00638305
-0.0129882,-0.00643898,-0.0275743,-0.00357475
-0.0129882,-0.00643898,-0.0275743,-0.00357475
-0.0129882,-0.00643898,-0.0275743,-0.00357475
0.0369866,0.0391399,0.0199846,-0.0121005
0.026528,0.0287043,0.00729624,-0.0121479
0.0180778,0.0362851,0.00676354,-0.0291964
0.0128922,0.0401881,0.0429747,0.00556885
0.0605529,-0.0194992,-0.00197547,-0.00970594
0.0605529,-0.0194992,-0.00197547,-0.00970594
0.0605529,-0.0194992,-0.00197547,-0.00970594
0.0271994,0.0442268,-0.0189609,-0.0314161
0.0387874,0.0260939,-0.0493878,-0.00175607
0.00744484,0.0332834,-0.0287214,-0.00839889
0.0485848,-0.00253827,-0.043538,-0.00338437
0.0363005,-0.035931,0.0397046,-0.02106
0.00987929,-0.00190226,0.0204745,-0.0379829
0.00987929,-0.00190226,0.0204745,-0.0379829
0.0459147,0.0366353,0.0177834,-0.0154856
0.0576298,0.00175217,-0.0281013,-0.0349822
0.0576298,0.00175217,-0.0281013,-0.0349822
0.024291,-0.0153286,-0.0314061,0.0170192
0.082773,-0.0196771,-0.0168781,-0.0141394
0.0569589,0.0107277,0.00561772,-0.0457216
0.0319364,0.0428934,-0.00413329,-0.0345939
0.0319364,0.0428934,-0.00413329,-0.0345939
0.0319364,0.0428934,-0.00413329,-0.0345939
0.0319364,0.0428934,-0.00413329,-0.0345939
0.0319364,0.0428934,-0.00413329,-0.0345939
0.0319364,0.0428934,-0.00413329,-0.0345939
0.0319364,0.0428934,-0.00413329,-0.0345939
0.0307278,0.00392475,0.0136297,-0.0374661
0.0240467,0.00543008,-0.00727507,-0.0260244
0.084279,0.0103075,0.0106461,-0.0494311
0.084279,0.0103075,0.0106461,-0.0494311
0.084279,0.0103075,0.0106461,-0.0494311
0.084279,0.0103075,0.0106461,-0.0494311
0.0806826,-0.0361877,0.00444678,-0.0532264
0.0806826,-0.0361877,0.00444678,-0.0532264
0.102558,-0.0373284,0.0424073,-0.0310321
0.102558,-0.0373284,0.0424073,-0.0310321
0.0758601,0.00325741,0.0501181,-0.0347074
0.0264581,-0.0505076,0.000589966,-0.0243364
0.0251501,-0.0862042,0.0320853,-0.0217859
0.0703164,-0.0743914,0.0270531,-0.0171524
0.0703164,-0.0743914,0.0270531,-0.0171524
0.0695321,-0.0613841,0.0529232,0.00517125
0.0695321,-0.0613841,0.0529232,0.00517125
0.0529484,-0.075578,0.0448085,0.0106286
0.0744848,-0.0765345,0.0268523,0.0540215
0.0670561,-0.0287477,0.0439236,-0.0277425
0.0670561,-0.0287477,0.0439236,-0.0277425
