ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.0810456, -0.0379808, 0.0142106, 0.051165
0.0810456, -0.0379808, 0.0142106, 0.051165
0.0810456, -0.0379808, 0.0142106, 0.051165
0.0944815, 0.0218905, 0.043246, 0.0171139
0.033776, -0.0184869, 0.0207, 0.0269792
0.033776, -0.0184869, 0.0207, 0.0269792
0.033776, -0.0184869, 0.0207, 0.0269792
0.0298499, -0.0666825, -0.00252043, -0.0738359
0.0605453, -0.0662802, 0.0154155, -0.0234709
0.0313019, -0.0790434, 0.068964, 0.166025
0.000804407, -0.112574, 0.0983418, 0.0807045
0.00101242, -0.0522809, 0.0820196, 0.0110228
0.0820484, -0.0269498, 0.0260315, -0.0631949
0.0820484, -0.0269498, 0.0260315, -0.0631949
0.0820484, -0.0269498, 0.0260315, -0.0631949
0.0325312, -0.033274, 0.0297089, -0.01968
0.0409864, 0.0270845, 0.0840771, 0.0509983
0.0141574, -0.0155052, 0.122706, -0.0123286
0.0240008, 0.126092, 0.0863179, -0.00168324
0.031735, -0.0225615, 0.0291612, -0.0436701
0.0951429, -0.0757331, 0.0759331, 0.020997
0.103373, -0.0762969, 0.0343827, -0.0585489
0.103373, -0.0762969, 0.0343827, -0.0585489
0.103373, -0.0762969, 0.0343827, -0.0585489
0.103373, -0.0762969, 0.0343827, -0.0585489
0.0906368, -0.117213, 0.0196573, 0.0106648
0.0906368, -0.117213, 0.0196573, 0.0106648
0.0774584, -0.151119, -0.0231112, 0.0626906
0.00472003, -0.110938, -0.0142965, 0.140153
0.0714198, -0.120227, -0.0472433, 0.253991
0.055236, -0.113448, 0.0335289, 0.314155
-0.0071843, -0.164488, 0.0404658, 0.239706
0.0335209, -0.141478, 0.0674618, 0.222559
0.0467971, -0.202919, 0.0444613, 0.238185
0.0144508, -0.0881801, 0.0783831, 0.091416
-0.0528218, -0.0620174, 0.0321971, 0.105345
-0.0528218, -0.0620174, 0.0321971, 0.105345
-0.10632, -0.0457324, -0.0555224, -0.0275549
-0.10632, -0.0457324, -0.0555224, -0.0275549
-0.10632, -0.0457324, -0.0555224, -0.0275549
-0.0204017, 0.0617482, 0.0752721, -0.05125
-0.0260445, 0.105306, 0.0686133, -0.0780353
-0.0604771, 0.073735, 0.111089, -0.0888493
-0.0350478, 0.0644786, 0.0543321, -0.0281644
0.0595734, 0.0685114, -0.0228464, -0.0280449
0.0595734, 0.0685114, -0.0228464, -0.0280449
0.0595734, 0.0685114, -0.0228464, -0.0280449
0.0543327, 0.033606, 0.00603735, -0.0108303
0.060585, -0.0108835, -0.0182931, 0.00709514
-0.037564, 0.0306228, 0.0161749, -0.0210257
0.0520251, 0.00199245, -0.0709547, -0.0250058
0.0449994, -0.0682961, 0.0190473, -0.0324747
0.0152904, -0.0107942, -0.0113813, -0.067465
0.0152904, -0.0107942, -0.0113813, -0.067465
-0.00422493, -0.0194901, 0.0581779, -0.00947436
0.114252, -0.0245775, 0.0262964, -0.0468473
0.114252, -0.0245775, 0.0262964, -0.0468473
-0.0426281, 0.00755496, -0.0113333, -0.0161437
0.145313, 0.00741704, 0.0137127, -0.0641714
0.193625, 0.00175825, 0.00537421, -0.0915471
0.153294, 0.0351438, -0.0366617, -0.0937107
0.153294, 0.0351438, -0.0366617, -0.0937107
0.153294, 0.0351438, -0.0366617, -0.0937107
0.153294, 0.0351438, -0.0366617, -0.0937107
0.153294, 0.0351438, -0.0366617, -0.0937107
0.153294, 0.0351438, -0.0366617, -0.0937107
0.153294, 0.0351438, -0.0366617, -0.0937107
0.100487, 0.0175565, -0.00879488, -0.0712268
0.13318, 0.0194085, 0.0149318, -0.111333
0.157129, 0.0531375, -0.0292124, -0.0908351
0.157129, 0.0531375, -0.0292124, -0.0908351
0.157129, 0.0531375, -0.0292124, -0.0908351
0.157129, 0.0531375, -0.0292124, -0.0908351
0.135364, 0.000379364, 0.0412389, -0.0460547
0.135364, 0.000379361, 0.0412389, -0.0460547
0.100358, -0.0599429, 0.0786736, -0.062486
0.100358, -0.0599429, 0.0786736, -0.062486
0.109262, -0.045564, -0.0728587, -0.0481292
0.0467023, -0.14364, -0.0699471, -0.00291925
0.0203622, -0.129324, -0.0518091, 0.019135
0.059938, -0.167979, 0.0300246, 0.0179118
0.059938, -0.167979, 0.0300246, 0.0179118
0.0627915, -0.112119, 0.0375842, 0.0617819
0.0627915, -0.112119, 0.0375842, 0.0617819
0.00887971, -0.160125, -0.0400026, 0.0663891
0.0610236, -0.0914059, 0.0714028, 0.103493
0.124643, -0.100194, 0.108985, -0.00249587
0.124643, -0.100194, 0.108985, -0.00249587
0.124643, -0.100194, 0.108985, -0.00249587
0.109956, -0.109658, 0.0789089, -0.0176846
