t,deltaS
1,-4.674
2,-1.519
3,-0.2804
4,-0.447
5,-0.3048
6,-0.06408
7,-0.2374
8,-0.009086
9,-0.01152
10,-0.0632
11,-0.308
12,0.2022
13,0.2597
14,0.03515
15,0.1397
16,0.03854
17,0.03116
18,-0.06734
19,-0.03909
20,0.2367
21,-0.295
22,-0.259
23,-0.0006605
24,0.01436
25,0.04863
26,-0.07954
27,-0.04547
28,0.004525
29,-0.1035
30,-0.04566
31,0.2257
32,0.4746
33,0.2035
34,0.1285
35,0.02481
36,0.0514
37,0.1967
38,-0.007826
39,-0.1487
40,0.1975
41,-0.03419
42,-0.04892
43,0.006986
44,-0.1703
45,0.139
46,0.09884
47,-0.108
48,0.133
49,-0.135
50,0.1776
51,-0.1099
52,0.02158
53,0.001313
54,0.05585
55,-0.03356
56,0.05858
57,-0.05348
58,0.2765
59,-0.317
60,0.1507
61,-0.1532
62,0.1485
63,-0.2291
64,-0.0166
65,0.09579
66,-0.09625
67,-0.1564
68,0.1531
69,0.03938
70,0.09235
71,-0.2164
72,0.07036
73,-0.2149
74,0.5701
75,0.219
76,-0.05543
77,-0.304
78,-0.2442
79,-0.08905
80,-0.01496
81,-0.1697
82,-0.04626
83,0.2135
84,-0.02683
85,-0.224
86,-0.07396
87,0.2088
88,-0.01184
89,0.1537
90,-0.1974
91,0.1871
92,-0.04089
93,0.1475
94,0.5547
95,-0.0508
96,-0.08085
97,-0.1432
98,0.03495
99,-0.2122
100,0.3502
101,-0.2574
102,-0.009294
103,-0.1407
104,-0.2194
105,-0.1358
106,0.0178
107,-0.105
108,0.06071
109,0.05866
110,0.1222
111,-0.1722
112,0.03585
113,-0.1588
114,0.08708
115,0.1046
116,-0.03871
117,0.02763
118,0.1544
119,0.1541
120,0.1052
121,-0.1049
122,0.1376
123,-0.003643
124,-0.151
125,-0.09383
126,0.1455
127,0.2309
128,-0.2062
129,-0.1978
130,-0.04404
131,0.2318
132,-0.1916
133,-0.1515
134,0.1521
135,0.1028
136,0.1142
137,-0.1446
138,0.04917
139,-0.173
140,-0.05789
141,-0.1697
142,-0.07389
143,0.07153
144,0.05301
145,-0.2621
146,-0.09994
147,0.02231
148,0.3956
149,-0.007615
150,0.01993
151,0.09544
152,-0.004463
153,-0.2495
154,0.2068
155,0.07328
156,0.008787
157,0.2348
158,-0.006431
159,-0.02184
160,0.01191
161,-0.186
162,0.1631
163,0.2245
164,-0.04743
165,0.3194
166,-0.1528
167,0.1983
168,0.1009
169,0.1208
170,0.08821
171,0.05995
172,0.03687
173,0.1543
174,0.1828
175,-0.103
176,-0.1139
177,-0.1062
178,0.07307
179,-0.001598
180,0.2416
181,-0.0391
182,-0.1763
183,-0.1903
184,-0.08431
185,0.1113
186,-0.1034
187,-0.3269
188,0.142
189,-0.1338
190,0.02845
191,0.05853
192,0.1107
193,0.2222
194,0.04215
195,0.3398
196,-0.2339
197,-0.1272
198,-0.02306
199,0.04098
200,0.1329
201,0.1041
202,-0.2597
203,0.268
204,-0.01695
205,0.1972
206,-0.1356
207,-0.1213
208,0.01293
209,-0.1367
210,0.2464
211,-0.09543
212,-0.1596
213,0.1718
214,-0.1442
215,-0.03163
216,-0.06699
217,-0.08766
218,-0.1393
219,-0.02759
220,0.2362
221,0.05225
222,0.02033
223,0.1259
224,-0.04055
225,0.1294
226,0.09364
227,0.003199
228,-0.01797
229,-0.08407
230,0.0514
231,0.1016
232,-0.2621
233,0.2252
234,0.02865
235,0.2013
236,-0.1234
237,0.09404
238,-0.2024
239,0.08477
240,0.02064
241,0.09987
242,0.09041
243,-0.04129
244,0.142
245,-0.1108
246,0.02043
247,0.05915
248,0.06739
249,0.06265
250,0.1205
251,0.03711
252,0.4808
253,-0.1513
254,0.1188
255,0.4126
256,-0.01337
257,0.3222
258,-0.04297
259,0.2283
260,0.1497
261,-0.06815
262,0.3389
263,-0.373
264,0.207
265,0.1784
266,0.09668
267,-0.03965
268,0.3493
269,0.04499
270,-0.1277
271,0.07952
272,0.3306
273,-0.1165
274,-0.0401
275,-0.0352
276,-0.2481
277,-0.1972
278,0.2717
279,0.001912
280,0.03685
281,-0.1543
282,-0.04461
283,-0.2262
284,0.1675
285,-0.0487
286,-0.01775
287,0.08073
288,-0.05696
289,-0.00966
290,0.07187
291,-0.1461
292,-0.09258
293,-0.03568
294,0.06018
295,-0.09552
296,-0.1304
297,-0.06752
298,-0.1986
299,0.02065
300,-0.004492
301,-0.2039
302,0.3892
303,-0.01882
304,-0.05636
305,-0.01997
306,0.02374
307,0.1535
308,-0.07937
309,0.1834
310,-0.1167
311,-0.1887
312,0.04097
313,0.2944
314,0.1543
315,0.2035
316,-0.07917
317,0.1844
318,-0.02185
319,0.3285
320,0.1952
321,-0.1326
322,-0.07941
323,0.08628
324,-0.1531
325,-0.05088
326,-0.2236
327,0.2006
328,0.00503
329,-0.2526
330,-0.2583
331,0.1625
332,0.06928
333,-0.2306
334,0.3593
335,0.1157
336,-0.09451
337,0.1897
338,-0.2581
339,-0.1178
340,-0.1673
341,-0.112
342,-0.1396
343,0.05029
344,0.3281
345,-0.08958
346,0.1077
347,-0.03535
348,0.4594
349,-0.3264
350,0.1869
351,0.02408
352,0.1644
353,-0.04234
354,0.1905
355,-0.144
356,0.1335
357,0.02208
358,-0.09658
359,-0.03126
360,-0.03658
361,0.07539
362,0.03913
363,0.09519
364,-0.04263
365,-0.02761
366,0.2286
367,-0.2265
368,0.113
369,0.1226
370,-0.1483
371,-0.001779
372,-0.2781
373,0.0856
374,-0.2165
375,0.1469
376,0.1746
377,0.0003214
378,0.07265
379,0.2315
380,0.04853
381,-0.04893
382,0.1224
383,0.3648
384,0.2889
385,0.1826
386,-0.08654
387,-0.0008853
388,-0.1289
389,-0.1726
390,-0.1486
391,0.1378
392,-0.02423
393,0.0807
394,-0.1381
395,-0.1556
396,0.2128
397,0.02248
398,0.02834
399,-0.01614
400,0.1296
401,-0.03273
402,-0.2432
403,0.2035
404,-0.06034
405,-0.1437
406,-0.06954
407,0.1656
408,-0.108
409,0.3846
410,-0.1578
411,-0.1066
412,0.2727
413,0.08917
414,0.3531
415,-0.1516
416,0.1417
417,-0.1744
418,0.0324
419,0.02914
420,0.07647
421,0.05653
422,0.2792
423,0.2225
424,-0.3074
425,0.2055
426,-0.0176
427,0.0006643
428,0.1105
429,0.214
430,-0.02521
431,0.131
432,-0.03237
433,-0.2551
434,0.08763
435,-0.357
436,0.09339
437,-0.01442
438,-0.01889
439,0.12
440,-0.1364
441,-0.05855
442,0.03151
443,0.1147
444,-0.07548
445,-0.05307
446,-0.01661
447,-0.0326
448,-0.03853
449,-0.03036
450,0.09961
451,0.1728
452,-0.2617
453,-0.192
454,-0.1892
455,0.1022
456,0.03482
457,-0.005495
458,-0.1658
459,0.0879
460,-0.1844
461,0.03459
462,0.02671
463,-0.1275
464,0.3209
465,-0.1621
466,0.1398
467,0.1723
468,-0.3011
469,-0.04394
470,0.1818
471,-0.1997
472,0.2362
473,0.04503
474,-0.05684
475,0.2511
476,0.3177
477,-0.07492
478,-0.279
479,0.1572
480,-0.2649
481,-0.1102
482,-0.08158
483,0.1402
484,-0.1434
485,0.2022
486,0.03934
487,-0.2062
488,0.08497
489,0.06952
490,-0.1976
491,0.04673
492,0.03697
493,0.1918
494,0.05873
495,-0.2441
496,0.2533
497,-0.3669
498,0.2417
499,-0.007413
500,-0.08742
501,-0.09574
502,-0.02703
503,-0.01451
504,0.1666
505,0.1679
506,0.1299
507,-0.07373
508,-0.04508
509,-0.09413
510,0.1229
511,0.2907
512,-0.1567
513,0.02913
514,-0.005589
515,0.01286
516,-0.01401
517,-0.1606
518,0.1537
519,0.02444
520,-0.06152
521,0.1937
522,-0.3037
523,0.1873
524,0.01993
525,0.0672
526,0.1484
527,0.06833
528,0.07095
529,0.2791
530,0.08944
531,-0.2846
532,0.2062
533,0.01889
534,0.1619
535,0.1089
536,0.1787
537,-0.1747
538,0.009994
539,0.2202
540,0.3803
541,0.3116
542,-0.07551
543,-0.03912
544,-0.03683
545,0.04534
546,-0.1543
547,0.3056
548,-0.1292
549,0.2584
550,0.1845
551,0.2075
552,-0.1564
553,-0.2757
554,0.1934
555,-0.07428
556,-0.09744
557,-0.09102
558,0.393
559,0.225
560,-0.2116
561,-0.05825
562,-0.09714
563,0.287
564,0.2057
565,-0.06324
566,0.2606
567,-0.1177
568,-0.06581
569,0.2576
570,-0.1817
571,0.0787
572,-0.0746
573,-0.1748
574,-0.08945
575,0.09217
576,0.0176
577,0.1132
578,0.1884
579,-0.03775
580,-0.12
581,0.4322
582,0.01507
583,-0.3162
584,0.1923
585,0.01664
586,-0.06193
587,0.0757
588,0.03327
589,-0.04956
590,-0.1679
591,-0.1721
592,0.005136
593,0.1414
594,-0.1462
595,-0.05962
596,-0.07215
597,0.1736
598,-0.1822
599,-0.2018
600,-0.03244
601,-0.147
602,-0.06261
603,-0.346
604,0.4128
605,-0.05124
606,-0.04753
607,0.1023
608,-0.08945
609,-0.3029
610,0.1884
611,0.2346
612,-0.07697
613,0.01438
614,0.1629
615,0.1214
616,0.1264
617,0.01694
618,0.04581
619,-0.1604
620,-0.07132
621,-0.1691
622,0.1212
623,0.2873
624,0.03878
625,-0.1385
626,-0.1505
627,-0.2081
628,0.1193
629,-0.1817
630,-0.1239
631,0.1814
632,0.09005
633,-0.2093
634,0.115
635,0.3349
636,-0.003277
637,-0.06311
638,-0.01596
639,-0.2842
640,0.2163
641,-0.283
642,-0.1046
643,0.06698
644,-0.157
645,0.1492
646,-0.2663
647,0.4416
648,-0.1843
649,-0.05401
650,0.02904
651,0.2251
652,-0.008607
653,-0.03588
654,-0.1145
655,0.09086
656,0.1217
657,-0.2364
658,-0.1337
659,0.3305
660,-0.08613
661,0.1329
662,-0.2097
663,-0.195
664,-0.2073
665,-0.007465
666,0.2864
667,-0.1112
668,0.07358
669,-0.1656
670,-0.09571
671,0.05156
672,0.01999
673,0.1906
674,-0.1278
675,-0.1737
676,0.2047
677,0.1651
678,0.3029
679,-0.1633
680,-0.1536
681,-0.1835
682,-0.07856
683,0.1591
684,0.1727
685,0.02792
686,0.03506
687,-0.1231
688,0.2933
689,-0.1095
690,-0.01639
691,0.1601
692,-0.3229
693,-0.1464
694,-0.09725
695,0.02387
696,-0.01976
697,0.02732
698,-0.1844
699,-0.3038
700,0.3037
701,-0.09972
702,-0.127
703,-0.03838
704,-0.08314
705,-0.1007
706,0.009389
707,-0.03752
708,0.04487
709,-0.1523
710,0.1087
711,0.00652
712,0.009642
713,-0.06788
714,0.0835
715,-0.02075
716,-0.06485
717,0.3649
718,0.1202
719,0.1462
720,-0.1668
721,0.1942
722,0.02188
723,-0.3787
724,0.07687
725,0.0541
726,0.143
727,-0.1629
728,0.06181
729,0.1621
730,-0.2226
731,0.1106
732,-0.1572
733,-0.01054
734,-0.2851
735,0.113
736,-0.1829
737,-0.009243
738,0.07742
739,-0.1213
740,-0.05931
741,0.1015
742,-0.259
743,0.08639
744,-0.06408
745,0.03922
746,0.3346
747,-0.4464
748,-0.07734
749,0.03564
750,0.0404
751,0.2168
752,-0.05769
753,0.2398
754,0.3274
755,-0.05262
756,0.01075
757,0.05859
758,-0.2333
759,-0.005393
760,-0.01335
761,0.2402
762,-0.1271
763,0.2178
764,-0.1269
765,-0.05571
766,-0.06864
767,-0.07938
768,-0.1253
769,-0.05665
770,-0.106
771,0.07195
772,0.05376
773,-0.06909
774,-0.05822
775,-0.04693
776,0.08321
777,0.1128
778,0.1566
779,-0.2343
780,0.3947
781,0.08314
782,0.1343
783,0.0243
784,0.06055
785,0.02579
786,0.1658
787,0.1881
788,0.139
789,0.0426
790,0.01156
791,0.4529
792,-0.0793
793,-0.06157
794,-0.1505
795,-0.03639
796,0.1333
797,0.177
798,0.03636
799,-0.2566
800,0.09606
801,0.1599
802,0.3292
803,0.04388
804,0.04535
805,0.2199
806,0.06813
807,-0.1117
808,0.03187
809,-0.07132
810,-0.03043
811,0.0008643
812,0.002078
813,0.2774
814,0.09656
815,0.1919
816,0.3055
817,-0.2118
818,0.3232
819,-0.1595
820,-0.296
821,0.03463
822,-0.05842
823,0.1939
824,0.3112
825,-0.1533
826,0.05593
827,0.1071
828,0.1423
829,-0.2356
830,-0.2333
831,0.1164
832,0.2315
833,0.1062
834,0.1439
835,0.03766
836,-0.04716
837,0.1092
838,-0.05492
839,-0.1327
840,-0.03242
841,0.01751
842,-0.2132
843,0.1184
844,0.1013
845,-0.0606
846,0.119
847,-0.171
848,0.2932
849,0.02047
850,-0.008024
851,-0.0374
852,0.01293
853,-0.1995
854,-0.1061
855,-0.03895
856,0.1692
857,0.1302
858,0.06855
859,-0.5261
860,0.2587
861,0.131
862,-0.04033
863,-0.1626
864,0.3579
865,0.2019
866,-0.2234
867,-0.1294
868,0.0004338
869,-0.01485
870,0.2147
871,0.3532
872,0.3318
873,-0.2304
874,-0.006954
875,0.05102
876,0.05232
877,0.183
878,-0.08278
879,0.1067
880,-0.07035
881,-0.3567
882,0.09298
883,0.1295
