t,cost
10,5.27333
20,2.65733
30,2.556
40,2.616
50,2.70933
60,2.472
70,2.36667
80,2.38933
90,2.38
100,2.36933
110,2.55733
120,2.51067
130,2.37867
140,2.364
150,2.25733
160,2.31467
170,2.288
180,2.32533
190,2.42933
200,2.58267
210,2.52533
220,2.54
230,2.47733
240,2.69333
250,2.76667
260,2.72267
270,2.73467
280,2.86
290,2.644
300,2.616
310,2.50133
320,2.55067
330,2.69733
340,2.596
350,2.648
360,2.92267
370,2.75467
380,2.51067
390,2.42133
400,2.60533
410,2.70933
420,2.69867
430,2.66267
440,2.63867
450,2.76667
460,2.75733
470,2.98667
480,2.75733
490,2.92267
500,2.876
510,2.63867
520,2.50133
530,2.47067
540,2.41067
550,2.32667
560,2.348
570,2.38933
580,2.41467
590,2.38267
600,2.556
610,2.572
620,2.68667
630,2.60533
640,2.63867
650,2.60933
660,2.828
670,3.048
680,2.87733
690,2.82267
700,2.912
710,3
720,2.97867
730,2.85867
740,2.88267
750,2.77067
760,3.084
770,2.65867
780,2.92667
790,2.86667
800,2.86667
810,2.79467
820,2.88267
830,2.73467
840,2.71733
850,2.52533
860,2.524
870,2.61067
880,2.88133
890,2.94
900,3.124
910,2.976
920,2.732
930,2.87333
940,2.80267
950,2.73733
960,2.53467
970,2.44533
980,2.332
990,2.33867
1000,2.348
1010,2.46667
1020,2.41867
1030,2.47067
1040,2.51733
1050,2.696
1060,2.59733
1070,2.588
1080,2.5
1090,2.84933
1100,3.088
1110,3.48
1120,2.952
1130,2.52
1140,2.88933
1150,3.34533
1160,2.59067
1170,2.56267
1180,2.82667
1190,3.08933
1200,3.136
1210,3.072
1220,2.71867
1230,2.73333
1240,2.764
1250,2.77067
1260,3.57867
1270,3.368
1280,4.164
1290,3.56267
1300,2.86267
1310,3.092
1320,2.98933
1330,3.29067
1340,3.052
1350,3.26
1360,3.63467
1370,3.512
1380,3.67867
1390,3.46133
1400,4.37333
1410,5.16133
1420,4.19333
1430,3.76133
1440,3.05467
1450,3.884
1460,3.85467
1470,3.89733
1480,3.83067
1490,4.696
1500,4.58
1510,3.94133
1520,4.192
1530,4.14533
1540,4.368
1550,4.58
1560,4.016
1570,4.11067
1580,5.12533
1590,4.624
1600,3.596
1610,4.008
1620,3.92667
1630,3.88667
1640,3.89067
1650,4.79333
1660,5.03733
1670,4.46667
1680,4.62
1690,3.75333
1700,4.13733
1710,4.17333
1720,3.716
1730,3.68667
1740,4.784
1750,4.372
1760,4.88533
1770,5.72533
1780,5.388
1790,5.16533
1800,5.66667
1810,6.184
1820,5.608
1830,5.93467
1840,5.26267
1850,4.88267
1860,4.59733
1870,4.33733
1880,4.788
1890,4.792
1900,5.35333
1910,4.62267
1920,4.76933
1930,4.99467
1940,4.36533
1950,4.508
1960,4.66933
1970,5.46533
1980,4.94533
1990,4.56667
2000,4.2
2010,4.804
2020,4.668
2030,4.15867
2040,4.84133
2050,4.70933
2060,4.72933
2070,3.95467
2080,3.99067
2090,4.18
2100,3.88933
2110,3.47467
2120,3.50667
2130,3.32
2140,3.63467
2150,3.76133
2160,4.16667
2170,3.92133
2180,4.18
2190,3.732
2200,3.52933
2210,3.304
2220,3.54
2230,4.17467
2240,4.02133
2250,3.72133
2260,3.59333
2270,3.33333
2280,3.252
2290,3.06
2300,3.092
2310,3.19067
2320,3.30533
2330,3.076
2340,3.276
2350,2.97733
2360,3.128
2370,2.84667
2380,3.024
2390,3.636
2400,3.244
2410,2.87467
2420,3.39067
2430,3.23467
2440,2.936
2450,2.944
2460,2.74533
2470,2.948
2480,3.15867
2490,3.27333
2500,3.376
2510,3.62267
2520,3.37467
2530,3.68133
2540,3.53467
2550,3.78267
2560,3.22133
2570,3.376
2580,2.9
2590,3.16
2600,3.292
2610,3.46133
2620,3.28
2630,3.49333
2640,3.912
2650,3.76933
2660,3.99867
2670,4.032
2680,3.97333
2690,3.42
2700,3.552
2710,3.648
2720,3.552
2730,3.01867
2740,3.36267
2750,3.34933
2760,3.58133
2770,3.33333
2780,3.572
2790,3.624
2800,3.34667
2810,3.348
2820,3.78
2830,3.48133
2840,3.28267
2850,3.27733
2860,3.38667
2870,3.188
2880,3.588
2890,3.58133
2900,3.972
2910,3.32667
2920,3.128
2930,3.29733
2940,3.204
2950,3.30133
2960,3.14
2970,3.304
2980,3.75867
2990,3.40133
3000,3.20267
3010,3.21067
3020,3.23733
3030,3.29333
3040,3.15467
3050,3.252
3060,3.23867
3070,3.50267
3080,3.264
3090,3.232
3100,2.96667
3110,3.14933
3120,3.04267
3130,3.08
3140,3.36533
3150,3.116
3160,3.288
3170,3.61733
3180,3.06
3190,2.944
3200,3.548
3210,3.296
3220,3.30133
3230,3.284
3240,3.32667
3250,3.02933
3260,2.99467
3270,3.096
3280,3.564
3290,3.29467
3300,3.82933
3310,3.296
3320,3.62133
3330,3.64
3340,2.98533
3350,2.90667
3360,3.928
3370,3.84667
3380,3.208
3390,3.06267
3400,3.33733
3410,2.708
3420,2.54
3430,2.53067
3440,2.91067
3450,3.068
3460,3.06533
3470,3.29733
3480,3.728
3490,3.62533
3500,3.17867
3510,3.512
3520,3.712
3530,3.17333
3540,3.268
3550,3.108
3560,3.08533
3570,3.12267
3580,2.892
3590,3.184
3600,3.23067
3610,3.15733
3620,3.10267
3630,3.08933
3640,3.372
3650,3.38533
3660,3.48267
3670,3.39733
3680,3.30133
3690,3.39067
3700,3.31467
3710,3.404
3720,2.964
3730,2.86133
3740,2.784
3750,2.76
3760,2.82667
3770,3.23467
3780,2.97733
3790,2.812
3800,2.99467
3810,2.99067
3820,2.92
3830,3.19333
3840,3.02133
3850,3.09867
3860,3.212
3870,3.53867
3880,3.19733
3890,3.35067
3900,3.19733
3910,2.99067
3920,3.576
3930,3.56133
3940,3.052
3950,3.06133
3960,3.42667
3970,3.56
3980,3.26933
3990,3.90267
4000,3.42133
4010,3.18133
