MDTU,min_ave,max_ave
1,-0.115282,0.15244
2,-0.131802,0.171024
3,-0.153553,0.171685
4,-0.159809,0.175139
5,-0.171744,0.177563
6,-0.179965,0.17296
7,-0.178983,0.180787
8,-0.185558,0.177742
9,-0.179056,0.180598
10,-0.18978,0.177349
11,-0.182672,0.182371
12,-0.182672,0.182371
13,-0.182672,0.182371
14,-0.187756,0.176385
15,-0.187528,0.177716
16,-0.18461,0.179675
17,-0.190474,0.177789
18,-0.187344,0.179036
19,-0.189465,0.179757
20,-0.194794,0.177491
21,-0.190056,0.178685
22,-0.190559,0.178824
23,-0.194003,0.177488
24,-0.188929,0.17999
25,-0.193054,0.177968
26,-0.193389,0.177042
27,-0.1946,0.17828
28,-0.190238,0.178536
29,-0.191803,0.177813
30,-0.190042,0.180411
31,-0.190042,0.180411
32,-0.190042,0.180411
33,-0.190042,0.180411
34,-0.193446,0.177341
35,-0.186799,0.178553
36,-0.189861,0.180097
37,-0.190301,0.180544
38,-0.189774,0.17987
39,-0.190542,0.18133
40,-0.188809,0.175796
41,-0.184325,0.18027
42,-0.189207,0.178933
43,-0.192834,0.177644
44,-0.186115,0.179461
45,-0.190679,0.179687
46,-0.193747,0.178912
47,-0.188836,0.180638
48,-0.188914,0.178865
49,-0.189099,0.17664
50,-0.196048,0.178238
51,-0.194378,0.179753
52,-0.196477,0.178322
53,-0.196484,0.178965
54,-0.196853,0.18293
55,-0.19933,0.183958
56,-0.204915,0.182691
57,-0.195991,0.185313
58,-0.206098,0.184622
59,-0.198475,0.186572
60,-0.200682,0.18579
61,-0.200837,0.187239
62,-0.196395,0.183607
63,-0.197283,0.182616
64,-0.193437,0.185606
65,-0.20239,0.184479
66,-0.200729,0.18306
67,-0.19713,0.183456
68,-0.199758,0.187534
69,-0.202152,0.192751
70,-0.204866,0.189173
71,-0.198872,0.18859
72,-0.202427,0.188669
73,-0.201492,0.19297
74,-0.201492,0.19297
75,-0.208563,0.188907
76,-0.196813,0.190065
77,-0.199821,0.186346
78,-0.201732,0.186065
79,-0.200414,0.186211
80,-0.197954,0.188468
81,-0.199664,0.185182
82,-0.197848,0.188892
83,-0.20256,0.187121
84,-0.201603,0.190522
85,-0.205937,0.189047
86,-0.200384,0.190065
87,-0.202686,0.187076
88,-0.200227,0.190419
89,-0.206638,0.189724
90,-0.20622,0.192609
91,-0.20622,0.192609
92,-0.205023,0.191999
93,-0.205023,0.191999
94,-0.207713,0.190325
95,-0.2011,0.192863
96,-0.205905,0.188798
97,-0.202384,0.189808
98,-0.20158,0.188957
99,-0.20034,0.187713
100,-0.210256,0.189343
101,-0.202261,0.190687
102,-0.20426,0.185775
103,-0.200902,0.184368
104,-0.199706,0.181869
105,-0.198479,0.182935
106,-0.195763,0.180117
107,-0.197394,0.184365
108,-0.197356,0.182828
109,-0.192795,0.182917
110,-0.198229,0.18451
111,-0.19307,0.181119
112,-0.195462,0.178821
113,-0.199241,0.181082
114,-0.198494,0.182942
115,-0.195536,0.18347
116,-0.194828,0.182782
117,-0.199957,0.187905
118,-0.203371,0.187891
119,-0.203371,0.187891
120,-0.20011,0.185628
121,-0.193421,0.185799
122,-0.196416,0.185648
123,-0.199603,0.188363
124,-0.197602,0.189674
125,-0.201738,0.190346
126,-0.203147,0.190553
127,-0.204027,0.19009
128,-0.203882,0.191529
129,-0.200707,0.188879
130,-0.202349,0.190005
131,-0.199715,0.189394
132,-0.203985,0.190796
133,-0.201915,0.195717
134,-0.204401,0.191874
135,-0.200906,0.192828
136,-0.201939,0.192311
137,-0.202892,0.191243
138,-0.203121,0.191607
139,-0.204249,0.190527
140,-0.207171,0.191108
141,-0.203243,0.195941
142,-0.204623,0.190356
143,-0.200812,0.191507
144,-0.204871,0.194795
145,-0.204169,0.190111
146,-0.202743,0.19333
147,-0.20253,0.194181
148,-0.20253,0.194181
149,-0.202209,0.193019
150,-0.203963,0.189488
151,-0.200262,0.187624
152,-0.199972,0.18752
153,-0.198654,0.190262
154,-0.202777,0.189203
155,-0.20056,0.190615
156,-0.202057,0.191778
157,-0.202057,0.191778
158,-0.201412,0.188381
159,-0.200208,0.191609
160,-0.202503,0.189183
161,-0.200633,0.189479
162,-0.200633,0.189479
163,-0.204822,0.187635
164,-0.202247,0.187206
165,-0.200081,0.186912
166,-0.202004,0.187754
167,-0.199992,0.18768
168,-0.201653,0.186322
169,-0.20534,0.18886
170,-0.206269,0.190094
171,-0.205209,0.190323
172,-0.204327,0.189155
173,-0.203605,0.187827
