MDTU,0,2,4,6,8,10
1020,16.2669,15.9801,15.7789,15.6275,15.6203,15.5285
1030,17.3586,16.2991,16.1911,16.1279,16.1191,15.9672
1040,15.9101,15.882,15.8605,15.8176,15.8146,15.8075
1050,16.8609,16.8157,16.5231,16.501,16.4675,16.3912
1060,17.0868,17.0815,16.8556,16.8463,16.8028,16.7122
1070,17.0631,17.0443,16.8513,16.8159,16.7853,16.6627
1080,17.4693,17.2544,17.2229,16.9439,16.8288,16.7338
1090,17.3213,17.1585,16.9205,16.8638,16.7363,16.669
1100,17.5125,17.4879,17.4532,17.3124,17.0753,16.979
1110,16.9784,16.8174,16.7991,16.7262,16.6678,16.5988
1120,17.4562,17.2231,16.6725,16.6511,16.5652,16.531
1130,17.2102,17.1807,17.1619,17.1321,16.9795,16.8061
1140,17.2602,17.2451,17.2146,17.2113,17.1761,17.1411
1150,17.134,17.0916,17.0866,16.8388,16.8251,16.7762
1160,16.9571,16.9272,16.6201,16.5766,16.434,16.3773
1170,17.591,17.0384,16.9129,16.9029,16.8654,16.8045
1180,17.1667,17.074,16.9247,16.9039,16.703,16.6403
1190,16.9771,16.9656,16.9074,16.7796,16.7547,16.7101
1200,18.4169,18.0218,17.9076,17.4327,17.3655,17.335
1210,17.7544,17.7391,17.5963,17.5697,17.4787,17.3449
1220,18.3599,17.3665,17.1902,17.1329,17.1136,17.0109
1230,17.9261,17.8455,17.8299,17.7236,17.6839,17.6447
1240,17.6111,17.343,17.3274,17.3056,17.2871,17.2477
1250,18.6441,18.5428,17.9521,17.9487,17.9254,17.9065
1260,19.0123,18.7398,18.596,18.4899,18.4384,18.3947
1270,19.8406,19.4166,19.2741,18.9963,18.9566,18.9062
1280,19.3995,19.3604,18.8239,18.7516,18.7168,18.6664
1290,19.095,18.9688,18.8159,18.782,18.762,18.7224
1300,18.3724,18.264,18.1111,18.0055,17.9645,17.9084
1310,19.9632,18.9076,18.6268,18.3816,18.3033,18.3005
1320,18.3304,18.2817,18.175,18.1246,18.0888,18.0569
1330,20.1128,19.4042,18.9573,18.7424,18.2999,17.9504
1340,21.55,20.9634,20.1662,20.1031,20.0588,19.9375
1350,20.6259,20.3146,19.9224,19.4581,19.2784,18.8565
1360,20.9209,20.1835,19.6186,19.2326,18.9019,18.7314
1370,21.4903,20.7326,20.3673,19.7502,19.4037,19.0518
1380,22.2341,20.8193,20.5443,19.6516,19.3628,18.4879
1390,18.4291,18.0048,17.9595,17.9285,17.8963,17.8729
1400,25.0172,24.3609,23.9287,23.2588,23.0312,22.6871
1410,24.0668,22.6003,22.3771,22.1442,21.7871,21.533
1420,19.9982,19.838,19.5423,19.4352,19.3692,19.2402
1430,20.9612,19.9619,19.8367,19.515,19.4242,19.3803
1440,19.1725,19.124,19.0158,18.9669,18.9019,18.881
1450,19.2361,19.1553,18.9155,18.9044,18.8248,18.8139
1460,18.893,18.7941,18.7875,18.7347,18.6951,18.6201
1470,18.4637,18.404,18.127,18.0838,18.0631,18.0472
1480,18.9986,18.9704,18.8626,18.8054,18.6686,18.6065
1490,19.1702,19.0784,18.9063,18.8129,18.8047,18.7179
1500,19.1975,19.1784,19.1474,19.1036,18.943,18.8922
1510,19.4146,19.3279,19.0253,18.9689,18.8992,18.8882
1520,19.796,19.6565,19.279,19.2514,19.1636,19.1087
1530,19.5351,19.2355,18.6787,18.6729,18.5717,18.5575
1540,19.3277,19.0712,18.9772,18.9094,18.7917,18.7688
1550,19.0207,18.9773,18.948,18.8892,18.8668,18.8405
1560,19.3625,19.1468,18.9294,18.8279,18.6945,18.581
1570,19.2968,19.2819,19.2465,19.2304,19.1998,19.1537
1580,18.9446,18.8624,18.7742,18.6127,18.568,18.543
1590,19.6917,19.4945,19.1912,19.0479,18.9703,18.8871
1600,19.5064,19.332,19.0686,19.0012,18.9842,18.971
1610,19.5245,19.4065,19.3445,19.3247,19.1536,19.1021
1620,20.6991,20.4585,20.1539,19.4912,19.1803,19.1043
1630,22.2165,21.0953,20.5521,20.5216,20.1764,20.0523
1640,27.3711,24.8104,24.2339,24.1755,22.9639,22.4075
1650,26.7646,25.6386,24.2677,24.1702,23.6499,23.3223
