ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.150026,null,-0.593275,null,null
-13.593,2.32367,null,null,null
0.0655295,null,-0.63487,null,null
-13.0194,4.15771,null,null,null
0.0656625,null,-0.693825,null,null
-11.9321,2.74653,null,null,null
-0.0363693,null,-0.60863,null,null
-10.4401,-2.0435,null,null,null
-0.028515,null,-0.5912,null,null
-10.5464,-0.17179,null,null,null
-0.328984,null,-0.661265,null,null
-11.4139,-0.445006,null,null,null
-0.30884,null,-0.465478,null,null
-10.4443,-0.861825,null,null,null
-0.271805,null,-0.703855,null,null
-11.9512,0.812785,null,null,null
-0.563165,null,-0.670485,null,null
-9.2375,-2.13635,null,null,null
-0.375636,null,-0.735735,null,null
-6.30695,-3.09495,null,null,null
-0.364463,null,-0.74339,null,null
-6.87825,-4.19411,null,null,null
-0.581475,null,-0.56818,null,null
-6.6801,-3.57571,null,null,null
-0.459444,null,-0.50876,null,null
-5.7912,-4.08957,null,null,null
-0.68576,null,-0.346946,null,null
-5.9223,-4.47346,null,null,null
-0.91647,null,-0.231033,null,null
-7.1281,-1.40105,null,null,null
-0.83897,null,-0.51406,null,null
-7.65865,-1.29052,null,null,null
-0.67242,null,-0.261076,null,null
-7.9838,-3.81527,null,null,null
-0.889945,null,-0.1318,null,null
-10.6548,-2.2479,null,null,null
-0.84141,null,-0.143132,null,null
-7.88825,-2.3773,null,null,null
-0.86539,null,-0.138502,null,null
-7.214,-4.90543,null,null,null
-0.78699,null,-0.129124,null,null
-8.6121,-2.72254,null,null,null
-0.676585,null,-0.13969,null,null
-8.6496,-1.83104,null,null,null
-0.752705,null,-0.29621,null,null
-8.3697,-0.0910905,null,null,null
-1.16284,null,-0.169377,null,null
-10.6656,0.60026,null,null,null
-1.22317,null,0.235513,null,null
-9.1251,2.47695,null,null,null
-1.05673,null,0.168907,null,null
-9.1251,2.47695,null,null,null
-1.05673,null,0.168907,null,null
-7.97985,1.20176,null,null,null
-1.47996,null,-0.10742,null,null
-6.80455,2.00389,null,null,null
-1.06428,null,-0.0121453,null,null
-8.0031,-0.52471,null,null,null
-1.17322,null,0.064372,null,null
-6.8453,-1.96528,null,null,null
-1.20947,null,-0.000556055,null,null
-7.02445,-0.104478,null,null,null
-0.98367,null,0.384914,null,null
-7.36465,-1.6181,null,null,null
-1.36553,null,-0.393471,null,null
-8.75745,-3.16337,null,null,null
-1.507,null,-0.55683,null,null
-8.80035,-6.2743,null,null,null
-1.52851,null,-0.6653,null,null
-7.46215,-7.06115,null,null,null
-1.32926,null,-0.65331,null,null
-7.49985,-6.9818,null,null,null
-1.10546,null,-0.546685,null,null
-4.86473,-7.39305,null,null,null
-1.50357,null,-1.00287,null,null
-6.33815,-6.5323,null,null,null
-1.5573,null,-0.97713,null,null
-4.82509,-6.15195,null,null,null
-1.43694,null,-0.94579,null,null
-5.22005,-7.01585,null,null,null
-1.94731,null,-0.391361,null,null
-5.91185,-4.30971,null,null,null
-1.09017,null,-0.300157,null,null
-7.6343,-3.26949,null,null,null
-1.325,null,0.069441,null,null
-6.79505,-1.2172,null,null,null
-1.42064,null,-0.720175,null,null
-5.78895,-3.10788,null,null,null
-1.86821,null,-0.465512,null,null
-5.92885,-2.46638,null,null,null
-1.59454,null,-0.61037,null,null
-3.532,-3.32004,null,null,null
-1.18123,null,-0.0605005,null,null
-4.06809,-3.24859,null,null,null
-1.76534,null,-0.175052,null,null
-5.973,-4.94514,null,null,null
-1.3854,null,-0.259483,null,null
-3.6715,-4.2361,null,null,null
-1.16715,null,-0.199167,null,null
-5.8717,-3.85405,null,null,null
-1.12718,null,-0.328368,null,null
-6.6048,-4.68899,null,null,null
-1.16193,null,0.050041,null,null
-5.0607,-5.895,null,null,null
-0.98805,null,-0.138252,null,null
-6.0281,-6.7266,null,null,null
-0.881345,null,0.086314,null,null
-6.6242,-5.75535,null,null,null
-0.80369,null,-0.0852505,null,null
-6.6242,-5.75535,null,null,null
-0.80369,null,-0.0852505,null,null
-5.45625,-5.70375,null,null,null
-0.919665,null,-0.0669115,null,null
-4.49837,-5.6748,null,null,null
-0.687265,null,0.158957,null,null
-3.78213,-6.37525,null,null,null
-0.51949,null,0.325742,null,null
-5.6637,-6.13375,null,null,null
-0.254227,null,0.38592,null,null
-5.6416,-5.77755,null,null,null
-0.302959,null,0.415042,null,null
-5.23745,-5.59465,null,null,null
-0.145146,null,0.493878,null,null
-6.543,-6.20995,null,null,null
-0.182442,null,0.520645,null,null
-7.9405,-6.5677,null,null,null
-0.192072,null,0.467214,null,null
-7.9405,-6.5677,null,null,null
-0.192072,null,0.467214,null,null
-5.3468,-6.87815,null,null,null
-0.138763,null,0.374247,null,null
-7.8203,-6.5418,null,null,null
0.0659265,null,0.507155,null,null
-6.6177,-5.1559,null,null,null
-0.214475,null,0.396827,null,null
-6.78535,-3.48895,null,null,null
-0.0302361,null,0.455335,null,null
-6.78535,-3.48895,null,null,null
-0.0302361,null,0.455335,null,null
-5.9273,-2.40207,null,null,null
-0.0457489,null,0.435405,null,null
-5.97135,-4.34821,null,null,null
-0.0238532,null,0.26805,null,null
-5.07055,-4.63072,null,null,null
-0.0749375,null,0.336919,null,null
-3.06656,-5.78915,null,null,null
-0.112091,null,0.51389,null,null
-2.39994,-6.3306,null,null,null
-0.0817825,null,0.394333,null,null
-2.57134,-4.54304,null,null,null
-0.179247,null,0.260418,null,null
-4.35036,-4.73025,null,null,null
-0.025314,null,0.0687165,null,null
-6.22335,-7.2786,null,null,null
-0.0497498,null,0.224679,null,null
-7.08055,-4.81938,null,null,null
0.0644865,null,0.137523,null,null
-6.452,-5.14625,null,null,null
0.162183,null,0.146908,null,null
-8.6958,-4.17113,null,null,null
0.0708735,null,0.147906,null,null
-9.4745,-2.09291,null,null,null
0.263528,null,0.0626015,null,null
-10.0315,-2.40621,null,null,null
0.186362,null,0.0397137,null,null
-11.0978,-1.94832,null,null,null
0.163401,null,0.0930465,null,null
-8.3067,-0.86741,null,null,null
0.108707,null,0.128405,null,null
-8.5308,-3.37264,null,null,null
0.229459,null,0.0433117,null,null
-7.1438,-2.76623,null,null,null
0.127513,null,0.0303005,null,null
-9.26135,-5.10725,null,null,null
0.197461,null,0.00820695,null,null
-9.1723,-2.51308,null,null,null
0.187424,null,0.0252355,null,null
-11.1985,-3.32477,null,null,null
0.109208,null,-0.018888,null,null
-9.3383,-3.86557,null,null,null
0.117202,null,-0.0235547,null,null
-10.9275,-4.28561,null,null,null
0.104488,null,-0.051821,null,null
-10.9275,-4.28561,null,null,null
0.104488,null,-0.051821,null,null
-11.3751,-5.78005,null,null,null
0.0553065,null,-0.0309197,null,null
-8.0584,-2.31001,null,null,null
0.0900105,null,-0.0382686,null,null
-9.6633,-1.4279,null,null,null
0.0885205,null,-0.0202395,null,null
-9.13855,-0.485633,null,null,null
0.131768,null,-0.07294,null,null
-9.7931,-0.106994,null,null,null
0.0637545,null,-0.0413658,null,null
-9.7931,-0.106994,null,null,null
0.0637545,null,-0.0413658,null,null
-8.07575,-1.61638,null,null,null
0.123104,null,-0.055837,null,null
-10.6004,-2.4011,null,null,null
0.089012,null,-0.0326656,null,null
-11.7647,-0.951015,null,null,null
