t,cond_num
10,9.1098
20,8.30627
30,8.35425
40,8.41612
50,8.32521
60,8.33106
70,8.10083
80,8.17082
90,8.06684
100,8.26585
110,8.45133
120,8.15375
130,8.16906
140,8.04313
150,8.04798
160,7.99217
170,8.19913
180,8.12264
190,8.27974
200,8.39886
210,8.2984
220,8.30153
230,8.32626
240,8.7589
250,8.71329
260,8.51321
270,8.5011
280,8.77896
290,8.44259
300,8.31126
310,8.3915
320,8.32053
330,8.57794
340,8.42009
350,8.67278
360,8.64448
370,8.23417
380,8.29814
390,8.1331
400,8.39123
410,8.55798
420,8.36699
430,8.54614
440,8.54931
450,8.43045
460,8.67522
470,8.5219
480,8.72206
490,8.71197
500,8.37094
510,8.34809
520,8.3776
530,8.22432
540,8.10117
550,8.09816
560,8.10363
570,8.13713
580,8.18498
590,8.0798
600,8.46116
610,8.26942
620,8.3157
630,8.18337
640,8.54366
650,8.67993
660,8.60927
670,8.46849
680,8.73882
690,8.82283
700,8.9142
710,9.06201
720,8.64013
730,8.53183
740,8.57301
750,8.57961
760,8.58939
770,8.51275
780,8.89804
790,8.6854
800,8.58556
810,8.61227
820,8.32228
830,8.70853
840,8.29483
850,8.20604
860,8.25204
870,8.28065
880,8.54679
890,8.77185
900,8.87195
910,8.86315
920,8.34842
930,8.6752
940,8.51721
950,8.28659
960,8.23102
970,8.07834
980,8.1152
990,8.11302
1000,8.1853
1010,8.18012
1020,8.23408
1030,8.32632
1040,8.44815
1050,8.38962
1060,8.3126
1070,8.32158
1080,8.27273
1090,8.92988
1100,8.9334
1110,8.89935
1120,9.08069
1130,8.5589
1140,8.94978
1150,9.12235
1160,8.51923
1170,9.1279
1180,8.66885
1190,11.5054
1200,9.30207
1210,9.61503
1220,8.91242
1230,10.4003
1240,8.14384
1250,8.64012
1260,9.57247
1270,9.58184
1280,9.432
1290,9.06957
1300,7.90735
1310,11.1851
1320,8.45342
1330,8.60606
1340,8.31397
1350,9.81266
1360,9.16726
1370,9.90242
1380,9.91638
1390,9.74064
1400,12.6485
1410,11.0939
1420,9.97525
1430,8.50552
1440,8.74824
1450,9.29145
1460,9.54088
1470,9.9054
1480,9.80367
1490,9.97989
1500,10.5255
1510,9.3618
1520,10.0243
1530,9.3938
1540,12.0745
1550,9.50629
1560,9.21712
1570,9.54453
1580,10.8613
1590,9.31367
1600,9.44164
1610,9.68001
1620,9.56344
1630,9.33092
1640,10.3719
1650,11.0809
1660,10.0864
1670,10.0234
1680,9.82109
1690,9.13381
1700,10.4958
1710,9.59727
1720,9.24901
1730,9.35114
1740,10.2051
1750,9.65464
1760,10.53
1770,11.956
1780,10.3006
1790,10.0457
1800,13.2846
1810,10.5215
1820,10.7019
1830,13.1674
1840,10.4321
1850,nan
