MDTU,rho_M
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0.00016276
470,0
480,0
490,0
500,0
510,0.00016276
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,0.00016276
620,0
630,0
640,0
650,0
660,0
670,0
680,0
690,0
700,0
710,0
720,0.00016276
730,0
740,0
750,0
760,0
770,0
780,0
790,0
800,0
810,0.000488281
820,0
830,0
840,0
850,0
860,0
870,0.000325521
880,0
890,0
900,0
910,0.00016276
920,0.00016276
930,0.000325521
940,0.000488281
950,0.00016276
960,0.00016276
970,0
980,0
990,0
1000,0
1010,0
1020,0
1030,0.00016276
1040,0.000488281
1050,0.00211589
1060,0.000976562
1070,0.00179036
1080,0.00504557
1090,0.00602214
1100,0.0125326
1110,0.0100911
1120,0.0109049
1130,0.0128581
1140,0.0192057
1150,0.0128581
1160,0.0133464
1170,0.0170898
1180,0.0177409
1190,0.0179036
1200,0.0214844
1210,0.0179036
1220,0.0172526
1230,0.0188802
1240,0.0187174
1250,0.0180664
1260,0.0141602
1270,0.0141602
1280,0.0208333
1290,0.0175781
1300,0.0180664
1310,0.0218099
1320,0.0188802
1330,0.0244141
1340,0.0257161
1350,0.0302734
1360,0.0325521
1370,0.0309245
1380,0.0288086
1390,0.0297852
1400,0.0328776
1410,0.0384115
1420,0.0348307
1430,0.0301107
1440,0.0341797
1450,0.0307617
1460,0.0265299
1470,0.0356445
1480,0.0343424
1490,0.0301107
1500,0.0325521
1510,0.0302734
1520,0.0336914
1530,0.0286458
1540,0.0341797
1550,0.0351562
1560,0.0332031
1570,0.0333659
1580,0.03125
1590,0.0354818
1600,0.0358073
1610,0.0379232
1620,0.0431315
1630,0.0395508
1640,0.0382487
1650,0.0388997
1660,0.0398763
1670,0.0418294
1680,0.0372721
1690,0.035319
1700,0.0423177
1710,0.0442708
1720,0.0429688
1730,0.0470378
1740,0.0467122
1750,0.0455729
1760,0.0457357
1770,0.0452474
1780,0.0442708
1790,0.0485026
1800,0.0445964
1810,0.0397135
1820,0.0449219
1830,0.0419922
1840,0.0449219
1850,0.0437826
1860,0.0454102
1870,0.0478516
1880,0.0402018
1890,0.0470378
1900,0.0517578
1910,0.0519206
1920,0.0450846
1930,0.0436198
1940,0.047526
1950,0.0504557
1960,0.0485026
1970,0.0413411
1980,0.0423177
1990,0.0441081
2000,0.043457
2010,0.046224
2020,0.0450846
2030,0.0517578
2040,0.0535482
2050,0.0520833
2060,0.0506185
2070,0.0525716
2080,0.0603841
2090,0.0546875
2100,0.0610352
2110,0.0605469
2120,0.0569661
2130,0.0566406
2140,0.054362
2150,0.0473633
2160,0.0532227
