ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.626955,0.0148545,null,null,null
0.610335,null,-0.0140119,null,null
0.544545,0.0292027,null,null,null
0.52721,null,0.0364321,null,null
0.554095,-0.0687495,null,null,null
0.50469,null,-0.0335975,null,null
0.485599,-0.051961,null,null,null
0.420061,null,-0.085133,null,null
0.419196,-0.0457937,null,null,null
0.38702,null,-0.198555,null,null
0.448742,-0.00523035,null,null,null
0.36738,null,-0.210186,null,null
0.448918,0.1104,null,null,null
0.414023,null,-0.206568,null,null
0.444141,0.11044,null,null,null
0.428422,null,-0.188973,null,null
0.467946,0.132767,null,null,null
0.380509,null,-0.113889,null,null
0.392412,0.131703,null,null,null
0.379274,null,-0.0494494,null,null
0.450535,0.0471961,null,null,null
0.31874,null,-0.0876425,null,null
0.450535,0.0471961,null,null,null
0.31874,null,-0.0876425,null,null
0.450535,0.0471961,null,null,null
0.31874,null,-0.0876425,null,null
0.383916,0.0828695,null,null,null
0.308639,null,-0.074717,null,null
0.445485,0.0629035,null,null,null
0.287396,null,0.0145724,null,null
0.458796,0.092655,null,null,null
0.397764,null,0.118851,null,null
0.419695,0.00986465,null,null,null
0.367582,null,-0.0262637,null,null
0.39106,0.0643625,null,null,null
0.386368,null,-0.0058846,null,null
0.404842,0.0384538,null,null,null
0.409579,null,-0.086728,null,null
0.456722,0.081224,null,null,null
0.37537,null,-0.15109,null,null
0.393201,0.149564,null,null,null
0.329211,null,-0.226041,null,null
0.386951,0.158691,null,null,null
0.358992,null,-0.162016,null,null
0.404921,0.170009,null,null,null
0.406095,null,-0.20979,null,null
0.348282,0.203117,null,null,null
0.263072,null,-0.362849,null,null
0.356603,0.2358,null,null,null
0.297769,null,-0.303266,null,null
0.378879,0.253364,null,null,null
0.266576,null,-0.281718,null,null
0.398007,0.22636,null,null,null
0.185517,null,-0.334045,null,null
0.381927,0.217832,null,null,null
0.0763795,null,-0.337425,null,null
0.380321,0.24557,null,null,null
0.10114,null,-0.349108,null,null
0.359586,0.173366,null,null,null
0.096957,null,-0.303198,null,null
0.359586,0.173366,null,null,null
0.096957,null,-0.303198,null,null
0.359586,0.173366,null,null,null
0.096957,null,-0.303198,null,null
0.359586,0.173366,null,null,null
0.096957,null,-0.303198,null,null
0.383284,0.261225,null,null,null
0.101606,null,-0.338451,null,null
0.350223,0.329783,null,null,null
0.049798,null,-0.381535,null,null
0.26513,0.335428,null,null,null
0.0349135,null,-0.338653,null,null
0.266829,0.312522,null,null,null
-0.0108921,null,-0.264517,null,null
0.218494,0.335427,null,null,null
-0.0853,null,-0.25747,null,null
0.19626,0.377111,null,null,null
-0.041604,null,-0.306285,null,null
0.219594,0.384362,null,null,null
-0.0751485,null,-0.346207,null,null
0.293077,0.403442,null,null,null
-0.129486,null,-0.329825,null,null
0.264616,0.301293,null,null,null
-0.171348,null,-0.296474,null,null
0.253829,0.32457,null,null,null
-0.0226737,null,-0.348896,null,null
0.321796,0.289515,null,null,null
-0.0522075,null,-0.3691,null,null
0.298087,0.301679,null,null,null
0.0488592,null,-0.370802,null,null
0.295747,0.332002,null,null,null
-0.0808365,null,-0.334667,null,null
0.317075,0.295702,null,null,null
-0.0374895,null,-0.275914,null,null
0.254576,0.361035,null,null,null
-0.0299504,null,-0.367945,null,null
0.187693,0.353428,null,null,null
-0.0151562,null,-0.340966,null,null
0.186457,0.437057,null,null,null
0.162347,null,-0.332259,null,null
0.139006,0.328761,null,null,null
0.083478,null,-0.276662,null,null
0.153466,0.415389,null,null,null
0.070584,null,-0.246673,null,null
0.131243,0.447927,null,null,null
0.097649,null,-0.305788,null,null
0.179593,0.41084,null,null,null
0.102849,null,-0.269555,null,null
0.242533,0.377115,null,null,null
0.0208047,null,-0.351448,null,null
