t,walltime
10,39.55
20,19.93
30,19.17
40,19.62
50,20.32
60,18.54
70,17.75
80,17.92
90,17.85
100,17.77
110,19.18
120,18.83
130,17.84
140,17.73
150,16.93
160,17.36
170,17.16
180,17.44
190,18.22
200,19.37
210,18.94
220,19.05
230,18.58
240,20.2
250,20.75
260,20.42
270,20.51
280,21.45
290,19.83
300,19.62
310,18.76
320,19.13
330,20.23
340,19.47
350,19.86
360,21.92
370,20.66
380,18.83
390,18.16
400,19.54
410,20.32
420,20.24
430,19.97
440,19.79
450,20.75
460,20.68
470,22.4
480,20.68
490,21.92
500,21.57
510,19.79
520,18.76
530,18.53
540,18.08
550,17.45
560,17.61
570,17.92
580,18.11
590,17.87
600,19.17
610,19.29
620,20.15
630,19.54
640,19.79
650,19.57
660,21.21
670,22.86
680,21.58
690,21.17
700,21.84
710,22.5
720,22.34
730,21.44
740,21.62
750,20.78
760,23.13
770,19.94
780,21.95
790,21.5
800,21.5
810,20.96
820,21.62
830,20.51
840,20.38
850,18.94
860,18.93
870,19.58
880,21.61
890,22.05
900,23.43
910,22.32
920,20.49
930,21.55
940,21.02
950,20.53
960,19.01
970,18.34
980,17.49
990,17.54
1000,17.61
1010,18.5
1020,18.14
1030,18.53
1040,18.88
1050,20.22
1060,19.48
1070,19.41
1080,18.75
1090,21.37
1100,23.16
1110,26.1
1120,22.14
1130,18.9
1140,21.67
1150,25.09
1160,19.43
1170,19.22
1180,21.2
1190,23.17
1200,23.52
1210,23.04
1220,20.39
1230,20.5
1240,20.73
1250,20.78
1260,26.84
1270,25.26
1280,31.23
1290,26.72
1300,21.47
1310,23.19
1320,22.42
1330,24.68
1340,22.89
1350,24.45
1360,27.26
1370,26.34
1380,27.59
1390,25.96
1400,32.8
1410,38.71
1420,31.45
1430,28.21
1440,22.91
1450,29.13
1460,28.91
1470,29.23
1480,28.73
1490,35.22
1500,34.35
1510,29.56
1520,31.44
1530,31.09
1540,32.76
1550,34.35
1560,30.12
1570,30.83
1580,38.44
1590,34.68
1600,26.97
1610,30.06
1620,29.45
1630,29.15
1640,29.18
1650,35.95
1660,37.78
1670,33.5
1680,34.65
1690,28.15
1700,31.03
1710,31.3
1720,27.87
1730,27.65
1740,35.88
1750,32.79
1760,36.64
1770,42.94
1780,40.41
1790,38.74
1800,42.5
1810,46.38
1820,42.06
1830,44.51
1840,39.47
1850,36.62
1860,34.48
1870,32.53
1880,35.91
1890,35.94
1900,40.15
1910,34.67
1920,35.77
1930,37.46
1940,32.74
1950,33.81
1960,35.02
1970,40.99
1980,37.09
1990,34.25
2000,31.5
2010,36.03
2020,35.01
2030,31.19
2040,36.31
2050,35.32
2060,35.47
2070,29.66
2080,29.93
2090,31.35
2100,29.17
2110,26.06
2120,26.3
2130,24.9
2140,27.26
2150,28.21
2160,31.25
2170,29.41
2180,31.35
2190,27.99
2200,26.47
2210,24.78
2220,26.55
2230,31.31
2240,30.16
2250,27.91
2260,26.95
2270,25
2280,24.39
2290,22.95
2300,23.19
2310,23.93
2320,24.79
2330,23.07
2340,24.57
2350,22.33
2360,23.46
2370,21.35
2380,22.68
2390,27.27
2400,24.33
2410,21.56
2420,25.43
2430,24.26
2440,22.02
2450,22.08
2460,20.59
2470,22.11
2480,23.69
2490,24.55
2500,25.32
2510,27.17
2520,25.31
2530,27.61
2540,26.51
2550,28.37
2560,24.16
2570,25.32
2580,21.75
2590,23.7
2600,24.69
2610,25.96
2620,24.6
2630,26.2
2640,29.34
2650,28.27
2660,29.99
2670,30.24
2680,29.8
2690,25.65
2700,26.64
2710,27.36
2720,26.64
2730,22.64
2740,25.22
2750,25.12
2760,26.86
2770,25
2780,26.79
2790,27.18
2800,25.1
2810,25.11
2820,28.35
2830,26.11
2840,24.62
2850,24.58
2860,25.4
2870,23.91
2880,26.91
2890,26.86
2900,29.79
2910,24.95
2920,23.46
2930,24.73
2940,24.03
2950,24.76
2960,23.55
2970,24.78
2980,28.19
2990,25.51
3000,24.02
3010,24.08
3020,24.28
3030,24.7
3040,23.66
3050,24.39
3060,24.29
3070,26.27
3080,24.48
3090,24.24
3100,22.25
3110,23.62
3120,22.82
3130,23.1
3140,25.24
3150,23.37
3160,24.66
3170,27.13
3180,22.95
3190,22.08
3200,26.61
3210,24.72
3220,24.76
3230,24.63
3240,24.95
3250,22.72
3260,22.46
3270,23.22
3280,26.73
3290,24.71
3300,28.72
3310,24.72
3320,27.16
3330,27.3
3340,22.39
3350,21.8
3360,29.46
3370,28.85
3380,24.06
3390,22.97
3400,25.03
3410,20.31
3420,19.05
3430,18.98
3440,21.83
3450,23.01
3460,22.99
3470,24.73
3480,27.96
3490,27.19
3500,23.84
3510,26.34
3520,27.84
3530,23.8
3540,24.51
3550,23.31
3560,23.14
3570,23.42
3580,21.69
3590,23.88
3600,24.23
3610,23.68
3620,23.27
3630,23.17
3640,25.29
3650,25.39
3660,26.12
3670,25.48
3680,24.76
3690,25.43
3700,24.86
3710,25.53
3720,22.23
3730,21.46
3740,20.88
3750,20.7
3760,21.2
3770,24.26
3780,22.33
3790,21.09
3800,22.46
3810,22.43
3820,21.9
3830,23.95
3840,22.66
3850,23.24
3860,24.09
3870,26.54
3880,23.98
3890,25.13
3900,23.98
3910,22.43
3920,26.82
3930,26.71
3940,22.89
3950,22.96
3960,25.7
3970,26.7
3980,24.52
3990,29.27
4000,25.66
4010,23.86
