MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
10,	0.768342,0.000752511,0.689095,-0.0792468
20,	0.765593,-0.00103066,0.671726,-0.0938668
30,	0.767699,-0.000382748,0.80779,0.0400907
40,	0.770026,-0.00349507,0.723217,-0.046809
50,	0.764427,0.000391833,0.727826,-0.036601
60,	0.770548,0.0026225,0.766652,-0.00389616
70,	0.769369,-0.00255707,0.722835,-0.0465339
80,	0.771516,-0.000465984,0.788491,0.0169744
90,	0.771035,0.000783902,0.735726,-0.0353089
100,	0.769419,-0.00156788,0.653424,-0.115995
110,	0.761481,-0.00134858,0.740206,-0.0212748
120,	0.772726,0.00333935,0.726603,-0.0461233
130,	0.76637,-0.00176167,0.799616,0.0332457
140,	0.772593,-0.00240355,0.671825,-0.100768
150,	0.765571,-0.00163367,0.739831,-0.0257398
160,	0.773662,-0.000865673,0.76461,-0.00905237
170,	0.768936,-0.00274733,0.790548,0.0216115
180,	0.764345,0.000534503,0.758345,-0.00600003
190,	0.768676,-0.00181737,0.769163,0.00048649
200,	0.765189,-0.00188587,0.809225,0.0440357
210,	0.769473,-0.00420097,0.66075,-0.108723
220,	0.766835,0.00152512,0.77465,0.00781478
230,	0.770292,0.00251852,0.732777,-0.037515
240,	0.767475,0.00340884,0.801178,0.0337031
250,	0.769449,0.00109488,0.780572,0.0111236
260,	0.771619,-0.000531045,0.713676,-0.0579436
270,	0.768536,0.000172256,0.768789,0.000252679
280,	0.765125,0.000421393,0.764378,-0.000747101
290,	0.768025,0.00559089,0.751854,-0.0161702
300,	0.768129,-0.00247998,0.688092,-0.0800364
310,	0.772037,0.00336683,0.652352,-0.119686
320,	0.769395,0.000902349,0.785987,0.0165924
330,	0.76183,0.00291591,0.751523,-0.0103071
340,	0.769392,0.00101581,0.694817,-0.0745751
350,	0.767992,0.00255825,0.661031,-0.106961
360,	0.768219,-0.00200813,0.79531,0.0270905
370,	0.770463,0.00272846,0.780578,0.0101154
380,	0.771228,0.00107824,0.723711,-0.0475163
390,	0.767897,-0.00383552,0.731081,-0.0368165
400,	0.768251,0.00122054,0.793698,0.0254477
410,	0.77026,-0.00403554,0.825717,0.0554569
420,	0.768274,-0.00499037,0.832722,0.0644478
430,	0.770871,0.00251465,0.825587,0.0547153
440,	0.774583,0.00181498,0.741896,-0.0326873
450,	0.774164,-0.00507685,0.677471,-0.0966928
460,	0.767743,0.00134264,0.800269,0.0325252
470,	0.765985,0.00112653,0.781149,0.0151648
480,	0.764461,0.00178018,0.799942,0.0354807
490,	0.776363,1.67244e-05,0.812246,0.0358823
500,	0.766546,0.00193998,0.784853,0.0183073
510,	0.767001,0.00116994,0.829905,0.0629034
520,	0.767331,-0.000217237,0.758517,-0.00881443
530,	0.772322,0.00187011,0.702472,-0.0698507
540,	0.76416,-0.00255583,0.833234,0.0690736
550,	0.77233,-0.00123511,0.810375,0.0380449
560,	0.763897,0.00139061,0.794985,0.0310876
570,	0.770381,-0.00315404,0.785889,0.0155083
580,	0.772632,0.00390439,0.79212,0.0194885
590,	0.76833,0.00137746,0.775657,0.00732626
600,	0.769034,0.00121133,0.842605,0.0735717
610,	0.766819,0.00382458,0.698044,-0.0687742
620,	0.76745,0.00169948,0.705131,-0.062319
630,	0.771784,-0.000600817,0.770952,-0.000831674
640,	0.776172,0.00265494,0.766492,-0.00967995
650,	0.763984,0.00220536,0.726019,-0.0379654
660,	0.77219,0.00284734,0.787281,0.0150916
670,	0.767493,-0.00093026,0.750761,-0.0167325
680,	0.767191,0.0018521,0.756192,-0.0109987
690,	0.762964,-0.000729086,0.728947,-0.0340165
700,	0.77329,0.00118529,0.747901,-0.0253882
710,	0.766693,-0.000820375,0.762962,-0.00373108
720,	0.770122,0.000126246,0.789347,0.019225
730,	0.767709,0.00128367,0.715533,-0.0521757
740,	0.766559,-0.000519097,0.791372,0.0248133
750,	0.765566,0.000556837,0.734193,-0.0313734
760,	0.768049,0.00288564,0.807946,0.0398973
770,	0.76962,0.000568223,0.775188,0.00556768
780,	0.764759,-0.00165606,0.764128,-0.000631112
790,	0.771479,-0.00272829,0.797501,0.0260215
800,	0.766026,0.000504506,0.713855,-0.0521702
810,	0.759841,-9.47319e-05,0.794001,0.0341604
820,	0.766734,0.000494286,0.840622,0.0738885
830,	0.764899,0.00130778,0.813451,0.0485526
840,	0.766688,5.87194e-06,0.776078,0.00938976
850,	0.767974,-0.0016911,0.748991,-0.0189827
860,	0.772735,-0.00062089,0.739225,-0.0335102
870,	0.7673,-0.00202223,0.829389,0.0620897
880,	0.767865,0.000936552,0.786883,0.0190183
890,	0.769986,-0.000116833,0.751273,-0.0187128
900,	0.769156,0.00333177,0.76767,-0.00148576
910,	0.765805,-0.00313942,0.818766,0.0529609
920,	0.769366,0.0011058,0.802698,0.0333316
930,	0.770214,-0.00406457,0.822457,0.0522435
940,	0.768405,0.000628521,0.788415,0.0200103
950,	0.768129,-0.00251708,0.799599,0.0314704
960,	0.768712,-0.00140147,0.759926,-0.0087864
970,	0.767678,-0.000804193,0.858955,0.0912768
980,	0.77008,-0.00161876,0.716128,-0.0539522
990,	0.76637,-0.00097327,0.738986,-0.0273839
1000,	0.767603,-0.00120004,0.782018,0.0144142
1010,	0.768214,-0.00408232,0.689437,-0.0787774
1020,	0.76768,0.00204648,0.723248,-0.0444322
1030,	0.771063,0.00132757,0.725564,-0.0454993
1040,	0.767189,0.00095292,0.73355,-0.0336396
1050,	0.773279,-0.000769666,0.767409,-0.00586933
1060,	0.769322,-0.00416506,0.811368,0.042046
1070,	0.768999,-0.00553411,0.759336,-0.00966216
1080,	0.773727,-6.5007e-06,0.795789,0.022062
1090,	0.768279,0.00241994,0.770246,0.00196623
1100,	0.774942,-0.000724437,0.778323,0.00338103
1110,	0.775773,0.00218375,0.860338,0.0845652
1120,	0.770987,-0.00100592,0.740829,-0.0301584
1130,	0.771413,8.58294e-05,0.714332,-0.057081
1140,	0.768822,-0.00196902,0.916149,0.147327
1150,	0.773232,-0.00148835,0.715885,-0.0573476
1160,	0.774088,-0.00201849,0.770616,-0.00347109
1170,	0.777599,0.00108277,0.766336,-0.011263
1180,	0.771248,-0.00271276,0.843667,0.0724192
1190,	0.771853,0.000209278,0.782513,0.01066
