ReTr(Ly),ImTr(Ly)
-0.0820239,-0.0699156
-0.00133594,0.024019
-0.00876909,0.0246049
-0.00876909,0.0246049
-0.081691,-0.00799865
-0.081691,-0.00799865
-0.081691,-0.00799865
-0.081691,-0.00799866
-0.081691,-0.00799866
-0.081691,-0.00799866
-0.081691,-0.00799866
-0.0743584,0.0612315
-0.0743584,0.0612315
0.0309507,0.0495322
0.0309507,0.0495322
0.0309507,0.0495322
0.0309507,0.0495322
-0.00864755,0.0310744
0.0429483,0.0711408
-0.0020537,0.0685168
0.0102334,0.137769
0.0102334,0.137769
0.0162235,0.081722
0.0445359,0.114667
0.105941,-0.0157945
0.105941,-0.0157945
0.105941,-0.0157945
0.0233246,0.0134206
0.0233246,0.0134206
0.0233246,0.0134206
0.0233246,0.0134206
0.0233246,0.0134206
0.0233246,0.0134206
0.192752,0.0255392
0.192752,0.0255392
0.192752,0.0255392
0.055409,0.0410218
0.186112,0.0558975
0.186112,0.0558975
0.161281,0.0403564
0.161281,0.0403564
0.143698,0.063464
0.143698,0.063464
0.180755,-0.0089848
0.180755,-0.0089848
0.111548,0.0306101
0.111548,0.0306101
0.111689,0.0476504
0.111689,0.0476504
0.144205,0.0701075
0.144205,0.0701075
0.144205,0.0701075
0.144205,0.0701075
0.0888329,0.0388081
0.0888329,0.0388081
0.0888329,0.0388081
0.0733363,0.0696657
0.0701779,-0.000795409
0.0701779,-0.000795409
0.0657929,0.00847856
0.0657929,0.00847856
0.0657929,0.00847856
0.0657929,0.00847856
0.0657929,0.00847856
0.0822546,0.0361744
0.153031,0.0166086
0.153031,0.0166086
0.153031,0.0166086
0.153031,0.0166086
0.168381,-0.0310966
0.168381,-0.0310966
0.232582,-0.0436689
0.265219,-0.00163359
0.146836,0.0889234
0.173889,0.0927498
0.192202,0.0607616
0.257543,0.0121165
0.0514466,-0.00118883
0.0388514,-0.0194039
0.0388514,-0.0194039
0.0388514,-0.0194039
0.0388514,-0.0194039
0.0388514,-0.0194039
0.0388514,-0.0194039
0.0388514,-0.0194039
0.0388514,-0.0194039
0.0388514,-0.0194039
0.0914521,-0.0661989
0.0274199,-0.0490083
0.0487946,-0.135382
0.0487946,-0.135382
0.0487946,-0.135382
0.097891,-0.04591
0.097891,-0.04591
0.097891,-0.04591
0.097891,-0.04591
0.116081,0.0284955
0.117666,0.0505989
-0.0308671,0.0707706
0.138976,0.0109213
0.0584324,0.0362992
0.119956,0.0256666
0.0645079,0.00873188
0.0781989,0.067698
0.034999,0.0152194
-0.00659896,0.0537796
-0.00659896,0.0537796
-0.0223358,0.0454411
0.124008,0.0151364
0.124039,0.0715362
0.124039,0.0715362
0.0763391,-0.0370776
0.0763391,-0.0370776
0.0763391,-0.0370776
0.0763391,-0.0370776
0.0763391,-0.0370776
0.10364,0.0424111
0.142719,0.0452741
0.142719,0.0452741
0.142719,0.0452741
0.100069,0.0980644
0.100069,0.0980644
0.100069,0.0980644
0.100069,0.0980644
0.100069,0.0980644
0.100069,0.0980644
0.100069,0.0980644
0.100069,0.0980644
0.100069,0.0980644
0.100069,0.0980644
0.0384581,0.0334299
0.05757,0.0506703
-0.00583246,0.0393696
-0.020392,0.0532202
-0.0209719,0.123609
-0.0209719,0.123609
-0.0209719,0.123609
-0.0209719,0.123609
-0.0448956,0.0460536
-0.0526615,0.1088
-0.0526615,0.1088
-0.0526615,0.1088
0.0359311,0.0569326
0.0508404,0.0500806
0.0540126,-0.0522941
0.0529092,0.0185018
0.0242994,0.0215521
-0.0446289,0.095612
-0.0981889,0.0889957
-0.0796355,0.10232
-0.0796355,0.10232
-0.0796355,0.10232
-0.104736,0.107916
-0.0101322,0.180491
-0.0773059,0.123006
-0.0773059,0.123006
-0.0773059,0.123006
-0.0773059,0.123006
-0.0773059,0.123006
-0.110916,0.119214
-0.110916,0.119214
-0.121533,0.170925
-0.121533,0.170925
-0.121533,0.170925
-0.121533,0.170925
-0.097893,0.157311
-0.0902592,0.0941059
-0.0902592,0.0941059
-0.0902592,0.0941059
-0.0902592,0.0941059
-0.0594092,0.246067
-0.0594092,0.246067
-0.0594092,0.246067
-0.0594092,0.246067
-0.0594092,0.246067
-0.0594092,0.246067
-0.111223,0.127445
-0.111223,0.127445
-0.111223,0.127445
-0.111223,0.127445
-0.111223,0.127445
-0.125147,0.28409
-0.0597301,0.108359
0.0945813,0.18896
-0.0611148,0.143311
0.0271561,0.183913
0.0271561,0.183913
0.110927,0.205822
0.110927,0.205822
0.0191557,0.177041
0.0191557,0.177041
0.00663063,0.112662
0.00663063,0.112662
0.032685,0.15466
-0.0127999,0.17904
-0.0698874,0.154419
-0.0278373,0.114182
-0.0278373,0.114182
-0.0278373,0.114182
-0.0278373,0.114182
0.0482534,0.0665121
-0.00595814,-0.0538704
-0.00595814,-0.0538704
-0.0303537,-0.00149107
-0.0223751,0.166981
-0.116417,0.135285
-0.0313382,0.0817544
-0.0313382,0.0817544
-0.0572414,0.0341885
-0.0662604,-0.0138698
-0.0663256,-0.0314076
-0.0701255,-0.033295
-0.0282674,-0.0180832
-0.0362145,0.0739947
-0.0362145,0.0739947
-0.065253,0.0671851
-0.065253,0.0671851
-0.0425739,0.0365164
-0.0166857,0.051889
-0.0166857,0.051889
-0.0166857,0.051889
-0.0166857,0.051889
-0.0166857,0.051889
0.0354696,0.0391811
0.0354696,0.0391811
0.0354696,0.0391811
0.0379436,0.0580636
0.0379436,0.0580636
0.0379436,0.0580636
