MDTU,abs_delta_S
491,0.7992
492,1.498
493,0.3792
494,1.129
495,0.745
496,0.4651
497,0.8048
498,0.5399
499,0.4432
500,1.231
501,0.8057
502,0.6251
503,1.395
504,3.283
505,2.414
506,3.55
507,2.609
508,1.222
509,1.618
510,1.079
511,0.9724
512,0.4024
513,0.1873
514,0.3339
515,0.9252
516,1.079
517,2.206
518,0.6018
519,2.428
520,2.229
521,2.518
522,1.472
523,0.01358
524,2.47
525,2.476
526,0.6195
527,0.187
528,1.106
529,2.437
530,0.9619
531,0.7055
532,0.5204
533,1.695
534,2.19
535,0.5532
536,0.4306
537,0.5305
538,1.239
539,0.8578
540,0.5943
541,0.8187
542,0.3644
543,0.4965
544,0.9675
545,0.906
546,1.479
547,1.711
548,1.681
549,0.2009
550,0.6914
551,0.04337
552,0.4578
553,0.4195
554,0.9784
555,0.005192
556,1.02
557,0.508
558,0.429
559,0.8819
560,0.8315
561,0.572
562,0.959
563,1.785
564,1.179
565,0.1424
566,0.4086
567,1.443
568,1.61
569,1.37
570,0.4429
571,2.127
572,0.8816
573,0.8582
574,0.4108
575,1.921
576,0.8034
577,1.581
578,0.9601
579,2.837
580,1.98
581,0.8641
582,0.5847
583,1.454
584,1.445
585,2.184
586,2.026
587,0.7558
588,0.9845
589,0.8134
590,0.4104
591,0.6198
592,1.619
593,0.8825
594,1.585
595,1.201
596,0.2852
597,0.5978
598,0.6165
599,0.857
600,1
601,0.4794
602,1.809
603,0.8696
604,2.417
605,1.742
606,0.4038
607,3.092
608,0.7998
609,0.6713
610,1.87
611,2.471
612,1.591
613,2.289
614,0.651
615,1.934
616,1.422
617,0.1555
618,0.8159
619,0.4427
620,0.3175
621,0.7855
622,1.114
623,0.8751
624,0.06724
625,1.093
626,0.5049
627,1.9
628,0.07268
629,0.4454
630,2.001
631,0.1542
632,0.08314
633,1.226
634,3.126
635,1.955
636,0.8808
637,2.199
638,1.821
639,0.9235
640,0.667
641,0.1202
642,1.051
643,0.8478
644,0.4491
645,0.5269
646,0.9981
647,0.7236
648,1.143
649,0.2336
650,2.025
651,0.43
652,1.327
653,0.683
654,0.9676
655,0.1024
656,0.1359
657,1.389
658,0.6644
659,0.5747
660,0.8057
661,0.1775
662,0.5473
663,1.215
664,1.437
665,0.7692
666,2.39
667,0.8611
668,2.204
669,0.9971
670,0.2135
671,0.6407
672,0.1371
673,0.8513
674,0.3527
675,0.7096
676,1.169
677,0.5448
678,1.607
679,0.9784
680,0.5846
681,0.5873
682,0.3897
683,0.3225
684,0.3954
685,0.2601
686,0.6434
687,0.6532
688,0.8822
689,1.488
690,0.2903
691,0.4513
692,0.9348
693,0.3167
694,1.06
695,0.7815
696,2.692
697,1.789
698,1.568
699,0.6041
700,0.8282
701,2.143
702,1.908
703,0.4473
704,0.5562
705,0.5728
706,0.4518
707,0.7014
708,0.1623
709,0.2305
710,0.6569
711,0.5388
712,0.4493
713,0.6619
714,0.2067
715,0.1077
716,0.5957
717,0.3043
718,0.2947
719,0.5658
720,0.008372
721,0.2685
722,2.016
723,2.339
724,1.298
725,3.42
726,0.7442
727,0.8964
728,1.158
729,1.692
730,0.01287
731,0.7309
732,0.6857
733,0.3889
734,0.2967
735,1.447
736,2.2
737,2.049
738,1.357
739,2.063
740,0.9202
741,0.9667
742,1.08
743,0.6482
744,1.298
745,0.01774
746,1.066
747,0.3294
748,0.9369
749,0.7992
750,0.6473
751,0.06345
752,1.145
753,0.3044
754,0.255
755,0.7521
756,0.1224
757,1.008
758,1.214
759,0.8778
760,0.0423
761,0.189
762,0.9305
763,1.001
764,0.9807
765,0.006818
766,0.9761
767,1.096
768,0.6866
769,1.153
770,0.2923
771,1.025
772,0.6093
773,1.414
774,0.2889
775,0.5379
776,0.5522
777,0.9375
778,1.343
779,0.2261
780,1.271
781,0.197
782,0.6395
783,0.9716
784,1.056
785,2.66
786,1.346
787,0.2994
788,0.3351
789,0.4081
790,0.3819
791,0.2087
792,1.24
793,0.3874
794,0.3784
795,1.642
796,0.0111
797,1.115
798,2.962
799,2.319
800,0.1193
801,0.462
802,2.004
803,0.0831
804,1.402
805,0.3495
806,1.268
807,0.1046
808,1.083
809,2.081
810,0.7613
811,0.7206
812,1.032
813,0.9471
814,0.7842
815,0.6169
816,0.6638
817,0.7165
818,0.09721
819,0.06228
820,0.1042
821,0.5711
822,0.9536
823,0.2708
824,0.1435
825,0.9582
826,0.2413
827,0.0316
828,1.265
829,2.637
830,1.944
831,1.907
832,2.323
833,2.175
834,0.9529
835,0.9979
836,1.308
837,0.3004
838,2.378
839,0.1333
840,0.2625
841,0.8337
842,0.2127
843,1.994
844,0.3528
845,0.7799
846,0.1185
847,0.468
848,0.603
849,0.1416
850,0.1371
851,1.427
852,0.2225
853,0.6183
854,0.5321
855,0.08363
856,0.2297
857,1.613
858,0.4698
859,0.5019
860,0.881
861,0.2262
862,0.9137
863,0.2205
864,1.521
865,2.669
866,1.415
867,2.501
868,0.5379
869,1.984
870,2.193
871,1.252
872,1.66
873,3.057
874,0.6489
875,0.537
876,0.5013
877,0.4076
878,0.6569
879,0.4905
880,1.184
881,0.6004
882,1.784
883,0.7161
884,0.6563
885,0.6525
886,0.7423
887,0.9021
888,1.735
889,1.851
890,0.6762
891,0.1112
892,0.2881
893,0.2726
894,2.168
895,0.6186
896,1.364
