ReTr(L),ImTr(L)
0.678901,1.94285
0.678901,1.94285
0.678901,1.94285
0.678901,1.94285
0.740572,2.03
0.740572,2.03
0.835486,1.95328
0.8292,1.8511
0.798687,1.92895
0.705102,1.92305
0.72392,1.96772
0.766459,2.03571
0.72524,1.98695
0.854569,1.98439
0.854569,1.98439
0.854569,1.98439
0.854569,1.98439
0.854569,1.98439
0.854569,1.98439
0.854569,1.98439
0.854569,1.98439
0.854569,1.98439
0.595437,2.03947
0.693307,1.96168
0.796074,2.13647
0.796074,2.13647
0.796074,2.13647
0.860468,2.19283
0.860468,2.19283
0.860468,2.19283
0.860468,2.19283
0.704115,2.10694
0.68132,2.15306
0.648546,2.12675
0.678836,2.16867
0.662068,2.21071
0.760194,2.22031
0.78027,2.22311
0.672246,2.15511
0.767989,2.19324
0.68972,2.25331
0.68972,2.25331
0.79458,2.25312
0.827516,2.1738
0.737575,2.40821
0.737575,2.40821
0.712526,2.34923
0.712526,2.34923
0.712526,2.34923
0.712526,2.34923
0.712526,2.34923
0.744329,2.25256
0.688089,2.26921
0.688089,2.26921
0.688089,2.26921
0.544779,2.24361
0.544779,2.24361
0.544779,2.24361
0.544779,2.24361
0.544779,2.24361
0.544779,2.24361
0.544779,2.24361
0.544779,2.24361
0.544779,2.24361
0.544779,2.24361
0.595634,2.31616
0.557635,2.34938
0.624857,2.44376
0.534268,2.3862
0.637501,2.27335
0.637501,2.27335
0.637501,2.27335
0.637501,2.27335
0.65731,2.25453
0.595261,2.1707
0.595261,2.1707
0.595261,2.1707
0.623457,2.18852
0.534205,2.1169
0.660837,2.21473
0.623578,2.15254
0.476771,2.13661
0.482063,2.08161
0.46709,2.08873
0.43592,1.96627
0.43592,1.96627
0.43592,1.96627
0.347842,2.10752
0.411051,2.1146
0.495567,2.10023
0.495567,2.10023
0.495567,2.10023
0.495567,2.10023
0.495567,2.10023
0.52003,2.11716
0.52003,2.11716
0.511634,1.94829
0.511634,1.94829
0.511634,1.94829
0.511634,1.94829
0.555142,1.96381
0.739659,1.87624
0.739659,1.87624
0.739659,1.87624
0.739659,1.87624
0.570728,1.98368
0.570728,1.98368
0.570728,1.98368
0.570728,1.98368
0.570728,1.98368
0.570728,1.98368
0.62987,1.96107
0.62987,1.96107
0.62987,1.96107
0.62987,1.96107
0.62987,1.96107
0.603656,2.00985
0.654487,1.93298
0.719994,1.97896
0.758364,1.92016
0.636341,2.00915
0.636341,2.00915
0.567697,1.81359
0.567697,1.81359
0.522687,1.86205
0.522687,1.86205
0.529036,1.82029
0.529036,1.82029
0.568914,1.90616
0.488055,2.01104
0.390993,1.90149
0.510779,1.9511
0.510779,1.9511
0.510779,1.9511
0.510779,1.9511
0.389375,1.91274
0.388472,1.823
0.388472,1.823
0.446299,1.76816
0.377189,1.79294
0.326104,1.92726
0.248225,2.02798
0.248225,2.02798
0.169412,2.14181
0.198524,2.14542
0.195029,2.15203
0.345194,2.12213
0.476295,2.17543
0.49739,2.20525
0.49739,2.20525
0.562786,2.16546
0.562786,2.16546
0.57532,2.02873
0.514874,2.07796
0.514874,2.07796
0.514874,2.07796
0.514874,2.07796
0.514874,2.07796
0.542415,2.10801
0.542415,2.10801
0.542415,2.10801
0.411681,2.00944
0.411681,2.00944
0.411681,2.00944
0.492904,2.10775
0.532264,2.1231
0.532264,2.1231
0.532264,2.1231
0.532264,2.1231
0.471984,2.18235
0.56588,2.09773
0.56588,2.09773
0.504905,2.09086
0.504905,2.09086
0.458194,2.08226
0.458194,2.08226
0.54873,2.0677
0.623609,2.20463
0.682934,2.30485
0.682934,2.30485
0.718572,2.22444
0.718572,2.22444
0.718572,2.22444
0.755599,2.29065
0.658424,2.29974
0.658424,2.29974
0.658424,2.29974
0.658424,2.29974
0.658424,2.29974
0.658424,2.29974
0.862379,2.36558
0.862379,2.36558
0.818418,2.42198
0.829555,2.41961
1.08034,2.30454
1.10581,2.39834
0.988629,2.49253
0.988629,2.49253
0.988629,2.49253
0.988629,2.49253
0.988629,2.49253
0.988629,2.49253
0.988629,2.49253
0.988629,2.49253
1.06894,2.46603
1.06894,2.46603
1.06894,2.46603
1.15352,2.4504
1.03946,2.42693
0.990761,2.47978
0.990761,2.47978
0.990761,2.47978
0.877331,2.33033
0.974143,2.32012
0.974143,2.32012
0.974143,2.32012
0.950008,2.14731
0.996657,2.22164
0.865436,2.35554
0.865436,2.35554
0.865436,2.35554
0.729376,2.23944
0.633437,2.3454
0.548242,2.41228
0.613947,2.39107
0.540009,2.43052
0.540009,2.43052
0.540009,2.43052
0.540009,2.43052
0.641839,2.458
0.82569,2.35432
0.789941,2.29743
0.602563,2.23465
0.481007,2.21243
0.506439,2.19333
0.506439,2.19333
0.473284,2.25833
0.370629,2.12169
0.38649,2.1773
0.477579,2.10211
0.477579,2.10211
0.560439,2.1949
0.513687,2.2189
0.513687,2.2189
0.513687,2.2189
0.461004,2.32844
0.59472,2.34404
0.571019,2.30209
0.571019,2.30209
0.571019,2.30209
0.571019,2.30209
0.600835,2.2475
0.600835,2.2475
0.499536,2.36976
0.499536,2.36976
0.433812,2.29609
0.433812,2.29609
0.433812,2.29609
0.433812,2.29609
0.433812,2.29609
0.433812,2.29609
0.433812,2.29609
0.433812,2.29609
0.230834,2.23894
0.230834,2.23894
0.230834,2.23894
0.230834,2.23894
0.230834,2.23894
0.305721,2.20835
0.305721,2.20835
0.305721,2.20835
0.232997,2.27165
0.221999,2.17551
0.221999,2.17551
0.221999,2.17551
0.221999,2.17551
0.144874,2.19441
0.226802,2.28313
0.226802,2.28313
0.226802,2.28313
0.226802,2.28313
0.226802,2.28313
0.280232,2.22454
0.280232,2.22454
0.280232,2.22454
0.280232,2.22454
0.280232,2.22454
0.337095,2.2516
0.337095,2.2516
0.355795,2.26131
0.449557,2.33571
0.316889,2.24129
0.339036,2.11845
0.339036,2.11845
0.376748,2.05233
0.414375,2.02459
0.473517,2.15212
0.473517,2.15212
0.466857,2.102
0.606005,2.13144
0.606005,2.13144
0.592248,2.0246
0.534045,2.09481
0.534045,2.09481
0.548764,1.93394
0.621315,1.91043
0.621315,1.91043
0.693667,1.84255
0.693667,1.84255
0.700436,1.92312
0.700436,1.92312
0.700436,1.92312
0.825114,1.88694
0.859487,1.86535
0.859487,1.86535
0.859487,1.86535
0.900003,1.75969
0.905293,1.73975
0.905293,1.73975
0.905293,1.73975
0.905293,1.73975
0.905293,1.73975
0.914169,1.84604
0.914169,1.84604
0.914169,1.84604
0.963095,1.94217
0.963095,1.94217
0.963095,1.94217
1.09155,1.87945
0.936848,1.86474
1.12137,1.8668
1.12137,1.8668
0.984607,1.83825
0.984607,1.83825
0.984607,1.83825
0.984607,1.83825
0.93627,1.87751
0.811656,1.9054
0.811656,1.9054
0.873097,1.79854
0.965334,1.79074
0.982105,1.72313
0.999251,1.87761
1.16654,1.91318
1.06984,1.84335
1.10501,1.88662
1.12943,1.87544
1.12943,1.87544
1.12943,1.87544
1.12943,1.87544
1.03473,1.7815
1.03473,1.7815
1.15028,1.70865
1.10435,1.75224
1.06123,1.81171
1.00194,1.81315
1.2175,1.7907
