T,G,F
267,0.01059,0.02244
268,0.01059,0.02248
269,0.01059,0.02244
270,0.01059,0.02244
271,0.01059,0.02243
272,0.01058,0.02242
273,0.01057,0.02247
274,0.01059,0.0224
275,0.01059,0.02244
276,0.01059,0.02245
277,0.01059,0.02244
278,0.01059,0.02255
279,0.01058,0.0225
280,0.01058,0.02252
281,0.01058,0.02247
282,0.01057,0.02249
283,0.01059,0.0225
284,0.01059,0.02253
285,0.01058,0.02247
286,0.01059,0.02243
287,0.01057,0.02245
288,0.01058,0.02248
289,0.01057,0.02252
290,0.01058,0.02248
291,0.01059,0.02247
292,0.0106,0.02249
293,0.01059,0.02248
294,0.01058,0.02246
295,0.01057,0.0225
296,0.01059,0.0224
297,0.0106,0.02245
298,0.01059,0.02243
299,0.01059,0.02247
300,0.01059,0.02239
301,0.01059,0.02246
302,0.01059,0.02248
303,0.01058,0.02246
304,0.01058,0.02251
305,0.01058,0.0225
306,0.01059,0.02251
307,0.01058,0.0225
308,0.01059,0.02246
309,0.0106,0.02243
310,0.01058,0.02248
311,0.01057,0.02243
312,0.01056,0.02247
313,0.01057,0.0225
314,0.01059,0.02247
315,0.01059,0.02248
316,0.01059,0.02239
317,0.01058,0.02244
318,0.01058,0.02248
319,0.0106,0.02241
320,0.0106,0.02244
321,0.01059,0.02245
322,0.01059,0.02241
323,0.01059,0.02241
324,0.01061,0.02239
325,0.01061,0.02236
326,0.01062,0.02242
327,0.01061,0.02239
328,0.0106,0.02236
329,0.0106,0.02239
330,0.0106,0.02242
331,0.01063,0.0224
332,0.01061,0.02242
333,0.01061,0.02238
334,0.01062,0.02236
335,0.01062,0.02239
336,0.01061,0.02247
337,0.01061,0.02242
338,0.01062,0.02247
339,0.01062,0.02236
340,0.01062,0.02235
341,0.01062,0.02239
342,0.01059,0.02238
343,0.0106,0.02243
344,0.0106,0.02239
345,0.0106,0.02244
346,0.01059,0.0225
347,0.01059,0.02244
348,0.01059,0.02243
349,0.01057,0.02246
350,0.01056,0.02241
351,0.01059,0.02242
352,0.01059,0.02246
353,0.0106,0.0224
354,0.01059,0.02242
355,0.01058,0.02251
356,0.01059,0.02247
357,0.01059,0.02252
358,0.01057,0.02255
359,0.01057,0.02247
360,0.01057,0.02247
361,0.01056,0.02249
362,0.01058,0.0225
363,0.01057,0.02246
364,0.01058,0.02249
365,0.01059,0.0225
366,0.01059,0.02247
367,0.01059,0.02244
368,0.01059,0.02246
369,0.01059,0.02247
370,0.01059,0.02241
371,0.01059,0.02244
372,0.01058,0.0225
373,0.01058,0.02246
374,0.01059,0.02247
375,0.01059,0.02247
376,0.01059,0.02243
377,0.0106,0.02249
378,0.01059,0.02246
379,0.01059,0.02248
