ReTr(Lx),ImTr(Lx)
-0.0411845,0.0637175
-0.0766238,-0.0154014
0.016308,0.00969026
0.0462876,-0.0241656
0.109731,0.0273852
0.109731,0.0273852
0.0968724,0.118235
0.0968724,0.118235
0.0968724,0.118235
0.0968724,0.118235
0.0968724,0.118235
0.0968724,0.118235
0.0968724,0.118235
0.103437,0.139594
0.103437,0.139594
0.128486,0.145274
0.128486,0.145274
0.128486,0.145274
0.128486,0.145274
0.0713141,0.173701
0.0839466,0.158745
0.144698,0.174861
0.131344,0.0646183
0.131344,0.0646183
0.139771,0.0845977
0.197022,0.10586
0.119671,0.136758
0.119671,0.136758
0.119671,0.136758
0.12241,0.184736
0.12241,0.184736
0.12241,0.184736
0.12241,0.184736
0.12241,0.184736
0.12241,0.184736
0.0638136,0.17561
0.0638136,0.17561
0.0638136,0.17561
0.181048,0.158775
0.104603,0.217982
0.104603,0.217982
0.0550871,0.147399
0.0550871,0.147399
0.106594,0.167429
0.106594,0.167429
0.0112835,0.207418
0.0112835,0.207418
0.0871336,0.271424
0.0871336,0.271424
0.052525,0.189311
0.052525,0.189311
0.115835,0.227992
0.115835,0.227992
0.115835,0.227992
0.115835,0.227992
0.131307,0.237141
0.131307,0.237141
0.131307,0.237141
0.188006,0.246295
0.14062,0.120304
0.14062,0.120304
0.0625302,0.125076
0.0625302,0.125076
0.0625302,0.125076
0.0625302,0.125076
0.0625302,0.125076
0.140017,0.0390285
0.105067,0.10144
0.105067,0.10144
0.105067,0.10144
0.105067,0.10144
0.134664,0.144093
0.134664,0.144093
0.0778226,0.151811
0.0820208,0.16401
0.0403439,0.0546085
-0.00369014,0.0443165
-0.00763379,0.113931
-0.18003,0.125488
-0.131697,0.128366
-0.13594,0.104639
-0.13594,0.104639
-0.13594,0.104639
-0.13594,0.104639
-0.13594,0.104639
-0.13594,0.104639
-0.13594,0.104639
-0.13594,0.104639
-0.13594,0.104639
-0.0167671,0.138851
-0.0475447,0.133195
-0.00914665,0.126443
-0.00914665,0.126443
-0.00914665,0.126443
-0.0361807,0.112979
-0.0361807,0.112979
-0.0361807,0.112979
-0.0361807,0.112979
0.0748277,0.12391
0.0435685,0.117285
-0.0251725,0.102782
-0.0254864,0.0961908
-0.0339274,0.0971392
0.0232623,0.0987335
-0.0139885,0.100223
-0.0463651,0.134444
0.0277786,0.110175
0.0495489,0.0856807
0.0495489,0.0856807
0.176761,0.069921
