MDTU,plaq,Re(det),Im(det),link
145,3.80932,0.651832,0.274885,0.154667
146,3.80932,0.651832,0.274885,0.154667
147,3.81061,0.655479,0.278203,0.16068
148,3.78914,0.667544,0.282458,0.159517
149,3.79226,0.654425,0.270906,0.164922
150,3.80894,0.666583,0.279907,0.16121
151,3.80894,0.666583,0.279907,0.16121
152,3.80894,0.666583,0.279907,0.16121
153,3.80894,0.666583,0.279907,0.16121
154,3.79371,0.664032,0.272847,0.163876
155,3.80169,0.658037,0.277361,0.163716
156,3.78318,0.671067,0.287101,0.165507
157,3.78318,0.671067,0.287101,0.165507
158,3.78405,0.672985,0.281534,0.168339
159,3.78917,0.661391,0.272496,0.166162
160,3.78795,0.671188,0.289309,0.171361
161,3.78014,0.683515,0.275831,0.166523
162,3.78606,0.69507,0.297899,0.165208
163,3.78821,0.67604,0.282745,0.164737
164,3.78821,0.67604,0.282745,0.164737
165,3.78821,0.67604,0.282745,0.164737
166,3.7947,0.674114,0.284628,0.171501
167,3.78079,0.675358,0.276684,0.170392
168,3.78597,0.671997,0.27835,0.169819
169,3.78597,0.671997,0.27835,0.169819
170,3.79919,0.657753,0.27251,0.169298
171,3.79919,0.657753,0.27251,0.169298
172,3.79583,0.657845,0.277537,0.167813
173,3.79266,0.657505,0.271967,0.168381
174,3.80205,0.668585,0.274773,0.165013
175,3.80205,0.668585,0.274773,0.165013
176,3.79322,0.664823,0.287864,0.170875
177,3.79322,0.664823,0.287864,0.170875
178,3.77841,0.678897,0.279189,0.170177
179,3.77841,0.678897,0.279189,0.170177
180,3.77841,0.678897,0.279189,0.170177
181,3.77957,0.683003,0.292528,0.167093
182,3.76908,0.686069,0.281695,0.169571
183,3.78409,0.687933,0.288771,0.164261
184,3.77666,0.693192,0.288809,0.169401
185,3.77666,0.693192,0.288809,0.169401
186,3.77666,0.693192,0.288809,0.169401
187,3.78147,0.687455,0.276149,0.165342
188,3.77784,0.685513,0.283373,0.16654
189,3.7875,0.682942,0.28375,0.161606
190,3.7875,0.682942,0.28375,0.161606
191,3.78255,0.685115,0.286424,0.161314
192,3.78255,0.685115,0.286424,0.161314
193,3.79104,0.690134,0.287427,0.163883
194,3.79587,0.670398,0.282946,0.158177
195,3.7864,0.677751,0.288856,0.160658
196,3.79021,0.663065,0.283211,0.157437
197,3.79021,0.663065,0.283211,0.157437
198,3.79966,0.659895,0.275161,0.155319
199,3.79966,0.659895,0.275161,0.155319
200,3.79966,0.659895,0.275161,0.155319
201,3.79966,0.659895,0.275161,0.155319
202,3.80653,0.657283,0.275803,0.168593
203,3.79898,0.637258,0.267211,0.164405
204,3.79834,0.643661,0.262891,0.162768
205,3.8063,0.651662,0.272241,0.168647
206,3.80516,0.652723,0.272852,0.167644
207,3.80516,0.652723,0.272852,0.167644
208,3.78996,0.663172,0.279963,0.179238
209,3.78996,0.663172,0.279963,0.179238
210,3.77996,0.654716,0.273329,0.184071
211,3.77771,0.659965,0.274646,0.182956
212,3.76532,0.671655,0.281436,0.192949
213,3.7691,0.664489,0.272207,0.196471
214,3.7691,0.664489,0.272207,0.196471
215,3.7691,0.664489,0.272207,0.196471
216,3.7691,0.664489,0.272207,0.196471
217,3.7691,0.664489,0.272207,0.196471
218,3.7691,0.664489,0.272207,0.196471
219,3.7691,0.664489,0.272207,0.196471
220,3.78512,0.651503,0.26999,0.183167
