MDTU,|det-1|^2,1-Re(det),Im(det)
168,1.06862,0.003631,-0.00192266
169,1.06862,0.003631,-0.00192266
170,0.987332,-0.00167,0.00173011
171,0.987332,-0.00167,0.00173011
172,1.00047,0.000846,0.00117954
173,0.996319,0.006221,-0.000456571
174,1.04135,-0.00024,-0.00145683
175,1.04135,-0.00024,-0.00145683
176,1.05568,0.0044,0.00173825
177,1.05568,0.0044,0.00173825
178,1.10015,0.002845,-0.00245443
179,1.10015,0.002845,-0.00245443
180,1.10015,0.002845,-0.00245443
181,1.14561,0.003844,0.00181699
182,1.14246,0.006409,0.00172118
183,1.14796,-0.00537,0.00287084
184,1.17399,-0.00412,0.000476002
185,1.17399,-0.00412,0.000476002
186,1.17399,-0.00412,0.000476002
187,1.13151,0.001425,-0.0023072
188,1.13777,0.002622,-0.00156222
189,1.12568,0.001859,0.00187853
190,1.12568,0.001859,0.00187853
191,1.14087,0.001996,-0.000746624
192,1.14087,0.001996,-0.000746624
193,1.16335,0.000254,0.000571215
194,1.07028,0.003787,-0.00248605
195,1.11382,0.003238,-0.000619766
196,1.03685,0.002829,-0.00368692
197,1.03685,0.002829,-0.00368692
198,1.00316,-0.00054,-0.00173458
199,1.00316,-0.00054,-0.00173458
200,1.00316,-0.00054,-0.00173458
201,1.00316,-0.00054,-0.00173458
202,0.99615,0.001801,-0.00189479
203,0.903045,0.008114,-0.0026836
204,0.919792,0.006003,0.00512416
205,0.955865,-0.00481,0.00146905
206,0.966083,-0.0016,0.00242831
207,0.966083,-0.0016,0.00242831
208,1.02739,9.5e-05,0.00126248
209,1.02739,9.5e-05,0.00126248
210,0.982749,0.003479,0.000949939
211,1.0111,0.005581,-0.0016475
212,1.06978,0.001446,-0.0010494
213,1.00772,-0.00794,-0.00140444
214,1.00772,-0.00794,-0.00140444
215,1.00772,-0.00794,-0.00140444
216,1.00772,-0.00794,-0.00140444
217,1.00772,-0.00794,-0.00140444
218,1.00772,-0.00794,-0.00140444
219,1.00772,-0.00794,-0.00140444
220,0.957224,-0.00044,-0.000923214
221,0.957224,-0.00044,-0.000923214
222,0.957224,-0.00044,-0.000923214
223,0.958337,0.003039,-0.00226674
224,0.993124,0.004627,-0.00145031
225,1.02082,0.002347,0.000624867
226,0.981713,0.003325,0.00302667
227,0.931503,0.004654,0.00540809
228,0.97662,0.006887,-0.000848554
229,0.981666,-0.00175,0.00344807
230,0.981666,-0.00175,0.00344807
231,0.981666,-0.00175,0.00344807
232,0.981666,-0.00175,0.00344807
233,0.991004,-0.00101,0.000557116
234,1.01963,-0.00312,0.00266564
235,1.01963,-0.00312,0.00266564
236,1.01963,-0.00312,0.00266564
237,1.01963,-0.00312,0.00266564
