t,e^(-dS)
1,3670.19
2,0.526818
3,1.52959
4,2.43051
5,0.57597
6,0.26054
7,4.97786
8,0.406488
9,0.072295
10,0.570866
11,1.039
12,0.48384
13,0.909009
14,0.22313
15,0.847978
16,0.445214
17,2.75661
18,0.559898
19,0.481235
20,1.36629
21,0.670722
22,0.366045
23,0.58339
24,0.392507
25,1.99033
26,0.16154
27,0.227183
28,0.846707
29,0.286218
30,0.565921
31,0.242926
32,0.132523
33,0.523824
34,0.21481
35,0.235746
36,0.134257
37,0.304221
38,2.05279
39,0.228093
40,0.145876
41,0.352044
42,0.397405
43,0.376665
44,0.132258
45,0.960991
46,0.883822
47,0.822752
48,1.302
49,1.19662
50,0.560178
51,0.400116
52,0.377155
53,0.197503
54,1.42618
55,0.231309
56,0.363855
57,0.884617
58,0.335209
59,2.30297
60,0.45685
61,0.199289
62,0.287653
63,1.54868
64,0.559507
65,1.68287
66,2.03379
67,1.1814
68,0.44888
69,0.682905
70,1.81339
71,0.36204
72,1.16149
73,1.83804
74,0.720435
75,1.73638
76,0.0921811
77,0.837361
78,0.360595
79,0.720579
80,0.290544
81,0.499274
82,1.17963
83,0.509768
84,0.325954
85,0.732274
86,0.586314
87,0.346456
88,1.26188
89,0.657638
90,0.983242
91,0.186934
92,0.902217
93,0.650314
94,0.384274
95,1.16754
96,2.10539
97,0.629707
98,2.12379
99,0.854191
100,0.439815
101,0.988596
102,0.629896
103,0.362765
104,0.628324
105,1.61446
106,0.556716
107,0.194952
108,0.400196
109,0.838618
110,1.10493
111,0.456348
112,0.435439
113,0.272532
114,0.461996
115,0.283654
116,1.52044
117,0.184151
118,0.359874
119,3.94323
120,0.93747
121,0.794613
122,1.90408
123,1.29317
124,0.244388
125,0.696979
126,0.963358
127,0.715767
128,0.802679
129,0.169483
130,0.426902
131,0.337227
132,0.274172
133,0.3138
134,0.850441
135,0.620394
136,0.289964
137,0.712411
138,0.11475
139,0.505655
140,0.342666
141,0.681813
142,0.349239
143,0.612626
144,0.585904
145,0.411026
146,0.261061
147,3.56798
148,0.443304
149,1.19208
150,1.51589
151,0.464404
152,0.352044
153,0.934475
154,1.16463
155,0.957107
156,1.05087
157,3.03436
158,0.996261
159,1.70881
160,0.19398
161,0.396531
162,0.442816
163,1.27775
164,0.483067
165,0.705958
166,0.263421
167,0.267938
168,1.01166
169,1.63673
170,1.17
171,2.57848
172,1.27379
173,0.32726
174,0.56417
175,0.110471
176,0.113722
177,0.685231
178,0.479649
179,0.367144
180,1.59106
181,1.6886
182,0.39828
183,1.22924
184,0.283371
185,0.403976
186,2.33171
187,3.69877
188,1.12987
189,0.552004
190,0.936468
191,0.703632
192,0.275546
193,2.39169
194,2.2812
195,0.673882
196,0.727457
197,1.79087
198,1.93189
199,0.482825
200,0.946154
201,0.195538
202,1.0197
203,0.614037
204,0.311923
205,1.61317
206,0.44233
207,0.382855
208,0.389341
209,0.507834
210,0.713623
211,7.11354
212,0.306052
213,0.539723
214,0.253093
215,0.468228
216,1.84578
217,0.305441
218,2.92706
219,1.00491
220,0.739042
221,0.425071
222,0.48841
223,1.98496
224,0.1764
225,0.300893
226,0.617177
227,0.695169
228,2.21289
229,3.76972
230,1.35202
231,1.08803
232,0.602782
233,0.579726
234,1.81285
235,0.368727
236,0.673074
237,0.251076
238,0.434569
239,5.09877
240,0.484179
241,1.03227
242,0.627507
243,1.61123
244,1.20406
245,0.565978
246,2.01234
247,0.885857
248,0.574245
249,0.585786
250,1.58502
251,0.751187
252,1.08027
253,1.09937
254,0.833518
255,1.81702
256,0.945274
257,1.6451
258,0.276374
259,0.702577
260,0.32271
261,0.363491
262,0.477591
263,0.693087
264,0.481139
265,4.03497
266,0.152896
267,1.37988
268,1.48201
269,0.956801
270,0.807429
271,0.692256
272,0.260279
273,0.509513
274,0.926288
275,1.24085
276,0.850867
277,0.73308
278,1.17187
279,0.445348
280,1.05181
281,1.75295
282,1.24172
283,0.529406
284,0.106885
285,2.4801
286,0.918512
287,0.110251
288,2.45616
289,0.189949
290,0.26982
291,0.589783
292,3.20592
293,1.99871
294,0.409057
295,0.54602
296,1.16964
297,0.558165
298,3.3168
299,0.605924
300,1.01882
301,0.674691
302,1.22104
303,1.98298
304,0.814403
305,0.159773
306,0.899515
307,0.439947
308,1.2274
309,1.06684
310,0.271173
311,0.957605
312,1.13258
313,1.85911
314,0.583565
315,1.50591
316,0.321422
317,0.395739
318,0.604049
319,1.00473
320,2.49927
321,0.454617
322,1.19053
323,0.379766
324,1.44224
325,1.45586
326,0.354871
327,0.626128
328,0.43863
329,0.417822
330,0.495643
331,1.02758
332,1.33656
333,1.37589
334,1.03408
335,0.522829
336,0.492481
337,1.08622
338,0.435962
339,0.670119
340,0.61416
341,0.384389
342,0.269012
343,1.68573
344,1.05353
345,0.369834
346,1.99312
347,0.724481
348,1.00704
349,1.47241
350,0.34611
351,0.595949
352,0.536709
353,1.96482
354,0.313173
355,0.303613
356,0.586138
357,1.40453
358,1.15974
359,0.871622
360,1.06803
361,0.426049
362,0.800915
363,0.529882
364,0.389458
365,0.714552
366,0.226729
367,0.72957
368,0.302704
369,1.93828
370,0.986729
371,0.832352
372,0.995693
373,1.05608
374,1.33109
375,0.432661
376,0.197503
377,1.27341
378,1.73672
379,1.16335
380,0.582865
381,0.112141
382,1.38652
383,0.541128
384,0.606895
385,1.6056
386,0.834018
387,0.768896
388,0.847978
389,1.68321
390,0.729205
391,1.35486
392,1.26934
393,0.309128
394,1.56018
395,0.352748
396,2.56382
397,4.16202
398,0.182684
399,0.233167
400,0.297899
401,0.668446
402,0.893687
403,0.754953
404,0.241714
405,2.30412
406,1.09893
407,0.167797
408,1.70148
409,0.427116
410,1.60769
411,6.25887
412,0.156297
413,1.01603
414,0.287366
415,0.325628
416,0.190901
417,1.13894
418,0.782626
419,0.317906
420,1.35568
421,1.84264
422,2.77319
423,2.31035
424,0.521472
425,0.402363
426,0.397962
427,0.761017
428,1.70591
429,0.334205
430,0.687633
431,1.58043
432,0.160896
433,0.888252
434,0.366777
435,0.247091
436,3.09875
437,0.35665
438,1.31772
439,0.876429
440,0.534352
441,0.291709
442,0.310677
443,1.04354
444,1.73516
445,0.494257
446,0.478835
447,2.70797
448,1.05506
449,0.986038
450,0.981081
451,0.727021
452,0.617424
453,0.695934
454,1.2715
455,0.604593
456,0.41553
457,1.2752
458,1.71481
459,0.563606
460,0.646294
461,1.72685
462,1.19506
463,0.812938
464,0.229237
465,0.984108
466,0.782939
467,0.446329
468,1.30604
469,0.664314
470,1.26529
471,0.445125
472,1.50576
473,0.695447
474,5.20698
475,1.23368
476,0.815218
477,0.812045
478,0.735945
479,1.12558
480,0.639672
481,0.731689
