MDTU ,delta_S
1,-8.208
2,0.6409
3,-0.425
4,-0.8881
5,0.5517
6,1.345
7,-1.605
8,0.9002
9,2.627
10,0.5606
11,-0.03826
12,0.726
13,0.0954
14,1.5
15,0.1649
16,0.8092
17,-1.014
18,0.58
19,0.7314
20,-0.3121
21,0.3994
22,1.005
23,0.5389
24,0.9352
25,-0.6883
26,1.823
27,1.482
28,0.1664
29,1.251
30,0.5693
31,1.415
32,2.021
33,0.6466
34,1.538
35,1.445
36,2.008
37,1.19
38,-0.7192
39,1.478
40,1.925
41,1.044
42,0.9228
43,0.9764
44,2.023
45,0.03979
46,0.1235
47,0.1951
48,-0.2639
49,-0.1795
50,0.5795
51,0.916
52,0.9751
53,1.622
54,-0.355
55,1.464
56,1.011
57,0.1226
58,1.093
59,-0.8342
60,0.7834
61,1.613
62,1.246
63,-0.4374
64,0.5807
65,-0.5205
66,-0.7099
67,-0.1667
68,0.801
69,0.3814
70,-0.5952
71,1.016
72,-0.1497
73,-0.6087
74,0.3279
75,-0.5518
76,2.384
77,0.1775
78,1.02
79,0.3277
80,1.236
81,0.6946
82,-0.1652
83,0.6738
84,1.121
85,0.3116
86,0.5339
87,1.06
88,-0.2326
89,0.4191
90,0.0169
91,1.677
92,0.1029
93,0.4303
94,0.9564
95,-0.1549
96,-0.7445
97,0.4625
98,-0.7532
99,0.1576
100,0.8214
101,0.01147
102,0.4622
103,1.014
104,0.4647
105,-0.479
106,0.5857
107,1.635
108,0.9158
109,0.176
110,-0.09978
111,0.7845
112,0.8314
113,1.3
114,0.7722
115,1.26
116,-0.419
117,1.692
118,1.022
119,-1.372
120,0.06457
121,0.2299
122,-0.644
123,-0.2571
124,1.409
125,0.361
126,0.03733
127,0.3344
128,0.2198
129,1.775
130,0.8512
131,1.087
132,1.294
133,1.159
134,0.162
135,0.4774
136,1.238
137,0.3391
138,2.165
139,0.6819
140,1.071
141,0.383
142,1.052
143,0.49
144,0.5346
145,0.8891
146,1.343
147,-1.272
148,0.8135
149,-0.1757
150,-0.416
151,0.767
152,1.044
153,0.06777
154,-0.1524
155,0.04384
156,-0.04962
157,-1.11
158,0.003746
159,-0.5358
160,1.64
161,0.925
162,0.8146
163,-0.2451
164,0.7276
165,0.3482
166,1.334
167,1.317
168,-0.01159
169,-0.4927
170,-0.157
171,-0.9472
172,-0.242
173,1.117
174,0.5724
175,2.203
176,2.174
177,0.378
178,0.7347
179,1.002
180,-0.4644
181,-0.5239
182,0.9206
183,-0.2064
184,1.261
185,0.9064
186,-0.8466
187,-1.308
188,-0.1221
189,0.5942
190,0.06564
191,0.3515
192,1.289
193,-0.872
194,-0.8247
195,0.3947
196,0.3182
197,-0.5827
198,-0.6585
199,0.7281
200,0.05535
201,1.632
202,-0.01951
203,0.4877
204,1.165
205,-0.4782
206,0.8157
207,0.9601
208,0.9433
209,0.6776
210,0.3374
211,-1.962
212,1.184
213,0.6167
214,1.374
215,0.7588
216,-0.6129
217,1.186
218,-1.074
219,-0.004897
220,0.3024
221,0.8555
