MDTU,min_ave,max_ave
246,-0.182857,0.170438
247,-0.182661,0.170477
248,-0.177981,0.172374
249,-0.177981,0.172374
250,-0.183988,0.165708
251,-0.179224,0.172373
252,-0.183238,0.16741
253,-0.178432,0.171751
254,-0.187082,0.169463
255,-0.183893,0.170334
256,-0.183072,0.173876
257,-0.187053,0.168752
258,-0.180205,0.170295
259,-0.185337,0.169777
260,-0.186806,0.1729
261,-0.186077,0.169963
262,-0.185446,0.175265
263,-0.185446,0.175265
264,-0.185409,0.171562
265,-0.18625,0.171144
266,-0.186312,0.170656
267,-0.18622,0.17258
268,-0.186106,0.171376
269,-0.183987,0.17052
270,-0.191047,0.173076
271,-0.189777,0.173951
272,-0.186555,0.171919
273,-0.186338,0.172852
274,-0.186338,0.172852
275,-0.185354,0.171586
276,-0.189919,0.173384
277,-0.189919,0.173384
278,-0.183786,0.17389
279,-0.187031,0.171615
280,-0.183286,0.173575
281,-0.184795,0.174906
282,-0.188221,0.17618
283,-0.188221,0.17618
284,-0.190454,0.174597
285,-0.18719,0.172183
286,-0.18436,0.173129
287,-0.190264,0.170394
288,-0.182031,0.172376
289,-0.184685,0.169851
290,-0.186496,0.17161
291,-0.179443,0.172622
292,-0.182057,0.170907
293,-0.183299,0.170944
294,-0.183114,0.171587
295,-0.178551,0.171621
296,-0.185039,0.170629
297,-0.183798,0.169746
298,-0.183866,0.171258
299,-0.184464,0.172689
300,-0.181567,0.172589
301,-0.181567,0.172589
302,-0.182802,0.172216
303,-0.187198,0.17282
304,-0.184128,0.174229
305,-0.184417,0.173424
306,-0.188063,0.174448
307,-0.188172,0.178668
308,-0.190558,0.177117
309,-0.185058,0.176426
310,-0.190659,0.175212
311,-0.18924,0.176837
312,-0.190054,0.178222
313,-0.190232,0.178115
314,-0.191188,0.177268
315,-0.189752,0.176887
316,-0.18753,0.177293
317,-0.18985,0.17327
318,-0.186846,0.177574
319,-0.186846,0.177574
320,-0.188978,0.177216
321,-0.190004,0.17328
322,-0.184441,0.17565
323,-0.194168,0.174592
324,-0.188587,0.17753
325,-0.196769,0.177759
326,-0.196769,0.177759
327,-0.189101,0.18081
328,-0.195037,0.176167
329,-0.190635,0.179285
330,-0.189495,0.177881
331,-0.191513,0.1786
332,-0.192154,0.178239
333,-0.192264,0.177865
334,-0.189501,0.173733
335,-0.186946,0.178895
336,-0.186946,0.178895
337,-0.186587,0.173495
338,-0.186587,0.173495
339,-0.186938,0.178344
340,-0.186805,0.176026
341,-0.189592,0.179862
342,-0.193814,0.174262
343,-0.188477,0.176885
344,-0.188754,0.174199
345,-0.187875,0.173932
346,-0.187562,0.175287
347,-0.186156,0.175274
348,-0.18964,0.176471
349,-0.187921,0.175787
350,-0.189304,0.177033
351,-0.190183,0.172993
352,-0.1882,0.176139
353,-0.190853,0.175465
354,-0.184208,0.17303
355,-0.184208,0.17303
356,-0.188243,0.17405
357,-0.190868,0.173068
358,-0.186781,0.178785
359,-0.19035,0.17231
360,-0.181564,0.172589
361,-0.188429,0.172878
362,-0.187149,0.176713
363,-0.185754,0.173546
364,-0.18339,0.171086
365,-0.183203,0.17503
366,-0.189963,0.171273
367,-0.183893,0.171425
368,-0.185265,0.172853
369,-0.185965,0.171039
370,-0.187186,0.173583
371,-0.189752,0.172004
372,-0.184532,0.175232
373,-0.190174,0.171672
374,-0.183445,0.171462
375,-0.184128,0.172986
376,-0.183364,0.174318
377,-0.18928,0.170345
378,-0.18313,0.173933
379,-0.188691,0.167671
380,-0.181708,0.173647
381,-0.192217,0.170237
382,-0.186628,0.173932
383,-0.186057,0.172814
384,-0.183051,0.171273
385,-0.18199,0.170518
386,-0.18199,0.170518
387,-0.183468,0.168691
388,-0.18178,0.170139
389,-0.180357,0.171963
390,-0.184964,0.169672
391,-0.182775,0.173294
392,-0.188552,0.16774
393,-0.179157,0.170801
394,-0.182981,0.170542
395,-0.186794,0.172263
396,-0.184563,0.169502
397,-0.18344,0.172234
398,-0.18344,0.172234
399,-0.185651,0.174197
400,-0.187309,0.171216
401,-0.184708,0.175207
402,-0.187511,0.170701
403,-0.181513,0.173592
404,-0.187674,0.169902
405,-0.181865,0.173396
406,-0.185276,0.170928
407,-0.184723,0.172871
408,-0.183867,0.168013
409,-0.182205,0.171504
410,-0.18419,0.170583
411,-0.18419,0.170583
412,-0.184944,0.171233
413,-0.187415,0.174298
414,-0.18578,0.169013
415,-0.184114,0.172732
416,-0.188689,0.168963
417,-0.181976,0.169712
418,-0.181793,0.169825
419,-0.185895,0.169255
420,-0.183032,0.167693
421,-0.181219,0.16996
422,-0.186937,0.169074
423,-0.18366,0.170859
424,-0.181585,0.172405
425,-0.190834,0.167529
426,-0.183527,0.175225
427,-0.186833,0.173817
428,-0.184369,0.17098
429,-0.186056,0.17452
430,-0.187723,0.170734
431,-0.180633,0.173482
432,-0.183623,0.168625
433,-0.183021,0.168792
434,-0.183021,0.168792
435,-0.182526,0.170244
436,-0.185484,0.170391
437,-0.186425,0.169956
438,-0.186145,0.171328
439,-0.183507,0.172358
440,-0.188393,0.17026
441,-0.184392,0.175977
442,-0.190309,0.173073
443,-0.186213,0.173864
444,-0.187479,0.174736
445,-0.185577,0.175506
446,-0.189251,0.17298
447,-0.183927,0.171461
448,-0.183529,0.170461
449,-0.184353,0.170002
450,-0.188201,0.171183
451,-0.184112,0.169406
452,-0.183412,0.170773
453,-0.184024,0.17171
454,-0.185208,0.171347
455,-0.182653,0.174416
456,-0.183473,0.16993
457,-0.180271,0.17115
458,-0.18316,0.170866
459,-0.183949,0.171809
460,-0.183949,0.171809
461,-0.180485,0.168615
462,-0.180485,0.168615
463,-0.183356,0.167155
464,-0.182161,0.170696
465,-0.184419,0.171897
466,-0.186995,0.173159
467,-0.186659,0.172668
468,-0.18777,0.173336
469,-0.183689,0.176226
470,-0.185669,0.175427
471,-0.18688,0.175138
472,-0.187688,0.173174
473,-0.181737,0.171737
474,-0.182536,0.171949
475,-0.188542,0.171755
476,-0.181278,0.174847
477,-0.181278,0.174847
478,-0.184293,0.172761
479,-0.185523,0.170765
480,-0.183571,0.170764
481,-0.188409,0.175505
482,-0.189896,0.17459
483,-0.190181,0.177275
484,-0.186948,0.176401
485,-0.186948,0.176401
486,-0.185494,0.172697
487,-0.19153,0.174755
488,-0.184805,0.173463
489,-0.184225,0.171727
490,-0.179131,0.171347
491,-0.186855,0.168063
492,-0.183105,0.170815
493,-0.187685,0.171081
494,-0.183384,0.171144
495,-0.186215,0.171143
496,-0.184135,0.171636
497,-0.185359,0.168818
498,-0.185359,0.168818
499,-0.180936,0.169782
500,-0.182593,0.170351
501,-0.187674,0.171975
502,-0.181926,0.173568
503,-0.183164,0.168963
504,-0.180829,0.171636
505,-0.185837,0.169139
506,-0.181428,0.171072
507,-0.181428,0.171072
508,-0.185059,0.169476
509,-0.179312,0.16956
510,-0.183412,0.168351
511,-0.181675,0.1679
512,-0.182323,0.171723
513,-0.182735,0.17073
514,-0.184465,0.171784
515,-0.18164,0.172211
516,-0.185575,0.171687
517,-0.18389,0.172247
518,-0.180486,0.170924
519,-0.189692,0.16859
520,-0.182891,0.172648
521,-0.188762,0.167567
522,-0.182554,0.172966
523,-0.182554,0.172966
524,-0.182554,0.172966
525,-0.184601,0.171481
526,-0.186618,0.171593
527,-0.180138,0.172289
528,-0.186188,0.172522
529,-0.186892,0.172072
530,-0.183693,0.172346
531,-0.185766,0.170734
532,-0.182335,0.171147
533,-0.183673,0.171485
534,-0.188889,0.174182
535,-0.183757,0.171749
536,-0.189128,0.170504
537,-0.182761,0.17283
538,-0.184629,0.171893
539,-0.179505,0.171075
540,-0.179505,0.171075
541,-0.186557,0.169948
542,-0.180938,0.173206
543,-0.183654,0.170938
544,-0.181128,0.171768
545,-0.182337,0.169026
546,-0.180347,0.169594
547,-0.180347,0.169594
548,-0.183857,0.171119
549,-0.183857,0.171119
550,-0.184022,0.169749
551,-0.180883,0.169699
552,-0.181943,0.17048
553,-0.18706,0.171445
554,-0.18322,0.173552
555,-0.188483,0.170948
556,-0.183665,0.172654
557,-0.183665,0.172654
558,-0.18589,0.171515
559,-0.18589,0.171515
560,-0.188149,0.170809
561,-0.186981,0.173232
562,-0.189543,0.172536
563,-0.184381,0.171519
564,-0.184664,0.170017
565,-0.185402,0.175119
566,-0.183155,0.168028
567,-0.182598,0.170607
568,-0.186717,0.173866
569,-0.185188,0.171027
570,-0.184243,0.170394
571,-0.181328,0.171743
572,-0.183391,0.171693
573,-0.186577,0.171355
574,-0.182406,0.175887
575,-0.182406,0.175887
576,-0.185358,0.169419
577,-0.186257,0.172656
578,-0.185484,0.170514
579,-0.183186,0.171979
580,-0.18758,0.170481
581,-0.18485,0.173011
582,-0.183795,0.174546
583,-0.182519,0.172756
584,-0.187212,0.169338
585,-0.185051,0.174536
586,-0.187665,0.171094
587,-0.185437,0.173788
588,-0.187138,0.170397
589,-0.182897,0.170401
590,-0.180302,0.17124
591,-0.183821,0.171264
592,-0.182256,0.171652
593,-0.184585,0.172806
594,-0.18574,0.174179
595,-0.185595,0.171937
596,-0.184093,0.173089
597,-0.183584,0.17255
598,-0.185347,0.174089
599,-0.184039,0.176875
600,-0.18747,0.174411
601,-0.183446,0.17489
602,-0.193411,0.17714
603,-0.190999,0.176322
604,-0.19049,0.173712
605,-0.188677,0.175201
606,-0.185849,0.175549
607,-0.186536,0.174139
608,-0.187002,0.173137
609,-0.183768,0.175211
610,-0.189242,0.174002
611,-0.18814,0.173586
612,-0.1804,0.172177
613,-0.181299,0.170619
614,-0.182045,0.170337
615,-0.185702,0.172284
616,-0.185714,0.170614
617,-0.18403,0.170237
618,-0.184942,0.16941
619,-0.184184,0.169313
620,-0.184184,0.169313
621,-0.180089,0.171648
622,-0.185912,0.171523
623,-0.183131,0.169397
624,-0.185586,0.172232
625,-0.182613,0.174631
626,-0.182613,0.174631
627,-0.185622,0.170276
628,-0.182787,0.17202
629,-0.185269,0.170947
630,-0.186175,0.173359
631,-0.183721,0.172128
632,-0.187413,0.169775
633,-0.181442,0.172837
634,-0.181591,0.170734
635,-0.183462,0.171586
636,-0.18423,0.169371
637,-0.181041,0.16934
638,-0.184926,0.169967
639,-0.181329,0.172451
