MDTU,|Tr(L)|,ReTr(L),ImTr(L)
182,0.715493,0.32177,0.639058
183,0.569729,0.0280477,0.569039
184,0.6669,0.355667,0.564142
185,0.61624,0.284195,0.546795
186,0.774674,0.16972,0.755853
187,0.722075,-0.00451401,0.722061
188,0.5579,0.0574827,0.554931
189,0.875309,0.395829,0.780695
190,0.779748,0.144176,0.766303
191,0.779748,0.144176,0.766303
192,0.793755,0.0235083,0.793407
193,0.737453,-0.00314803,0.737446
194,0.781624,0.0903403,0.776386
195,0.806096,0.0578902,0.804015
196,0.864097,0.0414616,0.863101
197,0.902952,-0.447319,0.784365
198,0.830155,-0.113663,0.822337
199,0.988768,0.0260594,0.988425
200,0.842352,-0.114403,0.834547
201,0.991772,-0.0567538,0.990147
202,1.1548,-0.156835,1.1441
203,0.987714,0.014432,0.987609
204,1.0249,0.233791,0.997877
205,0.768683,0.00160577,0.768681
206,0.680176,0.0344963,0.6793
207,0.73679,0.0637287,0.734029
208,0.551036,-0.112081,0.539517
209,0.604641,-0.0798487,0.599345
210,0.455038,-0.135784,0.434306
211,0.478264,-0.139211,0.457555
212,0.543745,0.14233,0.524786
213,0.534618,-0.0423333,0.532939
214,0.582439,-0.117056,0.570555
215,0.512545,0.00217594,0.512541
216,0.596223,-0.224822,0.55221
217,0.497411,-0.0114745,0.497278
218,0.745654,0.0789667,0.741461
219,0.598605,0.0706031,0.594426
220,0.595764,0.0119648,0.595644
221,0.434161,-0.106937,0.420786
222,0.69198,-0.174285,0.669673
223,0.976552,-0.223441,0.950646
224,0.92699,0.000102345,0.92699
225,0.779339,-0.245525,0.739653
226,0.681801,-0.242506,0.637215
227,0.825203,-0.597334,0.569344
228,1.10275,-0.536458,0.963472
229,1.08196,-0.82425,0.700889
230,0.909701,-0.796173,0.440073
231,1.04604,-0.712715,0.765654
232,1.24479,-1.00751,0.731053
233,1.00842,-0.656248,0.765664
234,1.19728,-0.57035,1.05271
235,1.0645,-0.428292,0.974537
236,0.859753,-0.396464,0.762884
237,0.854844,-0.59806,0.610805
238,0.644727,-0.384585,0.517462
239,0.784268,-0.284285,0.73093
240,0.883308,-0.538881,0.699886
241,0.883308,-0.538881,0.699886
242,0.799616,-0.311082,0.736623
243,0.94879,-0.28724,0.904266
244,0.94879,-0.28724,0.904266
245,0.903077,-0.0211325,0.90283
246,0.906625,-0.0377723,0.905838
247,1.03557,0.183529,1.01918
248,1.03895,0.0832732,1.0356
249,1.03895,0.0832732,1.0356
250,1.00471,0.212599,0.981955
251,1.0006,0.157114,0.988189
252,1.11593,0.245753,1.08853
253,0.914386,-0.0439581,0.913329
254,1.00382,-0.0102324,1.00377
255,0.941245,0.462919,0.819542
256,0.914466,0.579452,0.707448
257,0.848063,0.53499,0.658025
258,0.607219,0.235268,0.559789
259,0.803627,0.550428,0.585531
260,0.833583,0.660577,0.508428
261,0.734087,0.448938,0.580808
262,0.821762,0.0987973,0.815801
263,0.821762,0.0987973,0.815801
264,0.807907,-0.0626983,0.80547
265,0.689296,-0.176394,0.666343
266,0.691146,-0.235038,0.649953
267,0.36829,0.217168,0.297449
268,0.71039,0.112364,0.701447
269,0.703766,-0.0447235,0.702343
270,0.975296,0.439598,0.870607
271,1.1263,0.591597,0.958413
272,1.2734,0.320575,1.23239
273,1.00692,0.481227,0.884486
274,1.00692,0.481227,0.884486
275,0.712569,0.403921,0.587029
276,1.03808,0.588274,0.8553
277,1.03808,0.588274,0.8553
278,0.98138,0.664415,0.72226
279,0.878268,0.347454,0.806617
280,1.14598,0.498492,1.03188
281,1.19322,0.582877,1.04117
282,1.25625,0.698076,1.04444
283,1.25625,0.698076,1.04444
284,0.938744,0.718387,0.604284
285,1.02159,0.678105,0.764075
