MDTU,susyTrans,Im(bilin)
10,-0.181874,0.000825247
20,-0.159792,-0.000862741
30,-0.0792625,-0.00562735
40,-0.161579,-0.000845539
50,-0.0963787,-2.82849e-05
60,-0.0615287,0.00372824
70,-0.200492,-0.00133771
80,-0.0487398,-0.00348415
90,-0.0398734,-0.00216023
100,-0.160717,-0.000574969
110,-0.0332126,-0.000111068
120,-0.186285,-0.00166778
130,-0.0771329,0.00262136
140,-0.108915,-0.00029535
150,-0.160767,0.00344953
160,-0.0778812,0.000185511
170,-0.095071,0.00419717
180,-0.0798352,0.00045278
190,-0.106325,-0.00221698
200,-0.137517,-0.00162705
210,-0.106104,0.00222848
220,-0.116007,-0.0021409
230,-0.16413,0.00374895
240,0.0296337,-0.00222238
250,-0.206672,0.00268098
260,-0.110325,0.00444631
270,-0.17798,0.00304168
280,-0.0426289,0.00121186
290,-0.123709,-0.000155114
300,-0.0698273,-0.000960024
310,-0.129312,0.00143163
320,-0.0544545,-0.00557659
330,-0.0720772,0.00237921
340,-0.0504359,0.00426808
350,-0.0757475,0.00355437
360,-0.0364008,-0.00688701
370,-0.0958296,-0.00561815
380,-0.035407,0.000869781
390,-0.135223,-0.001827
400,-0.143378,-7.26968e-05
410,-0.134735,-0.00126124
420,-0.139338,-0.00101938
430,-0.166277,0.00357426
440,-0.206173,0.00427195
450,-0.14496,0.000428897
460,-0.103662,-0.000775923
470,-0.080595,-0.000146228
480,-0.113136,-0.00125796
490,-0.00887836,-0.000791721
500,-0.0956743,0.00126386
510,-0.116746,0.00176888
520,-0.0570866,0.00272044
530,-0.0578519,-0.00221927
540,-0.037703,-0.00277524
550,-0.126027,0.00202229
560,-0.172836,0.00050107
570,-0.0988141,-0.00130331
580,-0.142092,0.0027257
590,-0.0530323,-0.00175358
600,-0.104683,0.00209083
610,-0.115087,0.00189559
620,-0.123385,-0.00010138
630,-0.0784879,0.00136783
640,-0.126983,0.000257239
650,-0.0724086,-0.000371729
660,-0.00544688,-0.00187809
670,-0.0397482,0.000824552
680,-0.0812187,0.00208224
690,-0.109487,-0.00101966
700,-0.103363,7.43705e-06
710,-0.160556,-0.00129531
720,-0.132147,-0.00484278
730,-0.0879472,-9.63398e-05
740,-0.0626339,0.000912368
750,-0.133853,0.00100896
760,-0.11678,-0.00024214
770,-0.139786,0.00162772
780,-0.124707,0.00288902
790,-0.0732647,-0.00561239
800,-0.173586,-0.00120685
810,-0.195565,0.00109717
820,0.0252827,-0.00165619
830,-0.17081,0.0032944
840,-0.067129,-0.00301431
850,-0.103722,-1.71603e-05
860,-0.129671,-0.00349186
870,-0.0925594,0.00696717
880,-0.168438,0.00297836
890,-0.0747786,-0.00132149
900,-0.114075,-0.00161163
910,-0.0663951,0.00542351
920,-0.0592118,0.00206075
930,-0.108312,0.0053225
940,-0.0595236,-0.00310646
950,-0.0554414,0.000102793
960,-0.0805054,-0.00209335
970,-0.0458648,0.00394974
980,-0.0535327,0.00336295
990,-0.117777,-0.0022736
1000,-0.109479,-0.00273311
1010,-0.123359,0.00432382
1020,-0.0397656,0.00216552
1030,-0.113803,0.000508665
1040,-0.0395418,0.000277848
1050,-0.0377378,-0.000751648
1060,0.0018477,0.00327976
1070,-0.116525,0.000226384
1080,-0.0556454,-0.00193614
1090,-0.133435,-0.00374766
1100,-0.0465337,-0.00102542
1110,0.0026134,0.00201729
1120,-0.134707,0.00079757
1130,-0.108276,0.00245868
1140,-0.0708289,0.0023247
1150,-0.120268,-0.00299041
1160,-0.0939806,-0.000680896
1170,-0.0835938,-0.00177865
1180,-0.0170802,6.1705e-05
1190,-0.108377,0.00178607
1200,-0.0986712,-0.00290641
1210,-0.043885,0.00414217
1220,-0.10397,0.000325606
1230,-0.13773,0.00293417
1240,-0.0928871,-0.00287467
1250,-0.20223,0.00037577
1260,-0.0599815,-0.00351054
1270,-0.105863,5.91393e-05
1280,-0.132017,0.000105463
1290,-0.161345,-0.000123223
1300,-0.105822,0.0010473
1310,-0.141936,0.00240019
1320,-0.0802818,-0.00455636
1330,-0.0718277,0.00166005
1340,-0.156861,0.00438533
1350,-0.125652,-0.000339874
1360,0.00437895,0.000572437
1370,-0.121787,-0.000749804
1380,-0.205083,0.00135826
1390,-0.0857736,-0.000518499
1400,-0.028008,0.00119335
1410,-0.115522,-0.00200682
1420,-0.112272,-0.00142664
1430,-0.108535,0.00464836
1440,-0.138529,0.000268934
1450,-0.1022,-0.0016797
1460,-0.109686,0.00272339
1470,-0.0817239,0.00211775
1480,0.034802,-0.00148897
1490,-0.142187,5.75696e-05
1500,-0.127262,0.00095519
1510,-0.070954,0.000902507
1520,-0.109961,0.00153097
1530,-0.161114,0.00302845
1540,-0.0452253,0.00465103
1550,-0.233458,-0.000221838
1560,-0.125863,-0.0022415
1570,-0.0648476,-0.00221119
1580,-0.076574,0.00310239
1590,-0.0934734,0.0022183
1600,-0.212647,-0.00402559
1610,-0.172302,0.00183314
1620,-0.113087,0.000222951
1630,-0.0902357,-0.00385848
1640,-0.150877,0.00091799
1650,-0.0686311,0.000616162
1660,-0.0918014,1.94465e-05
1670,-0.100478,-0.00218406
1680,-0.0872798,-0.00249667
1690,-0.14423,-0.00025746
1700,-0.0870214,0.00318196
1710,-0.0762913,0.000904641
1720,-0.139854,-0.0008434
1730,-0.0421225,-0.00222596
1740,-0.0986268,0.00045625
1750,-0.072382,0.00347648
1760,-0.160548,-0.00395829
1770,-0.058415,-0.000362109
1780,-0.0653728,0.00137748
1790,-0.0887649,-0.00259611
1800,-0.0897955,-0.000775595
1810,-0.160996,-0.0006766
1820,-0.184945,0.00201465
1830,-0.109618,0.000322603
1840,-0.111937,0.0013597
1850,-0.0375919,0.00337997
1860,-0.209198,-0.00184216
1870,-0.170992,-0.000783714
1880,-0.0809309,-0.000705396
1890,-0.0970142,0.00031292
1900,-0.130054,-0.00223844
1910,-0.115778,-0.00165201
