t,deltaS
431,0.06093
432,-0.1082
433,-0.02717
434,0.2368
435,-0.02539
436,-0.1867
437,-0.1331
438,-0.1679
439,-0.006742
440,0.3703
441,0.07396
442,0.084
443,0.02284
444,0.1885
445,-0.07635
446,0.1967
447,0.1084
448,-0.07685
449,0.03907
450,0.2135
451,-0.09882
452,-0.2377
453,-0.063
454,0.3271
455,0.09431
456,0.1202
457,-0.1642
458,0.05001
459,-0.06487
460,0.2964
461,0.02947
462,0.2505
463,-0.04684
464,-0.1585
465,0.04816
466,-0.08917
467,0.1599
468,0.1162
469,0.1721
470,-0.03173
471,-0.1128
472,0.04284
473,-0.07402
474,0.2471
475,0.09096
476,-0.1248
477,0.2068
478,0.1926
479,0.004321
480,0.1106
481,-0.1562
482,-0.03242
483,-0.1483
484,-0.2376
485,0.2089
486,0.2807
487,-0.2052
488,0.002786
489,-0.3516
490,-0.1102
491,0.05411
492,0.02928
493,-0.05869
494,-0.1894
495,0.1304
496,-0.03808
497,-0.2228
498,0.2309
499,-0.06425
500,-0.1482
501,-0.1629
502,-0.2376
503,-0.2244
504,-0.234
505,0.05556
506,-0.07552
507,0.2296
508,0.1254
509,-0.08842
510,-0.2339
511,-0.2972
512,-0.0294
513,0.04297
514,-0.04208
515,0.009315
516,-0.1733
517,0.1505
518,-0.03505
519,-0.09344
520,-0.2926
521,-0.04383
522,0.04557
523,0.202
524,0.2055
525,-0.07617
526,-0.1154
527,-0.02596
528,0.1583
529,0.2955
530,-0.2226
531,-0.1729
532,0.2173
533,0.1114
534,-0.253
535,-0.06638
536,0.21
537,-0.01031
538,-0.2274
539,0.03428
540,0.2829
541,0.4066
542,-0.2682
543,0.1755
544,0.01342
545,0.04755
546,-0.2042
547,0.221
548,-0.04109
549,0.3431
550,-0.2715
551,0.2106
552,-0.05632
553,0.0143
554,0.05213
555,0.08754
556,-0.3078
557,0.2018
558,0.1192
559,0.184
560,0.1291
561,-0.08181
562,0.0442
563,-0.1449
564,-0.09466
565,-0.2415
566,0.1234
567,-0.1815
568,-0.4435
569,-0.01337
570,-0.09874
571,-0.009289
572,0.1249
573,0.06654
574,0.04044
575,0.06633
576,0.01964
577,-0.01256
578,-0.1276
579,-0.2534
580,0.1679
581,0.01778
582,-0.1952
583,0.06811
584,-0.2119
585,-0.1356
586,0.3336
587,-0.1047
588,0.1793
589,0.09144
590,-0.06596
591,-0.04335
592,-0.2424
593,-0.1498
594,-0.08843
595,-0.03118
596,-0.02132
597,0.06924
598,0.2164
599,-0.05255
600,0.1432
601,-0.03085
602,0.1399
603,-0.2736
604,-0.198
605,-0.146
606,0.04151
607,0.1398
608,0.04062
609,-0.1465
610,-0.2614
611,0.147
612,-0.2735
613,0.1772
614,-0.01411
615,0.01226
616,0.1452
617,-0.01714
618,-0.04845
619,0.1248
620,0.1588
621,-0.09347
622,0.1044
623,-0.2564
624,0.03184
625,-0.1621
626,0.123
627,0.04498
628,-0.1039
629,0.1545
630,0.01908
631,0.1353
632,0.1908
633,-0.01186
634,-0.04848
635,0.004822
636,0.2316
637,-0.09438
638,0.1864
639,0.0654
640,-0.1015
641,0.03749
642,0.0831
643,0.004515
644,0.06616
645,-0.1972
646,-0.07278
647,0.2475
648,0.1381
649,0.07733
650,-0.2268
651,0.08306
652,-0.1338
653,0.1817
654,-0.4368
