t,cg_iters
1,4999
2,7023
3,7734
4,8276
5,8572
6,9168
7,8668
8,8270
9,8146
10,8906
11,7049
12,6997
13,6612
14,6731
15,6320
16,5972
17,6039
18,6251
19,6023
20,5409
21,6124
22,6627
23,6929
24,7099
25,6416
26,6101
27,6018
28,5671
29,5436
30,5628
31,5898
32,5978
33,6177
34,6323
35,6630
36,6933
37,7822
38,9238
39,9965
40,9162
41,8296
42,7695
43,7603
44,7281
45,7613
46,9019
47,9432
48,9239
49,9080
50,8852
51,8872
52,9525
53,9512
54,8720
55,8004
56,7468
57,7913
58,7822
59,6854
60,6919
61,6653
62,6237
63,6822
64,6510
65,5949
66,6191
67,7240
68,6560
69,6439
70,6909
71,6506
72,6601
73,6463
74,6667
75,6782
76,6971
77,7255
78,7340
79,7515
80,7403
81,7387
82,7695
83,7133
84,6762
85,7136
86,6870
87,6667
88,6841
89,5960
90,5930
91,5927
92,6422
93,6520
94,5895
95,6004
96,6345
97,7596
98,7558
99,7010
100,6362
101,7054
102,7115
103,7353
104,7499
105,7747
106,7960
107,7845
108,7535
109,6812
110,6185
111,6091
112,6404
113,6667
114,6785
115,7120
116,6496
117,6157
118,6081
119,6492
120,6239
121,6124
122,6671
123,6429
124,6438
125,6999
126,7772
127,7753
128,7483
129,7044
130,7210
131,7306
132,7065
133,7035
134,6646
135,5893
136,5903
137,5706
138,5809
139,5945
140,6230
141,6077
142,6189
143,6211
144,5986
145,5900
146,5874
147,5840
148,5756
149,5673
150,6089
151,6073
152,6115
153,6035
154,5958
155,5887
156,6126
157,6427
158,6233
159,6512
160,7134
161,8204
162,7722
163,6943
164,6498
165,6460
166,7301
167,8067
168,9665
169,10343
170,11437
171,10956
172,10253
173,9157
174,8449
175,8213
176,8105
177,8056
178,8709
179,9377
180,9645
181,9417
182,10056
183,9286
184,7883
185,7105
186,6977
187,6224
188,6711
189,6721
190,7114
191,7477
192,7232
193,6757
194,6156
195,6168
196,6219
197,6278
198,6298
199,5921
200,6138
201,6178
202,6355
203,6217
204,6557
205,6070
206,6144
207,6313
208,7095
209,8303
210,8920
211,9088
212,8489
213,8160
214,7223
215,7288
216,7271
217,6509
218,6869
219,6653
220,6602
221,6534
222,6428
223,6419
224,5999
225,6366
226,6578
227,7125
228,7131
229,6938
230,6743
231,6204
232,5945
233,5693
234,5943
235,5801
236,6377
237,7586
238,7770
239,7165
240,6361
241,6044
242,5935
243,5809
244,6178
245,5569
246,5730
247,6068
248,6104
249,6859
250,6199
251,6139
252,6047
253,6679
254,7349
255,7203
256,7645
257,7386
258,7539
259,7833
260,6903
261,6793
262,7328
263,7776
264,7416
265,7272
266,7297
267,7208
268,6713
269,6384
270,6714
271,6783
272,6444
273,6059
274,6360
275,6000
276,5767
277,5906
278,5976
279,6048
280,5952
281,5886
282,6008
283,5853
284,5868
285,5808
286,5667
287,5815
288,5670
289,5451
290,5712
291,5639
292,5950
293,6255
294,6450
295,6204
296,6115
297,6483
298,6281
299,6343
300,6189
301,6083
302,5994
303,5805
304,6350
305,6511
306,5710
307,5343
308,5236
309,5529
310,5507
311,5579
312,5248
313,5298
314,5762
315,6334
316,6457
317,6114
318,6499
319,6669
320,6291
321,6731
322,6281
323,5503
324,5160
325,5454
326,5769
327,5499
328,5093
329,5258
330,5326
331,5330
332,5170
333,5499
334,5365
335,5390
336,5564
337,5494
338,5480
339,5364
340,5278
341,5270
342,5213
343,5370
344,5710
345,5492
346,5344
347,5581
348,5938
349,5956
350,5701
351,5610
352,5404
353,5464
354,6043
355,6104
356,5364
357,5103
358,5304
359,5571
360,5585
361,5372
362,5475
363,5576
364,5399
365,5437
366,5649
367,6159
368,6298
369,6004
370,5668
371,5787
372,5930
373,6387
374,6668
375,6222
376,6039
377,5914
378,5806
379,6277
380,5903
381,5854
382,5949
383,6358
384,6763
385,6586
386,7242
387,6486
388,6816
389,6883
390,6452
391,6310
392,6203
393,6118
394,6392
395,6784
396,6435
397,6662
398,6387
399,6606
400,6091
401,6653
402,6445
403,5922
404,5865
405,6786
406,7366
407,6541
408,6490
409,6774
410,6871
411,7127
412,6318
413,6549
414,6609
415,6629
416,6368
417,6652
418,6368
419,6309
420,6351
421,6564
422,6656
423,6674
424,6778
425,6752
426,6246
427,5908
428,5836
429,6080
430,6363
431,6431
432,6730
433,6891
434,6275
435,6722
436,6652
437,7039
438,7275
439,7345
440,7275
441,6671
442,5811
443,5643
444,5724
445,6019
446,6134
447,6798
448,6262
449,6164
450,6144
451,6009
452,5983
453,6404
454,6116
455,6056
456,6001
457,6154
458,6533
459,7514
460,8470
461,7668
462,8230
463,8020
464,7575
465,6050
466,5987
467,5992
468,5691
469,5457
470,5478
471,5718
472,6088
473,6213
474,6247
475,6332
476,6041
477,6453
478,6812
479,6695
480,6521
481,7368
482,7775
483,7859
484,7829
485,7077
486,7037
487,7020
488,7179
489,6832
490,7108
491,7293
492,6935
