MDTU,min_min,min_max,max_min,max_max5
1,-0.715806,0.203131,-0.159253,0.423664
2,-0.900354,0.198833,-0.22258,0.437847
3,-1.10032,0.227814,-0.270375,0.462634
4,-1.13435,0.227574,-0.232943,0.487774
5,-1.25927,0.24482,-0.265127,0.4814
6,-1.5654,0.214471,-0.352233,0.518363
7,-1.05289,0.303268,-0.276846,0.541428
8,-2.14319,0.288249,-0.302414,0.494979
9,-1.2564,0.220084,-0.233895,0.488022
10,-1.36375,0.264366,-0.340452,0.514844
11,-1.25379,0.287947,-0.318173,0.516128
12,-1.25379,0.287947,-0.318173,0.516128
13,-1.25379,0.287947,-0.318173,0.516128
14,-1.23254,0.271454,-0.308187,0.497937
15,-1.30311,0.270225,-0.242013,0.550688
16,-1.6067,0.240863,-0.280495,0.520939
17,-1.28221,0.250079,-0.325512,0.529088
18,-1.31875,0.270689,-0.277594,0.489618
19,-1.4458,0.276474,-0.254499,0.534707
20,-1.23894,0.224737,-0.29795,0.493953
21,-1.29448,0.288719,-0.286964,0.526568
22,-1.25545,0.241107,-0.344691,0.52906
23,-1.47144,0.23833,-0.306326,0.506211
24,-1.55795,0.296094,-0.334044,0.492491
25,-1.21084,0.223588,-0.309727,0.498982
26,-1.58177,0.268652,-0.269125,0.503023
27,-1.44172,0.270119,-0.302272,0.513967
28,-1.39497,0.329288,-0.289567,0.488122
29,-1.43113,0.242642,-0.327374,0.47991
30,-1.13379,0.259263,-0.25347,0.50801
31,-1.47332,0.282794,-0.317233,0.523903
32,-1.34125,0.226085,-0.259132,0.515503
33,-1.70301,0.233497,-0.334729,0.518032
34,-1.32998,0.254885,-0.309633,0.49172
35,-1.07226,0.25435,-0.327567,0.479119
36,-1.20774,0.261879,-0.304178,0.497504
37,-1.53461,0.24101,-0.306038,0.510116
38,-1.19676,0.24957,-0.273773,0.517636
39,-1.32995,0.240476,-0.295749,0.516822
40,-1.45569,0.300038,-0.282142,0.473657
41,-1.19814,0.246402,-0.253822,0.481564
42,-1.18908,0.251366,-0.276319,0.505335
43,-1.4006,0.2613,-0.28275,0.524923
44,-1.53885,0.280379,-0.341294,0.521648
45,-1.27819,0.254079,-0.313588,0.492227
46,-1.31874,0.23673,-0.308832,0.492267
47,-1.44404,0.239738,-0.299125,0.497212
48,-1.54692,0.266136,-0.257948,0.498358
49,-1.51296,0.272598,-0.309195,0.497754
50,-1.22796,0.262604,-0.268526,0.512733
51,-1.29982,0.252613,-0.345118,0.501857
52,-1.27768,0.245784,-0.414064,0.476197
53,-1.10919,0.237472,-0.426868,0.494378
54,-1.30246,0.23773,-0.27508,0.495971
55,-1.53625,0.268724,-0.288777,0.511115
56,-1.28781,0.236756,-0.473198,0.483167
57,-1.28822,0.241508,-0.289412,0.511587
58,-1.56313,0.211721,-0.392708,0.493849
59,-1.38937,0.241199,-0.25366,0.471534
60,-1.31593,0.28468,-0.371877,0.514644
61,-1.42573,0.245715,-0.305707,0.514004
62,-1.31058,0.285129,-0.331305,0.489984
63,-1.13912,0.220857,-0.398211,0.470313
64,-1.25178,0.222176,-0.321502,0.509704
65,-1.23577,0.259106,-0.26631,0.488376
66,-1.46541,0.258024,-0.30226,0.525529
67,-1.69257,0.254897,-0.268782,0.508198
68,-2.67633,0.245247,-0.310237,0.498779
69,-1.31194,0.236228,-0.346515,0.471472
70,-1.19535,0.21895,-0.278995,0.511792
71,-1.2634,0.23664,-0.332576,0.49675
72,-1.35804,0.252461,-0.458383,0.516724
73,-1.34212,0.267222,-0.366969,0.486319
74,-1.45358,0.231448,-0.368474,0.490303
75,-1.23704,0.255786,-0.290462,0.481924
76,-1.26933,0.265678,-0.238132,0.502475
77,-1.27647,0.266125,-0.34672,0.513309
78,-1.32886,0.252317,-0.37261,0.533836
79,-1.40645,0.21862,-0.304891,0.479136
80,-1.09853,0.243007,-0.307988,0.495599
81,-1.09853,0.243007,-0.307988,0.495599
82,-1.58345,0.236417,-0.28629,0.497084
83,-1.68283,0.238526,-0.302854,0.491438
84,-1.63416,0.292129,-0.296523,0.483121
85,-1.33534,0.227321,-0.275665,0.501736
86,-1.32099,0.304062,-0.322358,0.509955
87,-1.23883,0.2551,-0.271607,0.469938
88,-1.21646,0.25039,-0.320137,0.509403
89,-1.3553,0.266786,-0.302356,0.488082
90,-1.54588,0.25529,-0.356462,0.493687
91,-1.75894,0.28857,-0.267754,0.474576
92,-1.18498,0.241168,-0.282194,0.512052
93,-1.33669,0.245937,-0.334238,0.491286
94,-1.43404,0.263262,-0.316682,0.482892
95,-1.39949,0.24865,-0.289827,0.494097
96,-1.48547,0.275179,-0.272485,0.478731
97,-1.39827,0.243192,-0.235242,0.489695
98,-1.07797,0.287564,-0.36849,0.500735
99,-1.27413,0.250693,-0.253051,0.512451
100,-1.4083,0.259232,-0.31263,0.491574
101,-2.16858,0.230975,-0.304485,0.514993
102,-1.77736,0.258604,-0.350715,0.534303
103,-1.28192,0.24263,-0.270099,0.49177
104,-1.28192,0.24263,-0.270099,0.49177
105,-1.37653,0.252246,-0.319927,0.52588
106,-1.10519,0.252583,-0.375721,0.524703
107,-1.20882,0.282369,-0.285644,0.525154
108,-1.41015,0.265821,-0.318943,0.497797
109,-1.7022,0.229876,-0.349829,0.490621
110,-1.43978,0.294957,-0.385994,0.510986
111,-1.08123,0.25272,-0.266503,0.495153
112,-1.05464,0.227734,-0.377256,0.507767
113,-1.67408,0.258125,-0.310349,0.533109
114,-1.20716,0.246622,-0.269155,0.52592
115,-1.23741,0.24152,-0.243943,0.520112
116,-1.79814,0.220982,-0.23915,0.510338
117,-1.24114,0.218041,-0.402527,0.513993
118,-1.13261,0.219733,-0.268944,0.49487
119,-1.13261,0.219733,-0.268944,0.49487
120,-1.34237,0.256117,-0.271671,0.517557
121,-1.39685,0.239191,-0.279683,0.544519
122,-1.19992,0.270015,-0.278619,0.481969
123,-1.35153,0.236083,-0.263075,0.50158
124,-1.35419,0.246016,-0.280105,0.481232
125,-1.16734,0.251432,-0.482696,0.470357
126,-1.47512,0.232434,-0.315725,0.513646
127,-1.29383,0.283973,-0.232179,0.507954
128,-1.172,0.300124,-0.337922,0.486571
