MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
10,	0.769696,0.000825247,0.592982,-0.176715
20,	0.765741,-0.000862741,0.609366,-0.156375
30,	0.76754,-0.00562735,0.685948,-0.0815923
40,	0.764844,-0.000845539,0.607065,-0.157778
50,	0.767417,-2.82849e-05,0.669278,-0.098139
60,	0.76638,0.00372824,0.702416,-0.0639634
70,	0.77521,-0.00133771,0.580982,-0.194228
80,	0.771708,-0.00348415,0.720258,-0.05145
90,	0.766672,-0.00216023,0.724609,-0.0420626
100,	0.769474,-0.000574969,0.61151,-0.157964
110,	0.761955,-0.000111068,0.726978,-0.0349768
120,	0.771625,-0.00166778,0.59061,-0.181015
130,	0.76362,0.00262136,0.684519,-0.0791004
140,	0.772129,-0.00029535,0.661398,-0.110731
150,	0.763582,0.00344953,0.606783,-0.156799
160,	0.768991,0.000185511,0.688599,-0.0803918
170,	0.770223,0.00419717,0.672983,-0.0972406
180,	0.766038,0.00045278,0.684047,-0.0819907
190,	0.768355,-0.00221698,0.660616,-0.107739
200,	0.766151,-0.00162705,0.629767,-0.136384
210,	0.775302,0.00222848,0.6668,-0.108502
220,	0.766211,-0.0021409,0.649674,-0.116537
230,	0.766848,0.00374895,0.606389,-0.160459
240,	0.768611,-0.00222238,0.801519,0.0329082
250,	0.770102,0.00268098,0.57186,-0.198242
260,	0.770667,0.00444631,0.65881,-0.111857
270,	0.772816,0.00304168,0.598812,-0.174003
280,	0.761425,0.00121186,0.716845,-0.0445798
290,	0.770494,-0.000155114,0.6461,-0.124393
300,	0.76596,-0.000960024,0.693796,-0.0721639
310,	0.766321,0.00143163,0.637426,-0.128895
320,	0.767923,-0.00557659,0.710937,-0.0569864
330,	0.764405,0.00237921,0.690174,-0.0742306
340,	0.769706,0.00426808,0.716663,-0.0530429
350,	0.765293,0.00355437,0.687374,-0.0779185
360,	0.771946,-0.00688701,0.733192,-0.0387546
370,	0.771482,-0.00561815,0.673352,-0.0981297
380,	0.76521,0.000869781,0.727818,-0.0373926
390,	0.76367,-0.001827,0.629816,-0.133854
400,	0.771534,-7.26968e-05,0.628825,-0.142709
410,	0.772946,-0.00126124,0.637916,-0.13503
420,	0.76919,-0.00101938,0.630599,-0.138591
430,	0.766053,0.00357426,0.60386,-0.162193
440,	0.767883,0.00427195,0.570638,-0.197245
450,	0.771216,0.000428897,0.627124,-0.144092
460,	0.769694,-0.000775923,0.664299,-0.105395
470,	0.764848,-0.000146228,0.682245,-0.0826032
480,	0.767647,-0.00125796,0.653584,-0.114063
490,	0.776018,-0.000791721,0.766335,-0.00968286
500,	0.768581,0.00126386,0.670969,-0.097612
510,	0.766171,0.00176888,0.64895,-0.117221
520,	0.768764,0.00272044,0.709061,-0.0597029
530,	0.769918,-0.00221927,0.709354,-0.0605647
540,	0.768899,-0.00277524,0.728952,-0.0399463
550,	0.768101,0.00202229,0.641944,-0.126156
560,	0.765878,0.00050107,0.597942,-0.167936
570,	0.76541,-0.00130331,0.665205,-0.100205
580,	0.773356,0.0027257,0.631488,-0.141868
590,	0.767889,-0.00175358,0.712342,-0.0555468
600,	0.771019,0.00209083,0.664469,-0.10655
610,	0.76798,0.00189559,0.652036,-0.115945
620,	0.767168,-0.00010138,0.643611,-0.123557
630,	0.768506,0.00136783,0.68757,-0.0809364
640,	0.770221,0.000257239,0.642828,-0.127393
650,	0.764318,-0.000371729,0.68977,-0.0745483
660,	0.763922,-0.00187809,0.75806,-0.00586168
670,	0.768638,0.000824552,0.726596,-0.0420425
680,	0.77432,0.00208224,0.69008,-0.0842407
690,	0.762303,-0.00101966,0.652445,-0.109859
700,	0.767652,7.43705e-06,0.66282,-0.104832
710,	0.770712,-0.00129531,0.612638,-0.158073
720,	0.767619,-0.00484278,0.635895,-0.131724
730,	0.765574,-9.63398e-05,0.675766,-0.0898078
740,	0.766824,0.000912368,0.70172,-0.0651042
750,	0.765043,0.00100896,0.6322,-0.132843
760,	0.767183,-0.00024214,0.649775,-0.117408
770,	0.767388,0.00162772,0.628713,-0.138675
780,	0.765133,0.00288902,0.640682,-0.124451
790,	0.768352,-0.00561239,0.692566,-0.0757857
800,	0.761879,-0.00120685,0.594165,-0.167714
810,	0.767144,0.00109717,0.579163,-0.187981
820,	0.761701,-0.00165619,0.789436,0.027735
830,	0.764932,0.0032944,0.598982,-0.16595
840,	0.766944,-0.00301431,0.697359,-0.0695859
850,	0.768543,-1.71603e-05,0.663248,-0.105295
860,	0.769332,-0.00349186,0.639599,-0.129733
870,	0.768162,0.00696717,0.673597,-0.0945657
880,	0.77369,0.00297836,0.607952,-0.165739
890,	0.7715,-0.00132149,0.693906,-0.077594
900,	0.767538,-0.00161163,0.65261,-0.114927
910,	0.770053,0.00542351,0.700917,-0.0691355
920,	0.767858,0.00206075,0.706091,-0.0617667
930,	0.769356,0.0053225,0.659593,-0.109763
940,	0.769792,-0.00310646,0.707556,-0.0622359
950,	0.768317,0.000102793,0.710306,-0.0580116
960,	0.769808,-0.00209335,0.686757,-0.0830508
970,	0.766723,0.00394974,0.718529,-0.0481936
980,	0.7694,0.00336295,0.713237,-0.0561637
990,	0.767349,-0.0022736,0.648984,-0.118365
1000,	0.769187,-0.00273311,0.658344,-0.110843
1010,	0.76757,0.00432382,0.643973,-0.123597
1020,	0.775785,0.00216552,0.733334,-0.0424501
1030,	0.770873,0.000508665,0.655702,-0.11517
1040,	0.764,0.000277848,0.722423,-0.041577
1050,	0.771477,-0.000751648,0.73136,-0.0401161
1060,	0.766303,0.00327976,0.768308,0.00200454
1070,	0.767548,0.000226384,0.650323,-0.117225
1080,	0.767595,-0.00193614,0.709433,-0.0581615
1090,	0.769689,-0.00374766,0.636424,-0.133265
1100,	0.769684,-0.00102542,0.72062,-0.0490646
1110,	0.771589,0.00201729,0.774446,0.00285662
1120,	0.773025,0.00079757,0.638007,-0.135018
1130,	0.770639,0.00245868,0.660727,-0.109912
1140,	0.766011,0.0023247,0.692854,-0.0731571
1150,	0.770993,-0.00299041,0.649732,-0.121261
1160,	0.768584,-0.000680896,0.672599,-0.0959853
1170,	0.769645,-0.00177865,0.683594,-0.0860503
1180,	0.762679,6.1705e-05,0.744475,-0.0182032
1190,	0.768695,0.00178607,0.658965,-0.10973
1200,	0.773511,-0.00290641,0.672383,-0.101128
1210,	0.767233,0.00414217,0.721028,-0.0462051
1220,	0.7727,0.000325606,0.666599,-0.106101
1230,	0.768543,0.00293417,0.631538,-0.137005
1240,	0.769462,-0.00287467,0.674421,-0.0950411
1250,	0.763609,0.00037577,0.570808,-0.192802
1260,	0.765886,-0.00351054,0.703508,-0.0623776
1270,	0.769221,5.91393e-05,0.661799,-0.107422
1280,	0.77043,0.000105463,0.638344,-0.132086
1290,	0.767998,-0.000123223,0.609777,-0.158221
1300,	0.765275,0.0010473,0.658442,-0.106833
1310,	0.764973,0.00240019,0.624784,-0.140189
1320,	0.764446,-0.00455636,0.682191,-0.0822543
1330,	0.763188,0.00166005,0.68932,-0.0738674
1340,	0.769863,0.00438533,0.615273,-0.15459
1350,	0.769028,-0.000339874,0.643066,-0.125962
1360,	0.766255,0.000572437,0.771015,0.00476037
1370,	0.771119,-0.000749804,0.648418,-0.122701
1380,	0.770009,0.00135826,0.573149,-0.19686
1390,	0.768117,-0.000518499,0.680118,-0.0879989
1400,	0.774977,0.00119335,0.744871,-0.0301055
1410,	0.767298,-0.00200682,0.65105,-0.116248
1420,	0.774533,-0.00142664,0.660266,-0.114267
1430,	0.7671,0.00464836,0.657448,-0.109651
1440,	0.772947,0.000268934,0.634422,-0.138525
1450,	0.772343,-0.0016797,0.667983,-0.104359
1460,	0.769484,0.00272339,0.658403,-0.111081
1470,	0.766535,0.00211775,0.68265,-0.083885
1480,	0.771593,-0.00148897,0.810539,0.0389456
1490,	0.768754,5.75696e-05,0.627643,-0.141111
1500,	0.764902,0.00095519,0.638132,-0.12677
1510,	0.766436,0.000902507,0.693115,-0.0733209
1520,	0.766231,0.00153097,0.655361,-0.110869
1530,	0.765503,0.00302845,0.608001,-0.157502
1540,	0.76672,0.00465103,0.719178,-0.0475417
1550,	0.764664,-0.000221838,0.545392,-0.219273
1560,	0.767354,-0.0022415,0.641471,-0.125883
1570,	0.767752,-0.00221119,0.700362,-0.0673904
1580,	0.766355,0.00310239,0.687518,-0.0788366
1590,	0.762161,0.0022183,0.667462,-0.0946993
1600,	0.778117,-0.00402559,0.572671,-0.205446
1610,	0.769503,0.00183314,0.601243,-0.16826
1620,	0.764503,0.000222951,0.650953,-0.113551
1630,	0.766154,-0.00385848,0.674071,-0.092083
1640,	0.770447,0.00091799,0.621133,-0.149314
1650,	0.76804,0.000616162,0.696865,-0.0711751
1660,	0.771414,1.94465e-05,0.677182,-0.0942325
1670,	0.765406,-0.00218406,0.663618,-0.101788
1680,	0.770952,-0.00249667,0.681162,-0.0897904
1690,	0.769492,-0.00025746,0.626386,-0.143106
1700,	0.770679,0.00318196,0.681172,-0.0895071
1710,	0.767456,0.000904641,0.688783,-0.0786738
1720,	0.769914,-0.0008434,0.630721,-0.139193
1730,	0.771234,-0.00222596,0.726601,-0.0446325
1740,	0.765222,0.00045625,0.66522,-0.100003
1750,	0.769314,0.00347648,0.694305,-0.0750087
1760,	0.768221,-0.00395829,0.610665,-0.157556
1770,	0.770144,-0.000362109,0.708995,-0.0611488
1780,	0.76997,0.00137748,0.701861,-0.0681088
1790,	0.771002,-0.00259611,0.679763,-0.0912392
1800,	0.766865,-0.000775595,0.675121,-0.0917437
1810,	0.773364,-0.0006766,0.614351,-0.159013
1820,	0.770245,0.00201465,0.590722,-0.179523
1830,	0.769155,0.000322603,0.658186,-0.11097
1840,	0.772797,0.0013597,0.659103,-0.113693
1850,	0.771906,0.00337997,0.731918,-0.0399886
1860,	0.766413,-0.00184216,0.566977,-0.199437
1870,	0.766754,-0.000783714,0.600249,-0.166505
1880,	0.768706,-0.000705396,0.685358,-0.0833487
1890,	0.766917,0.00031292,0.668234,-0.0986833
1900,	0.772174,-0.00223844,0.641607,-0.130567
1910,	0.774823,-0.00165201,0.657193,-0.117631
1920,	0.766626,0.00235169,0.665805,-0.100821
1930,	0.768452,-0.000415347,0.720462,-0.0479907
1940,	0.767248,-0.00119232,0.670563,-0.0966849
1950,	0.768322,0.00196383,0.710317,-0.058005
1960,	0.768654,-0.000435781,0.648479,-0.120175
1970,	0.766669,-0.00289703,0.689233,-0.0774366
1980,	0.763315,0.00375942,0.652113,-0.111202
1990,	0.770942,0.00408718,0.670854,-0.100088
2000,	0.766925,-0.00198596,0.727246,-0.0396785
2010,	0.766278,-0.000564058,0.722804,-0.0434742
2020,	0.770629,0.000352564,0.70293,-0.067699
2030,	0.763541,0.000400048,0.697172,-0.0663692
2040,	0.767939,0.000775424,0.659749,-0.10819
2050,	0.768744,-0.00023051,0.645932,-0.122812
2060,	0.763448,0.00160488,0.698009,-0.0654385
2070,	0.773499,-2.20987e-05,0.656498,-0.117001
2080,	0.768396,0.00349689,0.678472,-0.0899237
2090,	0.763962,-0.00129087,0.584208,-0.179753
2100,	0.766623,0.00111149,0.637787,-0.128836
2110,	0.770566,-0.0069693,0.569593,-0.200973
2120,	0.775176,-0.0024438,0.646388,-0.128788
2130,	0.769376,-0.00161875,0.616961,-0.152415
2140,	0.764447,-0.000768051,0.583504,-0.180943
2150,	0.761417,0.00051294,0.781526,0.02011
2160,	0.768272,0.00255409,0.625718,-0.142554
2170,	0.762285,0.00113427,0.662257,-0.100028
2180,	0.766173,0.00260898,0.702315,-0.0638583
2190,	0.767575,0.000989266,0.751141,-0.0164341
2200,	0.769176,-0.00144106,0.672677,-0.0964988
2210,	0.769711,-0.00176329,0.711577,-0.0581336
2220,	0.765464,0.00212618,0.6925,-0.0729638
2230,	0.762962,0.00462387,0.668263,-0.0946985
2240,	0.767983,0.00281835,0.691746,-0.0762369
2250,	0.775932,-0.00413529,0.663704,-0.112228
2260,	0.769257,0.00324715,0.66892,-0.100337
2270,	0.768323,-0.000343178,0.638783,-0.12954
2280,	0.768568,-0.00034596,0.65325,-0.115317
2290,	0.76585,-0.000827507,0.732879,-0.032971
2300,	0.77258,-0.0020617,0.524191,-0.248389
2310,	0.768071,-0.00194491,0.695961,-0.0721097
2320,	0.765091,-0.00032592,0.641595,-0.123496
2330,	0.764193,0.00338376,0.698272,-0.0659205
2340,	0.768899,0.000212646,0.697519,-0.0713804
2350,	0.770447,-0.00135974,0.731712,-0.038735
2360,	0.768424,-0.00158608,0.645436,-0.122988
2370,	0.765566,-0.000126262,0.645098,-0.120469
2380,	0.774216,0.00101047,0.645483,-0.128733
2390,	0.767794,-0.00198954,0.606097,-0.161697
2400,	0.770433,-0.00108081,0.643047,-0.127386
2410,	0.764771,-0.00576459,0.68568,-0.0790909
2420,	0.763789,-0.00463463,0.79142,0.0276309
2430,	0.768086,0.000110601,0.626113,-0.141973
2440,	0.767671,0.000879496,0.62309,-0.144581
2450,	0.765577,-0.00133034,0.681497,-0.0840798
2460,	0.769109,-0.00212537,0.656462,-0.112647
2470,	0.762014,-0.000306561,0.71825,-0.0437643
2480,	0.771083,-0.000553726,0.588986,-0.182096
2490,	0.767824,-0.000378202,0.671413,-0.0964116
