MDTU,0,2,4,6,8,10
840,0.00287972,0.00349489,0.00401047,0.0046835,0.0056393,0.00661753
850,0.00062401,0.0013007,0.0019505,0.00248394,0.00336636,0.00439351
860,0.000726977,0.000920166,0.00239894,0.00307916,0.00383729,0.0047734
870,0.00144692,0.00213528,0.00273676,0.00310719,0.00389666,0.00473397
880,0.00153778,0.00193516,0.00235738,0.00256225,0.00320255,0.00416525
890,0.00209383,0.00239612,0.00369951,0.00431468,0.00517744,0.00585746
900,0.0010858,0.00175692,0.0024338,0.00358039,0.00431148,0.00526192
910,0.00171464,0.00240049,0.00261087,0.00339808,0.0042772,0.00440069
920,0.000982082,0.00162157,0.00222342,0.00299607,0.00329241,0.00440584
930,0.00149123,0.00213184,0.0031455,0.00398663,0.00455594,0.00536927
940,0.00130026,0.001554,0.00234675,0.00359514,0.00484894,0.00553908
950,0.00363003,0.00453049,0.00471002,0.00576809,0.00617029,0.00631337
960,0.00273618,0.00328612,0.00394614,0.0045135,0.00608953,0.00645968
970,0.00356462,0.00417531,0.00473664,0.00550378,0.00668787,0.00722675
980,0.00262936,0.00349027,0.00398193,0.00471377,0.00531032,0.00652033
990,0.00224096,0.00257874,0.00358967,0.00458381,0.00473809,0.00640643
1000,0.00296092,0.00328796,0.00359867,0.00429428,0.00564527,0.00615264
1010,0.00176028,0.00209798,0.00312925,0.00363007,0.00426195,0.00479888
1020,0.00212925,0.00246164,0.00345332,0.00445503,0.00500025,0.00564345
1030,0.00238918,0.00365722,0.00477888,0.00536627,0.00616124,0.00681622
1040,0.0015625,0.00172164,0.00235955,0.00265069,0.00440469,0.00497527
1050,0.000824535,0.00127845,0.00227073,0.00249537,0.00337139,0.00426345
1060,0.0016848,0.00221022,0.00404405,0.00453654,0.00509747,0.00604172
1070,0.00227455,0.00252938,0.00339644,0.00375012,0.00462426,0.00535115
1080,0.00156455,0.00257793,0.00287654,0.00354929,0.00409983,0.00512293
1090,0.00263298,0.0035217,0.00446498,0.00543828,0.00591877,0.00637667
1100,0.00154979,0.00233537,0.00251581,0.00373687,0.00493852,0.00525741
1110,0.00335818,0.00376691,0.00417981,0.00434631,0.00589179,0.00701459
1120,0.00192595,0.00290801,0.00335167,0.00394802,0.0052283,0.00581693
1130,0.00183269,0.00201999,0.00266236,0.00337439,0.00408904,0.00474819
1140,0.00238726,0.00302731,0.00418763,0.00490386,0.00615019,0.00680579
1150,0.00237427,0.0032604,0.00467727,0.00493263,0.00602164,0.00661149
1160,0.00272436,0.00328009,0.00387709,0.00415497,0.00557318,0.00611577
1170,0.00269706,0.00299229,0.00390802,0.00473573,0.00537948,0.00571846
1180,0.00130574,0.00152973,0.00295973,0.00375982,0.00637439,0.00674696
1190,0.00229642,0.0028328,0.00469128,0.0053842,0.00600121,0.00669514
1200,0.00256712,0.00402484,0.00441371,0.00530266,0.00557521,0.00598839
1210,0.00303865,0.00367796,0.00486211,0.00564841,0.00580457,0.00657583
1220,0.00330875,0.00397531,0.00431865,0.00561831,0.00636727,0.00715236
1230,0.00235558,0.00422466,0.00480325,0.00570419,0.00604894,0.00687654
1240,0.00276625,0.00331348,0.00403713,0.00446621,0.00493104,0.00662322
1250,0.00217558,0.00254285,0.00367203,0.00462299,0.00531986,0.00560796
1260,0.00265166,0.00291962,0.00359543,0.00499011,0.00561953,0.00623074
1270,0.00293074,0.00363915,0.00389562,0.00413039,0.00486163,0.00555391
1280,0.00244792,0.00295028,0.00342728,0.00428893,0.00484109,0.00574969
1290,0.00178837,0.00274814,0.00329076,0.00402022,0.00514509,0.00608387
1300,0.00268436,0.00355311,0.00458596,0.00564717,0.00621392,0.00693872
1310,0.00286404,0.00344614,0.00387808,0.00515986,0.00584296,0.00658877
1320,0.00308887,0.00406518,0.00454258,0.00473155,0.00577477,0.00675255
1330,0.00206743,0.00231618,0.00344559,0.00434973,0.00588614,0.00648043
1340,0.00302082,0.00386225,0.00480236,0.00506102,0.00643313,0.00695623
1350,0.00259606,0.00307982,0.00443605,0.00538437,0.00637513,0.00694622
1360,0.00200932,0.00291066,0.00339928,0.0051545,0.00520588,0.00608569
1370,0.00293395,0.00364508,0.00436661,0.00525016,0.00648463,0.0071202
1380,0.00167289,0.00210133,0.00373249,0.0048336,0.0050458,0.00592751
1390,0.00281619,0.00313444,0.00356318,0.00430938,0.00479983,0.00632825
1400,0.00131614,0.00164682,0.00297885,0.00453196,0.00530517,0.00571516
1410,0.00195017,0.00302291,0.0034166,0.00371793,0.00532698,0.00644553
1420,0.00196183,0.0027016,0.00436276,0.00547986,0.00588207,0.00657685
1430,0.00229404,0.00400683,0.00430892,0.00539572,0.0058426,0.00694414
1440,0.00239534,0.00369374,0.00468486,0.0057797,0.00616677,0.00671755
1450,0.00174841,0.001984,0.00222484,0.0025524,0.00356201,0.00385909
1460,0.00194197,0.00239572,0.00303678,0.00435551,0.0055692,0.00590304
1470,0.00242,0.00288529,0.00367252,0.00424037,0.00450755,0.00539047
1480,0.00334121,0.00388634,0.00431703,0.00569101,0.00652359,0.00689065
1490,0.00221313,0.0027886,0.00304817,0.00414576,0.00430004,0.00526739
1500,0.00277343,0.00382699,0.00412163,0.00458275,0.00538049,0.00627977
1510,0.000724563,0.00138268,0.00176666,0.0028856,0.00350698,0.00432721
1520,0.00158638,0.00195536,0.002211,0.00289387,0.00351995,0.00442914
1530,0.00169263,0.00200441,0.00255177,0.00324943,0.00385163,0.00573208
1540,0.00193411,0.00284541,0.00329996,0.00403583,0.00493552,0.00565215
1550,0.00289431,0.00349232,0.00512269,0.00618207,0.00674557,0.00705463
1560,0.00163181,0.00233624,0.0028984,0.00376,0.00443813,0.0050938
1570,0.00185593,0.00321694,0.00368958,0.00477582,0.00550456,0.00590686
1580,0.00164602,0.00236083,0.00366457,0.00425821,0.00598551,0.00629077
