MDTU,|Tr(Lx)|,|Tr(Ly)|
1,1.3655,1.48874
2,1.54274,1.74633
3,1.53372,1.53
4,1.43264,1.6516
5,1.36369,1.54653
6,1.06814,1.33972
7,1.35462,1.28658
8,1.06764,1.64234
9,1.30126,1.18704
10,1.24927,1.05587
11,1.29017,1.10267
12,1.29017,1.10267
13,1.29017,1.10267
14,1.16405,0.672024
15,1.62254,0.493787
16,1.68708,0.832454
17,1.29762,0.816856
18,1.47565,0.986208
19,1.31124,1.36403
20,1.44687,0.947414
21,1.33167,0.851821
22,1.63084,0.898274
23,1.62139,0.937752
24,1.40872,0.896411
25,1.65756,1.16004
26,1.31145,0.925065
27,1.35411,0.989049
28,1.49541,0.754015
29,1.10911,0.748741
30,1.6478,0.548416
31,1.29943,0.676497
32,1.32759,0.74972
33,1.30136,0.535485
34,1.09053,0.688632
35,1.16915,0.578215
36,1.44334,0.585764
37,1.20223,0.795601
38,1.14764,0.641626
39,0.960733,0.890484
40,0.833455,0.573893
41,0.355403,0.92611
42,0.958381,0.796874
43,0.765376,0.778044
44,0.74885,1.03309
45,1.14406,1.05652
46,0.596339,0.952681
47,0.780994,1.03894
48,1.10183,0.977734
49,1.21246,0.83128
50,1.20648,0.492742
51,1.01383,0.88243
52,0.632689,0.624569
53,0.555898,0.528112
54,0.600047,1.02627
55,0.654629,1.17398
56,0.672037,0.758734
57,0.829398,0.744067
58,0.820258,0.965991
59,0.917421,1.06453
60,1.0055,1.216
61,0.957277,0.813345
62,0.645682,0.934588
63,0.736589,0.963469
64,0.919758,0.793982
65,0.663454,0.651047
66,0.625648,0.801873
67,0.511123,0.863947
68,0.539145,0.967008
69,0.449973,1.14066
70,0.631438,0.701614
71,0.783189,0.645985
72,0.729677,0.760272
73,0.672031,0.68389
74,0.333846,0.778769
75,0.335204,0.820062
76,0.477593,0.793896
77,0.597197,0.78059
78,0.560564,0.637761
79,0.522965,1.05161
80,0.432306,0.875595
81,0.432306,0.875595
82,0.717952,0.492544
83,0.765363,1.06149
84,0.649133,0.704349
85,0.989973,0.764629
86,0.877826,0.920941
87,0.673499,0.849507
88,0.7618,0.604508
89,0.761444,0.87283
90,0.743359,0.988137
91,0.720378,1.04105
92,0.990797,0.957774
93,0.765594,0.724371
94,0.609713,0.90257
95,0.611872,0.909219
96,0.786895,0.514514
97,0.754522,0.925355
98,0.596549,0.993867
99,0.825566,1.25227
100,0.796388,0.748653
101,0.854735,1.16547
102,0.619977,0.888267
103,0.90218,0.848277
104,0.90218,0.848277
105,0.653672,1.00004
106,0.898849,1.09795
107,0.679514,1.48115
108,0.68399,1.14423
109,0.736739,0.893001
110,0.472109,1.03698
111,0.338519,1.80056
112,0.311439,1.3986
113,0.156968,0.957295
114,0.068107,0.838688
115,0.0826821,0.953902
116,0.215205,0.819657
117,0.121801,0.758369
118,0.534172,0.550934
119,0.534172,0.550934
120,0.464297,0.635469
121,0.36328,0.748402
122,0.498009,0.705481
123,0.473098,0.921325
124,0.461163,1.09394
125,0.255954,1.2695
126,0.460562,1.20206
127,0.563186,0.97007
128,0.521117,1.06448
129,0.959959,1.18861
130,0.546415,1.14556
131,0.458663,1.20315
132,0.255818,1.46469
133,0.255818,1.46469
134,0.335411,1.38879
135,0.256382,1.14033
136,0.462108,1.0992
137,0.331747,1.38073
138,0.388168,1.61805
139,0.125558,1.12615
140,0.197244,1.44659
141,0.232605,1.23206
142,0.337367,1.33643
143,0.294654,1.76481
144,0.47745,1.26447
145,0.441614,1.51065
146,0.669463,1.07242
147,0.685065,1.34331
148,0.503787,1.59525
149,0.503755,1.27609
150,0.386636,1.20367
151,0.237702,1.03347
152,0.154969,0.988199
153,0.526349,1.06743
154,0.682821,1.17777
155,0.83219,0.886592
156,0.458946,1.22106
157,0.362402,0.911121
158,0.451345,0.876328
159,0.114658,0.795128
160,0.0278748,0.860682
161,0.16401,1.12269
162,0.215839,1.28163
163,0.13059,1.00933
164,0.096241,1.04764
165,0.134985,1.1868
166,0.19309,1.43643
167,0.132077,0.765746
168,0.390684,0.690215
169,0.346523,0.741557
170,0.423162,0.785986
171,0.249761,0.584328
172,0.362008,0.956887
173,0.371749,0.753236
174,0.5876,1.09144
175,0.55979,0.831765
176,0.355904,0.805293
177,0.355904,0.805293
178,0.437848,1.05398
179,0.757673,0.929528
180,0.442167,0.981775
181,0.809909,0.683467
182,0.45839,0.648986
