t,walltime
10,39.82
20,25.15
30,23.47
40,28.77
50,34.11
60,32.94
70,27.26
80,28.61
90,28.02
100,27.01
110,29.84
120,26.62
130,28.64
140,26.31
150,24.85
160,25.98
170,33.21
180,36.13
190,31.38
200,26.6
210,27.88
220,30.08
230,27.32
240,26.83
250,25.18
260,28.96
270,29.09
280,25.61
290,24.09
300,25.74
310,24.18
320,25.1
330,23.53
340,22.83
350,23.38
360,23.27
370,23.8
380,25.34
390,27
400,26.43
410,26.96
420,26.99
430,26.46
440,28.26
450,25.52
460,26.92
470,27.18
480,26.16
490,29.83
500,31.15
510,28.48
520,27.77
530,26.23
540,28.9
550,29.79
560,27.78
570,28.23
580,25.97
590,25.5
600,26.12
610,24.02
620,26.64
630,28.33
640,25.43
650,26.13
660,25.87
670,27.42
680,26.66
690,25.58
700,23.67
710,24.54
720,25.38
730,23.75
740,23.52
750,26.46
760,32.31
770,28.93
780,25.99
790,27.8
800,28.56
810,31.64
820,26.99
830,25.52
840,27.26
850,31.31
860,39.93
870,31.94
880,32.2
890,32.14
900,32.44
910,32.65
920,32.03
930,31
940,33.14
950,28.1
960,26.39
970,26.24
980,25.1
990,25.33
1000,26.08
1010,30.09
1020,30
1030,27.88
1040,30.17
1050,35.36
1060,32.79
1070,31.76
1080,31.18
1090,26.55
1100,29.44
1110,26.1
1120,26.67
1130,28.03
1140,28.29
1150,26.78
1160,25.73
1170,26.34
1180,28.1
1190,29.69
1200,25.4
1210,25.78
1220,23.53
1230,24.04
1240,26.12
1250,25.57
1260,27.42
1270,27.53
1280,27.53
1290,29.06
1300,26.29
1310,24.72
1320,24.64
1330,27.18
1340,26.87
1350,24.22
1360,25.21
1370,26.45
1380,27.8
1390,26.71
1400,31.55
1410,28.82
1420,29.35
1430,27.03
1440,26.27
1450,28.81
1460,28.94
1470,25.11
1480,25.99
1490,27.69
1500,28.34
1510,29.64
1520,38.46
1530,29.55
1540,27.49
1550,24.87
1560,26.76
1570,31.04
1580,28.22
1590,30.66
1600,26.62
1610,28.21
1620,25.94
1630,26.63
1640,25.69
1650,30.29
1660,27.35
1670,32.18
1680,28.73
1690,27.83
1700,27.98
1710,26.03
1720,25.19
1730,26
1740,28.17
1750,26.35
1760,25.7
1770,31.31
1780,26.68
1790,29.19
1800,29.05
1810,26.86
1820,34.66
1830,38.33
1840,41.02
1850,34.87
1860,30.63
1870,24.51
1880,26.19
1890,23.98
1900,25.07
1910,26.96
1920,27.06
1930,26.2
1940,25.74
1950,26.73
1960,27.77
1970,30.17
1980,26.59
1990,24.05
2000,26.18
2010,25.59
2020,24.51
2030,24.89
2040,28.72
2050,31.09
2060,28.88
2070,32.2
2080,31.76
2090,27.55
2100,23.52
2110,26.27
2120,23.25
2130,23.87
2140,25.93
2150,25
2160,27.89
2170,26.71
2180,25.55
2190,25.56
2200,25
2210,26.62
2220,26.75
2230,26.32
2240,25.57
2250,24.72
2260,25.9
2270,25.15
2280,31.25
2290,32.56
2300,27.41
2310,24.68
2320,24.39
2330,25.93
2340,27.73
2350,27.52
2360,29.45
2370,29.7
2380,29.66
2390,29.73
2400,31.74
2410,32.08
2420,32.76
2430,32.23
2440,30.21
2450,27.52
2460,26.44
2470,26.72
2480,28
2490,26.6
2500,25.91
2510,27.58
2520,35.41
2530,32.69
2540,27.67
2550,26.39
2560,26.08
2570,26.44
2580,27.83
2590,27.96
2600,28.9
2610,28.22
2620,26.37
2630,26.23
2640,31.17
2650,27.44
2660,24.63
2670,28.63
2680,30.94
2690,35.11
2700,32.73
2710,30.41
2720,30.38
2730,30.57
2740,27.47
2750,27.47
2760,30.45
2770,29.92
2780,28.31
2790,30.01
2800,31.7
2810,31.6
2820,30.25
2830,32.09
2840,33.61
2850,30.22
2860,27.15
2870,28.06
2880,28
2890,28.53
2900,30.33
2910,28.34
2920,28.56
2930,28.59
2940,31.08
2950,31.42
2960,28.93
2970,26.89
2980,26.11
2990,25.48
3000,28.3
3010,26.67
3020,26.11
3030,31.32
3040,30.42
3050,25.72
3060,26.42
3070,26.3
3080,28.01
3090,28.05
3100,27.9
3110,27.84
3120,27.72
3130,24.59
3140,26.58
3150,28.04
3160,27.81
3170,29.46
3180,27.78
3190,27.39
3200,26.09
3210,27.02
3220,26.3
3230,24.72
3240,24.49
3250,23.69
3260,24.46
3270,24.02
3280,23.28
3290,24.52
3300,25.29
3310,25.49
3320,24.58
3330,24.52
3340,25.55
3350,25.86
3360,24.91
3370,25.75
3380,24.43
3390,24.39
3400,23.9
3410,26.03
3420,25.77
3430,25.89
3440,27.62
3450,24.97
3460,25.42
3470,27.68
3480,28.15
3490,25.09
3500,24.23
3510,25.63
3520,32.29
3530,29.58
3540,28.56
3550,29.77
3560,35.85
3570,29.06
3580,29.09
3590,27.69
3600,26.96
3610,24.47
3620,24.28
3630,23.78
3640,26.56
3650,27.49
3660,25.45
3670,25.31
3680,24.92
3690,29.51
3700,27.56
3710,26
3720,27.46
3730,25.44
3740,25.92
3750,25.1
3760,27.43
3770,26.64
3780,24.74
3790,25.47
3800,27.6
3810,31.58
3820,27.04
3830,26.14
3840,25.93
3850,25.93
3860,25.67
3870,29.25
3880,29.79
3890,25.99
3900,26.22
3910,27.47
3920,26.4
3930,25.72
3940,27.25
3950,24.8
3960,23.66
3970,24.05
3980,25.36
3990,25.23
4000,27.6
4010,27.22
