MDTU,link
1,0.746574
2,0.746574
3,0.740079
4,0.740079
5,0.744539
6,0.745782
7,0.745782
8,0.750589
9,0.751592
10,0.752662
11,0.752662
12,0.753301
13,0.753753
14,0.753753
15,0.753753
16,0.753753
17,0.753753
18,0.753753
19,0.757949
20,0.757949
21,0.7612
22,0.758861
23,0.758861
24,0.762935
25,0.762935
26,0.762935
27,0.762935
28,0.762935
29,0.766562
30,0.768767
31,0.770189
32,0.770189
33,0.770189
34,0.775193
35,0.775193
36,0.775193
37,0.777966
38,0.780669
39,0.780669
40,0.780669
41,0.780669
42,0.780669
43,0.784757
44,0.784538
45,0.792466
46,0.791338
47,0.791338
48,0.791338
49,0.791338
50,0.791338
51,0.793548
52,0.793548
53,0.78954
54,0.78954
55,0.792918
56,0.792918
57,0.792918
58,0.796315
59,0.796315
60,0.796415
61,0.796415
62,0.800517
63,0.803403
64,0.803403
65,0.803666
66,0.809434
67,0.808013
68,0.808013
69,0.812527
70,0.812527
71,0.818547
72,0.818547
73,0.819371
74,0.82639
75,0.82639
76,0.82639
77,0.82639
78,0.829311
79,0.828483
80,0.832964
81,0.832964
82,0.835357
83,0.835357
84,0.835357
85,0.835357
86,0.835357
87,0.835357
88,0.835357
89,0.843459
90,0.843459
91,0.843133
92,0.84649
93,0.84649
94,0.849416
95,0.849416
96,0.851347
97,0.851347
98,0.853131
99,0.855207
100,0.856337
101,0.85656
102,0.85656
103,0.85656
104,0.862054
105,0.860177
106,0.860177
107,0.860177
108,0.862962
109,0.864023
110,0.86338
111,0.860635
112,0.863554
113,0.86604
114,0.873584
115,0.873584
116,0.869012
117,0.871959
118,0.876509
119,0.876509
120,0.876681
121,0.877625
122,0.881337
123,0.88609
124,0.885247
125,0.885247
126,0.885247
127,0.886638
128,0.881736
129,0.881736
130,0.884217
131,0.889702
132,0.889702
133,0.890878
134,0.890878
135,0.891412
136,0.895422
137,0.895422
138,0.896429
139,0.895202
140,0.899608
141,0.903267
142,0.905795
143,0.906788
144,0.904844
145,0.910855
146,0.913137
147,0.916103
148,0.916411
149,0.916411
150,0.917803
151,0.917803
152,0.917803
153,0.92022
154,0.922364
155,0.928943
156,0.926279
157,0.926279
158,0.926279
159,0.926279
160,0.930127
161,0.92845
162,0.931756
163,0.93467
164,0.93467
165,0.936776
166,0.934016
167,0.934016
168,0.934016
169,0.938537
170,0.938537
171,0.939532
172,0.941358
173,0.939844
174,0.93691
175,0.93691
176,0.938631
177,0.943084
178,0.943081
179,0.938544
180,0.947361
181,0.949456
182,0.949456
183,0.949841
184,0.947089
185,0.947089
186,0.947089
187,0.947089
188,0.947089
189,0.945318
190,0.945318
191,0.943253
192,0.944578
193,0.946203
194,0.951183
195,0.951183
196,0.947664
197,0.951717
198,0.951717
199,0.950136
200,0.950136
201,0.950136
202,0.955859
203,0.952822
204,0.952822
205,0.955477
206,0.955477
207,0.955477
208,0.959075
209,0.960718
210,0.960945
211,0.960945
212,0.960945
213,0.959398
214,0.959398
215,0.961991
216,0.963939
217,0.960629
218,0.959316
219,0.964154
220,0.964154
221,0.958134
222,0.958134
223,0.957069
224,0.961936
225,0.96111
226,0.96111
227,0.964438
228,0.964438
229,0.960115
230,0.961414
231,0.961414
232,0.961414
233,0.966865
234,0.967032
235,0.968789
236,0.963023
237,0.968908
238,0.964541
239,0.964541
240,0.966175
241,0.972692
242,0.969395
243,0.969395
244,0.976985
245,0.976985
246,0.975483
247,0.975483
248,0.975483
249,0.975281
250,0.976583
251,0.976583
252,0.975016
253,0.973709
254,0.973723
255,0.974966
256,0.974966
257,0.973613
258,0.974422
259,0.976868
260,0.974331
261,0.973278
262,0.973278
263,0.976841
264,0.97949
265,0.981529
266,0.985605
267,0.991178
268,0.991178
269,0.992417
270,0.994797
271,0.994797
272,0.994797
273,0.991048
274,0.992493
275,0.990511
276,0.996079
277,0.996079
278,0.99888
279,0.99888
280,0.993814
281,0.993814
282,0.993814
283,1.00175
284,0.998486
285,0.998486
286,1.00078
287,0.99962
288,1.00218
289,1.00218
290,1.00912
291,1.00173
292,1.00371
293,1.00371
294,1.00478
295,1.00478
296,1.00478
297,1.00478
298,1.00267
299,1.00267
300,1.00404
301,1.00059
302,1.00059
303,1.00158
304,0.997397
305,0.995631
306,0.997534
307,0.997534
308,0.997534
309,0.998392
310,0.997156
311,0.999512
312,0.9974
313,0.998642
314,0.998642
315,0.998642
316,0.998648
317,0.998648
318,0.995433
319,1.00406
320,1.00396
321,1.00196
322,1.00005
323,1.00011
324,1.00038
325,1.00038
326,0.994942
327,0.994441
328,0.99861
329,0.999417
330,1.00089
331,1.00089
332,1.0052
333,1.00064
334,1.00064
335,1.00241
336,1.00067
337,0.994459
338,0.994459
339,1.00726
340,1.0022
341,1.0022
342,1.00962
343,1.00699
344,1.00691
345,1.01064
346,1.01064
347,1.01064
348,1.01064
349,1.00673
350,1.0133
351,1.0133
352,1.01296
353,1.01296
354,1.01296
355,1.01296
356,1.01396
357,1.01409
358,1.00999
359,1.01022
360,1.00657
361,1.00657
362,1.00345
363,1.00345
364,1.0025
365,1.0025
366,1.00228
367,0.999807
368,1.00021
369,0.998971
370,0.997099
371,0.994575
372,0.996288
373,0.993859
374,0.995488
375,0.995488
376,0.995488
377,0.994424
378,0.995619
379,0.995619
380,0.995619
381,0.998515
382,0.998242
383,0.99597
384,1.00339
385,1.00339
386,0.99767
387,0.99767
388,0.995432
389,1.00033
390,0.995005
391,0.996075
392,0.988088
393,0.988088
394,0.993212
395,0.992868
396,0.995436
397,0.995436
398,0.993221
399,0.988434
400,0.988382
401,0.995356
402,0.995356
403,0.997709
404,0.997709
405,0.997709
406,0.996721
407,1.00223
408,1.00143
409,0.999775
410,1.00562
411,1.00562
412,1.0013
413,0.998545
414,0.998545
415,1.0027
416,1.00194
417,1.00187
418,1.00187
419,1.00123
420,1.00068
421,1.00188
422,1.00188
423,1.00112
424,1.00386
425,1.00299
426,1.00479
427,1.00921
428,1.00921
429,1.00389
430,1.00389
431,1.00292
432,0.998448
433,0.998448
434,1.00583
435,1.00452
436,1.00205
437,0.999537
438,1.00071
439,1.00071
440,1.00645
441,1.00824
442,1.00373
443,1.00373
444,1.00845
445,1.005
446,1.005
447,1.005
448,1.005
449,1.005
450,1.00821
451,1.00821
452,1.011
453,1.011
454,1.011
455,1.00922
456,1.00922
457,1.01194
458,1.00971
459,1.01543
460,1.01313
461,1.01519
462,1.01519
463,1.01519
464,1.01431
465,1.01431
466,1.01431
467,1.01973
468,1.01973
469,1.01881
470,1.01881
471,1.02033
472,1.01934
473,1.02033
474,1.02033
475,1.02368
476,1.02451
477,1.02451
478,1.02216
479,1.01975
480,1.01971
481,1.02097
482,1.01522
483,1.01028
484,1.00687
485,1.00707
486,1.00632
487,1.00632
488,0.99978
489,0.998974
490,0.995664
491,0.995664
492,1.00259
493,1.00056
494,1.00058
495,1.00058
496,0.997572
497,0.997572
498,0.997572
499,1.00458
500,1.00458
501,1.00635
502,1.00635
503,1.00603
504,1.00603
505,1.00321
506,1.00321
507,0.999888
508,0.999888
509,0.999564
510,0.997521
511,0.998075
512,0.994909
513,0.994909
514,1.00009
515,0.998866
516,0.998866
517,0.992147
518,0.992147
519,0.992147
520,0.992147
521,0.993675
522,0.993675
523,0.993108
524,0.993108
525,0.993651
526,0.990088
527,0.988496
528,0.987797
529,0.991135
530,0.989601
531,0.989601
532,0.989601
533,0.987817
534,0.989765
535,0.992768
536,0.983948
537,0.983356
538,0.985076
539,0.978513
540,0.982934
541,0.982934
542,0.982246
543,0.983204
544,0.984861
545,0.987019
546,0.983432
547,0.989021
548,0.989021
549,0.987709
550,0.987709
551,0.985772
552,0.981219
553,0.983413
554,0.983131
555,0.983131
556,0.983131
557,0.982958
558,0.982958
559,0.984847
560,0.986776
561,0.986776
562,0.991864
563,0.989344
564,0.989728
565,0.990376
566,0.992884
567,0.991089
568,0.99266
569,0.993649
570,0.992062
571,0.992062
572,0.991198
573,0.991198
574,0.991198
575,0.991198
576,0.988591
577,0.995546
578,0.995594
579,0.998889
580,0.998889
581,0.998889
582,0.993828
583,0.99033
584,0.991689
585,0.996552
586,0.996552
587,0.997115
588,0.991732
589,0.992845
590,0.99298
591,0.993347
592,0.991374
593,0.991374
594,0.993752
595,0.996128
596,0.997173
597,0.997173
598,1.001
599,1.001
600,0.994161
601,0.993222
602,0.996269
603,0.998556
604,0.998556
605,0.996595
606,0.999756
607,0.99256
608,1.00017
609,0.998245
610,0.99996
611,1.00197
612,1.00325
613,1.00238
614,0.998923
615,1.00354
616,1.00765
617,1.00765
618,1.00765
619,1.00643
620,1.00579
621,1.00579
622,1.01259
623,1.00918
624,1.00918
625,1.00972
626,1.01433
627,1.01288
628,1.01288
629,1.01288
630,1.01258
631,1.01258
632,1.01258
633,1.01412
634,1.01412
635,1.01446
636,1.01756
637,1.01756
638,1.01846
639,1.01846
640,1.01846
641,1.01534
642,1.01566
643,1.01566
644,1.01329
645,1.00974
646,1.00974
647,1.01258
648,1.01129
649,1.01249
650,1.01051
651,1.01244
652,1.01097
653,1.01097
654,1.0115
655,1.00977
656,1.00977
657,1.00817
658,1.00925
659,1.00925
660,1.01
661,1.00815
662,1.00749
663,1.01149
664,1.00784
665,1.00935
666,1.00637
667,1.00622
668,1.00622
669,1.00847
670,1.01148
671,1.00665
672,1.00515
673,1.00462
674,1.00462
675,1.00238
676,1.00238
677,1.00238
678,0.999922
679,0.996377
680,0.994228
681,0.994228
682,0.9953
683,0.995056
684,0.995056
685,0.995056
686,0.994809
687,0.995214
688,0.995214
689,0.991578
690,0.990069
691,0.994496
692,0.994496
693,0.994496
694,0.991179
695,0.991179
696,0.991179
697,0.991179
698,0.991179
699,0.991179
700,0.991179
701,0.988053
702,0.991814
703,0.991019
704,0.991019
705,0.991019
706,0.991019
707,0.991019
708,0.991019
709,0.992866
710,0.993968
711,0.993968
712,0.997511
713,0.990312
714,0.988946
715,0.988946
716,0.995025
717,0.995025
718,0.993204
719,0.995824
720,0.997515
721,0.996887
722,0.994948
723,0.989636
724,0.990212
725,0.986212
726,0.987609
727,0.994329
728,0.987804
729,0.986499
730,0.988546
731,0.993728
732,0.987621
733,0.985708
734,0.98187
735,0.98187
736,0.982233
737,0.982233
738,0.985241
739,0.985241
740,0.985241
741,0.986405
742,0.980878
743,0.982439
744,0.982439
745,0.985989
746,0.985989
747,0.983267
748,0.985588
749,0.980814
750,0.980814
751,0.98197
752,0.98197
753,0.98197
754,0.982984
755,0.982321
756,0.982321
757,0.980343
758,0.981581
759,0.980416
760,0.986172
761,0.97768
762,0.974307
763,0.974307
764,0.974307
765,0.977538
766,0.972993
767,0.972993
768,0.975598
769,0.975598
770,0.975598
771,0.981368
772,0.979009
773,0.979009
774,0.987084
775,0.98587
776,0.984404
777,0.980825
778,0.981558
779,0.981558
780,0.981558
781,0.981558
782,0.978822
783,0.978822
784,0.981415
785,0.983244
786,0.986919
787,0.986919
788,0.985875
789,0.986494
790,0.984828
791,0.97911
792,0.97911
793,0.981875
794,0.981875
795,0.978907
796,0.978907
797,0.978907
798,0.980656
799,0.980656
800,0.978192
801,0.978316
802,0.984781
803,0.986989
804,0.986989
805,0.986989
806,0.986978
807,0.987261
808,0.996722
809,0.996032
810,0.996948
811,0.996948
812,0.998095
813,0.998131
814,0.993984
815,0.993797
816,0.988136
