ReTr(Lx),ImTr(Lx)
0.278212,-0.392934
0.294563,-0.411137
0.352605,-0.471187
0.337194,-0.419886
0.337194,-0.419886
0.314036,-0.48583
0.314036,-0.48583
0.2975,-0.433869
0.2975,-0.433869
0.2975,-0.433869
0.177445,-0.415695
0.172971,-0.411988
0.172971,-0.411988
0.202575,-0.442654
0.109384,-0.418424
0.179278,-0.381881
0.179278,-0.381881
0.172939,-0.30482
0.139666,-0.364925
0.0917397,-0.383223
0.0917397,-0.383223
0.21379,-0.323299
0.21379,-0.323299
0.21379,-0.323299
0.21379,-0.323299
0.180046,-0.343381
0.180046,-0.343381
0.246446,-0.330647
0.322059,-0.269169
0.322059,-0.269169
0.244309,-0.343501
0.249399,-0.416449
0.314412,-0.432555
0.457466,-0.366092
0.457466,-0.366092
0.457466,-0.366092
0.461325,-0.214836
0.488478,-0.18445
0.44542,-0.212007
0.478202,-0.159546
0.407639,-0.208006
0.407639,-0.208006
0.407639,-0.208006
0.44135,-0.175964
0.44135,-0.175964
0.531056,-0.124229
0.522619,-0.153496
0.410608,-0.0810343
0.39516,-0.151545
0.411125,-0.189754
0.356303,-0.112023
0.270682,-0.149061
0.270682,-0.149061
0.309366,-0.111241
0.216879,-0.00666899
0.314234,0.00840272
0.266402,-0.0334739
0.250852,0.0114285
0.250852,0.0114285
0.306596,0.105469
0.311976,0.0552265
0.311976,0.0552265
0.277464,0.115492
0.30092,0.14097
0.334224,0.16655
0.334224,0.16655
0.298306,0.222037
0.380415,0.0810526
0.380415,0.0810526
0.36643,0.162344
0.318689,0.208844
0.343586,0.234299
0.283434,0.195234
0.283434,0.195234
0.283434,0.195234
0.283434,0.195234
0.38471,0.216246
0.4651,0.18333
0.4651,0.18333
0.419181,0.136064
0.419181,0.136064
0.419181,0.136064
0.419181,0.136064
0.38719,0.166869
0.412244,0.153191
0.400825,0.0589889
0.433084,-0.00759737
0.399414,-0.134797
0.399414,-0.134797
0.421507,-0.0885568
0.421507,-0.0885568
0.434419,-0.204547
0.434419,-0.204547
0.395383,-0.0762147
0.306354,-0.127064
0.345185,-0.217711
0.293861,-0.228187
0.35723,-0.206457
0.323969,-0.171898
0.351094,-0.248829
0.22876,-0.291583
0.234893,-0.307525
0.234893,-0.307525
0.234893,-0.307525
0.104361,-0.246938
0.123416,-0.293215
0.123416,-0.293215
0.123416,-0.293215
0.177521,-0.394487
0.213086,-0.273108
0.195646,-0.261274
0.188853,-0.14583
0.222391,-0.210803
0.327929,-0.183757
0.327929,-0.183757
0.3216,-0.182689
0.282527,-0.164734
0.269519,-0.207131
0.213278,-0.210469
0.211875,-0.157062
0.211875,-0.157062
0.225909,-0.207508
0.243546,-0.192114
0.260275,-0.184353
0.260275,-0.184353
0.270504,-0.200334
0.277761,-0.332126
0.333402,-0.348401
0.354409,-0.264147
0.354409,-0.264147
0.316758,-0.284257
0.316758,-0.284257
0.316758,-0.284257
0.269363,-0.248606
0.290083,-0.27404
0.284799,-0.210737
0.291176,-0.23419
0.277909,-0.203924
0.277909,-0.203924
0.235967,-0.199733
0.240779,-0.119679
0.240779,-0.119679
0.265854,-0.0852624
0.215058,-0.103271
0.247786,-0.136276
0.247786,-0.136276
0.315994,-0.163675
0.268508,-0.119482
0.269414,-0.162614
0.269414,-0.162614
0.254682,-0.15626
0.299695,-0.122708
0.30247,-0.0857409
0.256395,-0.0999256
0.2025,-0.105953
0.2025,-0.105953
0.153927,-0.114575
0.153927,-0.114575
0.162178,-0.127626
0.13574,-0.14656
0.13574,-0.14656
0.127459,-0.125146
0.123141,-0.0956473
0.0872925,-0.158044
0.104086,-0.226145
0.138281,-0.169763
0.138281,-0.169763
0.106393,-0.192897
0.0725595,-0.104488
0.117473,-0.177315
0.117473,-0.177315
0.130155,-0.206049
0.107407,-0.222768
0.107407,-0.222768
0.107407,-0.222768
0.107407,-0.222768
0.107407,-0.222768
0.106168,-0.17431
0.106168,-0.17431
0.104613,-0.0982013
0.104613,-0.0982013
0.104613,-0.0982013
0.155749,-0.123766
0.155749,-0.123766
0.153298,-0.119891
0.172749,-0.0675315
0.154189,-0.141261
0.200701,-0.123603
0.158908,-0.129532
0.158908,-0.129532
0.158908,-0.129532
0.0863503,-0.14258
0.0863503,-0.14258
0.0863503,-0.14258
0.0666568,-0.120571
0.0666568,-0.120571
0.0827259,-0.0960184
0.0827259,-0.0960184
0.0723401,-0.168706
0.0551623,-0.162714
0.0931134,-0.148406
0.0931134,-0.148406
0.135835,-0.12802
0.150654,-0.106406
0.150654,-0.106406
0.257006,-0.100571
0.285765,-0.18361
0.259696,-0.172389
0.240618,-0.233382
0.233384,-0.195335
0.344257,-0.143359
0.351639,-0.120292
0.382315,-0.11278
0.283966,-0.101933
0.283966,-0.101933
0.245974,-0.0864338
0.25876,-0.072873
0.320781,-0.046346
0.320781,-0.046346
0.427584,-0.0810064
0.461984,-0.128395
0.439739,-0.0844658
0.439739,-0.0844658
0.405655,-0.0967586
0.405655,-0.0967586
0.405655,-0.0967586
0.413586,-0.111713
0.413586,-0.111713
0.448451,-0.149234
0.448451,-0.149234
0.437439,-0.0851425
0.437439,-0.0851425
0.453518,-0.1096
0.453518,-0.1096
0.429055,-0.0848413
0.429055,-0.0848413
0.485801,-0.0452248
0.512384,-0.0863765
0.445756,-0.0627446
0.483882,-0.192947
0.483882,-0.192947
0.430364,-0.279017
0.514563,-0.338121
0.514563,-0.338121
0.457974,-0.399631
0.457974,-0.399631
0.457974,-0.399631
0.457974,-0.399631
0.434644,-0.394031
0.434644,-0.394031
0.437541,-0.447621
0.437541,-0.447621
0.397934,-0.340554
0.29801,-0.393336
0.291515,-0.443735
0.401374,-0.400207
0.34493,-0.399566
0.372988,-0.358752
0.372988,-0.358752
0.372988,-0.358752
0.372339,-0.364098
0.274828,-0.422551
0.305719,-0.391795
0.274939,-0.314292
0.304709,-0.380429
0.29062,-0.404597
0.305136,-0.421563
0.322698,-0.465026
0.322698,-0.465026
0.359876,-0.435555
0.418604,-0.410985
0.410965,-0.44655
0.367846,-0.387424
0.40001,-0.413463
0.375487,-0.376311
0.375487,-0.376311
0.399915,-0.385256
0.399915,-0.385256
0.450434,-0.454924
0.486318,-0.42891
0.48545,-0.422726
0.431192,-0.382096
0.431192,-0.382096
0.431192,-0.382096
0.417404,-0.352533
0.417404,-0.352533
0.364784,-0.380852
0.385036,-0.344413
0.385036,-0.344413
0.328707,-0.316929
0.274259,-0.345065
0.236899,-0.380234
0.242627,-0.360413
0.235395,-0.430669
0.361741,-0.393534
0.358104,-0.431003
0.284504,-0.411287
0.36964,-0.364575
0.36964,-0.364575
0.346009,-0.272769
0.346009,-0.272769
0.346009,-0.272769
0.346009,-0.272769
0.347165,-0.270014
0.29213,-0.366744
0.298321,-0.437739
0.348216,-0.42037
0.348216,-0.42037
0.348216,-0.42037
0.33004,-0.372067
0.282809,-0.434716
0.205205,-0.537133
0.232556,-0.532746
0.232556,-0.532746
0.23437,-0.519759
0.270112,-0.528865
0.227126,-0.440621
0.27513,-0.485405
0.217065,-0.324433
0.269462,-0.418501
0.269462,-0.418501
0.197141,-0.38791
0.261706,-0.362456
0.187141,-0.33042
0.187141,-0.33042
0.0907504,-0.372665
0.0907504,-0.372665
0.0407115,-0.466011
0.122159,-0.441026
0.119787,-0.388879
0.107785,-0.325802
0.107785,-0.325802
0.0471292,-0.296754
0.1278,-0.341942
0.0877195,-0.371244
0.234645,-0.354814
0.267852,-0.347006
0.294314,-0.351306
0.271083,-0.41157
0.248535,-0.378376
0.217086,-0.477374
0.263069,-0.40206
0.214376,-0.407817
0.171052,-0.462729
0.171052,-0.462729
0.171052,-0.462729
0.175863,-0.419598
0.187245,-0.433762
0.187245,-0.433762
0.21799,-0.385515
0.279251,-0.445709
0.279251,-0.445709
0.248234,-0.441085
0.29367,-0.413421
0.267391,-0.375304
0.267391,-0.375304
0.267391,-0.375304
0.254113,-0.418794
0.254113,-0.418794
0.254113,-0.418794
0.215615,-0.398011
0.215615,-0.398011
0.146159,-0.38528
0.190209,-0.371561
0.190209,-0.371561
0.205204,-0.487503
0.205204,-0.487503
0.205204,-0.487503
0.231674,-0.532644
0.143184,-0.494231
0.143184,-0.494231
0.257801,-0.555984
0.246554,-0.571051
0.246554,-0.571051
0.286687,-0.534995
0.271446,-0.476662
