MDTU,abs_delta_S
1,23.06
2,0.4539
3,0.9553
4,1.914
5,0.9409
6,0.5029
7,1.456
8,0.9169
9,0.3071
10,0.2205
11,2.057
12,0.01045
13,0.83
14,1.986
15,1.959
16,1.357
17,0.2741
18,2.079
19,0.6513
20,1.565
21,2.344
22,0.6508
23,1.332
24,1.063
25,1.583
26,1.881
27,1.665
28,0.2946
29,0.4679
30,1.297
31,0.8259
32,0.8648
33,3.029
34,1.474
35,1.61
36,0.6527
37,0.8497
38,1.094
39,2.199
40,1.086
41,1.216
42,0.6091
43,1.033
44,0.3777
45,1.918
46,0.2987
47,1.101
48,0.8052
49,1.528
50,0.5761
51,1.731
52,0.3776
53,1.107
54,1.502
55,1.4
56,1.187
57,1.571
58,0.6918
59,0.5544
60,0.6725
61,2.148
62,0.4242
63,0.1349
64,3.095
65,0.09921
66,0.1724
67,0.1251
68,2.026
69,0.4233
70,1.261
71,0.6736
72,1.189
73,0.002163
74,1.537
75,0.699
76,0.5934
77,1.108
78,0.05237
79,0.6108
80,1.671
81,1.282
82,0.1625
83,0.7996
84,2.075
85,1.863
86,0.2383
87,0.5214
88,2.586
89,1.07
90,1.458
91,0.5525
92,0.8907
93,2.313
94,1.18
95,1.318
96,0.7047
97,1.692
98,0.9914
99,0.1388
100,0.453
101,0.03192
102,1.908
103,0.8144
104,0.3588
105,0.8748
106,1.271
107,1.607
108,0.5678
109,0.4925
110,0.1374
111,0.08606
112,0.08367
113,1.117
114,0.7517
115,0.8796
116,0.1141
117,1.315
118,0.8896
119,1.669
120,0.7119
121,0.7732
122,1.262
123,0.1207
124,0.5947
125,0.7797
126,1.269
127,0.1774
128,0.5049
129,0.9268
130,0.0152
131,1.133
132,0.4549
133,0.03303
134,1.445
135,0.2985
136,0.177
137,1.133
138,1.142
139,0.1357
140,0.0127
141,0.5525
142,1.167
143,0.1116
144,0.6577
145,0.6253
146,0.2926
147,1.287
148,0.2534
149,0.5601
150,0.4619
151,0.7913
152,1.065
153,0.531
154,0.698
155,0.6034
156,0.5195
157,0.3219
158,2.116
159,0.8721
160,1.079
161,0.3513
162,0.07431
163,0.1013
164,1.191
165,0.07436
166,0.1163
167,0.3669
168,1.057
169,0.1108
170,0.6004
171,0.328
172,1.026
173,1.028
174,0.5936
175,0.8409
176,0.08052
177,0.5797
178,1.257
179,0.03665
180,0.7441
181,0.2068
182,0.6431
183,0.02112
184,0.6331
185,0.8764
186,0.6898
187,0.9483
188,0.9634
189,0.5301
190,1.132
191,0.8824
192,0.4229
193,0.139
194,0.0859
195,1.867
196,0.5821
197,0.3558
198,1.695
199,0.1429
200,0.3457
201,1.223
202,0.2169
203,1.332
204,0.9954
205,0.5752
206,0.567
207,0.6139
208,0.3049
209,0.5134
210,0.2574
211,0.5131
212,1.134
213,0.7515
214,0.3219
215,1.083
216,0.1182
217,0.4963
218,0.5121
219,0.1154
220,0.6
221,0.0876
222,0.5948
223,0.424
224,0.3522
225,0.4893
226,0.5976
227,1.083
228,0.3472
229,0.1748
230,1.243
231,1.602
232,0.5245
233,0.715
234,0.4959
235,1.054
236,1.102
237,0.0996
238,0.08514
239,1.191
240,0.4338
241,0.04347
242,0.2056
243,0.73
244,0.1768
245,1.026
246,0.03587
247,1.337
248,0.929
249,0.2244
250,0.7068
251,0.3517
252,0.1272
253,0.4404
254,0.299
255,0.3316
256,0.7453
257,0.05737
258,0.1862
259,0.7043
260,0.6083
261,0.01017
262,0.5501
263,0.779
264,0.02639
265,1.953
266,0.004853
267,0.02364
268,0.4679
269,0.4036
270,0.298
271,1.032
272,1.391
273,0.013
274,0.4661
275,0.205
276,0.3666
277,1.863
278,0.4075
279,1.45
280,0.9328
281,0.2042
282,0.6933
283,0.2204
284,0.03464
285,1.124
286,0.2981
287,0.7369
288,1.065
289,0.8204
290,0.6949
291,0.1193
292,0.2962
293,0.8762
294,0.7078
295,0.7333
296,0.5159
297,1.052
298,0.7194
299,1.307
300,0.4518
301,0.4441
302,0.4115
303,0.2135
304,0.1541
305,1.047
306,0.2841
307,0.9736
308,0.3029
309,0.1613
310,0.7022
311,0.0277
312,0.262
313,0.2914
314,1.123
315,0.9138
316,0.2872
317,1.053
318,0.453
319,0.2997
320,0.3572
321,1.363
322,0.6794
323,0.5379
324,1.671
325,0.9147
326,0.2796
327,0.02392
328,1.222
329,0.8762
330,0.6075
331,1.08
332,0.08602
333,1.218
334,1.273
335,0.4537
336,1.149
337,0.03859
338,0.5408
339,0.9477
340,1.088
341,1.445
342,0.508
343,0.03238
344,0.1297
345,0.1034
346,0.757
347,0.4554
348,0.4189
349,0.8184
350,0.2401
351,1.001
352,0.3044
353,0.2082
354,1.054
355,0.4397
356,0.2624
357,0.2189
358,0.2148
359,0.03096
360,0.1842
361,1.092
362,0.2209
363,1.813
364,0.3575
365,0.3366
366,0.254
367,0.5696
368,0.4434
369,0.3891
370,0.4048
371,0.3813
372,0.6024
373,0.07847
374,1.228
375,0.67
376,1.75
377,0.4485
378,0.8903
379,1.062
380,1.269
381,0.1273
382,0.8174
383,0.585
384,1.11
385,1.149
386,1.194
387,0.2496
388,0.08937
389,0.8364
390,0.3196
391,0.08857
392,0.6722
393,0.3055
394,0.8262
395,0.1521
396,0.5864
397,0.988
398,0.5138
399,0.6782
400,0.6881
401,0.2291
402,0.8416
403,0.07858
404,1.583
405,0.97
406,0.2349
407,0.0849
408,0.237
409,0.7716
410,0.5477
411,0.748
412,0.2966
413,0.05588
414,1.365
