T,G,F
1,0.02505,0.02829
2,0.01942,0.02569
3,0.01943,0.02573
4,0.0193,0.02559
5,0.0193,0.02556
6,0.01934,0.02549
7,0.0194,0.02544
8,0.01939,0.02546
9,0.01942,0.02537
10,0.01943,0.02535
11,0.01946,0.02539
12,0.01943,0.02533
13,0.01944,0.02533
14,0.01944,0.02533
15,0.01947,0.02535
16,0.01947,0.02533
17,0.0195,0.02529
18,0.01952,0.02532
19,0.01951,0.02527
20,0.01958,0.02526
21,0.01951,0.02525
22,0.01951,0.02529
23,0.01955,0.02524
24,0.01956,0.02519
25,0.01965,0.02516
26,0.0196,0.02518
27,0.01965,0.02518
28,0.01952,0.02516
29,0.01958,0.02519
30,0.01961,0.02506
31,0.01962,0.02508
32,0.01967,0.02507
33,0.01983,0.02507
34,0.01971,0.02509
35,0.01969,0.025
36,0.01967,0.025
37,0.01977,0.02498
38,0.01976,0.02493
39,0.01985,0.02491
40,0.01979,0.02482
41,0.01979,0.02488
42,0.01976,0.02484
43,0.01979,0.02487
44,0.01982,0.0248
45,0.01992,0.02478
46,0.01989,0.02467
47,0.01991,0.02465
48,0.01995,0.02471
49,0.01996,0.02466
50,0.01998,0.0247
51,0.01995,0.0247
52,0.01994,0.02469
53,0.01991,0.02473
54,0.01993,0.0247
55,0.01989,0.02474
56,0.01998,0.0247
57,0.01996,0.02466
58,0.01996,0.02471
59,0.01994,0.02467
60,0.01996,0.0246
61,0.02,0.02457
62,0.02001,0.02463
63,0.02002,0.02463
64,0.02019,0.02457
65,0.02003,0.02447
66,0.02013,0.02452
67,0.02012,0.02442
68,0.02015,0.02448
69,0.02015,0.02443
70,0.02021,0.02436
71,0.02026,0.0244
72,0.02022,0.02427
73,0.02019,0.02425
74,0.02029,0.02428
75,0.02035,0.02416
76,0.02041,0.02414
77,0.02039,0.02411
78,0.02035,0.02415
79,0.02034,0.02408
80,0.02037,0.02412
81,0.02038,0.02403
82,0.02045,0.02406
83,0.02046,0.02406
84,0.02052,0.024
85,0.02055,0.02405
86,0.02042,0.024
87,0.02046,0.02399
88,0.02043,0.02399
89,0.02052,0.02404
90,0.02053,0.02394
91,0.02049,0.02386
92,0.02053,0.02389
93,0.02063,0.02383
94,0.02057,0.02382
95,0.02063,0.02382
96,0.02058,0.02381
97,0.02069,0.0238
98,0.02066,0.02375
99,0.02064,0.02376
100,0.02062,0.02373
101,0.02063,0.0237
102,0.02079,0.0237
103,0.02065,0.02367
104,0.02074,0.0237
105,0.02072,0.02361
106,0.0207,0.02369
107,0.02077,0.02367
108,0.02073,0.02367
109,0.02074,0.02361
110,0.02076,0.02364
111,0.02076,0.0236
112,0.02072,0.02362
113,0.02077,0.02358
114,0.02088,0.02359
115,0.02091,0.02344
116,0.02087,0.02353
117,0.02084,0.02349
118,0.02091,0.02347
119,0.02096,0.02343
120,0.0209,0.02342
121,0.02091,0.0234
122,0.02095,0.0234
123,0.02099,0.02336
124,0.02098,0.02333
125,0.02104,0.02333
126,0.02101,0.0233
127,0.021,0.0233
128,0.021,0.02336
129,0.0211,0.02336
130,0.02099,0.02333
131,0.02108,0.02335
132,0.02108,0.02322
133,0.02105,0.02324
134,0.02112,0.02328
135,0.02109,0.0232
136,0.02113,0.02323
137,0.02118,0.02319
138,0.02114,0.02318
139,0.02112,0.02313
140,0.02115,0.02314
141,0.0212,0.02315
142,0.02121,0.02306
143,0.0212,0.023
144,0.02126,0.02302
145,0.02125,0.02303
146,0.02129,0.02298
147,0.02136,0.02292
148,0.0214,0.02287
149,0.02135,0.02288
150,0.02134,0.02287
151,0.02142,0.02283
152,0.02138,0.02283
153,0.02135,0.02288
154,0.02138,0.02282
155,0.02147,0.02279
156,0.02148,0.02283
157,0.02149,0.02274
158,0.02157,0.02277
159,0.02148,0.02271
160,0.0215,0.02275
161,0.02151,0.02271
162,0.0215,0.02277
163,0.02154,0.02269
164,0.02158,0.02268
165,0.02156,0.02269
166,0.02157,0.02267
167,0.02158,0.02268
168,0.02156,0.02265
169,0.02161,0.02265
170,0.02166,0.02267
171,0.02159,0.02258
172,0.0216,0.02256
173,0.02161,0.02258
174,0.02156,0.02262
175,0.0216,0.02264
176,0.02156,0.02259
177,0.02165,0.0226
178,0.02163,0.02262
179,0.02164,0.02259
180,0.02168,0.02261
181,0.02172,0.02246
182,0.0217,0.02247
183,0.02171,0.02244
184,0.0217,0.02248
185,0.02168,0.02247
186,0.02174,0.0225
187,0.02169,0.02247
188,0.02169,0.02252
189,0.02171,0.02246
190,0.02185,0.02255
191,0.02168,0.02252
192,0.02162,0.02252
193,0.02166,0.02252
194,0.02173,0.02254
195,0.0218,0.02246
196,0.02173,0.02245
197,0.02173,0.0225
198,0.02181,0.02245
199,0.02173,0.02243
200,0.02176,0.02243
201,0.02175,0.02247
202,0.02179,0.02245
203,0.02178,0.02244
204,0.02186,0.02243
205,0.02178,0.02241
206,0.02176,0.02239
207,0.02179,0.02239
208,0.02181,0.02236
209,0.02189,0.02233
210,0.02186,0.02233
211,0.02181,0.02236
