1,0.07698
2,0.213
3,0.3994
4,0.6842
5,0.2094
6,0.5438
7,0.7108
8,0.321
9,0.2901
10,0.2559
11,0.2854
12,0.1746
13,1.084
14,0.584
15,0.5307
16,0.5565
17,0.4084
18,0.007502
19,0.02205
20,0.4804
21,1.163
22,0.8224
23,0.009277
24,0.2873
25,0.3376
26,0.7702
27,0.3949
28,0.1217
29,0.2147
30,0.3589
31,0.2996
32,0.2234
33,0.1506
34,0.4399
35,0.1093
36,0.5804
37,0.09475
38,0.2043
39,0.6834
40,0.3305
41,0.118
42,0.5122
43,0.5891
44,0.06738
45,0.8655
46,0.7124
47,0.779
48,1.174
49,0.3306
50,0.6627
51,0.08481
52,0.7766
53,0.2044
54,0.2958
55,0.3366
56,1.061
57,0.05469
58,0.876
59,0.08486
60,0.08712
61,1.668
62,0.5419
63,0.3779
64,0.7993
65,0.03033
66,0.005246
67,0.6825
68,0.2975
69,0.5093
70,0.09811
71,0.3286
72,1.05
73,0.3019
74,0.5462
75,1.578
76,0.3083
77,0.7672
78,0.2311
79,0.1225
80,0.004369
81,0.6079
82,0.0715
83,0.3493
84,0.6676
85,0.5626
86,1.138
87,0.3502
88,0.4638
89,0.1667
90,0.3423
91,0.4241
92,0.4051
93,0.7977
94,0.3836
95,0.338
96,0.08756
97,0.1353
98,0.2845
99,1.039
100,1.168
101,0.02554
102,0.6861
103,0.007683
104,0.4518
105,0.6758
106,1.066
107,0.2227
108,0.6089
109,0.4028
110,0.7644
111,0.1425
112,0.2996
113,0.7565
114,0.4772
115,0.3231
116,1.053
117,0.2795
118,0.4004
119,0.1809
120,0.01217
121,0.668
122,0.6932
123,0.3825
124,0.2002
125,0.4549
126,0.4463
127,0.1017
128,1.213
129,0.1076
130,1.218
131,1.263
132,0.211
133,0.543
134,0.6908
135,0.7369
136,0.318
137,0.3124
138,0.275
139,0.5883
140,0.8221
141,0.1772
142,0.01161
143,0.2565
144,0.4716
145,1.211
146,0.2375
147,0.8181
148,0.8251
149,0.2504
150,0.006676
151,0.2494
152,0.6545
153,0.2322
154,0.1078
155,0.573
156,0.1908
157,0.9489
158,0.2991
159,0.329
160,0.8615
161,0.3415
162,0.6756
163,0.1757
164,0.4882
165,1.186
166,0.2633
167,0.7498
168,0.1928
169,0.1028
170,0.89
171,0.3141
172,0.4924
173,0.01979
174,0.2834
175,1.668
176,0.5477
177,0.2398
178,0.1242
179,0.4441
180,0.1153
181,0.02091
182,0.1914
183,0.4262
184,0.2243
185,0.07152
186,0.3131
187,0.7747
188,0.5769
189,0.02165
190,0.6221
191,0.1031
192,0.3144
193,0.2203
194,0.3727
195,0.3514
196,0.3996
197,0.02224
198,1.434
199,0.2223
200,0.7254
201,1.084
202,0.9786
203,0.4153
204,0.7566
205,0.105
206,0.8273
207,0.06914
208,0.2328
209,0.4091
210,0.2874
211,0.8846
212,0.444
213,0.164
214,0.03754
215,0.2714
216,0.6634
217,0.2512
218,0.371
219,0.1198
220,1.132
221,0.4511
222,0.7732
223,0.8691
224,0.3288
225,0.2792
226,0.37
227,1.141
228,0.7042
229,0.5772
230,0.1226
231,0.3525
232,0.2309
233,1.054
234,0.2895
235,1.209
236,0.04035
237,0.1196
238,0.03231
239,0.3747
240,0.3338
241,0.8036
242,0.5537
243,0.7397
244,0.8293
245,0.914
246,0.1547
247,0.5898
248,0.1605
249,0.4402
250,0.7277
251,0.2898
252,0.1604
253,0.898
254,0.3712
255,0.7622
256,0.8802
257,0.07507
258,0.8132
259,0.2245
260,0.1576
261,1.35
262,0.02009
263,0.6074
264,0.2152
265,0.614
266,0.2108
267,0.07951
268,0.1177
269,0.5534
270,0.7481
271,0.8575
272,0.05894
273,0.003809
274,0.02213
275,0.0382
276,0.4553
277,0.4881
278,0.02165
279,0.1423
280,0.3054
281,0.1288
282,0.5098
283,0.385
284,0.9008
285,1.764
286,0.7281
287,0.001847
288,0.2947
289,1.13
290,0.1989
291,0.605
292,0.3329
293,0.8908
294,0.586
295,0.171
296,0.7282
297,0.8719
298,0.2328
299,0.2487
300,0.9285
301,0.5376
302,0.7333
303,0.5786
304,0.1779
305,0.7632
306,0.2691
307,0.766
308,0.994
309,0.5831
310,0.4132
311,0.04116
312,0.1142
313,0.5304
314,0.1704
315,0.5956
316,0.1027
