MDTU,|Tr(L)|,ReTr(L),ImTr(L)
185,0.740072,0.537458,0.508769
186,0.740072,0.537458,0.508769
187,0.740072,0.537458,0.508769
188,0.740072,0.537458,0.508769
189,0.740072,0.537458,0.508769
190,0.740072,0.537458,0.508769
191,0.740072,0.537458,0.508769
192,0.740072,0.537458,0.508769
193,0.746931,0.554462,0.500478
194,0.746931,0.554462,0.500478
195,0.752372,0.546057,0.517576
196,0.757421,0.547819,0.52305
197,0.757421,0.547819,0.52305
198,0.757421,0.547819,0.52305
199,0.757421,0.547819,0.52305
200,0.757421,0.547819,0.52305
201,0.757421,0.547819,0.52305
202,0.757421,0.547819,0.52305
203,0.757421,0.547819,0.52305
204,0.757421,0.547819,0.52305
205,0.757421,0.547819,0.52305
206,0.763171,0.549737,0.529356
207,0.763171,0.549737,0.529356
208,0.763171,0.549737,0.529356
209,0.763171,0.549737,0.529356
210,0.763171,0.549737,0.529356
211,0.763171,0.549737,0.529356
212,0.763171,0.549737,0.529356
213,0.769691,0.557156,0.531038
214,0.769691,0.557156,0.531038
215,0.777406,0.580356,0.517249
216,0.777406,0.580356,0.517249
217,0.775351,0.577,0.517919
218,0.775351,0.577,0.517919
219,0.775351,0.577,0.517919
220,0.775351,0.577,0.517919
221,0.781608,0.569368,0.535474
222,0.781608,0.569368,0.535474
223,0.781608,0.569368,0.535474
224,0.781608,0.569368,0.535474
225,0.781608,0.569368,0.535474
226,0.781608,0.569368,0.535474
227,0.781608,0.569368,0.535474
228,0.781608,0.569368,0.535474
229,0.781608,0.569368,0.535474
230,0.781608,0.569368,0.535474
231,0.783837,0.562752,0.545629
232,0.783837,0.562752,0.545629
233,0.783837,0.562752,0.545629
234,0.783837,0.562752,0.545629
235,0.783837,0.562752,0.545629
236,0.783837,0.562752,0.545629
237,0.783837,0.562752,0.545629
238,0.783837,0.562752,0.545629
239,0.783837,0.562752,0.545629
240,0.785695,0.561392,0.549686
241,0.785695,0.561392,0.549686
242,0.785695,0.561392,0.549686
243,0.785695,0.561392,0.549686
244,0.785695,0.561392,0.549686
245,0.789152,0.557516,0.558512
246,0.78469,0.543305,0.566179
247,0.791778,0.538525,0.580434
248,0.791778,0.538525,0.580434
249,0.791778,0.538525,0.580434
250,0.791778,0.538525,0.580434
251,0.791778,0.538525,0.580434
252,0.798011,0.539362,0.588141
253,0.798011,0.539362,0.588141
254,0.798011,0.539362,0.588141
255,0.798011,0.539362,0.588141
256,0.795462,0.537689,0.586217
257,0.795462,0.537689,0.586217
258,0.795462,0.537689,0.586217
259,0.797968,0.53481,0.592226
260,0.797968,0.53481,0.592226
261,0.797968,0.53481,0.592226
262,0.797968,0.53481,0.592226
263,0.805716,0.539438,0.598486
264,0.805716,0.539438,0.598486
265,0.805716,0.539438,0.598486
266,0.805716,0.539438,0.598486
267,0.798247,0.548403,0.580046
268,0.808679,0.552273,0.590725
269,0.807222,0.545717,0.594811
270,0.810452,0.553462,0.59204
271,0.810295,0.554787,0.590584
272,0.810295,0.554787,0.590584
273,0.810295,0.554787,0.590584
274,0.810751,0.54716,0.598275
275,0.810751,0.54716,0.598275
276,0.814286,0.541262,0.608355
277,0.816935,0.539125,0.613781
278,0.816935,0.539125,0.613781
279,0.818107,0.536089,0.617988
280,0.81359,0.526499,0.620264
281,0.818246,0.529584,0.623753
282,0.818246,0.529584,0.623753
283,0.818246,0.529584,0.623753
284,0.821162,0.516922,0.638042
285,0.821162,0.516922,0.638042
286,0.821162,0.516922,0.638042
287,0.818645,0.496596,0.650824
288,0.818645,0.496596,0.650824
289,0.818645,0.496596,0.650824
290,0.819439,0.477129,0.666205
291,0.818622,0.474105,0.667358
292,0.82046,0.474021,0.66967
293,0.817284,0.469521,0.668956
294,0.824084,0.462614,0.681985
295,0.823213,0.455024,0.686028
296,0.823886,0.425683,0.705395
297,0.821912,0.423905,0.704161
298,0.821912,0.423905,0.704161
299,0.821912,0.423905,0.704161
300,0.825732,0.452034,0.691013
301,0.825732,0.452034,0.691013
302,0.825166,0.463559,0.682651
303,0.827345,0.444484,0.697806
304,0.827419,0.456008,0.69042
305,0.825537,0.453995,0.689492
306,0.824616,0.469485,0.67792
307,0.822779,0.476316,0.670886
308,0.823942,0.45763,0.685168
309,0.826472,0.45864,0.687536
310,0.826472,0.45864,0.687536
311,0.824969,0.46973,0.67818
312,0.826894,0.45141,0.692808
313,0.824417,0.45551,0.687149
