MDTU,|Tr(Lx)|,|Tr(Ly)|
231,0.00607873,0.0075518
232,0.00607873,0.0075518
233,0.00607873,0.0075518
234,0.00607873,0.0075518
235,0.00607873,0.0075518
236,0.00607873,0.0075518
237,0.00607873,0.0075518
238,0.00607873,0.0075518
239,0.00607873,0.0075518
240,0.0114328,0.00367588
241,0.0114328,0.00367588
242,0.0114328,0.00367588
243,0.0114328,0.00367588
244,0.0114328,0.00367588
245,0.0163747,0.0120829
246,0.0120219,0.00487931
247,0.0085553,0.0246917
248,0.0085553,0.0246917
249,0.0085553,0.0246917
250,0.0085553,0.0246917
251,0.0085553,0.0246917
252,0.0174621,0.0150891
253,0.0174621,0.0150891
254,0.0174621,0.0150891
255,0.0174621,0.0150891
256,0.0169122,0.0133771
257,0.0169122,0.0133771
258,0.0169122,0.0133771
259,0.0114115,0.00353988
260,0.0114115,0.00353988
261,0.0114115,0.00353986
262,0.0114115,0.00353986
263,0.00695143,0.00669929
264,0.00695143,0.00669929
265,0.00695143,0.00669929
266,0.00695143,0.00669929
267,0.00487446,0.00503545
268,0.0156324,0.00252008
269,0.0216484,0.0199652
270,0.0160622,0.00879195
271,0.0162502,0.0103581
272,0.0162502,0.0103581
273,0.0162502,0.0103581
274,0.00876036,0.00759553
275,0.00876036,0.00759553
276,0.0149295,0.0196566
277,0.00365099,0.00481779
278,0.00365099,0.00481779
279,0.00850279,0.0115408
280,0.00687189,0.0119971
281,0.0053063,0.0164788
282,0.0053063,0.0164788
283,0.0053063,0.0164788
284,0.00447001,0.0156656
285,0.00447001,0.0156656
286,0.00447001,0.0156656
287,0.0290052,0.0115541
288,0.0290052,0.0115541
289,0.0290052,0.0115541
290,0.0150123,0.0117457
291,0.00523044,0.00614051
292,0.0093223,0.0101109
293,0.00606476,0.0127408
294,0.00184309,0.0112892
295,0.0191966,0.00560205
296,0.0105733,0.00509451
297,0.00784194,0.0166994
298,0.00784194,0.0166994
299,0.00784194,0.0166994
300,0.0100965,0.00839742
301,0.0100965,0.00839742
302,0.00471824,0.00457503
303,0.0124293,0.00408185
304,0.0057852,0.00595183
305,0.0155708,0.00165481
306,0.0109693,0.00414705
307,0.00246735,0.0178353
308,0.00644047,0.0171436
309,0.0191375,0.00905679
310,0.0191375,0.00905679
311,0.0201167,0.0150384
312,0.011886,0.00750039
313,0.0121596,0.0149734
314,0.0103017,0.0160215
315,0.0103017,0.0160215
316,0.0053511,0.0111892
317,0.00168128,0.00519123
318,0.00404419,0.01802
319,0.00966124,0.00844464
320,0.00966124,0.00844464
321,0.00966124,0.00844464
322,0.0162657,0.016358
323,0.0145739,0.000180775
324,0.00777587,0.00804442
325,0.0124559,0.0122897
326,0.0124559,0.0122897
327,0.0018403,0.0128484
328,0.00162335,0.00414209
329,0.00481293,0.0213426
330,0.0128354,0.0125213
331,0.00610816,0.0186994
332,0.0106923,0.010413
333,0.010219,0.00143854
334,0.00948193,0.00632032
335,0.00823115,0.0168291
336,0.0049593,0.00707273
337,0.0049593,0.00707273
338,0.0270174,0.00290883
339,0.0128024,0.00538712
340,0.0152967,0.0110793
341,0.0196168,0.00836512
342,0.0202224,0.00906767
343,0.0101371,0.0109786
344,0.00690821,0.00225614
345,0.0110169,0.00585686
346,0.0115582,0.0188229
347,0.0150316,0.0060081
348,0.0051292,0.00521866
349,0.0134641,0.00315338
350,0.00467538,0.0111964
351,0.00554738,0.0156945
352,0.0127542,0.00648568
353,0.00797535,0.0203408
354,0.00682471,0.00543736
355,0.00914594,0.00730278
356,0.01119,0.00526409
357,0.0047063,0.00386242
358,0.00840997,0.0149243
359,0.00974678,0.00474464
360,0.00171763,0.0117938
361,0.0215646,0.0149866
362,0.0125125,0.0162862
363,0.016681,0.0103717
364,0.00840932,0.00583749
365,0.00210966,0.00916261
366,0.0137442,0.00233926
367,0.0103996,0.0090022
368,0.0103996,0.0090022
369,0.00628753,0.00375006
370,0.00628753,0.00375006
371,0.00637696,0.0164356
372,0.0101751,0.0108211
373,0.0175326,0.0097385
374,0.000383413,0.00727089
375,0.00890693,0.00693959
376,0.010544,0.00625076
377,0.021239,0.0157373
378,0.00312518,0.0127863
379,0.00958685,0.00899804
380,0.00830926,0.00568857
381,0.00760438,0.0164533
382,0.00621016,0.00311162
383,0.00621016,0.00311162
384,0.015235,0.00646104
385,0.0023899,0.00738783
386,0.0023899,0.00738783
387,0.00923515,0.00606453
388,0.010197,0.011941
389,0.00670398,0.00669906
390,0.00670398,0.00669906
391,0.00110149,0.0158005
392,0.00973246,0.00966832
393,0.00866483,0.0090908
394,0.00782408,0.0204292
395,0.0105046,0.0119433
396,0.00974455,0.00440865
397,0.0199883,0.0169124
398,0.00513677,0.0153937
399,0.0118837,0.00704402
400,0.0165519,0.0118727
401,0.00853273,0.00697292
402,0.0135294,0.00768299
403,0.0109734,0.0160388
404,0.0216072,0.00176418
405,0.0216072,0.00176418
406,0.006229,0.00597593
407,0.0128912,0.012261
408,0.0128912,0.012261
409,0.0200243,0.00135438
410,0.00150728,0.00980299
411,0.0184147,0.0133813
412,0.010887,0.00526995
413,0.00191031,0.00292604
414,0.0123186,0.00927131
415,0.00675834,0.0170106
416,0.00477238,0.00172469
417,0.00477238,0.00172469
418,0.00168195,0.00289582
419,0.00168195,0.00289582
420,0.026346,0.00608179
421,0.00544363,0.0170972
422,0.010473,0.0182781
423,0.0149524,0.00199235
424,0.0177652,0.00988732
425,0.000570326,0.00930479
426,0.0131239,0.00705517
427,0.0190039,0.00164985
428,0.0074443,0.00360823
429,0.00482284,0.0069006
430,0.00482284,0.0069006
431,0.00713422,0.00416683
432,0.00713422,0.00416683
433,0.0134624,0.00643624
434,0.00131902,0.00845591
435,0.0127365,0.0110015
436,0.0144299,0.0165094
437,0.0222034,0.00515679
438,0.0105066,0.0127113
439,0.00900776,0.00960564
440,0.0137428,0.00757109
441,0.00284848,0.00142208
442,0.00765518,0.0125609
443,0.00996279,0.0173054
444,0.0108707,0.00675057
445,0.016116,0.00770646
446,0.0133179,0.00962507
447,0.0137061,0.0042875
448,0.0245006,0.0133508
449,0.0074604,0.0180926
450,0.0127678,0.0103883
451,0.00891911,0.0164399
452,0.00610798,0.00490349
453,0.00772139,0.0163939
454,0.00772139,0.0163939
455,0.0217673,0.00413909
456,0.0132064,0.0117231
457,0.0132064,0.0117231
458,0.00807952,0.0127128
459,0.00970309,0.0114548
460,0.00970309,0.0114548
461,0.00970309,0.0114548
462,0.00977624,0.00938222
463,0.0107066,0.0190515
464,0.0174324,0.0222986
465,0.00576045,0.0134018
466,0.0129941,0.00599988
467,0.00708196,0.00527054
468,0.00865441,0.00321402
469,0.00601102,0.0146341
470,0.0142552,0.0103978
471,0.00941221,0.00365821
472,0.00670339,0.0102313
473,0.0107494,0.0103978
474,0.0140172,0.0130773
475,0.0140172,0.0130773
476,0.00822051,0.00715694
477,0.0135793,0.014613
478,0.0105287,0.00756451
479,0.00679775,0.0100924
480,0.00665393,0.0103993
481,0.00139071,0.0042123
482,0.0178112,0.00637543
483,0.0178112,0.00637543
484,0.00203484,0.00597122
485,0.00203484,0.00597122
486,0.00403878,0.00272733
487,0.00403878,0.00272733
488,0.00403878,0.00272733
489,0.0116012,0.00786308
490,0.00731201,0.0134297
491,0.007312,0.0134297
492,0.00893919,0.01418
493,0.00893919,0.01418
494,0.0146253,0.0126225
495,0.0143151,0.00490089
496,0.00425958,0.0192621
497,0.0043581,0.00743919
498,0.00433886,0.0200661
499,0.00652492,0.0158217
500,0.00873581,0.00822206
501,0.00924432,0.0125009
502,0.00924432,0.0125009
503,0.00282939,0.0102403
504,0.0095747,0.00599371
505,0.00422436,0.0099608
506,0.0165368,0.015887
507,0.00874006,0.00644162
508,0.00874006,0.00644162
509,0.00161151,0.00957669
510,0.00824675,0.0155315
511,0.0114706,0.00807359
512,0.0093467,0.0142468
513,0.0093467,0.0142468
514,0.0169506,0.0110795
515,0.0163921,0.0135501
516,0.0180561,0.00861624
517,0.0199882,0.0149448
518,0.0199882,0.0149448
519,0.00578521,0.013691
520,0.00578521,0.013691
521,0.0151983,0.011173
522,0.0151983,0.011173
523,0.0151983,0.011173
524,0.0163363,0.0101632
525,0.0170698,0.00760947
526,0.0208825,0.0105458
527,0.0208825,0.0105458
528,0.00722184,0.00913261
529,0.00466443,0.0113709
530,0.00460238,0.00961355
531,0.00283329,0.00418108
532,0.00864872,0.00334412
533,0.0063033,0.00314195
534,0.0205995,0.00413593
535,0.0127006,0.00576559
536,0.0135015,0.0117683
537,0.0128647,0.00482531
538,0.0143398,0.0050094
539,0.0130447,0.00583145
540,0.00415412,0.010058
541,0.0148153,0.0120733
542,0.00739647,0.00332375
543,0.00739647,0.00332375
544,0.00679778,0.0161249
545,0.00461706,0.0112056
546,0.0068076,0.0158175
547,0.0212862,0.00840401
548,0.0280237,0.0101814
549,0.00344782,0.00281621
550,0.00344782,0.00281621
551,0.0207876,0.00734801
552,0.0142889,0.0149794
553,0.0145588,0.00643361
554,0.0108923,0.00386935
555,0.0138115,0.0122499
556,0.00374618,0.00667338
557,0.00771771,0.00489666
558,0.00191259,0.00738278
559,0.0123449,0.00550992
560,0.00454416,0.0080384
561,0.0115107,0.00456242
562,0.00880607,0.00304269
563,0.00868127,0.0114386
564,0.0181891,0.00818903
565,0.00365702,0.0138357
566,0.0140538,0.0130779
567,0.00123266,0.00119911
568,0.00928898,0.0148585
569,0.0107903,0.00346406
570,0.00110334,0.0203443
571,0.00949981,0.00579215
572,0.0110301,0.0155444
573,0.00845625,0.018893
574,0.0139745,0.00596502
575,0.00871909,0.00624239
576,0.00871909,0.00624239
577,0.00203196,0.00233617
578,0.0114249,0.0159483
579,0.0114249,0.0159483
580,0.0135273,0.00865139
581,0.00929242,0.00795626
582,0.00929242,0.00795626
583,0.00531956,0.0151561
584,0.00531956,0.0151561
585,0.00610723,0.0192033
586,0.0122604,0.00990828
587,0.0122604,0.00990828
588,0.00824697,0.00900061
589,0.00824697,0.00900061
590,0.00539255,0.00247706
591,0.00988028,0.0125688
592,0.00492416,0.0151973
593,0.0270022,0.00305084
594,0.00987774,0.0129221
595,0.0027071,0.00589984
596,0.0112313,0.0136088
597,0.0139096,0.00996934
598,0.00763388,0.00818125
599,0.00570841,0.0230382
600,0.0127235,0.0125524
601,0.00233944,0.0119735
602,0.00664867,0.00588293
603,0.00664867,0.00588293
604,0.0123408,0.00954978
605,0.0123408,0.00954978
606,0.0109411,0.00678608
607,0.0052973,0.00739073
608,0.0052973,0.00739073
609,0.00855122,0.0155056
610,0.0139926,0.00781869
611,0.0139926,0.00781869
612,0.00951387,0.0107184
613,0.0127547,0.00761987
614,0.0196202,0.00286993
615,0.0079416,0.00571214
616,0.0079416,0.00571214
617,0.0016625,0.00265139
618,0.00496182,0.0130149
619,0.00295286,0.0190437
620,0.0100345,0.0164667
621,0.00452309,0.00192225
622,0.00537472,0.015281
623,0.00586624,0.0175492
624,0.00586624,0.0175492
625,0.00926855,0.00686263
626,0.0139446,0.00129396
627,0.0139446,0.00129396
628,0.00887158,0.0158195
629,0.0184014,0.00603884
630,0.0155474,0.0160084
631,0.00390059,0.0131359
632,0.0105012,0.0105587
633,0.00858728,0.0126157
634,0.00817752,0.0139669
635,0.00609275,0.00548178
636,0.00684973,0.0123938
637,0.00995407,0.0105779
638,0.0199286,0.01385
639,0.00619602,0.0162762
640,0.00698084,0.0168431
641,0.00698084,0.0168431
642,0.026428,0.00570713
643,0.00156475,0.0137651
644,0.0175549,0.0156286
645,0.0072946,0.0182947
646,0.0114083,0.00752431
647,0.0114083,0.00752431
648,0.0131411,0.0109638
649,0.0131411,0.0109638
650,0.0131411,0.0109638
651,0.0152998,0.00928096
652,0.0167773,0.00581641
653,0.00753238,0.00954413
654,0.00620109,0.00510809
655,0.0177999,0.0105599
656,0.0131954,0.00751975
657,0.00754995,0.00295564
658,0.00754995,0.00295564
659,0.00604217,0.0133599
660,0.00548464,0.018556
661,0.0127238,0.00648537
662,0.0085503,0.0100234
663,0.0201242,0.011978
664,0.0018804,0.0130568
665,0.00570293,0.00102015
666,0.00570293,0.00102015
667,0.00836762,0.0184644
668,0.00705487,0.0025805
669,0.0138216,0.0052971
670,0.00788728,0.00533498
671,0.0133497,0.0116127
672,0.0112113,0.0132587
673,0.0143523,0.00617344
674,0.0102152,0.00860257
675,0.0092019,0.00876965
676,0.0128844,0.0110276
677,0.008064,0.00793837
678,0.00979222,0.0108418
679,0.00597425,0.00259778
680,0.011761,0.00989723
681,0.0162412,0.00389177
682,0.00690971,0.00428792
683,0.0095844,0.0213101
684,0.00972452,0.0104613
685,0.00972452,0.0104613
686,0.00197482,0.0185975
687,0.00336064,0.013083
688,0.00724043,0.0119572
689,0.0068599,0.00889796
690,0.00631179,0.0118052
691,0.0040001,0.0141834
692,0.0040001,0.0141834
693,0.0139245,0.00644485
694,0.00793079,0.00703399
695,0.0186537,0.00815446
696,0.0186537,0.00815446
697,0.00389557,0.00704106
698,0.00421662,0.0176895
699,0.00676781,0.0115675
