MDTU,plaq,Re(det),Im(det),link
1022,3.89349,0.0493355,0.0310434,2.92689
1023,3.89349,0.0493355,0.0310434,2.92689
1024,3.93492,0.0607602,0.0410601,2.93544
1025,3.88795,0.0433366,0.0326607,2.92662
1026,3.88795,0.0433366,0.0326607,2.92662
1027,3.88795,0.0433366,0.0326607,2.92662
1028,3.84296,0.0468071,0.0342188,2.92924
1029,3.86602,0.0546804,0.0327479,2.93445
1030,3.86664,0.0459244,0.0291546,2.93632
1031,3.89657,0.0548343,0.037108,2.93636
1032,3.88386,0.0409849,0.0293692,2.92549
1033,3.88386,0.0409849,0.0293692,2.92549
1034,3.88386,0.0409849,0.0293692,2.92549
1035,3.87522,0.0493692,0.0299503,2.93493
1036,3.92528,0.0593013,0.0367516,2.94316
1037,3.92528,0.0593013,0.0367516,2.94316
1038,3.9474,0.0574403,0.0421689,2.96241
1039,3.9474,0.0574403,0.0421689,2.96241
1040,3.93186,0.0431821,0.0322618,2.94558
1041,3.92023,0.0508812,0.0368053,2.93327
1042,3.92023,0.0508812,0.0368053,2.93327
1043,3.89699,0.052607,0.0315513,2.93853
1044,3.93837,0.0414072,0.0297967,2.95052
1045,3.91918,0.0446848,0.0337333,2.93448
1046,3.88029,0.0449206,0.0312098,2.93715
1047,3.89228,0.0383448,0.0273458,2.92445
1048,3.91982,0.050606,0.0350155,2.92905
1049,3.88361,0.115567,0.0453601,2.92189
1050,3.92375,0.0529025,0.0360509,2.91697
1051,3.88947,0.0393452,0.0318753,2.91104
1052,3.87927,0.0452077,0.0282557,2.93809
1053,3.89698,0.0810434,0.0458353,2.9157
1054,3.89698,0.0810434,0.0458353,2.9157
1055,3.92223,0.0529872,0.0433251,2.92023
1056,3.88629,0.0497388,0.0345603,2.9147
1057,3.89361,0.0528419,0.0411998,2.90988
1058,3.89361,0.0528419,0.0411998,2.90988
1059,3.88084,0.060364,0.0355211,2.90371
1060,3.87007,0.0346142,0.0243501,2.90424
1061,3.86716,0.0484213,0.0331744,2.90953
1062,3.88862,0.0396557,0.0331214,2.91901
1063,3.87543,0.0480629,0.0313386,2.90189
1064,3.8832,0.0490401,0.035108,2.91325
1065,3.90418,0.0486298,0.0339365,2.92056
1066,3.89773,0.0509267,0.0390022,2.93417
1067,3.89773,0.0509267,0.0390022,2.93417
1068,3.86281,0.045742,0.0266071,2.91496
1069,3.89179,0.0375756,0.0272959,2.91152
1070,3.88764,0.0556111,0.0347257,2.90573
1071,3.86497,0.0339217,0.0265399,2.89865
1072,3.85042,0.0476523,0.0347492,2.90733
1073,3.83153,0.0521716,0.02817,2.90641
1074,3.86241,0.0585551,0.0327907,2.92512
1075,3.89658,0.0529328,0.0343108,2.92531
1076,3.91585,0.0473419,0.0299401,2.92933
1077,3.89171,0.0482442,0.0307565,2.94871
1078,3.89171,0.0482442,0.0307565,2.94871
1079,3.8928,0.038416,0.0298833,2.95229
1080,3.86092,0.0609916,0.0369213,2.93594
1081,3.88584,0.080366,0.0470499,2.94341
1082,3.88584,0.080366,0.0470499,2.94341
1083,3.91901,0.0855603,0.0458879,2.96207
1084,3.94593,0.0522182,0.0359332,2.94278
1085,3.98599,0.0463996,0.0408248,2.95709
1086,3.90904,0.0811274,0.0445139,2.95024
1087,3.90904,0.0811274,0.0445139,2.95024
1088,3.93586,0.0547791,0.042182,2.9782
1089,3.93586,0.0547791,0.042182,2.9782
1090,3.93166,0.0423052,0.0263612,2.94183
1091,3.91446,0.0529521,0.0293549,2.96395
1092,3.88724,0.049411,0.0380099,2.95358
1093,3.92084,0.0468331,0.0316064,2.94743
1094,3.93713,0.0506928,0.0324207,2.93765
1095,3.9286,0.0567018,0.0408725,2.939
1096,3.89387,0.0528482,0.0360858,2.94152
1097,3.92125,0.0553063,0.0365616,2.9371
1098,3.92125,0.0553063,0.0365616,2.9371
1099,3.90268,0.0507347,0.0354945,2.93886
1100,3.91541,0.0680803,0.0433034,2.93967
1101,3.92946,0.0540203,0.0403084,2.93155
1102,3.92946,0.0540203,0.0403084,2.93155
1103,3.88307,0.0467191,0.0371592,2.93378
1104,3.908,0.0450202,0.0334534,2.9168
1105,3.93875,0.0492842,0.0352036,2.92609
1106,3.90385,0.0486118,0.0319788,2.93559
1107,3.93448,0.0589365,0.0423862,2.94123
1108,3.9172,0.0619017,0.0614134,2.93666
1109,3.89691,0.0560263,0.0391837,2.94312
1110,3.87631,0.0339733,0.026267,2.91011
1111,3.87631,0.0339733,0.026267,2.91011
1112,3.87806,0.0510717,0.0333484,2.90379
1113,3.89261,0.116076,0.0481934,2.89235
1114,3.89136,0.0545298,0.0364725,2.89874
1115,3.85388,0.0418086,0.0271454,2.88284
1116,3.85388,0.0418086,0.0271454,2.88284
1117,3.87557,0.0490672,0.0358643,2.89546
1118,3.84754,0.0413857,0.0279031,2.90251
1119,3.8744,0.043202,0.0311134,2.90491
1120,3.85809,0.0480399,0.0293025,2.91591
1121,3.86567,0.0400085,0.0283554,2.9141
1122,3.91224,0.0560153,0.0346524,2.91094
1123,3.86292,0.03918,0.0280756,2.91944
1124,3.86292,0.03918,0.0280756,2.91944
1125,3.86292,0.03918,0.0280756,2.91944
1126,3.86292,0.03918,0.0280756,2.91944
1127,3.8717,0.0458858,0.0292285,2.91715
1128,3.83252,0.0404691,0.0285448,2.90739
1129,3.86911,0.0443327,0.0310361,2.91087
1130,3.85968,0.0627297,0.0408061,2.90944
1131,3.86712,0.056947,0.0307632,2.90736
1132,3.87879,0.0600188,0.0486331,2.92809
1133,3.85884,0.0578562,0.0281975,2.92858
1134,3.85884,0.0578562,0.0281975,2.92858
1135,3.88713,0.0556154,0.0321974,2.93738
1136,3.84681,0.040757,0.0292337,2.90777
1137,3.84436,0.0422764,0.0352362,2.90895
1138,3.84436,0.0422764,0.0352362,2.90895
1139,3.84452,0.0471478,0.0301194,2.90093
1140,3.85375,0.0396607,0.0278127,2.88109
1141,3.85823,0.0694564,0.0353759,2.87445
1142,3.86152,0.0701348,0.0424915,2.87004
1143,3.85895,0.0390047,0.0293297,2.88659
1144,3.85006,0.0536214,0.0303485,2.88453
1145,3.85006,0.0536214,0.0303485,2.88453
1146,3.83624,0.0363388,0.0251636,2.89695
1147,3.85351,0.0477639,0.027263,2.89733
1148,3.88447,0.0615267,0.0431397,2.9109
1149,3.87657,0.041217,0.0330724,2.91
1150,3.87657,0.041217,0.0330724,2.91
1151,3.86628,0.0641346,0.0369005,2.92852
1152,3.88084,0.0447388,0.0338571,2.93633
1153,3.84923,0.0455998,0.0322091,2.93577
1154,3.87972,0.0370666,0.0324262,2.9281
1155,3.88087,0.0494098,0.0330755,2.92405
1156,3.87515,0.051796,0.0376511,2.93953
1157,3.8395,0.0547846,0.037563,2.92188
1158,3.8916,0.0408882,0.029543,2.93363
1159,3.90332,0.0443419,0.0327834,2.92804
1160,3.89274,0.0446631,0.0316932,2.92704
1161,3.86901,0.0562423,0.0329525,2.93894
1162,3.90702,0.0558329,0.0340865,2.92348
1163,3.91703,0.0519982,0.0413575,2.9222
1164,3.91474,0.113969,0.0421667,2.91436
1165,3.90349,0.0628884,0.0444425,2.92416
1166,3.90349,0.0628884,0.0444425,2.92416
1167,3.86549,0.0475805,0.0321658,2.92716
1168,3.88985,0.0499143,0.0328891,2.92006
1169,3.90954,0.0386532,0.0295752,2.91841
1170,3.87296,0.043261,0.0326218,2.91569
1171,3.85251,0.0481538,0.029265,2.92637
1172,3.83229,0.0419557,0.0248054,2.92391
1173,3.91053,0.0610933,0.0396679,2.93841
1174,3.93635,0.0452021,0.0327481,2.94145
1175,3.86186,0.044244,0.0328767,2.91929
1176,3.86186,0.044244,0.0328767,2.91929
1177,3.86392,0.056133,0.0396992,2.9163
1178,3.84812,0.0405987,0.0312023,2.91972
1179,3.91053,0.046865,0.0305309,2.92129
1180,3.82859,0.0627606,0.0405004,2.92364
1181,3.82859,0.0627606,0.0405004,2.92364
1182,3.87305,0.0413204,0.0276169,2.91653
1183,3.92181,0.0501179,0.0363952,2.89705
1184,3.86675,0.0400645,0.0284886,2.90839
1185,3.87385,0.0524985,0.0294729,2.89991
1186,3.8877,0.0558553,0.0381299,2.90748
1187,3.89533,0.0471178,0.0426659,2.91705
1188,3.88964,0.0470636,0.0309958,2.90703
1189,3.8896,0.0507219,0.0375864,2.90651
1190,3.85114,0.0363033,0.0269844,2.90751
1191,3.86242,0.0425078,0.0331495,2.91812
1192,3.90928,0.0392066,0.0266457,2.92603
1193,3.90238,0.0435374,0.0319332,2.91538
1194,3.90238,0.0435374,0.0319332,2.91538
1195,3.86837,0.058246,0.0404917,2.89956
1196,3.88739,0.0487571,0.0324472,2.90138
1197,3.88372,0.0380775,0.0271917,2.90285
1198,3.93173,0.0590431,0.0454515,2.90186
1199,3.8766,0.0406061,0.0272259,2.90333
1200,3.8766,0.0406061,0.0272259,2.90333
1201,3.9178,0.0464317,0.032504,2.90146
1202,3.90018,0.0461449,0.0343463,2.88704
1203,3.88082,0.0493318,0.035989,2.88312
1204,3.88082,0.0493318,0.035989,2.88312
1205,3.88082,0.0493318,0.035989,2.88312
1206,3.88109,0.0502004,0.0376435,2.8919
1207,3.83753,0.0425491,0.035441,2.89348
1208,3.83753,0.0425491,0.035441,2.89348
1209,3.87399,0.038992,0.0320017,2.90853
1210,3.89524,0.0492993,0.0304138,2.9079
1211,3.89524,0.0492993,0.0304138,2.9079
1212,3.8662,0.0390523,0.0287374,2.91243
1213,3.8662,0.0390523,0.0287374,2.91243
1214,3.85509,0.0403884,0.0353896,2.90421
1215,3.88346,0.0353689,0.0267114,2.90187
1216,3.88387,0.0560913,0.0342468,2.89741
1217,3.8399,0.0390832,0.0289179,2.89618
1218,3.8399,0.0390832,0.0289179,2.89618
1219,3.8399,0.0390832,0.0289179,2.89618
1220,3.89189,0.0491458,0.0291695,2.90332
1221,3.85788,0.111846,0.0715229,2.9215
1222,3.86787,0.0427747,0.031196,2.89476
1223,3.85379,0.0424343,0.0318995,2.88886
1224,3.91865,0.0445181,0.0317346,2.89751
1225,3.88644,0.0396833,0.0319969,2.89516
1226,3.89261,0.0344544,0.0297606,2.89238
1227,3.914,0.0540637,0.0350257,2.90835
1228,3.89075,0.0375644,0.0296421,2.90724
1229,3.88604,0.040075,0.0269408,2.90071
1230,3.88604,0.040075,0.0269408,2.90071
1231,3.89191,0.0480839,0.0385935,2.90579
1232,3.90903,0.0452161,0.0311963,2.92614
1233,3.88518,0.0639599,0.0356709,2.91307
1234,3.88518,0.0639599,0.0356709,2.91307
1235,3.92861,0.0761211,0.0387137,2.91456
1236,3.88444,0.0452244,0.0266796,2.90949
1237,3.91046,0.048532,0.0331534,2.92499
1238,3.92895,0.0590442,0.0328677,2.92113
1239,3.90128,0.0409863,0.0323885,2.91919
1240,3.90128,0.0409863,0.0323885,2.91919
