MDTU,|Tr(L)|,ReTr(L),ImTr(L)
202,429.935,310.095,297.801
203,429.935,310.095,297.801
204,429.935,310.095,297.801
205,429.935,310.095,297.801
206,469.943,341.479,322.86
207,469.943,341.479,322.86
208,469.943,341.479,322.86
209,469.943,341.479,322.86
210,469.943,341.479,322.86
211,469.943,341.479,322.86
212,469.943,341.479,322.86
213,515.882,369.52,359.985
214,515.882,369.52,359.985
215,554.899,406.777,377.419
216,554.899,406.777,377.419
217,594.642,435.027,405.401
218,594.642,435.027,405.401
219,594.642,435.027,405.401
220,594.642,435.027,405.401
221,644.638,468.11,443.205
222,644.638,468.11,443.205
223,644.638,468.11,443.205
224,644.638,468.11,443.205
225,644.638,468.11,443.205
226,644.638,468.11,443.205
227,644.638,468.11,443.205
228,644.638,468.11,443.205
229,644.638,468.11,443.205
230,644.638,468.11,443.205
231,648.311,467.156,449.525
232,648.311,467.156,449.525
233,648.311,467.156,449.525
234,648.311,467.156,449.525
235,648.311,467.156,449.525
236,648.311,467.156,449.525
237,648.311,467.156,449.525
238,648.311,467.156,449.525
239,648.311,467.156,449.525
240,698.751,491.899,496.275
241,698.751,491.899,496.275
242,698.751,491.899,496.275
243,698.751,491.899,496.275
244,698.751,491.899,496.275
245,709.142,500.673,502.205
246,773.938,525.76,567.94
247,803.55,548.521,587.211
248,803.55,548.521,587.211
249,803.55,548.521,587.211
250,803.55,548.521,587.211
251,803.55,548.521,587.211
252,858.45,579.999,632.881
253,858.45,579.999,632.881
254,858.45,579.999,632.881
255,858.45,579.999,632.881
256,853.646,576.539,629.535
257,853.646,576.539,629.535
258,853.646,576.539,629.535
259,891.37,583.846,673.546
260,891.37,583.846,673.546
261,891.37,583.846,673.546
262,891.37,583.846,673.546
263,964.707,643.82,718.44
264,964.707,643.82,718.44
265,964.707,643.82,718.44
266,964.707,643.82,718.44
267,985.055,669.705,722.378
268,1041,697.19,773.055
269,1049.73,709.727,773.442
270,1093.64,746.205,799.516
271,1126.72,761.747,830.197
272,1126.72,761.747,830.197
273,1126.72,761.747,830.197
274,1183.81,796.773,875.539
275,1183.81,796.773,875.539
276,1235.95,816.091,928.212
277,1232.96,811.987,927.831
278,1232.96,811.987,927.831
279,1282.97,836.475,972.79
280,1287.49,840.232,975.515
281,1327.78,864.539,1007.76
282,1327.78,864.539,1007.76
283,1327.78,864.539,1007.76
284,1336.03,835.574,1042.49
285,1336.03,835.574,1042.49
286,1336.03,835.574,1042.49
287,1368.74,836.611,1083.3
288,1368.74,836.611,1083.3
289,1368.74,836.611,1083.3
290,1414.2,814.783,1155.9
291,1399.03,803.849,1145.04
292,1457.35,856.581,1179.05
293,1455.85,846.58,1184.4
294,1474.01,830.664,1217.66
295,1488.57,821.474,1241.38
296,1525.37,787.981,1306.08
297,1499.01,778.074,1281.26
298,1499.01,778.074,1281.26
299,1499.01,778.074,1281.26
300,1542.39,842.964,1291.66
301,1542.39,842.964,1291.66
302,1546.3,878.883,1272.25
303,1647.36,884.725,1389.62
304,1651.77,909.596,1378.76
305,1623.4,898.991,1351.75
306,1619.82,921.168,1332.39
307,1636.05,944.206,1336.09
308,1629.53,921.616,1343.88
309,1615.07,879.72,1354.45
310,1615.07,879.72,1354.45
311,1599.86,918.158,1310.16
312,1603.65,884.864,1337.42
313,1652.83,909.134,1380.34
314,1639.98,961.736,1328.39
315,1639.98,961.736,1328.39
316,1662.54,943.896,1368.61
317,1686.96,1004.09,1355.59
318,1712.47,1067.22,1339.25
319,1677.43,1011.53,1338.12
320,1677.43,1011.53,1338.12
321,1677.43,1011.53,1338.12
322,1712.84,1038.33,1362.24
323,1706.42,1010.44,1375.1
324,1730.35,1022.44,1395.97
325,1713.02,962.805,1416.84
326,1713.02,962.805,1416.84
327,1749.36,981.906,1447.8
328,1755.96,983.472,1454.71
329,1774.51,912.754,1521.76
330,1779.95,921.824,1522.65
331,1768.45,932.929,1502.35
332,1793.77,969.322,1509.31
333,1814.82,984.715,1524.44
334,1781.51,1001.32,1473.47
335,1799.45,1048.35,1462.53
336,1815.23,1027.7,1496.29
337,1815.23,1027.7,1496.29
338,1831.16,1022.7,1518.96
339,1823.66,1002.24,1523.56
340,1856.13,975.616,1579.05
341,1884.71,934.352,1636.8
342,1790.13,913.183,1539.7
343,1824.49,855.281,1611.6
344,1847.63,830.586,1650.41
345,1819.86,822.554,1623.36
346,1847.69,838.349,1646.55
347,1858.86,819.001,1668.71
348,1889.24,817.711,1703.11
349,1915.67,802.202,1739.61
350,1878.55,793.046,1702.95
351,1867.38,794.759,1689.81
352,1868.27,834.236,1671.67
353,1892.97,860.721,1685.97
354,1908.28,888.419,1688.86
355,1908.53,885.794,1690.53
356,1877.32,883.324,1656.53
357,1900.43,851.955,1698.76
358,1894.03,828.029,1703.44
359,1885.9,822.29,1697.19
360,1871.88,807.074,1688.95
361,1873.93,783.685,1702.19
362,1907.29,835.37,1714.61
363,1896.73,836.276,1702.41
364,1875.58,814.168,1689.65
365,1867.8,843.09,1666.7
366,1854.59,795.926,1675.11
367,1837.14,767.947,1668.94
368,1837.14,767.947,1668.94
369,1819.25,791.131,1638.22
370,1819.25,791.131,1638.22
371,1841.48,789.804,1663.51
372,1831.61,852.196,1621.29
373,1800.27,855.63,1583.94
374,1794.32,802.75,1604.74
375,1819.7,833.44,1617.61
376,1778.23,774.938,1600.49
377,1809.92,770.57,1637.69
378,1751.18,738.341,1587.91
379,1795.19,760.832,1625.99
380,1800.01,747.186,1637.6
381,1793.88,682.312,1659.05
382,1778.17,688.188,1639.6
383,1778.17,688.188,1639.6
384,1732.43,706.366,1581.89
385,1733.8,659.972,1603.28
386,1733.8,659.972,1603.28
387,1719.33,616.492,1605
388,1701.38,705.329,1548.29
389,1721.54,742.378,1553.25
390,1721.54,742.378,1553.25
391,1714.74,760.774,1536.74
392,1721.09,789.915,1529.11
393,1697.52,755.506,1520.12
394,1716.71,715.253,1560.61
395,1765.24,655.712,1638.94
396,1764.23,658.704,1636.65
397,1743.83,667.205,1611.14
398,1760.82,622.8,1647
399,1763.15,649.192,1639.29
400,1774.62,606.788,1667.66
401,1779.21,587.994,1679.24
402,1831.57,658.221,1709.21
403,1795.05,653.929,1671.7
404,1805.89,674.484,1675.2
405,1805.89,674.484,1675.2
406,1827.86,749.314,1667.21
407,1839.73,707.62,1698.2
408,1839.73,707.62,1698.2
409,1808.29,700.769,1666.99
410,1807.45,714.321,1660.31
411,1825.55,699.565,1686.19
412,1823.37,610.994,1717.95
413,1810.63,585.319,1713.41
414,1795.92,529.635,1716.05
415,1805.05,552.131,1718.54
416,1783.71,524.707,1704.79
417,1783.71,524.707,1704.79
418,1830.13,591.169,1732.03
419,1830.13,591.169,1732.03
420,1842.98,613.949,1737.71
421,1805.86,551.574,1719.56
422,1821.09,585.841,1724.29
423,1816.95,640.591,1700.28
424,1845.37,648.789,1727.56
425,1805.77,625.426,1694
426,1822.92,630.367,1710.46
