t,e^(-dS)
447,1.08566
448,1.25132
449,0.871273
450,0.770358
451,0.893776
452,1.24508
453,1.26795
454,0.923199
455,0.916365
456,1.82595
457,0.487093
458,1.08362
459,1.07367
460,0.583798
461,0.704054
462,0.879941
463,0.817585
464,0.533711
465,1.25458
466,0.932105
467,1.39403
468,0.80856
469,0.769511
470,0.638075
471,0.848997
472,1.152
473,0.764678
474,0.981641
475,0.783409
476,1.43548
477,2.35396
478,2.80948
479,0.761473
480,0.879238
481,0.836691
482,0.963734
483,0.310677
484,0.590551
485,0.471847
486,0.877393
487,0.651486
488,0.442153
489,0.958036
490,1.1768
491,0.66153
492,0.908092
493,0.648755
494,0.600616
495,0.534139
496,0.585786
497,0.830108
498,1.33429
499,0.692671
500,1.20346
501,0.938446
502,0.608414
503,2.15351
504,1.96915
505,0.901315
506,1.01248
507,0.921687
508,0.991309
509,1.21689
510,0.626379
511,1.02366
512,0.65521
513,0.399956
514,1.84117
515,0.662722
516,1.12098
517,1.17657
518,0.565865
519,1.56502
520,0.340275
521,1.10683
522,0.556215
523,0.454526
524,2.08277
525,0.536923
526,1.66529
527,0.454253
528,1.26466
529,0.570524
530,1.70506
531,1.14236
532,1.3554
533,1.48364
534,0.635909
535,0.994827
536,0.529247
537,3.92356
538,0.850781
539,0.97097
540,1.14786
541,0.872057
542,0.929926
543,0.512887
544,1.07882
545,1.06276
546,1.08123
547,0.861138
548,0.949804
549,0.653378
550,0.410574
551,1.65748
552,2.67032
553,0.934905
554,0.66711
555,1.17892
556,1.09427
557,0.841811
558,1.46859
559,0.97454
560,1.09077
561,1.18887
562,1.40593
563,1.33603
564,1.31141
565,0.860106
566,0.59589
567,0.868576
568,1.67934
569,0.396294
570,0.743416
571,0.80856
572,1.55831
573,0.723178
574,0.677802
575,1.0797
576,0.821273
577,0.961433
578,1.2591
579,0.715124
580,0.645649
581,0.516077
582,0.804608
583,0.746545
584,0.552391
585,0.951962
586,1.21726
587,0.402524
588,1.41567
589,0.76155
590,0.745948
591,0.67395
592,2.11594
593,1.71858
594,1.8504
595,1.00788
596,0.694058
597,1.11918
598,0.920637
599,1.24695
600,1.46463
601,1.05175
602,0.803884
603,0.849082
604,0.938174
605,0.463708
606,0.704406
607,1.29124
608,0.696422
609,0.947821
610,0.923624
611,0.593333
612,1.49735
613,0.713124
614,1.20611
615,0.975651
616,0.711201
617,0.601517
618,1.15766
619,0.809612
620,0.965663
621,1.21994
622,1.29124
623,0.911367
624,0.431236
625,0.938624
626,1.84356
627,0.536923
628,0.955204
629,0.538914
630,1.85058
631,0.904566
632,0.642557
633,0.864244
634,0.412467
635,1.13985
636,1.37287
637,1.37782
638,1.38708
639,0.995655
640,0.877744
641,0.572295
642,1.59361
643,0.999303
644,0.6354
645,1.43476
646,1.19339
647,0.447849
648,1.75927
649,0.486509
650,0.467339
651,0.721444
652,1.29784
653,1.68843
654,1.28133
655,1.07712
656,0.898616
657,0.445704
658,0.544003
659,0.843834
660,0.766592
661,0.833935
662,0.895118
663,1.03776
664,0.752541
665,0.492284
666,0.849251
667,1.23467
668,1.59297
669,2.52086
670,2.70716
671,0.785292
672,0.893508
673,0.585552
674,0.717774
675,0.740226
676,0.46075
677,0.828946
678,0.851973
679,0.494652
680,0.729935
681,0.715267
682,1.31943
683,1.07339
684,0.68839
685,0.72195
686,1.33096
687,1.1916
688,0.687908
689,0.751413
690,1.12772
691,0.730884
692,0.54433
693,1.02851
694,1.66396
695,0.360235
696,0.722022
697,2.18803
698,1.11784
699,0.823576
700,1.58392
701,1.03242
702,1.08673
703,1.24695
704,0.615205
705,0.876867
706,1.11494
707,1.01043
708,0.537729
709,1.32737
710,0.64481
711,1.00955
712,0.919606
713,1.27685
714,1.83253
715,1.03169
716,0.405838
717,0.777322
718,0.723612
719,0.918843
720,0.547332
721,1.20973
722,2.15287
723,0.640376
724,0.944197
725,0.819632
726,0.629078
727,0.784585
728,0.554549
729,1.57728
730,0.782392
731,0.62977
732,0.545965
733,1.1616
734,1.25045
735,1.62093
736,1.3033
737,0.920692
738,0.884087
739,1.05445
740,1.42447
741,0.641017
742,0.88506
743,0.430202
744,0.599775
745,0.868229
746,0.985674
747,0.286505
748,1.45834
749,0.703561
750,0.852485
751,0.312547
752,0.584265
753,0.449599
754,1.0806
755,1.2037
756,0.671259
757,1.20599
758,0.975973
759,1.47197
760,1.64411
761,0.825389
762,0.788439
763,0.601878
764,0.940127
765,1.62125
766,1.6085
767,1.08188
768,0.593036
769,0.680315
770,0.877218
771,0.677125
772,2.85479
773,0.838366
774,0.675637
775,1.79105
776,2.36742
777,1.51695
778,0.690942
779,1.19327
780,1.48394
781,0.410574
782,1.5702
783,0.653312
784,1.2821
785,1.44311
786,1.8825
787,0.802439
788,0.834018
789,1.02859
790,1.50591
791,0.951077
792,1.08813
793,1.19806
794,2.1355
795,1.50682
796,0.628512
797,2.55742
798,0.804125
799,0.812857
800,0.970659
801,1.13963
802,0.816115
803,1.61156
804,1.68978
805,1.00408
806,0.563888
807,1.24857
808,0.916705
809,0.951505
810,0.838618
811,0.469823
812,1.10044
813,0.520326
814,0.412508
815,0.86988
816,0.805574
817,0.467666
818,0.677192
819,1.5348
820,1.11829
821,0.621388
822,0.706381
823,0.775614
824,0.378591
825,1.01077
826,1.4006
827,1.28518
828,0.813508
829,2.3166
830,1.20563
831,0.734034
832,0.863035
833,1.44008
834,1.08264
835,1.08852
836,0.713766
837,0.812126
838,0.581933
839,0.780672
840,0.687839
841,1.56674
842,0.87564
843,1.19137
844,0.712055
845,1.27685
846,1.79356
847,2.25196
848,0.924548
849,0.929025
850,1.06729
851,1.11762
852,0.881703
853,1.27214
854,0.935326
855,1.34891
856,1.71652
857,0.700473
858,0.654882
859,0.76422
860,0.87459
861,0.881879
862,1.70131
863,2.33054
864,1.28236
865,0.481668
866,1.28428
867,0.857787
868,1.01258
869,0.904856
870,0.765137
871,0.77005
872,0.349239
873,0.527873
874,0.698863
875,1.62369
876,1.33937
877,1.77535
878,0.604291
879,0.680927
880,0.714337
881,0.673613
882,0.910438
883,0.873803
884,1.5594
885,1.21543
886,2.27641
887,0.310057
888,0.655406
889,1.10112
890,1.47713
891,0.674556
892,1.57696
893,0.968332
894,1.45383
895,0.314114
896,0.687358
897,0.582399
898,0.786156
899,1.44947
900,1.52684
901,1.20732
902,2.33684
903,1.08699
904,0.548482
905,2.00231
906,0.406163
907,1.18994
908,0.738525
909,1.40846
910,0.360595
911,1.65781
912,2.16821
913,0.765903
914,1.13258
915,1.27903
916,1.0373
917,1.13598
918,1.2411
919,1.47359
920,1.33096
921,0.868663
922,0.82267
923,1.0156
924,1.33069
925,1.86489
926,1.89876
927,0.8863
928,0.88568
929,1.00158
930,1.18258
931,1.11986
932,0.359155
933,1.17234
934,0.782235
935,2.44489
936,2.61771
937,0.959877
938,1.11896
939,0.880734
940,1.2462
941,0.53462
942,0.616745
943,1.60176
944,2.34246
945,1.54049
946,0.781375
947,0.897358
948,0.804206
949,1.35432
950,0.842316
951,0.530837
952,0.833268
953,0.577238
954,0.494109
955,0.435091
956,1.15766
957,0.872145
958,0.584674
959,1.28788
960,0.891901
961,0.562311
962,0.644101
963,0.941849
964,1.03665
965,0.49743
966,1.38306
967,1.23776
968,1.07922
969,0.940569
970,0.631599
971,0.899335
972,1.04113
973,0.479985
974,0.946428
975,0.933037
976,0.618845
977,0.796363
978,0.886743
979,0.931974
980,1.33763
981,0.849931
982,1.39501
983,0.417613
984,2.30205
985,2.82356
986,1.04714
987,0.881703
988,0.841306
989,1.49765
990,0.664049
991,0.480321
992,0.822341
993,1.44196
994,1.65798
995,1.92591
996,0.862345
997,1.12693
998,1.78211
999,0.624003
1000,1.64757
1001,0.282804
1002,1.19244
1003,1.05084
1004,0.843834
1005,0.468088
1006,0.359515
1007,1.02728
1008,0.83711
1009,1.14832
1010,1.03437
1011,0.581817
1012,0.705605
1013,1.70489
1014,0.608353
1015,0.932263
1016,0.405149
1017,0.889941
1018,1.78033
1019,0.602842
1020,0.826215
1021,0.871273
1022,0.946163
1023,0.386277
1024,0.727094
1025,0.880117
1026,0.340957
1027,0.601036
1028,0.631726
1029,0.65639
1030,1.37837
1031,1.04719
1032,1.7253
1033,0.576834
1034,0.704688
1035,1.20274
1036,1.07712
1037,0.619341
1038,0.840969
1039,0.695378
1040,2.74012
1041,0.96332
1042,0.379159
1043,0.978955
1044,1.30135
1045,0.745724
1046,0.800915
1047,1.15639
1048,0.520742
1049,0.865628
1050,1.53726
1051,1.77021
1052,0.894402
1053,2.99217
1054,0.511504
1055,1.52592
1056,0.55013
1057,1.49004
1058,0.719643
1059,0.951905
1060,0.825472
1061,0.723033
1062,0.741485
1063,0.940861
1064,1.6974
1065,1.38417
1066,0.953668
1067,0.708008
1068,0.913904
1069,0.993556
1070,1.08306
1071,1.58677
1072,1.04534
1073,0.745276
1074,1.0043
1075,0.529406
1076,1.65931
1077,0.892883
1078,0.729351
1079,0.771669
1080,0.859074
1081,1.50817
1082,0.422993
1083,0.605743
1084,1.00567
1085,0.726585
1086,2.49079
1087,0.44682
1088,0.702015
1089,0.668713
1090,1.78176
1091,0.798436
1092,0.523876
1093,1.18554
1094,1.33884
1095,0.879502
1096,1.44716
1097,0.879502
1098,0.559115
1099,1.40889
1100,0.974744
1101,1.45325
1102,0.601457
1103,1.678
1104,1.29589
1105,0.746843
1106,0.374187
1107,0.375349
1108,0.800755
1109,0.805735
1110,1.26062
1111,0.66671
1112,0.839373
1113,1.1136
1114,1.70046
1115,1.18958
1116,0.515458
1117,0.61281
1118,1.38113
1119,1.53741
1120,0.749387
1121,0.733961
1122,1.63919
1123,1.7889
1124,0.685642
1125,0.79366
1126,0.552888
1127,1.21641
1128,1.11004
1129,0.717631
1130,0.557162
1131,0.535904
1132,0.998381
1133,0.727166
1134,0.844256
1135,0.763685
1136,1.59616
1137,0.823987
1138,0.565582
1139,2.1206
1140,1.06998
1141,2.24993
1142,1.99771
1143,0.517368
1144,1.5944
1145,0.463198
1146,0.447804
1147,0.540965
1148,1.4617
1149,1.80182
1150,0.897897
1151,0.862345
1152,0.664713
1153,0.382166
1154,0.859934
1155,2.15739
1156,0.656915
1157,1.17093
1158,0.669315
1159,1.731
1160,1.08337
1161,0.741782
1162,1.67816
1163,1.25936
1164,1.20587
1165,0.558389
1166,0.357722
1167,0.87494
1168,1.31285
1169,1.00124
1170,1.58709
1171,1.19172
1172,1.71343
1173,0.596486
1174,1.33336
1175,2.90665
1176,0.375799
1177,1.4239
1178,0.967326
1179,1.18093
1180,0.813182
1181,0.66671
1182,1.49138
1183,1.22104
1184,0.541669
1185,0.756237
1186,0.690942
1187,1.15085
1188,0.776157
1189,1.01202
1190,0.893597
1191,1.37094
1192,0.817912
1193,3.09256
1194,0.587311
1195,1.08314
1196,0.462735
1197,0.901496
1198,1.07555
1199,1.23677
1200,0.638841
1201,0.914114
1202,1.12019
1203,0.903481
1204,0.740966
1205,0.841474
1206,0.994223
1207,1.0039
1208,0.965538
1209,1.29992
1210,0.884441
1211,0.544058
1212,0.886743
1213,0.494158
1214,1.20226
1215,1.12581
1216,0.57241
1217,0.87529
1218,0.406976
1219,0.410245
1220,1.18958
1221,1.04936
1222,0.604472
1223,0.999391
1224,1.21458
1225,0.736239
1226,1.29758
1227,0.524558
1228,1.10916
1229,0.863726
1230,0.872319
1231,1.59058
1232,0.676786
1233,0.901315
1234,0.605379
1235,1.23084
1236,2.86624
1237,0.74245
1238,1.56252
1239,1.50953
1240,0.429514
