1,3.87036,0.75375,0.309199,0.162312
2,3.87271,0.780335,0.315161,0.169141
3,3.83799,0.747604,0.305045,0.174037
4,3.79678,0.746814,0.296033,0.177878
5,3.8015,0.765946,0.303168,0.176721
6,3.78783,0.712041,0.27795,0.184451
7,3.83531,0.832209,0.335608,0.196875
8,3.8231,0.793734,0.318145,0.199954
9,3.83521,0.802265,0.329087,0.209683
10,3.87184,0.903316,0.360115,0.215412
11,3.86181,0.902081,0.356559,0.210362
12,3.90314,1.04753,0.407981,0.226681
13,3.8252,0.86227,0.344516,0.2268
14,3.8252,0.86227,0.344516,0.2268
15,3.78686,0.827094,0.345227,0.230633
16,3.78686,0.827094,0.345227,0.230633
17,3.78686,0.827094,0.345227,0.230633
18,3.78747,0.843598,0.349438,0.23076
19,3.78657,0.870547,0.332856,0.239782
20,3.79271,0.846464,0.344486,0.239297
21,3.78211,0.820435,0.330905,0.250019
22,3.79986,0.889099,0.360171,0.248842
23,3.82815,0.987435,0.390296,0.251856
24,3.8129,0.971259,0.37681,0.251885
25,3.83291,0.977487,0.38145,0.245643
26,3.84571,1.03273,0.41261,0.246866
27,3.85391,1.05388,0.415985,0.248665
28,3.86395,1.08043,0.412736,0.254683
29,3.86221,1.0516,0.425406,0.259699
30,3.89739,1.13171,0.451842,0.263229
31,3.87795,1.09868,0.43911,0.271636
32,3.89533,1.13635,0.450855,0.26754
33,3.90884,1.17978,0.462622,0.269969
34,3.84991,1.05053,0.418394,0.27118
35,3.8918,1.04198,0.426966,0.272525
36,3.87885,0.960122,0.386222,0.270374
37,3.87885,0.960122,0.386222,0.270374
38,3.8512,0.917252,0.375323,0.265433
39,3.86278,0.975872,0.405765,0.272595
40,3.83843,0.934584,0.379311,0.270709
41,3.8163,0.860989,0.360251,0.263374
42,3.8163,0.860989,0.360251,0.263374
43,3.88099,1.01844,0.406846,0.268351
44,3.85088,0.995014,0.40946,0.270529
45,3.84444,0.989377,0.379072,0.274055
46,3.81729,0.904688,0.365074,0.279808
47,3.81729,0.904688,0.365074,0.279808
48,3.87653,1.02272,0.415963,0.288895
49,3.83326,0.968349,0.391415,0.287999
50,3.83326,0.968349,0.391415,0.287999
51,3.8013,0.900962,0.375375,0.29427
52,3.82812,0.943874,0.385053,0.281873
53,3.79292,0.847854,0.344501,0.293482
54,3.81181,0.905772,0.381708,0.304073
