MDTU,plaq_ss,plaq_st
1,1.11116,1.12513
2,1.12956,1.13371
3,1.11088,1.08043
4,1.11789,1.07116
5,1.10153,1.05739
6,1.07287,1.03358
7,1.09769,1.0529
8,1.06895,1.0324
9,1.07547,1.05541
10,1.06457,1.02938
11,1.08015,1.06231
12,1.06326,1.02579
13,1.06171,1.05166
14,1.05328,1.043
15,1.05962,1.05483
16,1.06847,1.05726
17,1.01654,1.04248
18,1.06016,1.0575
19,1.04971,1.05048
20,1.05634,1.0329
21,1.0447,1.0482
22,1.05382,1.04983
23,1.05918,1.04145
24,1.04186,1.05578
25,1.0316,1.03867
26,1.05249,1.03422
27,1.05249,1.03422
28,1.05715,1.04424
29,1.03161,1.03783
30,1.06187,1.05237
31,1.05601,1.05075
32,1.04568,1.04997
33,1.06638,1.04922
34,1.07645,1.04003
35,1.07423,1.03627
36,1.0708,1.04682
37,1.06165,1.02709
38,1.06598,1.04011
39,1.05689,1.03091
40,1.07641,1.02884
41,1.04692,1.03164
42,1.04111,1.03591
43,1.03972,1.03713
44,1.03743,1.04577
45,1.05228,1.04537
46,1.04013,1.0279
47,1.06266,1.04804
48,1.04667,1.04224
49,1.054,1.04848
50,1.03398,1.04373
51,1.05544,1.0339
52,1.03641,1.04968
53,1.02847,1.03854
54,1.03009,1.06294
55,1.03936,1.03672
56,1.03258,1.03485
57,1.05685,1.0363
58,1.02566,1.04132
59,1.03583,1.04293
60,1.02777,1.04098
61,1.05261,1.03212
62,1.04903,1.04729
63,1.03493,1.02444
64,1.03649,1.0427
65,1.02991,1.03037
66,1.02184,1.05054
67,1.05027,1.03362
68,1.05354,1.0361
69,1.07252,1.02792
70,1.05346,1.01864
71,1.06838,1.02594
72,1.06346,1.02094
73,1.04239,1.03229
74,1.04847,1.021
75,1.05974,1.0372
76,1.0431,1.03504
77,1.06732,1.04298
78,1.05102,1.01543
79,1.0422,1.02933
80,1.03434,1.04134
81,1.0475,1.04398
82,1.03608,1.04077
83,1.02851,1.0347
84,1.05508,1.03925
85,1.06192,1.01462
86,1.06443,1.02972
87,1.05804,1.01905
88,1.04808,1.03249
89,1.04089,1.02736
90,1.04901,1.04308
91,1.04901,1.04308
92,1.02715,1.02875
93,1.04347,1.04646
94,1.04233,1.02085
95,1.0619,1.02908
96,1.04192,1.02616
97,1.04743,1.05522
98,1.01779,1.01947
99,1.04724,1.03863
100,1.01317,1.03641
101,1.01317,1.03641
102,1.01547,1.0437
103,1.0065,1.04298
104,1.02102,1.04515
105,1.01742,1.0304
106,1.01256,1.04894
107,1.02764,1.04192
108,1.02213,1.03283
109,1.02974,1.0379
110,1.03239,1.0267
111,1.05073,1.0447
112,1.01994,1.02559
113,1.06418,1.03389
114,1.04389,1.02154
115,1.06029,1.01784
116,1.04336,1.00927
117,1.05089,1.03048
118,1.0392,1.03361
119,1.05695,1.03239
120,1.02392,1.04381
121,1.01886,1.06195
122,1.02923,1.0384
123,1.03123,1.05265
124,1.03657,1.04888
125,1.07392,1.05004
126,1.07282,1.02323
127,1.07702,1.01715
128,1.06671,1.02829
129,1.07179,1.02596
130,1.06503,1.03159
131,1.05259,1.0417
132,1.06293,1.03142
133,1.07243,1.03735
134,1.07007,1.03283
135,1.06926,1.0345
136,1.08163,1.03489
137,1.02919,1.02927
138,1.0483,1.05167
139,1.0315,1.04946
140,1.02242,1.04481
141,1.03799,1.04938
142,1.02558,1.04397
143,1.02697,1.05588
144,1.02359,1.06539
145,1.03854,1.05416
146,1.02665,1.05321
147,1.0335,1.04669
148,1.04078,1.04192
149,1.04482,1.03938
150,1.05794,1.06063
151,1.02015,1.04411
152,1.04583,1.07195
153,1.02957,1.06379
154,1.01559,1.07147
155,1.02312,1.05321
156,1.02988,1.0518
157,1.03627,1.07212
158,1.01056,1.03238
159,1.03403,1.06386
160,1.01772,1.04965
161,1.03869,1.04494
162,1.02639,1.04572
163,1.04614,1.04401
164,1.07041,1.03679
165,1.05859,1.04564
166,1.04587,1.048
167,1.04995,1.04267
168,1.04476,1.04825
169,1.05701,1.03351
170,1.07563,1.03721
171,1.04872,1.04932
172,1.02679,1.06915
173,1.02991,1.07073
174,1.05756,1.04476
175,1.06706,1.06105
176,1.04092,1.04845
177,1.0278,1.05539
178,1.04077,1.06702
179,1.02262,1.0566
180,1.06387,1.06693
181,1.05203,1.04739
182,1.06824,1.0475
183,1.05838,1.05613
184,1.06421,1.06451
185,1.05523,1.05782
186,1.05781,1.07469
187,1.04166,1.0544
188,1.05884,1.06165
189,1.0555,1.04302
190,1.04708,1.05838
191,1.04708,1.05838
192,1.02612,1.06789
193,1.02038,1.04793
194,1.0127,1.06398
195,1.03505,1.04954
196,1.03279,1.06003
197,1.01579,1.06641
198,1.02489,1.06637
199,1.04086,1.05611
200,1.04825,1.04823
201,1.03701,1.06438
202,1.03766,1.06834
203,1.01114,1.05504
204,1.04244,1.05957
205,1.0303,1.04747
206,1.05646,1.05556
207,1.05179,1.05311
208,1.05675,1.05141
209,1.06477,1.05014
210,1.05528,1.04469
211,1.03773,1.05676
212,1.0614,1.05403
213,1.04863,1.05
214,1.02337,1.0682
215,1.04524,1.06077
216,1.0355,1.05572
217,1.02452,1.06173
218,1.01699,1.05888
219,1.02363,1.05394
220,1.03634,1.04942
221,1.00671,1.04016
222,1.0342,1.06102
223,1.04927,1.04095
224,1.05409,1.06024
225,1.03929,1.04418
226,1.0471,1.0507
227,1.0471,1.0507
228,1.04349,1.04401
229,1.03587,1.05574
230,1.0426,1.03987
231,1.04309,1.05013
232,1.06503,1.03552
233,1.05355,1.0267
234,1.07891,1.03206
235,1.0788,1.0254
236,1.08846,1.02867
237,1.07911,1.01749
238,1.08177,1.0303
239,1.0566,1.03993
240,1.06934,1.04338
241,1.06934,1.04338
242,1.0669,1.03486
243,1.0708,1.04186
244,1.0708,1.04186
245,1.04262,1.03311
246,1.05396,1.03706
247,1.05941,1.02912
248,1.03764,1.05089
249,1.01679,1.041
250,1.02216,1.04659
251,1.02156,1.05676
252,1.00851,1.03675
253,1.00186,1.0456
254,1.0138,1.04449
255,1.03457,1.05192
256,1.045,1.04346
257,1.02525,1.03388
258,1.0326,1.03926
259,1.03685,1.04099
260,1.0404,1.01753
261,1.06818,1.02486
262,1.04089,1.02395
263,1.04089,1.02395
264,1.06248,1.0384
265,1.04243,1.03217
266,1.04924,1.03776
267,1.04319,1.02792
268,1.06229,1.03377
269,1.05077,1.03222
270,1.0175,1.04518
271,1.00357,1.04264
272,1.01474,1.06557
273,1.02159,1.03151
274,1.05651,1.04659
275,1.04339,1.01259
276,1.08066,1.02807
277,1.05458,1.02209
278,1.05205,1.03654
279,1.02959,1.03964
280,1.02187,1.04535
281,1.00398,1.04573
282,1.02117,1.05475
283,1.00965,1.04799
284,1.00236,1.0668
285,0.988681,1.05585
286,0.992856,1.06486
287,0.9877,1.05125
288,0.992725,1.06232
289,0.992725,1.06232
290,1.01114,1.04179
291,1.03427,1.05389
292,1.02991,1.07339
293,1.03504,1.06371
294,1.05635,1.04479
295,1.06142,1.05401
296,1.05547,1.05371
297,1.09631,1.05613
298,1.07938,1.04386
299,1.11286,1.03401
300,1.11308,1.05092
301,1.11308,1.05092
302,1.0976,1.04862
303,1.10641,1.04032
304,1.08798,1.06517
305,1.05545,1.06471
306,1.06442,1.05756
307,1.07707,1.07202
308,1.07767,1.06461
309,1.04387,1.07614
310,1.04475,1.08094
311,1.04044,1.08874
312,1.05482,1.0947
313,1.04575,1.08176
314,1.07771,1.08157
315,1.07448,1.0732
316,1.07448,1.0732
317,1.06855,1.0683
318,1.07099,1.06612
319,1.07099,1.06612
320,1.04424,1.05459
321,1.06022,1.06645
322,1.04128,1.05536
323,1.0495,1.05802
324,1.05371,1.04141
325,1.05656,1.03413
326,1.04981,1.03545
327,1.05014,1.03104
328,1.06186,1.02729
329,1.06259,1.02154
330,1.07191,1.03982
331,1.06075,1.02991
332,1.03416,1.0483
333,1.01051,1.05117
334,1.0251,1.04495
335,1.00785,1.06452
336,1.04105,1.04567
337,1.02575,1.04541
338,1.03555,1.05082
339,1.03234,1.06085
340,1.04293,1.03794
341,1.05006,1.05239
342,1.01267,1.03548
343,1.04076,1.05346
344,1.00836,1.04935
345,1.02422,1.04485
346,1.0078,1.03248
347,1.02103,1.0545
348,1.02265,1.04233
349,1.04014,1.03276
350,1.00957,1.0419
351,1.02267,1.05712
352,1.00722,1.06322
353,0.987393,1.05523
354,1.01905,1.05612
355,1.02504,1.04155
356,1.00976,1.04894
357,0.995512,1.04311
358,1.00684,1.07459
359,0.992934,1.0392
360,1.02847,1.0382
361,1.03811,1.04324
362,1.02993,1.05039
363,1.01369,1.04825
364,1.03322,1.04496
365,1.0402,1.04096
366,1.05509,1.034
367,1.05296,1.03865
368,1.05526,1.03075
369,1.03167,1.02542
370,1.0576,1.02963
371,1.03036,1.02096
372,1.03151,1.03467
373,1.03279,1.02918
374,1.03841,1.03208
375,1.04017,1.03124
376,1.0203,1.03434
377,1.03377,1.03587
378,1.04711,1.02968
379,1.0386,1.02803
380,1.03959,1.03471
381,1.02896,1.03075
382,1.03755,1.04147
383,1.0394,1.03814
384,1.04581,1.03283
385,1.03352,1.03563
386,1.04848,1.04422
387,1.04848,1.04422
388,1.04516,1.03935
389,1.05289,1.03495
390,1.06456,1.0172
391,1.07314,1.0163
392,1.04849,1.01813
393,1.04361,1.0319
394,1.05113,1.03066
395,1.03778,1.02993
396,1.03535,1.03188
397,1.05155,1.04154
398,1.01795,1.0374
399,1.02827,1.04592
400,1.0053,1.04742
401,1.0097,1.05721
402,0.995278,1.05817
403,0.998101,1.05687
404,0.985888,1.06514
405,1.01217,1.04856
406,1.02476,1.05793
407,1.02476,1.05793
408,1.01248,1.03664
409,1.03186,1.04503
410,1.04775,1.03296
411,1.03225,1.03724
412,1.04444,1.03933
413,1.05556,1.03181
414,1.053,1.03626
415,1.0512,1.02884
416,1.05085,1.02666
417,1.05012,1.03711
418,1.01686,1.04793
419,1.03031,1.03729
420,1.04035,1.04542
421,1.02242,1.02597
422,1.05652,1.02868
423,1.04761,1.01927
424,1.06092,1.02861
425,1.04592,1.0099
426,1.05117,1.04838
427,1.01589,1.03456
428,1.04604,1.03738
429,1.0402,1.03601
430,1.06061,1.03634
431,1.07777,1.01697
432,1.05874,1.03007
433,1.01922,1.03147
434,1.04028,1.04667
435,1.03446,1.05348
436,1.03446,1.05348
437,1.03898,1.03608
438,1.03363,1.04893
439,1.03908,1.04417
440,1.02394,1.04943
441,1.03796,1.03586
442,1.05181,1.03438
443,1.05181,1.03438
444,1.03735,1.02653
445,1.03739,1.03566
446,1.01207,1.03037
447,1.03199,1.03967
448,1.02296,1.041
449,1.02633,1.03573
450,1.00805,1.04297
451,1.01235,1.06625
452,1.01475,1.03337
453,1.04206,1.04214
454,1.02268,1.04031
455,1.0257,1.04262
456,1.05562,1.01512
457,1.05562,1.01512
458,1.05021,1.03058
459,1.04125,1.02814
