MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
10,	0.769154,0.000754972,0.633517,-0.135637
20,	0.766174,-0.00544467,0.659235,-0.106939
30,	0.764696,0.00214661,0.770601,0.00590475
40,	0.772532,0.00355707,0.70538,-0.0671516
50,	0.768265,0.00482481,0.720037,-0.0482283
60,	0.770348,-0.00201335,0.704573,-0.0657745
70,	0.771203,0.00115473,0.60738,-0.163823
80,	0.770591,0.00170854,0.709807,-0.0607841
90,	0.771399,-0.00277158,0.792165,0.0207665
100,	0.76489,0.00150755,0.626272,-0.138618
110,	0.762819,-0.0019857,0.654928,-0.107891
120,	0.766585,6.06144e-05,0.679562,-0.0870234
130,	0.766946,-0.00425176,0.703269,-0.0636766
140,	0.770219,0.000939618,0.653652,-0.116567
150,	0.763833,0.0016732,0.778554,0.0147208
160,	0.771546,-0.00142751,0.673792,-0.0977545
170,	0.7689,-0.00141762,0.749648,-0.0192522
180,	0.762886,-0.00222479,0.713244,-0.049642
190,	0.767958,-0.000526039,0.710023,-0.0579348
200,	0.764032,0.00379988,0.699745,-0.0642866
210,	0.768787,0.0028464,0.678667,-0.0901207
220,	0.767926,0.000506145,0.741311,-0.0266152
230,	0.767964,-0.00155795,0.697456,-0.0705084
240,	0.77011,0.00449898,0.724694,-0.0454166
250,	0.768204,0.00204511,0.710651,-0.0575531
260,	0.771182,0.00017432,0.619672,-0.15151
270,	0.770976,0.00213177,0.711475,-0.059501
280,	0.764955,0.00098116,0.67072,-0.0942358
290,	0.767684,-0.00266474,0.63445,-0.133234
300,	0.767821,-0.0020486,0.736412,-0.0314088
310,	0.765634,0.00305637,0.739214,-0.0264201
320,	0.768616,-0.0030831,0.681387,-0.0872282
330,	0.764954,0.0027057,0.819782,0.0548279
340,	0.770347,-0.00181998,0.67629,-0.0940576
350,	0.766008,0.000191618,0.640143,-0.125865
360,	0.773148,0.00242221,0.695349,-0.0777996
370,	0.76497,0.00153692,0.711703,-0.0532675
380,	0.773649,0.00568388,0.713471,-0.0601782
390,	0.76389,0.00342614,0.698501,-0.0653891
400,	0.768316,-0.00153594,0.688237,-0.0800792
410,	0.770682,0.00469882,0.68592,-0.084762
420,	0.769963,0.00412016,0.783123,0.0131602
430,	0.769469,-1.25396e-05,0.737251,-0.0322173
440,	0.76952,-0.00597686,0.724628,-0.0448914
450,	0.771173,0.000764258,0.668414,-0.102758
460,	0.765411,0.00121329,0.724211,-0.0412001
470,	0.771548,0.000965447,0.70516,-0.0663874
480,	0.76683,0.00164371,0.662715,-0.104115
490,	0.771624,0.00127159,0.801664,0.0300394
500,	0.770665,0.0021644,0.673228,-0.0974372
510,	0.768017,-0.00213227,0.742723,-0.0252946
520,	0.766496,-0.00306604,0.749248,-0.0172482
530,	0.764451,-0.00265679,0.790365,0.025914
540,	0.758904,-0.00256129,0.57063,-0.188275
550,	0.768146,0.000991037,0.803946,0.0358004
560,	0.767666,-0.000772689,0.726942,-0.0407232
570,	0.768313,-0.000218215,0.754973,-0.0133398
580,	0.776107,-0.00328994,0.65979,-0.116318
590,	0.769235,0.000777805,0.736313,-0.0329221
600,	0.766561,0.000796967,0.688266,-0.0782953
610,	0.766533,0.00115104,0.611451,-0.155082
620,	0.768401,-0.00185736,0.637986,-0.130415
630,	0.768237,0.000556553,0.600122,-0.168116
640,	0.770062,0.00279031,0.767122,-0.00293971
650,	0.766372,-0.00139352,0.635264,-0.131108
660,	0.770381,0.0028336,0.755807,-0.0145745
670,	0.768521,0.000283962,0.674227,-0.0942942
680,	0.772171,0.00487781,0.73338,-0.0387913
690,	0.764427,-0.00207777,0.748263,-0.0161645
700,	0.768227,0.000863704,0.689448,-0.0787791
710,	0.767388,0.00219454,0.68328,-0.0841072
720,	0.766083,-0.00136411,0.734206,-0.0318774
730,	0.76695,-0.0010998,0.689329,-0.077621
740,	0.763985,-0.000752159,0.79145,0.0274653
750,	0.766263,-0.000791887,0.668896,-0.0973673
760,	0.764712,-0.000601468,0.765992,0.00127987
770,	0.769755,-0.00198229,0.676736,-0.0930191
780,	0.766514,0.00434549,0.748073,-0.0184415
790,	0.771124,0.00174476,0.686977,-0.0841467
