MDTU,min_width,max_width
265,0.162955,0.101426
266,0.165379,0.102931
267,0.163519,0.102401
268,0.165119,0.101776
269,0.168397,0.102928
270,0.168006,0.10129
271,0.165292,0.102899
272,0.163721,0.100271
273,0.166471,0.101678
274,0.165328,0.101822
275,0.164625,0.10327
276,0.164309,0.0998737
277,0.162618,0.100945
278,0.166613,0.102412
279,0.167589,0.101953
280,0.167424,0.100055
281,0.165061,0.102105
282,0.166582,0.101306
283,0.164581,0.102515
284,0.16483,0.101554
285,0.162251,0.100697
286,0.167296,0.101467
287,0.168845,0.102069
288,0.1706,0.101607
289,0.1706,0.101607
290,0.168026,0.101203
291,0.168969,0.10132
292,0.172279,0.100756
293,0.170284,0.099926
294,0.169588,0.0999087
295,0.16904,0.101406
296,0.173974,0.101407
297,0.17193,0.101728
298,0.172493,0.10139
299,0.172049,0.103274
300,0.169303,0.0998019
301,0.169303,0.0998019
302,0.173359,0.101735
303,0.174535,0.103685
304,0.172197,0.102294
305,0.17318,0.101124
306,0.172771,0.0997586
307,0.17319,0.099789
308,0.173876,0.0999262
309,0.173236,0.0991937
310,0.175018,0.0993251
311,0.179517,0.0993008
312,0.178824,0.100835
313,0.18055,0.101047
314,0.172376,0.100837
315,0.172672,0.099536
316,0.172672,0.099536
317,0.177121,0.100889
318,0.169728,0.101293
319,0.169728,0.101293
320,0.168344,0.100578
321,0.168652,0.101724
322,0.166104,0.100975
323,0.168244,0.100036
324,0.168534,0.10203
325,0.1694,0.102967
326,0.167289,0.102418
327,0.16865,0.10135
328,0.167844,0.101999
329,0.164783,0.101195
330,0.162377,0.101168
331,0.167448,0.100455
332,0.165997,0.100949
333,0.167338,0.101621
334,0.164869,0.100324
335,0.168785,0.101771
336,0.16307,0.100926
337,0.166071,0.0996296
338,0.168925,0.102234
339,0.165208,0.100439
340,0.168102,0.101505
341,0.164304,0.102695
342,0.166435,0.102517
343,0.165927,0.10306
344,0.167816,0.10225
345,0.164133,0.102744
346,0.165282,0.10172
347,0.168418,0.102606
348,0.166956,0.101615
349,0.162962,0.0993134
350,0.165985,0.101084
351,0.168588,0.100545
352,0.16539,0.101692
353,0.167027,0.100973
354,0.16375,0.100583
355,0.163394,0.100906
356,0.16501,0.101252
357,0.166269,0.102326
358,0.166598,0.102207
359,0.165833,0.104193
360,0.16753,0.102439
361,0.166586,0.101573
362,0.162745,0.101213
363,0.167636,0.101706
364,0.165553,0.100198
365,0.163935,0.102183
366,0.165755,0.10075
367,0.166092,0.101572
