t,walltime
10,30.33
20,34.85
30,34.36
40,37.64
50,35.63
60,36.82
70,35.07
80,39
90,36.51
100,43.6
110,41.03
120,35.69
130,37.58
140,37.45
150,38.53
160,37.44
170,35.77
180,33.77
190,34.8
200,34.72
210,35.09
220,34.37
230,33.17
240,35.06
250,34.9
260,35.54
270,41.65
280,41.1
290,35.14
300,33.64
310,34.45
320,34.57
330,43.11
340,46.67
350,36.71
360,37.01
370,41.29
380,39.22
390,36.87
400,40.15
410,36.15
420,38.63
430,37.85
440,45.77
450,44.98
460,35.99
470,40.59
480,38.99
490,40.33
500,38.55
510,40.4
520,40.54
530,38.4
540,41.57
550,38.43
560,40.64
570,52.67
580,53.26
590,43.08
600,37.57
610,40.04
620,37.29
630,36.24
640,40.3
650,42.8
660,47.44
670,39.23
680,34.19
690,34.38
700,36.65
710,39.05
720,43.84
730,37.89
740,36.61
750,38.74
760,35.81
770,39.36
780,42.45
790,42.19
800,41.7
810,44.43
820,40.23
830,37.62
840,40.64
850,39.79
860,46.61
870,52.09
880,53.2
890,51.17
900,42.41
910,40.84
920,51.47
930,41.48
940,50.05
950,56.05
960,60.62
970,50.15
980,43.11
990,42.79
1000,39.7
1010,37.88
1020,39.12
1030,37.98
1040,39.74
1050,41.9
1060,45.36
1070,35.96
1080,35.39
1090,37
1100,34.96
1110,36.42
1120,34.3
1130,33.65
1140,37.05
1150,40.25
1160,38.5
1170,38.14
1180,36.46
1190,45.5
1200,42.74
1210,37.07
1220,37.88
1230,37.6
1240,39.35
1250,38.78
1260,35.97
1270,38.89
1280,36.08
1290,39.31
1300,44.71
1310,40.48
1320,39.71
1330,39.42
1340,36.34
1350,44.21
1360,41.17
1370,42.89
1380,44.3
1390,35.36
1400,32.71
1410,31.6
1420,32.54
1430,32.14
1440,32.86
1450,34.06
1460,32.93
1470,29.8
1480,29.09
1490,30.9
1500,32.15
1510,34.08
1520,36.1
1530,36.81
1540,34.43
1550,33.7
1560,33.54
1570,31.76
1580,37.41
1590,44.76
1600,36.97
1610,34.24
1620,36.26
1630,37
1640,38.63
1650,41.17
1660,38.28
1670,39.78
1680,33.02
1690,33.12
1700,31.94
1710,32.39
1720,35.55
1730,40.62
1740,33.86
1750,34.1
1760,37.05
1770,37.6
1780,42.7
1790,45.45
1800,35.91
1810,36.21
1820,36.85
1830,37.48
1840,38.06
1850,37.08
1860,35.74
1870,36.51
1880,37.28
1890,41.09
1900,35.93
1910,35.59
1920,35.31
1930,32.1
1940,34.31
1950,37.7
1960,38.32
1970,42.05
1980,39.56
1990,38.2
2000,36.68
2010,41.41
2020,37.94
2030,36.48
2040,39.03
2050,37.26
2060,34.17
2070,33.36
2080,34.24
2090,34.3
2100,39.02
2110,35.43
2120,31.89
2130,32.26
2140,32.53
2150,32.73
2160,32.85
2170,33.88
2180,35.24
2190,36.98
2200,36.98
2210,38.23
2220,35.52
2230,50.38
2240,50.48
2250,47.53
