t,cost
10,4.044
20,4.64667
30,4.58133
40,5.01867
50,4.75067
60,4.90933
70,4.676
80,5.2
90,4.868
100,5.81333
110,5.47067
120,4.75867
130,5.01067
140,4.99333
150,5.13733
160,4.992
170,4.76933
180,4.50267
190,4.64
200,4.62933
210,4.67867
220,4.58267
230,4.42267
240,4.67467
250,4.65333
260,4.73867
270,5.55333
280,5.48
290,4.68533
300,4.48533
310,4.59333
320,4.60933
330,5.748
340,6.22267
350,4.89467
360,4.93467
370,5.50533
380,5.22933
390,4.916
400,5.35333
410,4.82
420,5.15067
430,5.04667
440,6.10267
450,5.99733
460,4.79867
470,5.412
480,5.19867
490,5.37733
500,5.14
510,5.38667
520,5.40533
530,5.12
540,5.54267
550,5.124
560,5.41867
570,7.02267
580,7.10133
590,5.744
600,5.00933
610,5.33867
620,4.972
630,4.832
640,5.37333
650,5.70667
660,6.32533
670,5.23067
680,4.55867
690,4.584
700,4.88667
710,5.20667
720,5.84533
730,5.052
740,4.88133
750,5.16533
760,4.77467
770,5.248
780,5.66
790,5.62533
800,5.56
810,5.924
820,5.364
830,5.016
840,5.41867
850,5.30533
860,6.21467
870,6.94533
880,7.09333
890,6.82267
900,5.65467
910,5.44533
920,6.86267
930,5.53067
940,6.67333
950,7.47333
960,8.08267
970,6.68667
980,5.748
990,5.70533
1000,5.29333
1010,5.05067
1020,5.216
1030,5.064
1040,5.29867
1050,5.58667
1060,6.048
1070,4.79467
1080,4.71867
1090,4.93333
1100,4.66133
1110,4.856
1120,4.57333
1130,4.48667
1140,4.94
1150,5.36667
1160,5.13333
1170,5.08533
1180,4.86133
1190,6.06667
1200,5.69867
1210,4.94267
1220,5.05067
1230,5.01333
1240,5.24667
1250,5.17067
1260,4.796
1270,5.18533
1280,4.81067
1290,5.24133
1300,5.96133
1310,5.39733
1320,5.29467
1330,5.256
1340,4.84533
1350,5.89467
1360,5.48933
1370,5.71867
1380,5.90667
1390,4.71467
1400,4.36133
1410,4.21333
1420,4.33867
1430,4.28533
1440,4.38133
1450,4.54133
1460,4.39067
1470,3.97333
1480,3.87867
1490,4.12
1500,4.28667
1510,4.544
1520,4.81333
1530,4.908
1540,4.59067
1550,4.49333
1560,4.472
1570,4.23467
1580,4.988
1590,5.968
1600,4.92933
1610,4.56533
1620,4.83467
1630,4.93333
1640,5.15067
1650,5.48933
1660,5.104
1670,5.304
1680,4.40267
1690,4.416
1700,4.25867
1710,4.31867
1720,4.74
1730,5.416
1740,4.51467
1750,4.54667
1760,4.94
1770,5.01333
1780,5.69333
1790,6.06
1800,4.788
1810,4.828
1820,4.91333
1830,4.99733
1840,5.07467
1850,4.944
1860,4.76533
1870,4.868
1880,4.97067
1890,5.47867
1900,4.79067
1910,4.74533
1920,4.708
1930,4.28
1940,4.57467
1950,5.02667
1960,5.10933
1970,5.60667
1980,5.27467
1990,5.09333
2000,4.89067
2010,5.52133
2020,5.05867
2030,4.864
2040,5.204
2050,4.968
2060,4.556
2070,4.448
2080,4.56533
2090,4.57333
2100,5.20267
2110,4.724
2120,4.252
2130,4.30133
2140,4.33733
2150,4.364
2160,4.38
2170,4.51733
2180,4.69867
2190,4.93067
2200,4.93067
2210,5.09733
2220,4.736
2230,6.71733
2240,6.73067
2250,6.33733
