ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
1.39031,-0.0017698,null,null,null
1.51466,null,-0.143204,null,null
1.55835,0.098042,null,null,null
1.78687,null,0.260817,null,null
1.53107,-0.314078,null,null,null
1.61883,null,-0.0412956,null,null
1.48657,-0.111612,null,null,null
1.62372,null,-0.694145,null,null
1.40066,-0.375348,null,null,null
1.25225,null,-1.13578,null,null
1.15194,-0.0227701,null,null,null
1.21474,null,-0.820375,null,null
1.44321,0.293988,null,null,null
1.19588,null,-0.732685,null,null
1.14949,0.340307,null,null,null
1.58228,null,-0.84952,null,null
1.3906,0.319701,null,null,null
1.21776,null,-0.560595,null,null
1.36977,0.179496,null,null,null
1.14665,null,-0.251775,null,null
1.41822,-0.0142799,null,null,null
0.989015,null,-0.72445,null,null
1.29325,0.431854,null,null,null
1.20364,null,-0.536235,null,null
1.37752,0.264643,null,null,null
1.39235,null,-0.195693,null,null
1.45732,0.312741,null,null,null
1.12668,null,0.231439,null,null
1.41996,-0.100809,null,null,null
1.11744,null,0.22474,null,null
1.77658,-0.230778,null,null,null
1.23422,null,0.191925,null,null
1.18426,-0.173126,null,null,null
0.82817,null,0.176453,null,null
1.30268,0.00111445,null,null,null
1.14769,null,0.159452,null,null
1.0651,-0.0352152,null,null,null
1.17359,null,0.270646,null,null
1.65928,-0.148522,null,null,null
1.18992,null,-0.0640165,null,null
1.48025,-0.146302,null,null,null
1.16587,null,0.076767,null,null
1.63822,-0.313936,null,null,null
1.15609,null,0.112449,null,null
1.76449,-0.175655,null,null,null
1.09009,null,-0.0985045,null,null
1.68958,-0.50101,null,null,null
1.01309,null,-0.493053,null,null
1.50104,-0.264217,null,null,null
0.84137,null,-0.500215,null,null
1.12001,-0.702245,null,null,null
1.16225,null,-0.51621,null,null
1.12001,-0.702245,null,null,null
1.16225,null,-0.51621,null,null
1.19662,-0.285733,null,null,null
1.37766,null,-0.195965,null,null
1.07772,-0.499814,null,null,null
1.06189,null,-0.328059,null,null
0.884065,-0.810005,null,null,null
1.19304,null,-0.146549,null,null
1.05324,-0.482563,null,null,null
1.12281,null,-0.222976,null,null
1.25066,-0.53753,null,null,null
1.20226,null,-0.336365,null,null
1.1535,-0.898225,null,null,null
