t,deltaS
1,-4.708
2,-1.526
3,-0.2844
4,-0.4492
5,-0.3103
6,-0.05026
7,-0.2413
8,-0.02258
9,-0.02924
10,-0.05897
11,-0.2203
12,0.1427
13,-0.09609
14,0.3121
15,0.1278
16,0.09652
17,0.05508
18,-0.01702
19,0.01377
20,0.08069
21,-0.1006
22,-0.05294
23,-0.02162
24,-0.07428
25,-0.0169
26,-0.02931
27,0.1443
28,0.0555
29,0.08884
30,0.07166
31,0.05858
32,-0.01285
33,0.1671
34,0.06434
35,0.0473
36,0.02369
37,-0.06209
38,0.04967
39,-0.05112
40,-0.06489
41,0.009613
42,0.0862
43,0.06646
44,0.011
45,-0.1581
46,0.02017
47,0.01427
48,0.1397
49,-0.1639
50,0.1348
51,-0.1122
52,0.1657
53,-0.07721
54,-0.04642
55,-0.092
56,-0.1755
57,0.05989
58,-0.04226
59,-0.24
60,-0.2242
61,0.03995
62,0.07629
63,0.05344
64,-0.1728
65,-0.1196
66,0.1432
67,-0.001767
68,-0.01436
69,-0.05658
70,0.2262
71,-0.1097
72,-0.05877
73,-0.2849
74,0.02819
75,0.03886
76,0.1869
77,-0.06612
78,0.0692
79,-0.1275
80,-0.1017
81,-0.002295
82,0.1997
83,-0.1223
84,-0.01951
85,0.1227
86,0.00399
87,0.0521
88,-0.2215
89,-0.09596
90,-0.1208
91,0.05022
92,0.03487
93,-0.04757
94,0.08578
95,-0.08119
96,0.03309
97,-0.1843
98,0.08519
99,-0.06295
100,0.05012
101,0.102
102,0.1512
103,0.188
104,-0.1922
105,0.02572
106,0.02923
107,-0.01491
108,0.002309
109,0.1797
110,0.1417
111,0.07869
112,-0.1068
113,0.01135
114,0.1058
115,-0.1659
116,-0.002944
117,-0.2444
118,0.2381
119,-0.162
120,0.04029
121,-0.03743
122,0.09071
123,0.05717
124,-0.1458
125,-0.3091
126,0.1723
127,-0.04243
128,-0.1284
129,0.01982
130,-0.04703
131,-0.04285
132,0.03122
133,-0.01894
134,-0.06508
135,-0.1504
136,-0.02247
137,-0.07495
138,-0.1273
139,0.07258
140,0.0313
141,0.0373
142,0.02371
143,-0.1976
144,-0.2081
145,0.01842
146,-0.0238
147,0.194
148,-0.03259
149,0.1934
150,-0.1021
151,0.03373
152,-0.04877
153,0.2305
154,-0.1027
155,0.08847
156,0.06154
157,-0.06372
158,0.08812
159,-0.2346
160,0.01774
161,-0.1348
162,0.1001
163,0.05822
164,-0.0382
165,-0.03422
166,0.1218
167,0.04581
168,0.02518
169,-0.004162
170,-0.02365
171,0.2301
172,0.07705
173,-0.1521
174,0.1431
175,0.004588
176,0.277
177,0.003372
178,-0.03301
179,0.158
180,-0.03558
181,0.05989
182,-0.03789
183,0.04573
184,0.01349
185,-0.01069
186,0.1055
187,0.12
188,-0.04871
189,0.08907
190,0.002335
191,0.2404
192,-0.13
193,-0.09837
194,-0.05761
195,-0.03798
196,0.1296
197,-0.09558
198,-0.1109
199,0.04671
200,-0.02495
201,-0.1529
202,0.08047
203,0.1951
204,-0.1196
205,0.02136
206,0.0278
207,-0.0501
208,-0.184
209,-0.1789
210,0.1177
211,-0.02985
212,0.1051
213,-0.191
214,0.06248
215,-0.04787
216,-0.00455
217,0.1461
218,-0.04232
219,-0.3166
220,-0.05051
221,0.1229
222,-0.01344
223,0.1479
224,-0.08359
225,0.1062
226,-0.08588
227,0.06809
228,-0.06519
229,-0.03036
230,-0.0906
231,0.05236
232,-0.117
233,0.2121
234,-0.2164
235,0.03372
236,-0.03625
237,-0.061
238,-0.08705
239,-0.04517
240,-0.08351
241,0.1866
242,0.0426
243,-0.002028
244,0.2502
245,-0.1693
246,-0.02506
247,0.05537
248,0.03867
249,-0.0899
250,-0.07282
251,0.02865
252,0.05718
253,-0.1331
254,0.03059
255,-0.02658
256,-0.09247
257,0.1278
258,-0.04848
259,0.0389
260,-0.01166
261,-0.1182
262,0.1964
263,0.1977
264,-0.02373
265,0.1308
266,-0.1049
267,0.126
268,-0.1651
269,-0.1204
270,0.03074
271,0.04154
272,-0.2235
273,0.06677
274,-0.1937
275,0.0144
276,-0.1552
277,0.02079
278,-0.08652
279,0.0122
280,-0.1265
281,-0.2002
282,-0.1429
283,-0.1566
284,-0.2425
285,0.254
286,-0.1184
287,0.02016
288,0.06082
289,0.1193
290,0.06238
291,-0.02613
292,0.1721
293,0.0737
294,0.05312
295,0.07688
296,0.191
297,-0.007451
298,0.0677
299,-0.0598
300,0.2551
301,0.09733
302,-0.05917
303,-0.1341
304,-0.1673
305,-0.1315
306,0.001585
307,0.09647
308,0.3023
309,-0.08811
310,0.01937
311,0.05265
312,-0.03279
313,-0.03334
314,0.06329
315,-0.08085
316,0.07907
317,0.01967
318,-0.03197
319,0.2526
320,0.1162
321,0.07771
322,0.124
323,0.1402
324,0.02811
325,-0.09534
326,-0.01786
327,0.1313
328,-0.0983
329,0.03438
330,0.07401
331,0.2818
332,-0.08787
333,-0.007764
334,-0.1324
335,-0.1395
336,0.06482
337,0.2051
338,-0.09786
339,-0.04372
340,0.04663
341,-0.01313
342,-0.07601
