MDTU,S_F
1,0.980688
2,0.992918
3,1.00375
4,0.99932
5,1.00397
6,1.00001
7,0.996431
8,1.00311
9,0.999855
10,0.999396
11,1.00129
12,1.00207
13,0.995267
14,1.00072
15,0.9974
16,0.999366
17,0.995882
18,1.00042
19,0.998243
20,0.994632
21,0.995928
22,0.99963
23,0.996799
24,1.0039
25,1.001
26,0.997328
27,0.994722
28,0.994576
29,0.996946
30,1.00288
31,1.00051
32,1.00243
33,0.998306
34,1.0012
35,0.999998
36,1.00069
37,1.00112
38,1.00101
39,0.997969
40,0.995225
41,1.0028
42,1.00254
43,0.994468
44,0.999547
45,1.00319
46,0.999588
47,0.998542
48,1.00098
49,0.999712
50,0.999419
51,1.00057
52,0.999912
53,1
54,0.993302
55,1.00012
56,0.997769
57,0.997603
58,0.994303
59,0.995924
60,1.00232
61,1.00023
62,1.00404
63,1.00051
64,0.997724
65,1.00023
66,0.995645
67,0.998778
68,1.00289
69,0.999302
70,0.996967
71,1.00185
72,1.00403
73,1.00294
74,0.996898
75,0.99912
76,1.0063
77,1.00177
78,1.0001
79,0.99833
80,1.00301
81,1.00255
82,0.999115
83,0.99634
84,0.999884
85,1.0034
86,0.998475
87,0.994031
88,1.00077
89,0.99765
90,0.999863
91,0.996252
92,1.00315
93,0.998234
94,1.00104
95,1.00063
96,0.999752
97,1.00232
98,1.0013
99,0.997604
100,1.00228
101,1.00062
102,1.00066
103,1.00283
104,0.996698
105,1.00014
106,0.998594
107,1.00118
108,1.00143
109,0.997321
110,0.998463
111,0.99495
112,0.999384
113,0.996634
114,0.996879
115,0.998227
116,1.00405
117,0.997476
118,1.00379
119,0.999229
120,0.997141
121,1.0069
122,0.996873
123,0.999126
124,0.999146
125,0.99795
126,1.00087
127,0.998601
128,0.996941
129,0.998261
130,1.00164
131,1.00286
132,1.00063
133,0.999373
134,1.001
135,0.99725
136,1.00763
137,1.00104
138,0.996233
139,1.00444
140,1.00034
141,0.998755
142,1.00234
143,0.998599
144,1.00062
145,0.998633
146,1.00071
147,1.00617
148,1.00168
149,1.00294
150,0.996274
151,1.00032
152,0.996662
153,1.00619
154,1.00229
155,1.00359
156,1.00221
157,0.995259
158,1.00172
159,0.995638
160,1.00361
161,1.00095
162,1.00007
163,0.993586
164,1.00006
165,0.997903
166,1.00104
167,1.00241
168,1.00025
169,0.996352
170,1.00055
171,1.00223
172,1.00185
173,0.999398
174,1.00126
175,0.998547
176,0.998185
177,0.999371
178,0.99374
179,1.00038
180,0.996067
181,1.00004
182,0.996274
183,0.997388
184,0.997907
185,0.999798
186,1.00002
187,1.00448
188,0.996424
189,0.996781
190,1.00011
191,0.996991
192,1.00059
193,0.9969
194,0.999077
195,1.00088
196,1.00122
197,0.994403
198,0.998228
199,0.996728
200,0.998342
201,0.996876
202,0.996255
203,0.999415
204,1.00074
205,1.00005
206,0.997161
207,1.00172
208,0.998372
209,0.999415
210,0.996531
211,1.00179
212,1.00274
213,1.00349
214,1.0004
215,1.0008
216,1.00365
217,0.996478
218,0.998762
219,1.00108
220,1.00016
221,0.998737
222,1.00171
223,1.00023
224,1.00228
225,1.00553
226,1.00093
227,0.993954
228,0.998586
229,0.999799
230,0.99984
231,0.999991
232,1.00024
233,0.998698
234,0.998731
235,0.998025
236,0.998672
237,0.997599
238,1.00074
239,1.00259
240,1.0003
241,1.0007
242,0.999211
243,1.00348
244,0.997246
245,0.996612
246,0.995538
247,1.00464
248,1.00299
249,0.999615
250,0.997452
251,0.999936
252,1.00118
253,1.00273
254,1.00317
255,1.00052
256,0.999032
257,0.99542
258,0.997384
259,0.999973
260,1.0038
261,0.997749
262,1.00048
263,1.00204
264,0.99611
265,1.00223
266,0.996035
267,0.999382
268,0.993837
269,0.99974
270,1.00101
271,1.00167
272,0.998109
273,1.00148
274,0.996923
275,0.999446
276,0.996433
277,1.00901
278,0.997551
279,1.00458
280,0.99814
281,1.00078
282,1.0029
283,1.00342
284,0.999777
285,1.00071
286,1.00098
287,1.00215
288,0.999718
289,1.00062
290,0.999458
291,1.00019
292,1.00156
293,0.999537
294,1.0026
295,1.00146
296,1.00213
297,1.0008
298,0.996075
299,1.00028
300,0.999296
301,1.00202
302,1.00061
303,1.00007
304,0.999892
305,1.00069
306,0.998435
307,1.00346
308,1.00209
309,1.00149
310,0.99899
311,0.999945
312,1.00212
313,1.00162
314,1.00082
315,0.999724
316,1.00331
317,0.994131
318,1.00522
319,1.00587
320,1.00339
321,0.995981
322,1.00383
323,0.999994
324,1.00314
325,0.998722
326,0.998245
327,0.999308
328,0.999533
329,0.999683
330,1.00078
331,0.999603
332,0.997482
333,1.00203
334,0.998688
335,1.00632
336,0.999304
337,1.00398
338,0.995456
339,1.00425
340,1.00215
341,1.00429
342,1.00027
343,1.00128
344,1.00101
345,1.00432
346,0.996033
347,1.00384
348,1.00121
349,0.999268
350,1.00118
351,0.999368
352,0.999187
353,0.995491
354,0.999363
355,1.00123
356,0.999829
357,0.997074
358,0.998425
359,1.004
360,0.996086
361,1.00381
362,1.00036
363,1.00137
364,0.998852
365,1.0022
366,1.00046
367,1.00071
368,0.997066
369,0.999923
370,0.998389
371,0.995884
372,1.00056
373,1.00011
374,0.999316
375,1.00093
376,1.00109
377,0.99966
378,1.00042
379,1.00107
380,1.00216
381,0.99921
382,1.00195
383,1.00225
384,0.999245
385,0.99746
386,1.00013
387,0.996271
388,1.00406
389,1.00197
390,1.00179
391,0.998365
392,0.999551
393,0.998529
394,0.999516
395,1.00196
396,0.999709
397,0.998579
398,1.00187
399,1.0015
400,1.00262
401,1.00673
402,0.999819
403,0.998488
404,0.997419
405,1.00333
406,0.999393
407,1.00189
408,1.00607
409,0.997756
410,0.998656
411,0.998
412,0.99671
413,1.00387
414,0.997024
415,1.00495
416,1.00212
417,1.00159
418,1.00238
419,0.99678
420,0.999911
421,1.00277
422,1.00103
423,0.99833
424,1.00209
425,0.995607
426,0.998912
427,1.00518
428,0.998548
429,1.00339
430,1.00126
431,1.00168
432,0.998616
433,1.00319
434,0.99976
435,1.00175
436,0.995906
437,1.00374
438,0.9978
439,0.99693
440,1.00398
441,1.00344
442,1.00421
443,1.00583
444,0.998349
445,0.998876
446,1.00026
447,1.00092
448,0.999685
449,1.00265
450,0.997958
451,0.995474
452,1.00107
453,1.0016
454,1.00182
455,0.999092
456,0.999381
457,1.00372
458,1.00174
459,1.00221
460,1.0013
461,0.998774
462,1.0029
463,0.998299
464,0.999822
465,1.00217
466,1.00103
467,0.998842
468,1.00239
469,0.996956
470,1.00184
471,0.998684
472,0.999469
473,1.00203
474,0.999498
475,0.997975
476,1.00113
477,1.00207
478,1.00173
479,0.997717
480,1.00623
481,0.997502
482,0.999902
483,0.999676
484,1.00023
485,1.00059
486,0.99626
487,0.998086
488,0.99825
489,1.00071
490,0.999343
491,1.00362
492,1.00141
493,0.999293
494,0.999357
495,1.00438
496,1.00732
497,0.998319
498,0.999625
499,0.998237
500,1.00142
501,0.998563
502,1.00977
503,1.00133
504,0.99764
505,1.0008
506,1.00337
507,0.99761
508,1.00078
509,1.00205
510,0.999898
511,0.999869
512,0.995474
513,0.997182
514,1.00388
515,1.00669
516,0.997242
517,1.00327
518,0.997989
519,0.999554
520,1.0023
521,0.997633
522,1.0027
523,1.00599
524,0.999668
525,1.00089
526,1.00242
527,0.999994
528,1.00503
529,1.00353
530,0.998012
531,0.999137
532,1.00001
533,1.00043
534,0.997167
535,1.00016
536,0.994317
537,0.999985
538,1.00005
539,1.00436
540,1.00206
541,0.998492
542,1.00027
543,1.00011
544,0.999608
545,0.998486
546,0.995723
547,0.999639
548,1.00158
549,0.999161
550,1.0057
551,1.00194
552,0.995567
553,0.998516
554,0.999186
555,0.998515
556,1.00756
557,0.997376
558,0.999104
559,1.00229
