t,e^(-dS)
1,110.83
2,4.59974
3,1.32896
4,1.56706
5,1.36383
6,1.05154
7,1.2729
8,1.02284
9,1.02967
10,1.06074
11,1.24645
12,0.867014
13,1.10086
14,0.731908
15,0.880029
16,0.907992
17,0.946409
18,1.01717
19,0.986324
20,0.92248
21,1.10583
22,1.05437
23,1.02186
24,1.07711
25,1.01704
26,1.02974
27,0.865628
28,0.946012
29,0.914992
30,0.930847
31,0.943103
32,1.01293
33,0.846115
34,0.937686
35,0.953801
36,0.976588
37,1.06406
38,0.951543
39,1.05245
40,1.06704
41,0.990433
42,0.917411
43,0.9357
44,0.98906
45,1.17128
46,0.980032
47,0.985831
48,0.869619
49,1.1781
50,0.873891
51,1.11874
52,0.8473
53,1.08027
54,1.04751
55,1.09636
56,1.19184
57,0.941868
58,1.04317
59,1.27125
60,1.25132
61,0.960837
62,0.926547
63,0.947963
64,1.18863
65,1.12705
66,0.866581
67,1.00177
68,1.01446
69,1.05821
70,0.797559
71,1.11594
72,1.06053
73,1.32963
74,0.972204
75,0.961885
76,0.829527
77,1.06835
78,0.93314
79,1.13598
80,1.10705
81,1.0023
82,0.818976
83,1.13009
84,1.0197
85,0.884529
86,0.996018
87,0.949234
88,1.24795
89,1.10072
90,1.1284
91,0.95102
92,0.965731
93,1.04872
94,0.917796
95,1.08458
96,0.967451
97,1.20238
98,0.918338
99,1.06497
100,0.951115
101,0.90303
102,0.859676
103,0.828615
104,1.21191
105,0.974608
106,0.971193
107,1.01502
108,0.997694
109,0.835521
110,0.867882
111,0.924326
112,1.11271
113,0.988714
114,0.899605
115,1.18046
116,1.00295
117,1.27685
118,0.788124
119,1.17586
120,0.960511
121,1.03814
122,0.913283
123,0.944434
124,1.15696
125,1.3622
126,0.841727
127,1.04334
128,1.13701
129,0.980375
130,1.04815
131,1.04378
132,0.969262
133,1.01912
134,1.06724
135,1.1623
136,1.02272
137,1.07783
138,1.13576
139,0.929991
140,0.969185
141,0.963387
142,0.976569
143,1.21847
144,1.23134
145,0.981749
146,1.02409
147,0.823658
148,1.03313
149,0.824152
150,1.10749
151,0.966833
152,1.04998
153,0.794136
154,1.10816
155,0.915331
156,0.940315
157,1.06579
158,0.915651
159,1.2644
160,0.982416
161,1.14431
162,0.904747
163,0.943442
164,1.03894
165,1.03481
166,0.885325
167,0.955223
168,0.975134
169,1.00417
170,1.02393
171,0.794454
172,0.925844
173,1.16428
174,0.866667
175,0.995423
176,0.758054
177,0.996634
178,1.03356
179,0.85385
180,1.03622
