MDTU,S_B
457,0.995403
458,0.999676
459,0.99308
460,0.998169
461,0.992821
462,0.992821
463,0.992063
464,0.998872
465,0.987152
466,0.994529
467,0.990957
468,0.993765
469,1.00024
470,0.998748
471,0.998403
472,0.997991
473,0.995113
474,0.987958
475,0.997233
476,0.992496
477,1.00436
478,0.998601
479,1.00128
480,1.00514
481,1.00514
482,1.00307
483,1.00077
484,1.00217
485,1.00217
486,0.987095
487,0.993085
488,0.989745
489,0.997633
490,1.00081
491,1.00308
492,1.00616
493,1.00616
494,0.997962
495,0.994867
496,0.99851
497,0.994389
498,1.00373
499,0.996051
500,0.998037
501,0.993425
502,1.00981
503,0.994114
504,1.00261
505,0.990376
506,0.994744
507,0.994393
508,0.992854
509,0.99655
510,0.983885
511,0.99013
512,0.99112
513,0.993762
514,0.994484
515,0.995495
516,0.994437
517,0.994388
518,0.99437
519,1.00212
520,1.00663
521,0.996196
522,1.00112
523,1.00112
524,0.999293
525,0.99804
526,0.998089
527,1.00269
528,1.00509
529,1.00673
530,1.00318
531,0.997772
532,0.995968
533,0.996489
534,0.9969
535,0.995925
536,1.00534
537,1.00439
538,0.997699
539,1.00225
540,1.00225
541,0.994475
542,0.992365
543,0.996583
544,0.995185
545,1.00192
546,0.99295
547,1.00015
548,1.00064
549,0.995262
550,0.997597
551,0.996219
552,0.99052
553,0.992535
554,0.993625
555,1.00199
556,1.0003
557,0.994053
558,0.999329
559,0.999329
560,0.997644
561,1.00544
562,0.990112
563,0.998037
564,0.994361
565,0.999068
566,0.993767
567,0.990728
568,0.994403
569,0.989493
570,0.999858
571,0.999188
572,0.997587
573,0.99171
574,1.00046
575,1.00046
576,0.994402
577,1.00213
578,0.997785
579,0.992835
580,0.988938
581,0.993954
582,0.998085
583,1.00179
584,0.99347
585,0.995181
586,0.992293
587,0.991539
588,0.990436
589,0.989741
590,0.989741
591,0.995102
592,1.006
593,0.993457
594,0.994692
595,0.995236
596,1.00119
597,0.988795
598,0.991697
599,0.995239
600,0.988985
601,0.987225
602,0.992198
603,0.994809
604,0.995907
605,0.996875
606,0.993733
607,0.996635
608,0.998957
609,1.0017
610,0.999295
611,0.998588
612,0.99503
613,0.992459
614,0.996969
615,0.994566
616,0.998643
617,0.998642
618,0.992349
619,0.994666
620,1.00179
621,0.994754
622,0.993947
623,0.990405
624,0.990325
625,0.99617
626,0.99617
627,0.999628
628,0.999296
629,1.00582
630,1.00222
631,1.00023
632,0.992971
633,0.987652
634,0.994165
635,0.993471
636,0.995478
637,0.990979
638,0.993245
639,1.00366
640,1.00366
641,1.00228
642,0.988483
643,0.998652
644,0.991661
645,1.00045
646,1.00521
647,0.997996
648,0.99931
649,0.997318
650,0.997997
651,0.988933
652,0.991983
653,0.989332
654,0.99341
655,0.998023
656,0.999431
657,0.997403
658,0.996091
659,0.995956
660,0.987645
661,0.991028
662,0.985081
663,0.997832
664,1.00039
665,0.99722
