ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.542635,0.0193637,null,null,null
0.50885,null,-0.00604725,null,null
0.410484,0.0246319,null,null,null
0.417137,null,0.031296,null,null
0.383385,-0.0570335,null,null,null
0.346435,null,-0.0418705,null,null
0.328526,-0.0491945,null,null,null
0.292027,null,-0.0736875,null,null
0.277828,-0.0460824,null,null,null
0.252709,null,-0.163916,null,null
0.277736,-0.0428899,null,null,null
0.25393,null,-0.130696,null,null
0.288772,0.0411415,null,null,null
0.270425,null,-0.087513,null,null
0.27684,0.068741,null,null,null
0.316586,null,-0.0984245,null,null
0.27684,0.068741,null,null,null
0.316586,null,-0.0984245,null,null
0.236785,0.116113,null,null,null
0.284084,null,-0.0956445,null,null
0.257537,0.103495,null,null,null
0.217945,null,-0.117236,null,null
0.259289,0.120534,null,null,null
0.26113,null,-0.123803,null,null
0.249322,0.17451,null,null,null
0.279838,null,-0.0786765,null,null
0.247408,0.115286,null,null,null
0.166286,null,-0.051291,null,null
0.281757,0.087625,null,null,null
0.147177,null,-0.034717,null,null
0.26447,0.110609,null,null,null
0.142545,null,-0.0147349,null,null
0.200105,0.0763635,null,null,null
0.195048,null,0.0192211,null,null
0.200105,0.0763635,null,null,null
0.195048,null,0.0192211,null,null
0.21902,0.0381003,null,null,null
0.127644,null,-0.024672,null,null
0.211249,0.078235,null,null,null
0.198101,null,-0.0408133,null,null
0.183496,0.062835,null,null,null
0.197789,null,-0.101165,null,null
0.187896,0.055473,null,null,null
0.150306,null,-0.0615625,null,null
0.205722,0.0136259,null,null,null
0.150043,null,-0.00480295,null,null
0.172383,0.0296919,null,null,null
0.216427,null,0.00265633,null,null
0.158216,-0.0199359,null,null,null
0.158158,null,-0.000933825,null,null
0.119932,-0.00514535,null,null,null
0.181071,null,0.0217611,null,null
0.168971,-0.0196613,null,null,null
0.131903,null,-0.0106043,null,null
0.111602,0.0654815,null,null,null
0.079976,null,-0.0152088,null,null
0.20233,0.0208284,null,null,null
0.0886305,null,0.010833,null,null
0.059084,0.021253,null,null,null
0.112937,null,-0.0242639,null,null
0.111871,-0.0187721,null,null,null
0.103724,null,-0.00899085,null,null
0.187894,0.0403467,null,null,null
0.0929475,null,0.0325425,null,null
0.187894,0.0403467,null,null,null
0.0929475,null,0.0325425,null,null
0.140441,0.0119126,null,null,null
0.130923,null,0.02319,null,null
0.17943,-0.0478529,null,null,null
0.132456,null,0.0778445,null,null
0.184221,-0.0201709,null,null,null
0.161218,null,0.072691,null,null
0.182445,0.074598,null,null,null
0.159858,null,0.0503275,null,null
0.205474,0.0454374,null,null,null
0.20196,null,0.12555,null,null
0.140276,0.0266908,null,null,null
0.142185,null,0.146069,null,null
0.160886,0.0566855,null,null,null
0.19656,null,0.098911,null,null
0.206457,0.10572,null,null,null
0.22087,null,0.08621,null,null
0.226888,0.08466,null,null,null
0.191811,null,0.0629385,null,null
0.227537,0.158191,null,null,null
0.142852,null,0.129193,null,null
0.277369,0.136003,null,null,null
0.182115,null,0.115948,null,null
0.216743,0.211803,null,null,null
0.135845,null,0.12634,null,null
0.229664,0.140898,null,null,null
0.147758,null,0.130788,null,null
0.218611,0.180365,null,null,null
0.198895,null,0.096438,null,null
0.188731,0.134074,null,null,null
0.181715,null,0.0755045,null,null
0.198114,0.186921,null,null,null
0.29322,null,0.12443,null,null
0.224845,0.166586,null,null,null
0.25728,null,0.108411,null,null
0.196363,0.15848,null,null,null
0.152869,null,0.145381,null,null
0.196664,0.23168,null,null,null
0.176844,null,0.071514,null,null
0.160011,0.198025,null,null,null
0.157474,null,0.0657125,null,null
0.132677,0.211022,null,null,null
0.196864,null,0.0896175,null,null
0.155723,0.229783,null,null,null
0.2098,null,-0.00362842,null,null
0.135528,0.247179,null,null,null
0.215672,null,-0.00100677,null,null
0.225354,0.266819,null,null,null
0.198733,null,0.0233063,null,null
0.220095,0.212493,null,null,null
