MDTU,susyTrans,Im(bilin)
10,-0.0246231,0.00173465
20,-0.12648,-0.00414787
30,0.0324956,-0.00311763
40,-0.0337286,0.00343168
50,-0.0398987,-0.00407321
60,-0.0217838,-0.000448083
70,-0.0631716,-0.00317075
80,-0.0287227,-0.00018137
90,-0.0741698,-0.00260605
100,-0.0865177,0.00254965
110,-0.00325137,0.000153221
120,-0.0894482,-0.00141467
130,-0.0569712,0.000159084
140,-0.0261875,0.000627276
150,-0.00282576,0.00725789
160,0.0268967,0.00106166
170,0.0151038,0.00128837
180,0.00901627,0.00361525
190,-0.0310212,-0.000745142
200,0.000735832,0.000382484
210,-0.0519742,-0.000933482
220,-0.0266051,0.00104456
230,-0.0329243,-0.00245308
240,0.0182027,4.42142e-05
250,-0.0423059,0.00137776
260,0.0192178,-0.000762177
270,-0.0277216,-0.00384517
280,-0.0756935,0.00762055
290,-0.064697,0.00290169
300,-0.0320606,0.000776421
310,-0.00408477,0.00795378
320,-0.0786652,0.00211905
330,-0.0267389,-0.00317551
340,-0.0274126,0.00137811
350,-0.0189476,-0.00126473
360,-0.0366362,0.000481124
370,-0.109385,0.0050408
380,0.00241593,0.000281755
390,0.00144827,-0.00106703
400,-0.00726321,-0.00586781
410,-0.0485312,0.000291768
420,-0.0410638,0.00297381
430,-0.0338084,0.00592486
440,-0.0178446,-0.000276563
450,-0.0264749,0.00362393
460,-0.0573583,-0.00205099
470,-0.0572519,-0.00371095
480,-0.0610762,0.00012781
490,-0.0219097,0.00537699
500,0.0263716,-0.0024903
510,-0.090728,-0.00488806
520,-0.031372,-0.00378844
530,0.0239593,-0.000586293
540,0.00362258,-0.00433955
550,0.0119462,0.00357802
560,-0.051298,0.00175356
570,0.00388689,0.00369795
580,-0.0152091,0.00103766
590,-0.0467129,0.00581543
600,0.00323161,-0.00551294
610,-0.0431726,0.00418627
620,0.0144157,0.00753247
630,-0.0419796,0.00576706
640,-0.0278577,-0.00139503
650,0.0242649,0.000605063
660,-0.0427669,-0.001224
670,-0.0311635,0.00432665
680,-0.0409075,0.00134682
690,-0.0943758,0.00138442
700,-0.0872373,0.00270297
710,-0.0255373,-0.0045464
720,-0.0359479,0.000709145
730,0.0332155,-0.000720881
740,0.0270807,0.00566247
750,0.0316182,0.00620552
760,0.00220626,5.65761e-05
770,-0.0831457,-0.00509758
780,-0.0168468,-0.00227123
790,-0.0141498,0.00350982
800,-0.0507726,0.00320941
810,-0.0793057,0.00233197
820,0.0108988,0.000262604
830,0.000439183,0.00108471
840,-0.0399663,0.000164193
850,-0.0653868,0.000694248
860,-0.0603409,-0.00196417
870,-0.0098656,0.00030726
880,-0.0146999,0.00306633
890,-0.0331654,-7.47633e-05
900,-0.0169062,-0.00551586
910,-0.00165133,0.00318013
920,-0.0444711,4.55861e-05
930,0.00959796,0.00463288
940,-0.00216716,0.0036391
950,-0.0319595,0.00156754
960,0.0430123,-0.00315793
970,0.0156342,0.00596671
980,-0.041732,-0.00246904
990,-0.000552547,0.00245004
1000,0.0443728,0.0057086
1010,-0.126858,-0.00291477
1020,0.0345209,-0.00192025
1030,-0.0486448,-0.00503192
1040,0.0274153,-0.00359481
1050,0.0401157,0.0044631
1060,0.0188332,-0.00601524
1070,-0.0561372,-0.0040493
1080,-0.0320212,-0.000541138
1090,0.0109361,-0.00347053
1100,-0.0295004,0.000264158
1110,0.00454028,0.00201557
1120,-0.000764946,-0.00565682
1130,-0.0043422,-0.00805479
1140,-0.0303208,0.000466675
1150,-0.0277261,-0.00657557
1160,-0.0263186,-0.00749334
1170,-0.0454977,-0.000919416
1180,0.00182351,-0.00260858
1190,-0.0065065,0.00169889
1200,-0.0364415,-0.000811776
1210,-0.0165796,0.004508
1220,-0.0742835,0.00151516
1230,-0.0547206,-0.00194976
1240,-0.0348054,-0.000531775
1250,-0.114265,0.00832277
1260,0.00936666,-0.000951293
1270,-0.0624748,-0.00325821
1280,-0.0358917,-0.000716131
1290,-0.0232057,-5.14624e-06
1300,-0.0880371,-0.00124032
1310,-0.0321491,-0.0032605
1320,-0.046213,-0.00182528
1330,-0.0144484,0.00142737
1340,-0.0121782,0.00336592
1350,-0.0311843,0.00424077
1360,-0.00699877,0.00397973
1370,-0.0991537,0.00139625
1380,-0.109683,0.000875924
1390,0.0149295,-0.000210035
1400,-0.0278668,-0.00123809
1410,0.0222356,0.00239194
1420,-0.0193142,0.00416608
1430,-0.00347508,-0.00101438
1440,-0.093036,0.0052984
1450,-0.0267109,-0.0027
1460,-0.0527083,0.00595392
1470,-0.00502804,-0.00189773
1480,-0.0120663,-0.00243433
1490,-0.0197822,4.83143e-05
1500,-0.0610453,0.0103412
1510,-0.0114276,-0.000638163
1520,-0.0211948,-0.000619268
1530,0.029001,0.00447508
1540,-0.0232152,-0.00665952
1550,-0.117221,-0.00201042
1560,-0.0793386,-0.00120389
1570,-0.0483829,0.00277147
1580,-0.00634032,0.00327219
1590,-0.0385738,-0.000665887
1600,-0.0658995,-0.00366901
1610,-0.00363448,-0.00159347
1620,-0.0117522,-0.00117678
1630,-0.00966689,-0.000600201
1640,-0.00728976,0.00207774
1650,-0.0633854,0.0019877
1660,-0.0342291,0.00247955
1670,0.00732154,-0.000451074
1680,-0.0406618,0.00112337
1690,-0.0590922,-0.000463289
1700,-0.117315,0.0010963
1710,-0.0287088,0.00225046
1720,-0.0564086,0.00151708
1730,0.014114,0.0030425
1740,0.0225895,0.00528709
1750,-0.058988,0.00271935
1760,-0.0872376,-0.00116883
1770,-0.0287839,-0.00163573
1780,-0.0710595,0.0018601
1790,-0.0281903,-0.00251582
1800,0.021945,0.0015427
1810,-0.0711212,-0.000256068
1820,-0.0417777,-0.00333847
1830,0.0252563,-0.00500312
1840,-0.0686901,0.00248266
1850,-0.11139,-0.00333071
1860,-0.0328423,0.00417642
1870,-0.00482964,0.00542799
1880,-0.0102674,-0.000716004
1890,0.00838823,0.0023325
1900,-0.023811,0.00337968
1910,-0.04383,0.00251824
1920,-0.0265663,0.0030232
1930,-0.0227657,-0.0014935
1940,-0.0880265,0.00110902
1950,-0.0545428,0.000560943
1960,-0.0553525,0.00166249
1970,0.0622258,-0.00112164
1980,-0.0483937,-0.00195209
1990,-0.0176944,0.00498299
2000,-0.029637,-0.00021666
2010,0.000962196,0.00914542
2020,0.0154267,0.00483972
2030,-0.0352148,-0.000292061
2040,-0.0242959,0.00385956
2050,-0.0549021,-0.00304149
2060,-0.0318022,-0.000454576
2070,-0.0509812,-0.00092274
2080,-0.00467794,-0.000600679
2090,-0.0239285,0.00105519
2100,0.0662029,0.00726506
2110,-0.0372694,0.00367321
2120,-0.0876107,0.00397359
2130,-0.0965887,0.000879205
2140,0.011019,-0.00340953
2150,-0.0485868,-0.00345068
2160,-0.00214646,0.00139753
2170,0.0144769,0.012302
2180,0.0115504,-0.00489465
2190,0.0274547,0.00144598
2200,0.0257777,0.00603801
2210,0.0127828,-0.00517106
2220,-0.0156036,0.00905982
2230,-0.0689173,-0.000310724
2240,0.0105765,-0.000931424
2250,-0.0444048,-0.00151216
2260,-0.0572942,-0.00173459
2270,-0.0258303,-0.00391149
2280,-0.104919,0.000910701
2290,0.0133246,-0.00225857
2300,-0.0185194,0.00519874
2310,-0.0482369,0.00281569
2320,-0.079349,0.0010803
2330,-0.0230779,-0.00238482
2340,0.0148366,0.00308437
2350,-0.0280514,0.00300848
2360,-0.0079943,-0.0088689
