t,|deltaS|
460,0.07178
461,0.2321
462,0.1369
463,0.2042
464,0.01234
465,0.1275
466,0.1066
467,0.1263
468,0.2729
469,0.1804
470,0.1327
471,0.1867
472,0.3244
473,0.1741
474,0.04409
475,0.007277
476,0.1332
477,0.2103
478,0.104
479,0.09052
480,0.05073
481,0.2547
482,0.09569
483,0.05642
484,0.08469
485,0.1722
486,0.17
487,0.1919
488,0.04237
489,0.2633
490,0.2881
491,0.001427
492,0.1692
493,0.2105
494,0.1331
495,0.02662
496,0.1909
497,0.009605
498,0.1156
499,0.2233
500,0.2896
501,0.04059
502,0.05985
503,0.2993
504,0.03799
505,0.05425
506,0.2565
507,0.03409
508,0.00159
509,0.1419
510,0.05577
511,0.08348
512,0.1144
513,0.02104
514,0.2309
515,0.09016
516,0.02236
517,0.1426
518,0.1222
519,0.1862
520,0.04786
521,0.2572
522,0.1826
523,0.09478
524,0.2175
525,0.1344
526,0.2156
527,0.2674
528,0.05953
529,0.3435
530,0.0282
531,0.1151
532,0.1109
533,0.03892
534,0.06255
535,0.0437
536,0.03758
537,0.2154
538,0.152
539,0.0362
540,0.1994
541,0.149
542,0.08693
543,0.02778
544,0.0003205
545,0.008963
546,0.02657
547,0.02292
548,0.02854
549,0.1366
550,0.09931
551,0.1023
552,0.01103
553,0.1196
554,0.06299
555,0.1096
556,0.1816
557,0.02662
558,0.1337
559,0.2218
560,0.03501
561,0.023
562,0.1381
563,0.06258
564,0.03413
565,0.2494
566,0.237
567,0.1955
568,0.103
569,0.1282
570,0.3653
571,0.02152
572,0.0348
573,0.1773
574,0.03927
575,0.1659
576,0.06431
577,0.0704
578,0.05097
579,0.1052
580,0.1071
581,0.07849
582,0.02385
583,0.1093
584,0.1012
585,0.1111
586,0.05818
587,0.2537
588,0.0717
589,0.05774
590,0.262
591,0.004957
592,0.412
593,0.2017
594,0.06543
595,0.1631
596,0.003754
597,0.03478
598,0.1747
599,0.0009887
600,0.05562
601,0.2381
602,0.1593
603,0.1347
604,0.1975
605,0.01891
606,0.214
607,0.02209
608,0.2256
609,0.2409
610,0.2537
611,0.1889
612,0.0175
613,0.1299
614,0.05249
615,0.003603
616,0.1476
617,0.007503
618,0.08299
619,0.09112
620,0.2002
621,0.03353
622,0.141
623,0.04747
624,0.05045
625,0.08786
626,0.117
627,0.06046
628,0.0526
629,0.2019
630,0.2261
631,0.06463
632,0.001537
633,0.09111
634,0.226
635,0.103
636,0.1756
637,0.1157
638,0.2048
639,0.008903
640,0.04077
641,0.1274
642,0.01265
643,0.2784
644,0.05739
645,0.006488
646,0.002133
647,0.1604
648,0.1033
649,0.0474
650,0.1019
651,0.008481
652,0.1222
653,0.02971
654,0.07696
655,0.00467
656,0.1395
657,0.02829
658,0.0343
659,0.09752
660,0.1106
661,0.1537
662,0.1301
663,0.1977
664,0.2184
665,0.2096
666,0.162
667,0.08913
668,0.09489
669,0.07911
670,0.3372
671,0.0002989
672,0.2392
673,0.08555
674,0.09209
675,0.05888
676,0.01728
677,0.1042
678,0.279
679,0.01111
680,0.1109
681,0.3285
682,0.06086
683,0.1529
684,0.06457
685,0.04065
686,0.05431
687,0.1847
688,0.1195
689,0.1557
690,0.1187
691,0.04398
692,0.0959
693,0.1557
694,0.06492
695,0.1076
696,0.02271
697,0.1569
698,0.152
699,0.2337
700,0.3862
701,0.2188
702,0.1421
703,0.1059
704,0.09052
705,0.02903
706,0.1385
707,0.07203
708,0.01286
709,0.07475
710,0.1364
711,0.006362
712,0.05646
713,0.1352
714,0.000654
715,0.1432
716,0.02075
717,0.03447
718,0.2984
719,0.05731
720,0.02117
721,0.2358
722,0.2317
723,0.01211
724,0.09001
725,0.1647
726,0.08694
727,0.1199
728,0.1652
729,0.4095
730,0.2553
731,0.07382
732,0.239
733,0.08752
734,0.02805
735,0.04187
736,0.1945
737,0.2808
738,0.2901
739,0.2136
740,0.01293
741,0.2962
742,0.1386
743,0.3092
744,0.066
745,0.07425
746,0.04314
747,0.3388
748,0.06998
749,0.1919
750,0.0599
751,0.03616
752,0.1519
753,0.2385
754,0.2625
755,0.2072
756,0.2539
757,0.1498
758,0.04235
759,0.09111
760,0.07145
761,0.1086
762,0.2171
763,0.05566
764,0.001735
765,0.04385
766,0.1506
767,0.2365
768,0.277
769,0.1839
770,0.01209
771,0.1622
772,0.1577
773,0.01389
774,0.08158
775,0.068
776,0.03832
777,0.1046
778,0.2361
779,0.1659
780,0.1337
781,0.2043
782,0.1106
783,0.04836
784,0.06045
785,0.1432
786,0.1998
787,0.194
788,0.032
789,0.3881
790,0.01815
791,0.1969
792,0.1118
793,0.2113
794,0.05668
795,0.07438
796,0.009205
797,0.01799
798,0.1414
799,0.04371
800,0.09377
801,0.09889
802,0.02069
803,0.06986
804,0.1771
805,0.01244
806,0.04695
807,0.3038
808,0.1155
809,0.18
810,0.1776
811,0.2243
812,0.04499
813,0.1319
814,0.09779
815,0.04225
816,0.003806
817,0.01226
818,0.397
819,0.2243
820,0.1782
821,0.2772
822,0.07074
823,0.1082
824,0.03815
825,0.02573
826,0.09154
827,0.164
828,0.1035
829,0.04126
830,0.02241
