t,cost
10,4.20933
20,4.448
30,3.68533
40,3.408
50,3.176
60,2.97867
70,3.07333
80,3.056
90,2.944
100,3.12
110,3.576
120,3.81467
130,3.908
140,3.59733
150,3.37067
160,3.55067
170,3.45733
180,3.48533
190,3.93867
200,3.59067
210,3.60533
220,3.124
230,3.08133
240,2.82
250,2.86933
260,2.87333
270,2.95333
280,3.044
290,3.11067
300,3.09733
310,3.11467
320,3.11467
330,2.824
340,2.85733
350,3.00933
360,3.29733
370,3.11067
380,3.1
390,3.176
400,3.06133
410,3.23867
420,3.564
430,3.68267
440,3.96533
450,3.648
460,4.55867
470,4.752
480,3.664
490,3.75867
500,4.968
510,4.24933
520,4.156
530,4.60933
540,3.94267
550,3.96533
560,3.85333
570,3.988
580,3.88267
590,3.552
600,3.52
610,3.22533
620,2.9
630,3.284
640,3.64667
650,3.38667
660,3.39067
670,3.78933
680,3.45733
690,4.11333
700,4.13733
710,4.696
720,4.41467
730,3.33467
740,3.176
750,3.28533
760,3.06
770,4.43067
780,4.08533
790,3.932
800,3.604
810,3.78667
820,3.54667
830,3.29333
840,4.352
850,4.068
860,3.59733
870,3.336
880,3.528
890,3.36133
900,2.91333
910,2.81067
920,3.024
930,3.18933
940,3.268
950,3.39067
960,3.29333
970,3.36667
980,3.592
990,3.57467
1000,3.26933
1010,3.40533
1020,3.55867
1030,3.224
1040,3.256
1050,3.17467
1060,3.13467
1070,3.26267
1080,3.13733
1090,3.112
1100,3.18933
1110,3.05867
1120,3.22133
1130,3.26267
1140,3.34133
1150,3.40933
1160,4.07867
1170,3.64133
1180,3.15333
1190,3.49067
1200,3.596
1210,3.51067
1220,3.25733
1230,3.01467
1240,3.04133
1250,3.11733
1260,3.16933
1270,3.33733
1280,3.336
1290,3.74533
1300,3.52667
1310,4.04933
1320,4.144
1330,4.50533
1340,4.372
1350,4.57867
1360,4.276
1370,4.516
1380,4.58533
1390,4.476
1400,3.79333
1410,4.33067
1420,3.748
1430,3.34267
1440,3.872
1450,4.70267
1460,4.288
1470,4.09333
1480,4.04933
1490,3.656
1500,3.47333
1510,3.23333
1520,3.45467
1530,3.66
1540,3.97333
1550,3.804
1560,3.37467
1570,3.73733
1580,4.33333
1590,3.4
1600,3.36667
1610,3.012
1620,3.596
1630,3.596
1640,3.636
1650,3.68667
1660,3.73467
1670,3.42533
1680,3.588
1690,3.41867
1700,3.37467
1710,3.28533
1720,4.12267
1730,4.27867
1740,4.53733
1750,4.136
1760,4.008
1770,3.35067
1780,4.128
1790,3.548
1800,3.316
1810,3.21067
1820,3.45733
1830,3.468
1840,3.35333
1850,3.10533
1860,2.928
1870,3.16133
1880,3.09067
1890,3.18
1900,3.35333
1910,2.94933
1920,2.89333
1930,2.872
1940,2.89867
1950,3.05333
1960,3.23733
1970,3.42133
1980,3.592
1990,3.89333
2000,3.196
2010,3.55733
2020,3.94267
2030,4.15867
2040,4.416
2050,4.292
2060,4.108
2070,3.00267
2080,3.88133
2090,3.504
2100,3.49333
2110,3.808
2120,3.60133
2130,3.06667
2140,3.544
2150,3.36133
2160,3.18533
2170,3.47867
2180,3.532
2190,3.50533
2200,4.212
2210,3.876
2220,3.804
2230,3.056
2240,3.336
2250,3.22133
2260,3.06667
2270,3.39867
2280,3.58533
2290,3.012
2300,2.84
2310,2.84667
2320,2.896
2330,2.95867
2340,3.35867
2350,4.25867
2360,3.836
2370,3.86267
2380,4.08133
2390,3.88267
2400,3.472
2410,3.74933
2420,4.09333
2430,3.58533
2440,3.912
2450,4.33333
2460,3.53333
2470,3.11867
2480,3.70667
2490,3.58133
2500,3.48133
2510,3.75067
2520,3.328
2530,4.052
2540,3.91067
2550,3.23467
2560,3.65333
2570,3.05467
2580,3.14267
2590,2.876
2600,2.75867
2610,2.62133
2620,2.76267
2630,2.92933
2640,2.77733
2650,2.80533
2660,2.97867
2670,2.99467
2680,2.98267
2690,3.04533
2700,2.836
2710,3.112
2720,3.19333
2730,3.352
2740,3.89333
2750,4.416
2760,4.54
2770,3.84667
2780,3.884
2790,3.33733
2800,3.336
2810,3.41867
