t,cg_iters
1,4311
2,6924
3,7861
4,8549
5,8669
6,9226
7,9450
8,9244
9,9438
10,9731
11,10500
12,10037
13,10555
14,10818
15,10633
16,10619
17,10476
18,11611
19,10226
20,8784
21,8501
22,8470
23,8204
24,8887
25,8786
26,8595
27,9021
28,9415
29,9662
30,9402
31,9357
32,8792
33,8057
34,8054
35,8853
36,8427
37,7118
38,7320
39,7948
40,8323
41,8979
42,8093
43,7454
44,7109
45,6755
46,7316
47,8285
48,8214
49,7035
50,6615
51,6775
52,6895
53,6719
54,6730
55,7006
56,7113
57,6908
58,7442
59,7708
60,7341
61,7060
62,7680
63,8193
64,7684
65,7837
66,7263
67,6765
68,6905
69,6839
70,7105
71,7139
72,6486
73,7095
74,7263
75,7940
76,7830
77,7779
78,7332
79,7043
80,6893
81,6789
82,6941
83,6632
84,6641
85,6962
86,6718
87,6815
88,7172
89,7430
90,7765
91,7662
92,7519
93,7790
94,7652
95,7163
96,7036
97,7475
98,7451
99,7617
100,7096
101,6746
102,7178
103,7819
104,8445
105,8079
106,7629
107,8265
108,9295
109,9729
110,9575
111,9269
112,7844
113,7585
114,7160
115,7388
116,8690
117,8341
118,8026
119,8594
120,8060
121,8198
122,8058
123,8300
124,8509
125,8198
126,7969
127,8007
128,8175
129,8606
130,9277
131,8722
132,8629
133,8646
134,8119
135,7728
136,7230
137,7117
138,6957
139,6380
140,6572
141,6502
142,6888
143,7689
144,7096
145,6701
146,6770
147,7256
148,7300
149,7297
150,6992
151,6940
152,7368
153,7270
154,7416
155,8275
156,7902
157,7675
158,7194
159,7353
160,7539
161,7140
162,6862
163,6666
164,7074
165,7971
166,8055
167,7528
168,7495
169,7258
170,6457
171,6886
172,7108
173,7078
174,6845
175,7516
176,7701
177,7499
178,7788
179,7655
180,7493
181,7352
182,7395
183,7681
184,8530
185,9203
186,9032
187,8743
188,8507
189,8887
190,8763
191,8464
192,8294
193,8800
194,8210
195,7383
196,7360
197,6764
198,6645
199,6916
200,6991
201,7853
202,8553
203,7831
204,8283
205,8619
206,7983
207,7353
208,6624
209,6443
210,6617
211,6810
212,6664
213,6357
214,6652
215,6677
216,6633
217,6296
218,5907
219,6282
220,6310
221,6537
222,6797
223,6327
224,5828
225,6092
226,6334
227,6148
228,6596
229,6462
230,6311
231,5729
232,5670
233,5452
234,5643
235,5902
236,5953
237,5857
238,5638
239,5757
240,5872
241,5560
242,5726
243,5704
244,6063
245,5753
246,5876
247,5892
248,6035
249,6103
250,5798
251,6116
252,5632
253,5535
254,5669
255,5847
256,5726
257,6031
258,6025
259,5852
260,6095
261,5895
262,6195
263,6263
264,6421
265,5873
266,6028
267,5719
268,6038
269,5983
270,5890
271,5945
272,6068
273,6299
274,6271
275,6349
276,6155
277,6183
278,6296
279,6356
280,6535
281,6268
282,6231
283,6141
284,6346
285,6439
286,6588
287,6654
288,6904
289,6598
290,6259
291,6395
292,6383
293,6366
294,6601
295,6685
296,6173
297,6174
298,6338
299,6641
300,6091
301,5852
302,6006
303,6227
304,6400
305,6215
306,6851
307,6938
308,6750
309,6595
310,6562
311,6792
312,6726
313,6522
314,6840
315,6624
316,6443
317,5887
318,5877
319,6098
320,6352
321,5919
322,5630
323,5607
324,5608
325,5793
326,5639
327,5777
328,5749
329,5879
330,5744
331,5496
332,5517
333,5756
334,6366
335,5938
336,5872
337,5851
338,5893
339,5820
340,5678
341,5936
342,6155
343,6587
344,6120
345,6018
346,5990
347,6324
348,6218
349,6280
350,6265
351,6565
352,6994
353,7106
354,6891
355,6676
356,6893
357,6798
358,6911
359,6970
360,6422
361,6665
362,6505
363,6462
364,6791
365,6613
366,6282
367,6188
368,6298
369,6165
370,6117
371,6790
372,6676
373,6325
374,5820
375,6028
376,6114
377,6144
378,6105
379,6915
380,7006
381,6282
382,6018
383,6296
384,6147
385,6141
386,6706
387,7202
388,6941
389,7181
390,6701
391,6351
392,6266
393,6179
394,6566
395,6478
396,6358
397,5903
398,6173
399,6425
400,6409
401,6566
402,6761
403,6760
404,6582
405,6624
406,6959
407,7073
408,6926
409,6336
410,6395
411,6931
412,6915
413,6904
414,7318
415,7525
416,7821
417,7838
418,7639
419,7913
420,7822
421,7684
422,7657
423,7826
424,7350
425,7409
426,8035
427,8877
428,8073
429,7021
430,7470
431,8798
432,9706
433,9070
434,8231
435,7936
436,7575
437,7629
438,7509
439,8865
440,8937
441,7965
442,8323
443,8974
444,8626
445,7452
446,7220
447,7191
448,6908
449,6873
450,7156
451,7861
452,9114
453,10515
454,11210
455,10547
456,9151
457,9364
458,8889
459,10424
460,11161
461,11403
462,10774
463,10749
464,11173
465,10971
466,10044
467,10441
468,10078
469,9065
470,8368
471,7798
472,7654
473,7362
474,6878
475,7338
476,7316
477,8100
478,8705
479,8064
480,7675
481,7641
482,7414
483,6948
484,7341
485,6888
486,7435
487,8098
488,8712
489,9069
490,10074
491,11410
492,9918
493,9270
494,10232
495,10411
496,10528
497,10631
498,11087
499,12637
500,11794
501,10083
502,9785
503,10811
504,10133
505,9722
506,9020
507,8209
508,7859
509,7768
510,7866
511,7656
512,7449
513,7413
514,7879
515,8199
516,8673
517,8594
518,9494
519,11787
520,11479
521,11571
522,11002
523,10188
524,9971
525,9674
526,9237
527,9364
528,9537
529,9615
530,8919
531,8743
532,8142
533,7925
534,8824
535,8551
536,8082
537,8930
538,8550
539,7952
540,7985
541,8021
542,7689
543,8176
544,8269
545,9432
546,9302
547,8931
548,8487
549,7669
550,7628
551,8307
552,8488
553,8567
554,8318
555,7422
556,7689
557,7335
558,7857
559,8166
560,9194
561,9293
562,9210
563,9046
