MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
10,	1.15274,0.00173465,1.11328,-0.0394509
20,	1.15769,-0.00414787,0.966912,-0.19078
30,	1.14327,-0.00311763,1.19706,0.0537899
40,	1.14997,0.00343168,1.09638,-0.053585
50,	1.1463,-0.00407321,1.08337,-0.0629251
60,	1.15446,-0.000448083,1.11943,-0.0350289
70,	1.15888,-0.00317075,1.05968,-0.0991996
80,	1.15421,-0.00018137,1.10825,-0.0459673
90,	1.15346,-0.00260605,1.03835,-0.115116
100,	1.16082,0.00254965,1.02674,-0.134078
110,	1.14003,0.000153221,1.1348,-0.00522663
120,	1.15505,-0.00141467,1.01737,-0.137677
130,	1.14837,0.000159084,1.05936,-0.0890063
140,	1.1601,0.000627276,1.11791,-0.0421869
150,	1.14837,0.00725789,1.14379,-0.00457967
160,	1.15233,0.00106166,1.19702,0.044694
170,	1.14812,0.00128837,1.17291,0.0247919
180,	1.14938,0.00361525,1.16413,0.0147527
190,	1.14744,-0.000745142,1.09817,-0.0492677
200,	1.14295,0.000382484,1.14414,0.00119318
210,	1.15388,-0.000933482,1.07202,-0.081869
220,	1.15792,0.00104456,1.11515,-0.0427683
230,	1.14754,-0.00245308,1.09531,-0.0522329
240,	1.14914,4.42142e-05,1.17911,0.029971
250,	1.14906,0.00137776,1.08228,-0.0667868
260,	1.15333,-0.000762177,1.18511,0.0317826
270,	1.14723,-0.00384517,1.10311,-0.0441197
280,	1.14726,0.00762055,1.03053,-0.116734
290,	1.15117,0.00290169,1.05035,-0.100816
300,	1.14958,0.000776421,1.0986,-0.0509787
310,	1.14928,0.00795378,1.14266,-0.00661865
320,	1.16058,0.00211905,1.03809,-0.122484
330,	1.14415,-0.00317551,1.10168,-0.0424737
340,	1.1473,0.00137811,1.10366,-0.0436487
350,	1.14657,-0.00126473,1.11625,-0.0303137
360,	1.15381,0.000481124,1.09552,-0.0582894
370,	1.15147,0.0050408,0.985672,-0.165801
380,	1.15705,0.000281755,1.16101,0.00396364
390,	1.14132,-0.00106703,1.14366,0.00233347
400,	1.15369,-0.00586781,1.1419,-0.0117876
410,	1.16697,0.000291768,1.08949,-0.0774782
420,	1.15131,0.00297381,1.08631,-0.0650043
430,	1.15481,0.00592486,1.10087,-0.0539377
440,	1.15433,-0.000276563,1.12556,-0.0287674
450,	1.15671,0.00362393,1.11419,-0.0425198
460,	1.14424,-0.00205099,1.05497,-0.0892689
470,	1.14924,-0.00371095,1.05974,-0.0894968
480,	1.14766,0.00012781,1.05255,-0.0951095
490,	1.15317,0.00537699,1.11798,-0.0351936
500,	1.14758,-0.0024903,1.1912,0.0436155
510,	1.14604,-0.00488806,1.00759,-0.138453
520,	1.15492,-0.00378844,1.10478,-0.0501314
530,	1.14439,-0.000586293,1.18384,0.0394497
540,	1.15064,-0.00433955,1.15655,0.00590871
550,	1.14795,0.00357802,1.16751,0.0195524
560,	1.14987,0.00175356,1.06932,-0.080557
570,	1.15746,0.00369795,1.16384,0.00637891
580,	1.1489,0.00103766,1.12445,-0.0244444
590,	1.15483,0.00581543,1.08094,-0.073886
600,	1.15267,-0.00551294,1.15795,0.00528125
610,	1.14942,0.00418627,1.08129,-0.0681273
620,	1.15206,0.00753247,1.17579,0.023729
630,	1.15514,0.00576706,1.08851,-0.0666266
