t,walltime
10,31.57
20,33.36
30,27.64
40,25.56
50,23.82
60,22.34
70,23.05
80,22.92
90,22.08
100,23.4
110,26.82
120,28.61
130,29.31
140,26.98
150,25.28
160,26.63
170,25.93
180,26.14
190,29.54
200,26.93
210,27.04
220,23.43
230,23.11
240,21.15
250,21.52
260,21.55
270,22.15
280,22.83
290,23.33
300,23.23
310,23.36
320,23.36
330,21.18
340,21.43
350,22.57
360,24.73
370,23.33
380,23.25
390,23.82
400,22.96
410,24.29
420,26.73
430,27.62
440,29.74
450,27.36
460,34.19
470,35.64
480,27.48
490,28.19
500,37.26
510,31.87
520,31.17
530,34.57
540,29.57
550,29.74
560,28.9
570,29.91
580,29.12
590,26.64
600,26.4
610,24.19
620,21.75
630,24.63
640,27.35
650,25.4
660,25.43
670,28.42
680,25.93
690,30.85
700,31.03
710,35.22
720,33.11
730,25.01
740,23.82
750,24.64
760,22.95
770,33.23
780,30.64
790,29.49
800,27.03
810,28.4
820,26.6
830,24.7
840,32.64
850,30.51
860,26.98
870,25.02
880,26.46
890,25.21
900,21.85
910,21.08
920,22.68
930,23.92
940,24.51
950,25.43
960,24.7
970,25.25
980,26.94
990,26.81
1000,24.52
1010,25.54
1020,26.69
1030,24.18
1040,24.42
1050,23.81
1060,23.51
1070,24.47
1080,23.53
1090,23.34
1100,23.92
1110,22.94
1120,24.16
1130,24.47
1140,25.06
1150,25.57
1160,30.59
1170,27.31
1180,23.65
1190,26.18
1200,26.97
1210,26.33
1220,24.43
1230,22.61
1240,22.81
1250,23.38
1260,23.77
1270,25.03
1280,25.02
1290,28.09
1300,26.45
1310,30.37
1320,31.08
1330,33.79
1340,32.79
1350,34.34
1360,32.07
1370,33.87
1380,34.39
1390,33.57
1400,28.45
1410,32.48
1420,28.11
1430,25.07
1440,29.04
1450,35.27
1460,32.16
1470,30.7
1480,30.37
1490,27.42
1500,26.05
1510,24.25
1520,25.91
1530,27.45
1540,29.8
1550,28.53
1560,25.31
1570,28.03
1580,32.5
1590,25.5
1600,25.25
1610,22.59
1620,26.97
1630,26.97
1640,27.27
1650,27.65
1660,28.01
1670,25.69
1680,26.91
1690,25.64
1700,25.31
1710,24.64
1720,30.92
1730,32.09
1740,34.03
1750,31.02
1760,30.06
1770,25.13
1780,30.96
1790,26.61
1800,24.87
1810,24.08
1820,25.93
1830,26.01
1840,25.15
1850,23.29
1860,21.96
1870,23.71
1880,23.18
1890,23.85
1900,25.15
1910,22.12
1920,21.7
1930,21.54
1940,21.74
1950,22.9
1960,24.28
1970,25.66
1980,26.94
1990,29.2
2000,23.97
2010,26.68
2020,29.57
2030,31.19
2040,33.12
2050,32.19
2060,30.81
2070,22.52
2080,29.11
2090,26.28
2100,26.2
2110,28.56
2120,27.01
2130,23
2140,26.58
2150,25.21
2160,23.89
2170,26.09
2180,26.49
2190,26.29
2200,31.59
2210,29.07
2220,28.53
2230,22.92
2240,25.02
2250,24.16
2260,23
2270,25.49
2280,26.89
2290,22.59
2300,21.3
2310,21.35
2320,21.72
2330,22.19
2340,25.19
2350,31.94
2360,28.77
2370,28.97
2380,30.61
2390,29.12
2400,26.04
2410,28.12
2420,30.7
2430,26.89
2440,29.34
2450,32.5
2460,26.5
2470,23.39
2480,27.8
2490,26.86
2500,26.11
2510,28.13
2520,24.96
2530,30.39
2540,29.33
2550,24.26
2560,27.4
2570,22.91
2580,23.57
2590,21.57
2600,20.69
2610,19.66
2620,20.72
2630,21.97
2640,20.83
2650,21.04
2660,22.34
2670,22.46
2680,22.37
2690,22.84
2700,21.27
2710,23.34
2720,23.95
2730,25.14
2740,29.2
2750,33.12
2760,34.05
2770,28.85
2780,29.13
2790,25.03
2800,25.02
2810,25.64
