ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
1.92559,-0.00529155,null,null,null
2.00151,null,-0.156288,null,null
1.56186,0.000957205,null,null,null
2.00536,null,0.354749,null,null
1.37016,-0.340112,null,null,null
1.62822,null,-0.0913565,null,null
1.2689,-0.247421,null,null,null
1.8242,null,-0.60141,null,null
1.16396,-0.209764,null,null,null
1.24432,null,-1.42864,null,null
0.86326,-0.318211,null,null,null
0.944505,null,-0.78793,null,null
1.28374,0.317287,null,null,null
0.88552,null,-0.81065,null,null
1.22255,0.419104,null,null,null
1.86421,null,-1.09141,null,null
1.22255,0.419104,null,null,null
1.86421,null,-1.09141,null,null
0.777265,0.695965,null,null,null
1.41142,null,-1.20871,null,null
1.00277,0.62524,null,null,null
1.35048,null,-1.0128,null,null
1.13804,1.38387,null,null,null
1.67239,null,-1.24799,null,null
1.17965,1.25262,null,null,null
1.50877,null,-0.65919,null,null
0.934385,1.12508,null,null,null
1.2047,null,-0.218623,null,null
0.864705,0.51422,null,null,null
0.66604,null,-0.390578,null,null
0.705515,0.83223,null,null,null
1.03928,null,-0.732275,null,null
0.91492,0.52208,null,null,null
0.95251,null,-0.305201,null,null
0.91492,0.52208,null,null,null
0.95251,null,-0.305201,null,null
1.09677,0.658175,null,null,null
0.999395,null,-0.345788,null,null
1.16527,0.316935,null,null,null
0.787,null,-0.909755,null,null
1.30672,0.101819,null,null,null
0.711285,null,-0.938125,null,null
0.67738,0.273348,null,null,null
0.642515,null,-0.50921,null,null
1.21183,0.11325,null,null,null
0.792555,null,-0.217081,null,null
1.377,0.27527,null,null,null
0.744765,null,-0.225671,null,null
0.58306,-0.368897,null,null,null
0.7989,null,-0.508915,null,null
0.484971,-0.484563,null,null,null
0.720105,null,-0.201523,null,null
1.26404,-0.461537,null,null,null
0.490671,null,-0.625405,null,null
0.97346,-0.0139413,null,null,null
0.056583,null,-0.456944,null,null
1.69061,0.220336,null,null,null
0.302453,null,-0.195025,null,null
0.65966,-1.30402,null,null,null
0.259661,null,-0.477877,null,null
1.76765,-1.10543,null,null,null
0.201905,null,-0.212632,null,null
1.89194,0.425032,null,null,null
0.356356,null,-0.407145,null,null
1.89194,0.425032,null,null,null
0.356356,null,-0.407145,null,null
1.26036,0.78632,null,null,null
0.251421,null,-0.257007,null,null
1.22219,0.389431,null,null,null
0.195073,null,-0.176094,null,null
1.28851,0.406173,null,null,null
0.210011,null,-0.0287695,null,null
1.18722,0.147041,null,null,null
0.444051,null,-0.00643235,null,null
1.44427,0.479533,null,null,null
0.456547,null,0.0315518,null,null
1.24093,0.0074926,null,null,null
0.264728,null,0.192445,null,null
0.93041,0.5959,null,null,null
0.544235,null,0.307817,null,null
1.63468,1.18253,null,null,null
0.831435,null,0.28566,null,null
2.62249,1.0639,null,null,null
0.563305,null,-0.0173984,null,null
2.07945,1.52638,null,null,null
0.265278,null,0.112319,null,null
1.89226,1.12579,null,null,null
0.53844,null,0.263211,null,null
2.64965,1.8207,null,null,null
0.54714,null,-0.170678,null,null
3.28091,1.11595,null,null,null
0.453372,null,0.0935305,null,null
2.34117,1.58918,null,null,null
0.452465,null,-0.170548,null,null
1.5791,1.79436,null,null,null
0.70199,null,0.063616,null,null
1.29289,3.31785,null,null,null
0.794935,null,-0.059081,null,null
2.4333,3.37886,null,null,null
0.59054,null,0.208788,null,null
1.69207,2.48063,null,null,null
0.483784,null,0.244739,null,null
0.318028,2.47047,null,null,null
0.741845,null,0.204239,null,null
0.46228,1.69376,null,null,null
0.748635,null,0.215078,null,null
0.68353,1.78241,null,null,null
0.797905,null,0.17337,null,null
0.478801,2.05294,null,null,null
0.75178,null,-0.257377,null,null
0.274133,2.04361,null,null,null
0.995785,null,-0.343629,null,null
1.40739,1.96982,null,null,null
0.935025,null,-0.0210835,null,null
1.79509,1.84745,null,null,null
1.03042,null,-0.082165,null,null
2.42557,1.36055,null,null,null
