t,e^(-dS)
457,0.729497
458,1.05082
459,0.888518
460,1.07442
461,1.26125
462,0.872057
463,0.815299
464,1.01242
465,0.880293
466,0.898885
467,1.13462
468,1.31377
469,1.1977
470,0.875728
471,0.829693
472,1.3832
473,1.19017
474,0.956868
475,0.992749
476,0.87529
477,1.23405
478,0.901225
479,1.09474
480,1.05204
481,0.775149
482,0.908746
483,0.945142
484,1.08838
485,0.841811
486,0.843665
487,1.21155
488,0.958515
489,1.30122
490,1.33389
491,0.998574
492,0.84434
493,0.810179
494,1.14236
495,1.02698
496,1.21034
497,1.00965
498,1.12255
499,0.799875
500,1.33589
501,1.04143
502,1.06168
503,0.741337
504,1.03872
505,0.947195
506,0.773755
507,1.03468
508,0.998411
509,0.867708
510,1.05735
511,1.08706
512,0.891901
513,0.97918
514,0.793819
515,1.09435
516,1.02261
517,0.867101
518,0.884971
519,1.20466
520,0.953267
521,0.773214
522,0.833101
523,0.909573
524,1.24297
525,0.87424
526,1.24061
527,1.30656
528,0.942207
529,1.40987
530,0.972194
531,0.891277
532,1.11728
533,1.03969
534,0.939366
535,0.957241
536,1.0383
537,0.806219
538,1.16416
539,0.964447
540,0.819222
541,0.861569
542,0.916741
543,0.972602
544,1.00032
545,1.009
546,0.97378
547,0.977341
548,1.02895
549,0.872319
550,0.905462
551,1.10772
552,0.989031
553,0.887275
554,1.06502
555,1.11583
556,0.833935
557,1.02698
558,0.874852
559,0.801076
560,0.965596
561,0.977262
562,0.871012
563,1.06458
564,1.03472
565,1.28326
566,0.788991
567,0.822423
568,1.10849
569,1.13678
570,1.44095
571,1.02175
572,0.965799
573,1.19399
574,1.04005
575,0.847131
576,1.06642
577,0.932021
578,0.950307
579,1.11093
580,1.11305
581,0.924511
582,1.02414
583,0.896461
584,0.903752
585,1.11751
586,0.94348
587,0.775925
588,1.07433
589,1.05944
590,0.769511
591,1.00497
592,1.50983
593,0.81734
594,0.936665
595,1.17715
596,0.996253
597,0.965818
598,0.839709
599,0.999012
600,0.945899
601,0.788124
602,1.17269
603,1.14419
604,0.82078
605,0.981268
606,1.23862
607,1.02234
608,1.25307
609,0.78592
610,0.775925
611,1.20792
612,0.982652
613,1.13871
614,1.05389
615,0.996403
616,1.15905
617,0.992525
618,1.08653
619,0.912908
620,1.22165
621,1.0341
622,1.15142
623,0.953639
624,0.950801
625,1.09184
626,0.889585
627,1.06233
628,1.05401
629,0.817177
630,1.2537
631,0.937414
632,1.00154
633,0.912917
634,1.25358
635,0.902127
636,1.19196
637,0.890742
638,1.22728
639,1.00894
640,0.96005
641,1.13587
642,0.98743
643,1.32101
644,0.944226
645,0.993533
646,1.00214
647,1.17398
648,1.10882
649,0.953706
650,0.90312
651,0.991555
652,0.884971
653,1.03016
654,1.08
655,1.00468
656,0.869793
657,1.02869
658,1.0349
659,0.907084
660,1.11695
661,0.857529
662,0.878008
663,1.2186
664,1.24408
665,1.23318
666,0.850441
667,1.09322
668,1.09954
669,0.923938
670,0.713766
671,0.999701
672,1.27023
673,0.918007
674,1.09646
675,0.94282
676,1.01743
677,0.901045
678,1.32181
679,0.988951
680,0.895028
681,1.38888
682,1.06275
683,0.858216
684,0.93747
685,1.04149
686,0.947138
687,1.20286
688,0.887364
689,1.16848
690,0.888074
691,1.04496
692,1.10065
693,1.16848
694,0.937142
695,1.1136
696,1.02297
697,1.16988
698,1.16416
699,1.26327
700,0.679635
701,1.24458
702,0.867534
703,0.899515
704,0.913456
705,1.02946
706,0.870663
707,0.930503
708,1.01294
709,1.07761
710,0.872494
711,1.00638
712,0.945104
713,1.14477
714,1.00065
715,0.866581
716,1.02097
717,1.03507
718,0.742004
719,0.944301
720,0.979053
721,0.789939
722,1.26074
723,1.01218
724,0.913922
725,0.848148
726,0.916732
727,1.12738
728,0.847724
729,0.663982
730,0.774684
731,0.928839
732,1.26998
733,1.09146
734,1.02845
735,0.958994
736,0.823246
737,1.32419
738,0.748189
739,1.23813
740,1.01301
741,1.34474
742,1.14866
743,0.734034
744,1.06823
745,1.07708
746,0.957777
747,1.40326
748,1.07249
749,0.825389
750,0.941859
751,1.03682
752,1.16404
753,1.26934
754,1.30018
755,0.812857
756,1.28904
757,1.1616
758,0.958534
759,0.912917
760,0.931043
761,0.897089
762,0.804849
763,0.945861
764,1.00174
765,1.04483
766,1.16253
767,0.789386
768,1.31917
769,1.2019
770,0.987983
771,0.850271
772,0.854106
773,1.01399
774,0.921659
775,0.93426
776,0.962405
777,0.900685
778,1.2663
779,1.18046
780,0.874852
781,0.815218
782,1.11695
783,0.952791
784,1.06231
785,0.866581
786,0.818895
787,0.823658
788,1.03252
789,0.678345
790,1.01832
791,0.821273
792,0.894223
793,1.23528
794,0.944896
795,0.928319
796,0.990837
797,0.982171
798,0.868142
799,0.957232
800,0.910492
801,0.905842
802,1.02091
803,0.932524
804,1.19375
805,1.01252
806,1.04807
807,0.738008
808,1.12243
809,1.19722
810,1.19435
811,0.799075
812,0.956007
813,0.876429
814,1.10273
815,0.95863
816,1.00381
817,1.01234
818,0.672334
819,1.25145
820,0.836775
821,1.31943
822,0.931704
823,1.11427
824,0.962569
825,0.974598
826,1.09586
827,0.848742
828,1.10905
829,0.95958
830,0.977839
831,1.11016
832,1.07481
833,0.902668
834,1.05614
835,0.981336
836,1.13655
837,1.05466
838,0.743267
839,0.979513
840,0.931397
841,0.913447
842,0.996774
843,1.37768
844,1.08859
845,0.965615
846,0.977311
847,1.01826
848,0.906404
849,1.04799
850,1.02738
851,1.06478
852,0.987844
853,1.32671
854,0.977096
855,1.04033
856,0.939676
857,0.852911
858,1.36274
859,0.87293
860,0.911312
861,0.902217
862,0.955367
863,1.13587
864,1.00457
865,0.948266
866,0.991471
867,0.768742
868,1.02607
869,1.14637
870,1.12637
871,0.824647
872,0.831187
873,0.923624
874,0.912342
875,0.995177
876,1.1587
